,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-03-31,-0.0512,0.4656,1.6605,1.8,1.8,-3.5302,-0.0491,-0.0196,-0.1005,0.0,0.0,-0.28,-3.5302,0.0,0.1827,-0.0578,0.0062,162835000.0,-0.0479,46880000.0,115955000.0,0.0,4835000.0,8030000.0,107925000.0,37479000.0,51859000.0,0.0,0.0,0.0,51859000.0,0.0,51859000.0,0.14,0.14,361527348.0,0.18,0.7121,0.549,0.5486,0.318,-1.4862,89338000.0,89338000.0,51859000.0,650516000.0,-0.1057,188899000.0,461617000.0,0.0,16467000.0,25841000.0,435776000.0,158728000.0,236727000.0,0.0,0.0,0.0,236727000.0,0.0,236727000.0,0.65,0.65,361527348.0,207069971.0,0.837,0.7096,0.608,0.6079,0.364,0.8602,395455000.0,395455000.0,236727000.0,9.256,16.185,-0.669,6.5684,0.2699,0.7096,0.4058,2.3837,-4.6666,1.286,0.0,0.0297,0.0,5851145000.0,8128239000.0,74000.0,62279500.0,0.0,0.0,0.071,0.04,0.608,0.109,2.3639,41.3043,0.083,0.0,8790.7568,10.4451,0.0,1.288,10.0,0.0253,0.0,8203922000.0,3334187750.0,5980137250.0,1.548,1.799,2.4914,0.0,PSEC,6.55,6.644411764705883,2368004129.4
2017-12-31,-0.1289,0.1365,0.2067,0.2143,0.2143,1.1989,-0.0422,-0.0362,-0.0544,0.0,0.0,-0.28,1.1989,0.0,-0.2107,-0.1015,0.0057,162400000.0,-0.1149,47857000.0,114543000.0,0.0,2828000.0,2004000.0,112539000.0,39347000.0,121727000.0,0.0,0.0,0.0,121727000.0,0.0,121727000.0,0.34,0.34,360394335.0,0.18,0.7053,0.992,0.9918,0.75,2.4643,161074000.0,161074000.0,121727000.0,658713000.0,-0.1168,190838000.0,467875000.0,0.0,15720000.0,25480000.0,442395000.0,162713000.0,204360000.0,0.0,0.0,0.0,204360000.0,0.0,204360000.0,0.56,0.56,360394335.0,114394554.0,0.907,0.7103,0.557,0.5573,0.31,1.1358,367073000.0,367073000.0,204360000.0,9.291,16.42,1.11,6.8063,1.3165,0.7326,0.4145,4.0937,3.2877,0.529,0.0,0.0174,0.0,5917513000.0,7895971000.0,1385000.0,52393000.0,0.0,0.0,0.061,0.034,0.557,0.109,3.6611,27.4639,1.5349,0.0,475.6051,12.5725,0.0,1.62,12.0,0.0239,0.0,8342169500.0,3345630750.0,6055627000.0,2.076,1.828,2.256,0.0,PSEC,6.74,6.796666666666667,2429057817.9
2017-09-30,-0.1301,-0.5692,-0.8529,-0.8696,-0.8696,2.8566,-0.0448,-0.0499,-0.0152,0.0,0.0,-0.092,2.8566,0.0,-0.1929,-0.1312,0.007,158579000.0,-0.1182,46096000.0,112483000.0,0.0,4188000.0,7716000.0,104767000.0,41035000.0,11973000.0,0.0,0.0,0.0,11973000.0,0.0,11973000.0,0.03,0.03,360221762.0,0.227,0.7093,0.334,0.3343,0.076,0.6303,53008000.0,53008000.0,11973000.0,679793000.0,-0.1189,194968000.0,484825000.0,0.0,16475000.0,29716000.0,455109000.0,164214000.0,183513000.0,0.0,0.0,0.0,183513000.0,0.0,183513000.0,0.5,0.5,360221762.0,85978757.0,0.977,0.7132,0.512,0.5115,0.27,0.7796,347727000.0,347727000.0,183513000.0,9.125,16.598,0.277,7.1622,0.7343,0.7849,0.4315,1.2918,8.3476,7.567,0.0,0.0264,0.0,5979102000.0,8294577000.0,15000.0,92192500.0,0.0,0.0,0.054,0.03,0.512,0.111,2.888,27.4789,0.0161,0.0,45319.5333,7.3736,0.0,1.954,13.0,0.0242,0.0,8510233000.0,3372176750.0,6120785750.0,1.471,1.887,2.1175,0.0,PSEC,6.72,6.966285714285713,2420690240.64
2017-06-30,-0.1489,-0.3282,-0.4623,-0.4815,-0.4815,0.3782,-0.0102,-0.0331,-0.0093,0.0,0.0,0.0,0.3782,0.0,1.2495,-0.1701,0.0098,166702000.0,-0.1364,48066000.0,118636000.0,0.0,4616000.0,8091000.0,110545000.0,40867000.0,51168000.0,0.0,0.0,0.0,51168000.0,0.0,51168000.0,0.14,0.14,359939220.0,0.25,0.7117,0.552,0.5521,0.307,1.8084,92035000.0,92035000.0,51168000.0,701046000.0,-0.1148,199394000.0,501652000.0,0.0,18576000.0,30722000.0,470930000.0,164848000.0,252906000.0,0.0,0.0,0.0,252906000.0,0.0,252906000.0,0.7,0.7,359939220.0,59429222.0,1.0,0.7156,0.596,0.5959,0.361,0.5366,417754000.0,417754000.0,252906000.0,9.321,17.15,0.838,7.3407,0.8837,0.7876,0.428,2.2521,5.8915,1.786,0.0,0.0277,0.0,6172789000.0,8496901000.0,7000.0,78700500.0,0.0,0.0,0.074,0.041,0.596,0.113,1.4875,52.341,0.0073,0.0,100149.4286,8.9078,0.0,1.429,13.0,0.0265,0.0,8623370000.0,3409331250.0,6190882750.0,1.045,1.948,2.5342,0.0,PSEC,8.12,8.118611111111115,2922706466.3999996
2017-03-31,-0.1054,-0.48,-0.7419,-0.7619,-0.7619,-1.2327,-0.0149,-0.0187,-0.0207,0.0,0.0,0.0,-1.2327,0.0,0.0405,-0.1144,0.0101,171032000.0,-0.0974,48819000.0,122213000.0,0.0,4088000.0,7669000.0,114544000.0,41464000.0,19492000.0,0.0,0.0,0.0,19492000.0,0.0,19492000.0,0.05,0.05,359296184.0,0.25,0.7146,0.356,0.3564,0.114,-0.3123,60956000.0,60956000.0,19492000.0,727382000.0,-0.0882,204981000.0,522401000.0,0.0,14912000.0,28811000.0,493590000.0,165819000.0,296895000.0,0.0,0.0,0.0,296895000.0,0.0,296895000.0,0.83,0.83,359296184.0,31559905.0,1.0,0.7182,0.636,0.6361,0.408,0.4035,462714000.0,462714000.0,296895000.0,9.441,17.125,-0.149,7.3475,0.3112,0.7782,0.429,1.4701,-2.7407,5.0,0.0,0.0239,0.0,6153104000.0,8681229000.0,0.0,53932500.0,0.0,0.0,0.087,0.048,0.636,0.117,0.9885,25.5642,0.0,0.0,0.0,13.4869,0.0,1.205,12.0,0.0205,0.0,8645475250.0,3429572500.0,6206730750.0,0.817,2.024,2.7905,0.0,PSEC,9.04,9.221666666666671,3248037503.3599997
2016-12-31,-0.136,3.6784,2.0606,2.037,2.037,0.0758,-0.024,-0.0021,-0.0567,0.0,0.0,0.0,0.0758,0.0,-0.4945,-0.1247,0.0089,183480000.0,-0.1229,51987000.0,131493000.0,0.0,3583000.0,6240000.0,125253000.0,40848000.0,100880000.0,0.0,0.0,0.0,100880000.0,0.0,100880000.0,0.28,0.28,358369103.0,0.25,0.7167,0.772,0.7724,0.55,0.9919,141728000.0,141728000.0,100880000.0,745843000.0,-0.0673,209045000.0,536798000.0,0.0,14753000.0,28407000.0,508391000.0,166074000.0,352911000.0,0.0,0.0,0.0,352911000.0,0.0,352911000.0,0.99,0.99,358369103.0,,1.0,0.7197,0.696,0.6958,0.473,0.773,518985000.0,518985000.0,352911000.0,9.64,17.24,0.508,7.2383,0.569,0.7509,0.4199,3.4696,1.8041,0.893,0.0,0.0195,0.0,6178148000.0,8568225000.0,0.0,60126000.0,0.0,0.0,0.103,0.057,0.696,0.12,1.6336,27.0245,0.0,0.0,0.0,12.4047,0.0,1.01,10.0,0.0198,0.0,8668391250.0,3437134500.0,6230036750.0,1.609,2.081,3.125,0.0,PSEC,8.35,8.13029411764706,2992382010.0499997
2016-09-30,-0.105,0.7633,1.925,1.875,1.875,-1.2203,-0.0473,-0.0558,-0.0707,0.0,0.0,0.004,-1.2203,0.0,-0.2702,-0.0947,0.0069,179832000.0,-0.102,50522000.0,129310000.0,0.0,5189000.0,8722000.0,120588000.0,41669000.0,81366000.0,0.0,0.0,0.0,81366000.0,0.0,81366000.0,0.23,0.23,357724896.0,0.25,0.7191,0.684,0.6842,0.452,-0.2994,123035000.0,123035000.0,81366000.0,771554000.0,-0.0225,214063000.0,557491000.0,0.0,18258000.0,31255000.0,526236000.0,167431000.0,156911000.0,0.0,0.0,0.0,156911000.0,0.0,156911000.0,0.44,0.44,357724896.0,,1.0,0.7226,0.42,0.4204,0.203,0.7306,324342000.0,324342000.0,156911000.0,9.604,17.498,-0.15,7.3237,0.3697,0.7626,0.4185,2.9527,-0.6616,1.087,0.0,0.0289,0.0,6259490000.0,8747125000.0,0.0,97018500.0,0.0,0.0,0.046,0.025,0.42,0.123,3.5924,63.0164,0.0,0.0,0.0,7.9526,0.0,2.273,16.0,0.0237,0.0,8776793500.0,3431342250.0,6268092750.0,1.576,2.157,1.9372,0.0,PSEC,8.1,8.299444444444445,2897571657.6
2016-06-30,-0.0235,-0.0077,0.0041,0.0,0.0,0.6341,-0.0827,-0.066,-0.1062,0.0,0.0,0.004,0.6341,0.0,-0.4184,0.003,-0.0066,193038000.0,-0.0291,53653000.0,139385000.0,0.0,2052000.0,6180000.0,133205000.0,41838000.0,95157000.0,0.0,0.0,0.0,95157000.0,0.0,95157000.0,0.27,0.27,356437837.0,0.25,0.7221,0.71,0.7097,0.493,1.1331,136995000.0,136995000.0,95157000.0,791973000.0,0.0011,219305000.0,572668000.0,0.0,18879000.0,33821000.0,538847000.0,167719000.0,103362000.0,0.0,0.0,0.0,103362000.0,0.0,103362000.0,0.29,0.29,356437837.0,,0.999,0.7231,0.342,0.3423,0.131,1.0883,271081000.0,271081000.0,103362000.0,9.64,17.496,0.614,7.4822,0.8916,0.7762,0.4277,3.2744,2.2986,0.926,0.0,0.0106,0.0,6236181000.0,8585322000.0,0.0,45218500.0,0.0,0.0,0.03,0.016,0.342,0.125,8.3384,26.2104,0.0,0.0,0.0,17.5144,0.0,3.445,19.0,0.0238,0.0,8919497750.0,3475945250.0,6345840000.0,2.418,2.222,1.6163,0.0,PSEC,7.82,7.640833333333335,2787343885.34
2016-03-31,0.0059,-0.0524,-0.0734,-0.087,-0.087,4.8057,-0.0753,-0.0667,-0.0966,0.0,0.0,-0.0975,4.8057,0.0,0.1408,-0.0024,-0.0075,189493000.0,-0.0097,52883000.0,136610000.0,0.0,3929000.0,7265000.0,129345000.0,41719000.0,75508000.0,0.0,0.0,0.0,75508000.0,0.0,75508000.0,0.21,0.21,355711135.0,0.25,0.7209,0.619,0.6186,0.398,1.2117,117227000.0,117227000.0,75508000.0,797765000.0,0.0292,221744000.0,576021000.0,0.0,21655000.0,37572000.0,538449000.0,169170000.0,102974000.0,0.0,0.0,0.0,102974000.0,0.0,102974000.0,0.29,0.29,355711135.0,,0.998,0.722,0.341,0.3411,0.129,0.974,272144000.0,272144000.0,102974000.0,9.621,17.56,0.646,7.5786,0.4757,0.7877,0.4316,2.8099,3.0409,1.19,0.0,0.0207,0.0,6246328000.0,8772893000.0,0.0,30427500.0,0.0,0.0,0.029,0.016,0.341,0.123,7.5455,26.0425,0.0,0.0,0.0,26.2186,0.0,3.441,19.0,0.0271,0.0,9191108250.0,3542728250.0,6486308250.0,2.184,2.243,1.6087,0.0,PSEC,7.27,6.956285714285715,2586019951.45
2015-12-31,0.0716,-1.4127,-2.1064,-2.125,-2.125,2.3483,-0.0575,-0.0817,-0.038,0.0,0.0,-0.2492,2.3483,0.0,1.3013,0.0713,0.0074,209191000.0,0.0518,57005000.0,152186000.0,0.0,7088000.0,9088000.0,143098000.0,42205000.0,-95120000.0,0.0,0.0,0.0,-95120000.0,0.0,-95120000.0,-0.27,-0.27,355211654.0,0.25,0.7275,-0.253,-0.253,-0.455,0.8087,-52915000.0,-52915000.0,-95120000.0,799622000.0,0.033,224400000.0,575222000.0,0.0,21170000.0,36464000.0,538758000.0,169664000.0,108958000.0,0.0,0.0,0.0,108958000.0,0.0,108958000.0,0.31,0.31,355211654.0,,1.025,0.7194,0.348,0.3484,0.136,0.6091,278622000.0,278622000.0,108958000.0,9.66,17.821,0.476,7.7413,0.2206,0.8014,0.4344,-1.2538,-1.7785,-0.926,0.0,0.0339,0.0,6330372000.0,9001834000.0,0.0,62992000.0,0.0,0.0,0.03,0.016,0.348,0.121,4.47,29.684,0.0,0.0,0.0,12.694,0.0,3.306,18.0,0.0265,0.0,9416756250.0,3610771250.0,6613512750.0,1.371,2.251,1.6422,0.0,PSEC,6.98,7.124571428571428,2479377344.92
