,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0478,0.3215,2.1611,2.1053,2.1667,0.0857,0.0216,1.0532,-0.0655,0.1222,0.0,0.0,0.152,0.0,0.0197,0.3464,0.0083,826913000.0,0.0382,470993000.0,355920000.0,0.0,132659000.0,174165000.0,181755000.0,115873000.0,69230000.0,15242000.0,0.0,0.0,53988000.0,0.0,53988000.0,0.59,0.57,91859333.0,0.0,0.4304,0.295,0.2238,0.065,0.1441,243662000.0,185103000.0,53988000.0,3218281000.0,0.0445,1848910000.0,1369371000.0,0.0,512787000.0,845044000.0,524327000.0,466610000.0,74706000.0,-475999000.0,0.0,0.0,550705000.0,0.0,550705000.0,6.05,5.81,91859333.0,93378000.0,0.0,0.4255,0.245,0.1682,0.171,0.1182,788122000.0,541316000.0,550705000.0,0.302,39.273,1.297,49.942,2.1789,165.2847,0.901,1.5975,0.63,2.5959,0.0,0.2915,0.1604,0.0,-180839000.0,3607622000.0,-4755569000.0,7505768000.0,51976500.0,26553000.0,0.0,-0.1497,0.0036,18.0065,-0.0254,-0.3582,12.171,0.105,0.0732,0.168,5.0,0.611,0.8539,2.7368,6.2343,0.0,61.918,121.2022,0.0,0.0,14.0,0.1593,0.0,7816740750.0,45245750.0,5265394000.0,4.14,35.035,1.1601,0.2203,-0.1914,0.003,-0.028,-0.3647,PENN,33.59,33.77514302857143,3085554995.4700003
2018-03-31,0.0537,0.4462,7.9022,7.3333,7.0,-0.2109,0.0442,0.9383,-0.0409,0.1429,0.0,0.0,-0.1885,0.0,-0.0362,0.227,0.0087,816085000.0,0.0514,461680000.0,354405000.0,0.0,121263000.0,182271000.0,172134000.0,115740000.0,61126000.0,15689000.0,0.0,0.0,45437000.0,0.0,45437000.0,0.5,0.48,91674552.0,0.0,0.4343,0.291,0.2167,0.056,0.0676,237256000.0,176866000.0,45437000.0,3187831000.0,0.0438,1834691000.0,1353140000.0,0.0,510224000.0,875579000.0,477561000.0,467505000.0,28780000.0,-485016000.0,0.0,0.0,513796000.0,0.0,513796000.0,5.65,5.42,91674552.0,91407000.0,0.0,0.4245,0.236,0.1557,0.161,0.1144,753501000.0,496285000.0,513796000.0,-0.367,40.228,0.602,51.5831,2.3779,-140.5765,0.9155,1.5281,0.704,1.4732,0.0,0.2861,0.1486,0.0,-140636000.0,3687858000.0,-4864489000.0,7723396000.0,53026500.0,24037000.0,0.0,-0.1757,0.0036,19.0126,-0.0144,-0.1948,-5.641,0.098,0.0655,0.156,6.0,0.609,0.8937,2.1505,6.4763,0.0,60.1177,132.6218,0.0,0.0,14.0,0.1601,0.0,7868323750.0,-91074500.0,5238441250.0,3.976,34.773,1.0616,0.1999,-0.2062,0.0027,-0.0297,-0.368,PENN,26.26,26.832353058823536,2407373735.52
2017-12-31,0.0334,-0.7451,-68.182,-75.4,-74.4,0.3279,0.0523,0.8771,-0.0285,0.0154,0.0,0.0,0.4687,0.0,0.2414,-0.7648,0.0956,769036000.0,0.0352,451654000.0,317382000.0,0.0,151664000.0,290607000.0,26775000.0,116761000.0,-85926000.0,252134000.0,0.0,0.0,-338060000.0,0.0,-338060000.0,-3.72,-3.67,90854000.0,0.0,0.4127,0.12,0.0401,-0.44,0.119,92209000.0,30835000.0,-338060000.0,3147970000.0,0.0374,1812897000.0,1335073000.0,0.0,514776000.0,889359000.0,445714000.0,466761000.0,-25044000.0,-498507000.0,0.0,0.0,473463000.0,0.0,473463000.0,5.21,5.07,90854000.0,90904000.0,0.0,0.4241,0.225,0.1403,0.15,0.1141,708779000.0,441717000.0,473463000.0,-0.805,41.871,1.007,52.738,3.0593,-65.5055,0.9153,0.2641,0.757,-0.3601,0.0,0.2733,0.1972,0.0,-128977000.0,3804109000.0,-4906926000.0,7787609000.0,62330000.0,30569500.0,0.0,-0.2486,0.0025,48.9487,-0.0394,-0.4932,-2.173,0.091,0.0616,0.14,7.0,0.607,0.9696,3.0202,7.2821,0.0,50.5049,102.9775,0.0,0.0,17.0,0.1635,0.0,7869611250.0,-217847750.0,5183818000.0,3.955,34.649,0.9463,0.1802,-0.2173,0.0025,-0.0317,-0.3735,PENN,31.33,28.850909242424244,2846455820.0
2017-09-30,0.0649,-0.0191,15.9623,15.6923,15.5294,0.1225,0.0605,1.4286,-0.0628,0.2516,0.0,0.0,-0.0011,0.0,-0.0627,0.0313,0.0954,806247000.0,0.0531,464583000.0,341664000.0,0.0,107201000.0,198001000.0,143663000.0,118236000.0,30276000.0,-759064000.0,0.0,0.0,789340000.0,0.0,789340000.0,8.68,8.43,91336780.0,0.0,0.4238,0.267,0.1842,0.979,0.1419,214995000.0,148512000.0,789340000.0,3121844000.0,0.0319,1797022000.0,1324822000.0,0.0,485286000.0,792035000.0,532787000.0,463695000.0,68156000.0,-748399000.0,0.0,0.0,816555000.0,0.0,816555000.0,8.98,8.72,91336780.0,78425000.0,0.0,0.4244,0.259,0.1704,0.262,0.1115,808648000.0,531851000.0,816555000.0,2.847,45.276,1.253,53.3405,2.9003,18.7374,0.8748,1.2561,0.817,0.1792,0.0,0.2575,0.133,0.0,-89875000.0,4135350000.0,-4907061000.0,8250190000.0,48645000.0,42463500.0,0.0,-0.1909,0.0023,21.4286,-0.0335,-0.4061,-2.435,0.16,0.0678,0.17,7.0,0.61,0.5475,2.8182,6.323,0.0,64.1761,73.5183,0.0,0.0,13.0,0.1554,0.0,7851641250.0,-335391250.0,5118736000.0,3.812,34.179,1.147,0.3029,-0.2212,0.0026,-0.0317,-0.3572,PENN,23.389999,21.98857125714286,2136367192.86322
2017-06-30,0.0436,-0.1219,-0.4982,-0.5,-0.5135,0.0579,-0.0309,0.2367,-0.058,0.0407,0.0,0.0,0.0342,0.0,0.183,-0.0961,0.1173,796463000.0,0.0351,456774000.0,339689000.0,0.0,130096000.0,204700000.0,134989000.0,116768000.0,23304000.0,6225000.0,0.0,0.0,17079000.0,0.0,17079000.0,0.19,0.18,91099858.0,0.0,0.4265,0.262,0.1759,0.021,0.1299,209041000.0,140072000.0,17079000.0,3081194000.0,0.0274,1777183000.0,1304011000.0,0.0,492461000.0,775587000.0,528424000.0,459808000.0,74942000.0,1192000.0,0.0,0.0,73750000.0,0.0,73750000.0,0.82,0.8,91099858.0,78111000.0,0.0,0.4232,0.264,0.1736,0.024,0.113,812967000.0,534750000.0,73750000.0,-5.681,38.725,1.136,53.8889,2.4632,-9.4861,0.985,1.1996,0.746,7.5582,0.0,0.2922,0.1633,0.0,-127023000.0,3527800000.0,-5127991000.0,7712100000.0,48026500.0,48962000.0,0.0,-0.1986,0.0023,22.4113,-0.0322,-0.3717,-0.137,0.015,0.0758,0.174,7.0,0.611,5.8522,3.4324,5.8027,0.0,64.1561,62.9303,0.0,0.0,12.0,0.1598,0.0,7856527000.0,-538859750.0,5039305500.0,3.823,33.822,1.163,0.0273,-0.1931,0.0025,-0.027,-0.2995,PENN,21.4,20.422500138888882,1949536961.1999998
2017-03-31,0.0411,-0.1734,-0.7847,-0.7692,-0.7692,0.1779,-0.0354,0.2549,-0.0617,0.0523,0.0,0.0,0.289,0.0,0.0799,-0.0017,0.1181,776224000.0,0.0261,439886000.0,336338000.0,0.0,125815000.0,196051000.0,140287000.0,114996000.0,7302000.0,2198000.0,0.0,0.0,5104000.0,0.0,5104000.0,0.06,0.06,90885007.0,0.0,0.4333,0.248,0.1576,0.007,0.0876,192534000.0,122298000.0,5104000.0,3054153000.0,0.0421,1764338000.0,1289815000.0,0.0,472339000.0,747043000.0,542772000.0,457727000.0,96477000.0,5771000.0,0.0,0.0,90706000.0,0.0,90706000.0,1.01,0.99,90885007.0,103804000.0,0.0,0.4223,0.272,0.1815,0.03,0.1129,829634000.0,554204000.0,90706000.0,-5.95,38.781,0.748,54.2502,2.8551,-9.1183,0.9967,1.0635,0.893,16.6207,0.0,0.2875,0.1621,0.0,-50005000.0,3524623000.0,-5070655000.0,7728546000.0,48259500.0,48675500.0,0.0,-0.1986,0.0028,24.2609,-0.0217,-0.2399,-0.162,0.018,0.0785,0.181,7.0,0.601,4.6803,3.5007,5.9145,0.0,63.286,62.7452,0.0,0.0,12.0,0.1547,0.0,8000920750.0,-561209500.0,5078989000.0,3.794,33.605,1.2108,0.0333,-0.1877,0.0025,-0.0261,-0.2893,PENN,18.43,15.336944388888886,1675010679.01
2016-12-31,0.007,0.2291,1.555,1.5,1.5,-0.1484,-0.032,0.2269,-0.0656,0.3689,0.0,0.0,-0.1764,0.0,0.1454,0.2563,0.0366,742910000.0,0.0122,435779000.0,307131000.0,0.0,122174000.0,193283000.0,113848000.0,113695000.0,7274000.0,2242000.0,0.0,0.0,5032000.0,0.0,5032000.0,0.05,0.05,82929000.0,0.0,0.4134,0.259,0.1628,0.007,0.0838,192078000.0,120969000.0,5032000.0,3034380000.0,0.0691,1757848000.0,1276532000.0,0.0,463028000.0,733516000.0,543016000.0,459243000.0,120617000.0,11307000.0,0.0,0.0,109310000.0,0.0,109310000.0,1.21,1.19,82929000.0,,0.0,0.4207,0.28,0.1911,0.036,0.1086,851074000.0,579860000.0,109310000.0,-6.552,42.799,0.751,59.4756,2.7675,-9.078,0.9915,1.064,0.744,18.221,0.0,0.2865,0.1645,0.0,-137051000.0,3549305000.0,-5118539000.0,7715729000.0,53520500.0,53953500.0,0.0,-0.3206,0.0031,24.4835,-0.0396,-0.4134,-0.186,0.021,0.078,0.191,7.0,0.592,3.7665,4.221,7.4404,0.0,56.6957,56.2407,0.0,0.0,11.0,0.1526,0.0,8152787250.0,-588300750.0,5124401000.0,3.975,36.59,1.2626,0.0407,-0.1994,0.0023,-0.0271,-0.3027,PENN,13.79,13.951470588235292,1143590910.0
2016-09-30,0.0156,-0.0018,8.4969,7.6667,9.2,0.1836,0.0213,0.2124,-0.0127,0.0557,0.0,0.0,0.9039,0.0,0.0628,-0.0202,0.0399,765597000.0,0.0356,444744000.0,320853000.0,0.0,114376000.0,181553000.0,139300000.0,114349000.0,37062000.0,-9473000.0,0.0,0.0,46535000.0,0.0,46535000.0,0.52,0.51,83383585.0,0.0,0.4191,0.286,0.1978,0.061,0.1496,219314000.0,151411000.0,46535000.0,3025437000.0,0.0979,1751032000.0,1274405000.0,0.0,447516000.0,754613000.0,519792000.0,459125000.0,98185000.0,2973000.0,0.0,0.0,95212000.0,0.0,95212000.0,1.06,1.04,83383585.0,,0.0,0.4212,0.273,0.1842,0.031,0.1134,825091000.0,557310000.0,95212000.0,-6.642,45.885,1.374,62.3425,2.4198,-9.3856,0.9898,1.3241,0.639,2.7075,0.0,0.2715,0.1494,0.0,-199867000.0,3826057000.0,-5452511000.0,8269733000.0,42069000.0,64506500.0,0.0,-0.0908,0.002,22.7827,-0.0149,-0.1685,-0.153,0.018,0.0701,0.184,6.0,0.586,4.492,7.3379,5.2129,0.0,71.9161,46.9013,0.0,0.0,11.0,0.1479,0.0,8303679250.0,-621981500.0,5165468000.0,4.113,36.283,1.2139,0.036,-0.1981,0.0021,-0.028,-0.3164,PENN,13.57,13.968055555555559,1131515248.45
2016-06-30,0.0688,0.2366,10.4097,11.6667,11.3333,0.003,0.0839,0.1344,0.0725,0.0428,0.0,0.0,1.0032,0.0,-0.0751,0.2106,0.0216,769422000.0,0.0977,443929000.0,325493000.0,0.0,109974000.0,176156000.0,149337000.0,114687000.0,44839000.0,10804000.0,0.0,0.0,34035000.0,0.0,34035000.0,0.38,0.37,81537523.0,0.0,0.423,0.293,0.2073,0.044,0.13,225708000.0,159526000.0,34035000.0,2999137000.0,0.1265,1729658000.0,1269479000.0,0.0,440754000.0,746815000.0,522664000.0,456182000.0,101403000.0,47826000.0,0.0,0.0,53577000.0,0.0,53577000.0,0.6,0.58,81537523.0,,0.0,0.4233,0.275,0.1859,0.018,0.0962,823604000.0,557585000.0,53577000.0,-7.443,47.095,1.227,63.9159,2.7148,-8.5868,1.0134,1.391,0.634,3.585,0.0,0.2533,0.1429,0.0,-197844000.0,3840042000.0,-5406968000.0,8289675000.0,46102000.0,71171000.0,0.0,-0.1802,0.0021,22.109,-0.0286,-0.3322,-0.082,0.01,0.072,0.186,5.0,0.584,7.6181,8.3912,5.7284,0.0,65.0544,42.1399,0.0,0.0,11.0,0.147,0.0,8312469000.0,-652566500.0,5138049750.0,3.539,36.782,1.2223,0.0199,-0.293,0.0023,-0.0399,-0.4495,PENN,13.95,14.840555555555556,1137448445.85
2016-03-31,0.109,0.2265,11.6849,12.0,12.0,-0.0771,0.0856,0.0868,0.0745,0.1493,0.0,0.0,0.7944,0.0,0.0021,0.2582,0.0203,756451000.0,0.139,433396000.0,323055000.0,0.0,116504000.0,182524000.0,140531000.0,116512000.0,31442000.0,7734000.0,0.0,0.0,23708000.0,0.0,23708000.0,0.26,0.26,81288782.0,0.0,0.4271,0.283,0.1956,0.031,0.0697,213974000.0,147954000.0,23708000.0,2930671000.0,0.1213,1682148000.0,1248523000.0,0.0,449681000.0,751835000.0,496688000.0,451293000.0,75768000.0,53243000.0,0.0,0.0,22525000.0,0.0,22525000.0,0.25,0.24,81288782.0,,0.0,0.426,0.269,0.1798,0.008,0.0814,789173000.0,527061000.0,22525000.0,-7.985,47.062,0.649,64.6452,2.6355,-8.0957,1.0246,1.2699,0.642,3.0379,0.0,0.2541,0.154,0.0,-189854000.0,3825597000.0,-5437365000.0,8336012000.0,43973500.0,67323000.0,0.0,-0.2677,0.0019,23.5575,-0.0255,-0.292,-0.033,0.004,0.0683,0.18,5.0,0.582,18.1041,8.4764,5.8572,0.0,66.6463,43.5315,0.0,0.0,12.0,0.1534,0.0,8124554500.0,-672412750.0,5038580500.0,2.934,36.053,1.1679,0.0082,-0.4152,0.0026,-0.0578,-0.646,PENN,16.690001000000002,14.427428571428573,1356709852.8687823
