,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0,0.283,0.283,0.3333,0.3333,0.0138,-0.0887,-0.2512,-0.2548,0.0,0.0,0.0,0.0,-0.116,-0.1934,0.1458,0.1241,0.0138,0.0,0.0,0.0,0.0,1055000.0,888000.0,1955000.0,-1955000.0,0.0,-1923000.0,0.0,0.0,0.0,-1923000.0,0.0,-1923000.0,-0.02,-0.02,99547531.0,99547531.0,0.0,0.0,0.0,0.0,-1911000.0,-1923000.0,-1923000.0,0.0,0.0,0.0,0.0,6471000.0,4042000.0,11090000.0,-11090000.0,0.0,-9377000.0,0.0,0.0,0.0,-9377000.0,0.0,-9377000.0,-0.1,-0.1,99547531.0,99547531.0,0.0,0.0,0.0,0.0,-8800000.0,-9377000.0,-9377000.0,0.269,0.276,-0.018,0.0,0.0261,0.0,0.0,0.0,23.619,0.9319,0.0,0.0,0.0,0.0,16942000.0,27522000.0,16942000.0,24175000.0,0.0,130500.0,0.0,0.0251,0.0,9.079,0.0,-3.75,-0.321,-0.306,-0.7356,1.0,0.0,1.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,27833750.0,29256750.0,30597750.0,-0.098,0.0,0.0,-0.3502,0.0046,0.0,0.0,-0.078,VGZ,0.69,0.696857142857143,68687796.39
2018-03-31,0.0,0.667,0.667,0.6667,0.6667,0.0158,-0.3385,-0.2442,-0.261,0.0,0.0,0.0,0.0,-0.3385,-0.1182,0.3937,-0.2368,0.0158,0.0,0.0,0.0,0.0,1545000.0,1423000.0,3196000.0,-3196000.0,0.0,-948000.0,0.0,0.0,0.0,-948000.0,0.0,-948000.0,-0.01,-0.01,99445750.0,99445750.0,0.0,0.0,0.0,0.0,-720000.0,-948000.0,-948000.0,0.0,0.0,0.0,0.0,6724000.0,3929000.0,11367000.0,-11367000.0,0.0,-10136000.0,0.0,0.0,0.0,-10136000.0,0.0,-10136000.0,-0.11,-0.11,99445750.0,99445750.0,0.0,0.0,0.0,0.0,-9422000.0,-10136000.0,-10136000.0,0.286,0.297,-0.032,0.0,0.0042,0.0,0.0,0.0,18.004,3.3787,0.0,0.0,0.0,0.0,18636000.0,29530000.0,18636000.0,28019000.0,0.0,245000.0,0.0,0.0,0.0,26.5375,0.0,0.0,-0.323,-0.308,-0.7617,1.0,0.0,0.9482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,30124000.0,31414000.0,32905750.0,-0.097,0.0,0.0,-0.3565,0.0,0.0,0.0,0.0,VGZ,0.73,0.7617647058823532,72595397.5
2017-12-31,0.0,-0.9518,-0.9518,-0.3333,-0.3333,0.016,-2.0378,-0.2516,-0.2923,0.0,0.0,0.0,0.0,-2.031,0.6888,0.4528,-0.5655,0.016,0.0,0.0,0.0,0.0,2236000.0,908000.0,3344000.0,-3344000.0,0.0,-3851000.0,0.0,0.0,0.0,-3851000.0,0.0,-3851000.0,-0.04,-0.04,99417737.0,99417737.0,0.0,0.0,0.0,0.0,-3651000.0,-3851000.0,-3851000.0,0.0,0.0,0.0,0.0,6931000.0,3527000.0,10755000.0,-10755000.0,0.0,-12035000.0,0.0,0.0,0.0,-12035000.0,0.0,-12035000.0,-0.12,-0.12,98627255.0,98627255.0,0.0,0.0,0.0,0.0,-11380000.0,-12035000.0,-12035000.0,0.293,0.313,-0.028,0.0,0.0144,0.0,0.0,0.0,10.26,0.7099,0.0,0.0,0.0,0.0,19057000.0,31141000.0,19057000.0,27652000.0,0.0,541000.0,0.0,0.0,0.0,5.5659,0.0,0.0,-0.356,-0.341,-0.7672,1.0,0.0,0.7313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,32258750.0,33785000.0,35291500.0,-0.089,0.0,0.0,-0.4138,0.0,0.0,0.0,0.0,VGZ,0.7,0.6654545454545455,69592415.89999999
2017-09-30,0.0,-0.2746,-0.2746,-0.5,-0.5,0.0697,-0.4332,-0.2038,-0.2773,0.0,0.0,0.0,0.0,-0.4222,0.3998,0.4165,-0.3708,0.0697,0.0,0.0,0.0,0.0,1635000.0,823000.0,2595000.0,-2595000.0,0.0,-2655000.0,0.0,0.0,0.0,-2655000.0,0.0,-2655000.0,-0.03,-0.03,98993395.0,98993395.0,0.0,0.0,0.0,0.0,-2518000.0,-2655000.0,-2655000.0,0.0,0.0,0.0,0.0,6019000.0,3244000.0,9547000.0,-9547000.0,0.0,-10157000.0,0.0,0.0,0.0,-10157000.0,0.0,-10157000.0,-0.12,-0.12,98993395.0,98993395.0,0.0,0.0,0.0,0.0,-9515000.0,-10157000.0,-10157000.0,0.331,0.345,-0.02,0.0,0.0126,0.0,0.0,0.0,15.448,0.7638,0.0,0.0,0.0,0.0,21109000.0,34198000.0,21109000.0,31489000.0,0.0,300000.0,0.0,0.0,0.0,8.7538,0.0,0.0,-0.277,-0.268,-0.5579,1.0,0.0,0.6859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,35001000.0,36645500.0,37908250.0,-0.07,0.0,0.0,-0.3103,0.0003,0.0,0.0,-0.0031,VGZ,0.77,0.7945714285714287,76224914.15
2017-06-30,0.0,-2.6384,-2.6384,-2.5,-2.5,0.1691,-0.0142,0.2722,0.0556,0.0,0.0,0.0,0.0,0.0006,0.5874,0.1923,-0.3881,0.1845,0.0,0.0,0.0,0.0,1308000.0,775000.0,2232000.0,-2232000.0,0.0,-2682000.0,0.0,0.0,0.0,-2682000.0,0.0,-2682000.0,-0.03,-0.03,98196308.0,98196308.0,0.0,0.0,0.0,0.0,-2533000.0,-2682000.0,-2682000.0,0.0,0.0,0.0,0.0,5552000.0,3002000.0,8845000.0,-8845000.0,0.0,-9585000.0,0.0,0.0,0.0,-9585000.0,0.0,-9585000.0,-0.11,-0.11,98196308.0,98196308.0,0.0,0.0,0.0,0.0,-8936000.0,-9585000.0,-9585000.0,0.361,0.374,-0.017,0.0,0.021,0.0,0.0,0.0,18.483,0.6137,0.0,0.0,0.0,0.0,23637000.0,36754000.0,23637000.0,33336000.0,0.0,118000.0,0.0,0.0,0.0,9.6376,0.0,0.0,-0.245,-0.239,-0.503,1.0,0.0,0.6629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,37390000.0,39048750.0,40097000.0,-0.065,0.0,0.0,-0.2707,0.002,0.0,0.0,-0.02,VGZ,0.87,0.9013888888888888,85430787.96
2017-03-31,0.0,-2.9874,-2.9874,-2.0,-2.0,0.181,-1.2035,0.4287,0.2094,0.0,0.0,0.0,0.0,-1.2035,0.7751,-0.0616,-0.2435,0.181,0.0,0.0,0.0,0.0,1752000.0,1021000.0,2584000.0,-2584000.0,0.0,-2847000.0,0.0,0.0,0.0,-2847000.0,0.0,-2847000.0,-0.03,-0.03,97894661.0,97894661.0,0.0,0.0,0.0,0.0,-2678000.0,-2847000.0,-2847000.0,0.0,0.0,0.0,0.0,5068000.0,2877000.0,8221000.0,-8221000.0,0.0,-5266000.0,0.0,0.0,0.0,-5266000.0,0.0,-5266000.0,-0.06,-0.06,97894661.0,97894661.0,0.0,0.0,0.0,0.0,-4632000.0,-5266000.0,-5266000.0,0.387,0.399,-0.024,0.0,0.0139,0.0,0.0,0.0,23.514,0.8405,0.0,0.0,0.0,0.0,26004000.0,39073000.0,26004000.0,36558000.0,0.0,157000.0,0.0,0.0,0.0,9.9052,0.0,0.0,-0.141,-0.138,-0.451,1.0,0.0,1.2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,35807500.0,37288250.0,38131250.0,-0.065,0.0,0.0,-0.1389,0.0058,0.0,0.0,-0.0584,VGZ,1.02,1.0547222222222223,99852554.22
2016-12-31,0.0,0.0895,0.0895,0.0,0.0,0.1206,0.4804,0.493,0.2661,0.0,0.0,0.0,0.0,0.514,0.324,-0.4852,0.1014,0.1806,0.0,0.0,0.0,0.0,1324000.0,625000.0,2136000.0,-2136000.0,0.0,-1973000.0,0.0,0.0,0.0,-1973000.0,0.0,-1973000.0,-0.03,-0.03,97850276.0,97850276.0,0.0,0.0,0.0,0.0,-1786000.0,-1973000.0,-1973000.0,0.0,0.0,0.0,0.0,4303000.0,2944000.0,7715000.0,-7715000.0,0.0,-3133000.0,0.0,0.0,0.0,-3133000.0,0.0,-3133000.0,-0.04,-0.04,89064260.0,89064260.0,0.0,0.0,0.0,0.0,-2515000.0,-3133000.0,-3133000.0,0.414,0.425,-0.009,0.0,0.0195,0.0,0.0,0.0,27.259,0.4562,0.0,0.0,0.0,0.0,28438000.0,41608000.0,28438000.0,38621000.0,0.0,183500.0,0.0,0.0022,0.0,16.1663,0.0,-0.0107,-0.091,-0.089,-0.4138,1.0,0.0,1.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,32658750.0,34436250.0,35200250.0,-0.057,0.0,0.0,-0.0773,0.0074,0.0,0.0,-0.0599,VGZ,0.96,0.9170588235294118,93936264.96
2016-09-30,0.0,-4.8862,-4.8862,-3.0,-3.0,0.1178,-1.6591,0.4219,0.3011,0.0,0.0,0.0,0.0,-1.6642,-0.1057,-0.3017,0.1773,0.1201,0.0,0.0,0.0,0.0,1168000.0,581000.0,1893000.0,-1893000.0,0.0,-2083000.0,0.0,0.0,0.0,-2083000.0,0.0,-2083000.0,-0.02,-0.02,92543232.0,92543232.0,0.0,0.0,0.0,0.0,-1939000.0,-2083000.0,-2083000.0,0.0,0.0,0.0,0.0,3979000.0,3533000.0,7956000.0,-7956000.0,0.0,-3327000.0,0.0,0.0,0.0,-3327000.0,0.0,-3327000.0,-0.04,-0.04,92543232.0,92543232.0,0.0,0.0,0.0,0.0,-2733000.0,-3327000.0,-3327000.0,0.458,0.464,-0.015,0.0,0.0141,0.0,0.0,0.0,50.877,0.6793,0.0,0.0,0.0,0.0,30076000.0,42953000.0,30076000.0,41045000.0,0.0,148500.0,0.0,0.0078,0.0,15.557,0.0,-0.0764,-0.107,-0.105,-0.4081,2.0,0.0,1.7601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,0.0,0.0,29544250.0,31071250.0,31765250.0,-0.065,0.0,0.0,-0.0786,0.0272,0.0,0.0,-0.2677,VGZ,1.06,1.038055555555556,98095825.92
2016-06-30,0.0,-0.5439,-0.5439,-0.5,-0.5,0.0194,-1.4104,-0.0276,-0.0058,0.0,0.0,0.0,0.0,-1.4175,-0.1626,-0.1855,0.1792,0.0062,0.0,0.0,0.0,0.0,824000.0,650000.0,1608000.0,-1608000.0,0.0,1637000.0,0.0,0.0,0.0,1637000.0,0.0,1637000.0,0.02,0.02,82904132.0,83990701.0,0.0,0.0,0.0,0.0,1771000.0,1637000.0,1637000.0,0.0,0.0,0.0,0.0,4117000.0,3784000.0,8364000.0,-8364000.0,0.0,-708000.0,0.0,0.0,0.0,-708000.0,0.0,-708000.0,-0.01,-0.01,82904132.0,83990701.0,0.0,0.0,0.0,0.0,-95000.0,-708000.0,-708000.0,0.342,0.348,-0.02,0.0,0.0163,0.0,0.0,0.0,31.051,-0.9914,0.0,0.0,0.0,0.0,15957000.0,28891000.0,15957000.0,27006000.0,0.0,98500.0,0.0,0.0148,0.0,-8.9932,0.0,-0.1791,-0.026,-0.025,-0.4205,2.0,0.0,3.2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-221.0,0.0,0.0,25841000.0,27758750.0,28579250.0,-0.029,0.0,0.0,-0.025,0.0645,0.0,0.0,-0.2414,VGZ,1.92,1.0486111111111114,159175933.44
2016-03-31,0.0,0.246,0.246,0.0,0.0,0.0061,0.2021,0.0351,0.0738,0.0,0.0,0.0,0.0,0.2021,0.0123,0.0421,-7.246,0.0061,0.0,0.0,0.0,0.0,987000.0,1088000.0,2078000.0,-2078000.0,0.0,-714000.0,0.0,0.0,0.0,-714000.0,0.0,-714000.0,-0.01,-0.01,82888987.0,82888987.0,0.0,0.0,0.0,0.0,-561000.0,-714000.0,-714000.0,0.0,0.0,0.0,0.0,4277000.0,3932000.0,8715000.0,-8715000.0,0.0,1244000.0,0.0,0.0,0.0,1244000.0,0.0,1244000.0,0.01,0.01,82888987.0,82888987.0,0.0,0.0,0.0,0.0,1900000.0,1244000.0,1244000.0,0.32,0.33,-0.013,0.0,0.0307,0.0,0.0,0.0,17.683,1.521,0.0,0.0,0.0,0.0,13997000.0,27349000.0,13997000.0,23963000.0,0.0,347000.0,0.0,0.0,0.0,25.4848,0.0,0.0,0.045,0.043,-0.446,5.0,0.0,2.6399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,25228750.0,27760000.0,28784000.0,0.038,0.0,0.0,0.0469,-0.0408,0.0,0.0,-0.2043,VGZ,0.48,0.46857142857142864,39786713.76
