,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2014-03-31,-0.0747,0.0298,0.0564,0.1268,0.1304,-0.1465,0.0002,-0.0443,0.2361,0.0546,0.0168,0.0,-0.1447,0.0,-0.0969,-0.0025,-0.0569,3570000000.0,-0.1163,2121000000.0,1449000000.0,0.0,587000000.0,653000000.0,796000000.0,93000000.0,702000000.0,234000000.0,0.0,-6000000.0,468000000.0,0.0,468000000.0,0.8,0.78,593378347.0,,0.12,0.4059,0.243,0.2227,0.131,0.1325,866000000.0,795000000.0,468000000.0,13812000000.0,0.0573,7936000000.0,5876000000.0,0.0,2524000000.0,2817000000.0,3059000000.0,374000000.0,2798000000.0,894000000.0,0.0,-154000000.0,1904000000.0,0.0,1904000000.0,3.18,3.1,593378347.0,0.48,0.4254,0.247,0.2297,0.138,0.1145,3417000000.0,3172000000.0,1904000000.0,14.269,18.789,0.797,13.472,0.5241,0.9441,0.3061,8.5484,1.247,1.0705,0.15,0.5731,0.1644,0.0,1005000000.0,11149000000.0,-12571000000.0,14760000000.0,3215500000.0,227500000.0,2158000000.0,-0.0559,0.0112,8.8718,-0.0078,-0.3944,0.202,0.073,0.0858,0.23,6.0,0.531,0.9386,5.8931,87.2332,57.5036,4.2954,60.7121,6.4004,0.151,13.0,0.1827,0.0,14176750000.0,9426250000.0,26022500000.0,2.664,23.277,8.4813,0.598,-0.1153,0.0146,-0.0149,-0.8408,CBS,61.799999,65.07457165714285,36670781251.22165
2013-12-31,0.4756,0.207,0.1959,0.2581,0.2459,0.6507,-0.003,0.0332,0.0866,0.0309,0.0115,0.0,0.6533,0.0,0.3082,0.3843,-0.0556,3571000000.0,0.4702,2122000000.0,1449000000.0,0.0,641000000.0,725000000.0,724000000.0,94000000.0,670000000.0,200000000.0,0.0,-48000000.0,470000000.0,0.0,470000000.0,0.78,0.76,600083960.0,,0.12,0.4058,0.234,0.2139,0.132,0.1269,837000000.0,764000000.0,470000000.0,14005000000.0,0.0924,8124000000.0,5881000000.0,0.0,2546000000.0,2849000000.0,3032000000.0,375000000.0,2757000000.0,878000000.0,0.0,-141000000.0,1879000000.0,0.0,1879000000.0,3.09,3.01,600083960.0,0.48,0.4199,0.244,0.2236,0.134,0.1186,3422000000.0,3132000000.0,1879000000.0,16.608,23.212,0.755,10.7235,0.6132,0.6457,0.2439,8.1277,1.276,1.1766,0.154,0.4721,0.1795,0.0,1163000000.0,13929000000.0,-11051000000.0,15789000000.0,3185500000.0,336000000.0,2455000000.0,-0.1808,0.0165,7.2485,-0.028,-1.3699,0.195,0.072,0.085,0.224,5.0,0.538,0.9968,7.4538,84.2849,64.3474,4.3965,41.6815,5.7047,0.155,14.0,0.1818,0.0,13653500000.0,9658000000.0,26021500000.0,2.768,23.338,8.352,0.7161,-0.1132,0.0159,-0.0151,-0.731,CBS,63.740002000000004,59.681142971428585,38249352810.567924
2013-09-30,-0.031,0.1276,0.2634,0.3443,0.3333,0.2117,-0.0188,-0.0053,0.0639,0.0059,-0.0056,0.0,0.3473,0.0,0.0341,-0.0191,-0.055,3302000000.0,0.011,1801000000.0,1501000000.0,0.0,667000000.0,731000000.0,770000000.0,93000000.0,720000000.0,226000000.0,0.0,-63000000.0,494000000.0,0.0,494000000.0,0.82,0.8,604807073.0,,0.12,0.4546,0.267,0.2462,0.15,0.0681,883000000.0,813000000.0,494000000.0,13140000000.0,-0.0315,7614000000.0,5526000000.0,0.0,2436000000.0,2666000000.0,2860000000.0,375000000.0,2643000000.0,841000000.0,0.0,-196000000.0,1802000000.0,0.0,1802000000.0,2.93,2.86,604807073.0,0.48,0.4205,0.243,0.2297,0.137,0.1128,3187000000.0,3018000000.0,1802000000.0,15.99,17.974,0.372,10.4265,0.3737,0.6521,0.2435,8.7419,1.303,0.5445,0.146,0.5802,0.202,0.0,1139000000.0,10871000000.0,-11332000000.0,13198000000.0,3211500000.0,286000000.0,2146000000.0,-0.1636,0.0173,6.8856,-0.0133,-0.6286,0.185,0.069,0.0802,0.23,4.0,0.505,0.9184,6.3056,89.4722,59.4444,4.0915,45.9441,6.123,0.164,13.0,0.1854,0.0,12870500000.0,9719750000.0,26041250000.0,2.45,21.726,8.048,0.5397,-0.1045,0.0146,-0.0132,-1.0237,CBS,55.16,53.879999828571435,33361158146.679996
2013-06-30,-0.0628,0.054,0.1054,0.1818,0.1692,-0.2418,-0.0406,0.0023,-0.0556,0.0084,0.0761,0.2,-0.2362,0.0,-0.0541,-0.0327,-0.0533,3369000000.0,0.012,1892000000.0,1477000000.0,0.0,629000000.0,708000000.0,769000000.0,94000000.0,706000000.0,234000000.0,0.0,-37000000.0,472000000.0,0.0,472000000.0,0.78,0.76,613588747.0,,0.12,0.4384,0.247,0.2375,0.14,0.1276,831000000.0,800000000.0,472000000.0,13104000000.0,-0.0411,7530000000.0,5574000000.0,0.0,2414000000.0,2699000000.0,2875000000.0,376000000.0,2550000000.0,851000000.0,0.0,-139000000.0,1699000000.0,0.0,1699000000.0,2.72,2.66,613588747.0,0.48,0.4254,0.24,0.2233,0.13,0.1087,3141000000.0,2926000000.0,1699000000.0,15.647,17.347,0.701,10.4679,0.4596,0.669,0.25,8.5106,1.247,0.9831,0.154,0.5857,0.1867,0.0,945000000.0,10644000000.0,-11322000000.0,12960000000.0,2985500000.0,263500000.0,1923500000.0,-0.0733,0.0137,7.3899,-0.0101,-1.0968,0.172,0.065,0.0815,0.223,5.0,0.501,0.9464,6.0722,83.5066,55.5411,4.3892,49.7306,6.8126,0.176,12.0,0.1842,0.0,12726000000.0,9874250000.0,26165500000.0,2.321,21.356,7.7819,0.5355,-0.1144,0.0132,-0.014,-0.8558,CBS,48.869999,49.00882347058825,29986081452.301254
2013-03-31,0.0807,0.1454,0.2204,0.2679,0.2778,-0.0913,-0.0107,-0.0312,0.0917,-0.0606,0.0705,0.2,-0.0949,0.0,0.0125,0.1701,-0.0307,4040000000.0,0.0643,2474000000.0,1566000000.0,0.0,650000000.0,768000000.0,798000000.0,95000000.0,677000000.0,234000000.0,0.0,20000000.0,443000000.0,0.0,443000000.0,0.71,0.69,629160629.0,,0.12,0.3876,0.22,0.1911,0.11,0.1369,888000000.0,772000000.0,443000000.0,13064000000.0,-0.0617,7391000000.0,5673000000.0,0.0,2450000000.0,2772000000.0,2901000000.0,386000000.0,2499000000.0,845000000.0,0.0,-77000000.0,1654000000.0,0.0,1654000000.0,2.6,2.55,629160629.0,0.46,0.4342,0.244,0.2208,0.127,0.1192,3188000000.0,2885000000.0,1654000000.0,14.931,17.561,0.879,10.2788,0.6501,0.6884,0.2477,8.1263,1.184,1.3251,0.169,0.5768,0.1609,0.0,819000000.0,11049000000.0,-11458000000.0,12667000000.0,3231000000.0,285500000.0,2069500000.0,-0.0579,0.0149,6.8221,-0.0084,-0.2931,0.165,0.063,0.0831,0.221,6.0,0.494,1.0617,6.4819,87.4502,59.7903,4.0433,45.7583,6.3126,0.177,12.0,0.1875,0.0,12539250000.0,10003500000.0,26437500000.0,2.475,20.764,7.4741,0.5452,-0.1133,0.0127,-0.0152,-0.6568,CBS,46.689999,44.762120848484855,29375509138.849373
2012-12-31,-0.3035,-0.0365,0.0622,0.0877,0.0893,3.8551,0.0094,0.0617,-0.01,0.0165,0.0941,0.2,12.4167,0.0,-0.0909,-0.2942,-0.0291,2429000000.0,-0.2352,1447000000.0,982000000.0,0.0,490000000.0,459000000.0,523000000.0,93000000.0,540000000.0,147000000.0,0.0,-116000000.0,393000000.0,0.0,393000000.0,0.62,0.61,635387969.0,,0.12,0.4043,0.241,0.2606,0.162,0.1128,585000000.0,633000000.0,393000000.0,12820000000.0,-0.0599,7264000000.0,5556000000.0,0.0,2442000000.0,2771000000.0,2785000000.0,401000000.0,2386000000.0,812000000.0,0.0,-66000000.0,1574000000.0,0.0,1574000000.0,2.45,2.39,635387969.0,0.44,0.4334,0.241,0.2174,0.123,0.126,3093000000.0,2787000000.0,1574000000.0,16.074,17.917,0.431,9.3203,1.1143,0.5798,0.2238,6.8065,1.451,0.8524,0.194,0.5699,0.2017,0.0,1779000000.0,11384000000.0,-10533000000.0,12657000000.0,3111500000.0,355000000.0,2336000000.0,-0.1821,0.0119,8.9128,-0.0251,1.2708,0.155,0.059,0.0797,0.217,8.0,0.484,1.1531,10.9899,89.314,69.498,4.1202,36.1127,5.488,0.18,10.0,0.1905,0.0,12419500000.0,10156000000.0,26508000000.0,2.542,20.177,6.9501,0.3886,-0.1102,0.0115,-0.0156,-0.6536,CBS,38.049999,35.68294120588235,24176511585.06203
2012-09-30,-0.0039,0.0842,0.1568,0.1961,0.2,1.5814,0.0106,0.088,-0.0107,0.0283,0.082,0.2,4.7586,0.0,-0.1017,0.151,-0.0446,3266000000.0,-0.0294,1717000000.0,1549000000.0,0.0,645000000.0,764000000.0,785000000.0,94000000.0,627000000.0,236000000.0,0.0,-6000000.0,391000000.0,0.0,391000000.0,0.61,0.6,640031051.0,,0.12,0.4743,0.256,0.2208,0.12,0.0511,837000000.0,721000000.0,391000000.0,13567000000.0,-0.0146,7583000000.0,5984000000.0,0.0,2491000000.0,2981000000.0,3003000000.0,413000000.0,2398000000.0,847000000.0,0.0,136000000.0,1551000000.0,0.0,1551000000.0,2.4,2.35,640031051.0,0.42,0.4411,0.239,0.2072,0.114,0.0971,3248000000.0,2811000000.0,1551000000.0,16.076,17.66,0.261,9.2605,1.4796,0.5761,0.2246,7.6702,1.58,0.5678,0.197,0.5717,0.1975,0.0,2125000000.0,11303000000.0,-10315000000.0,12620000000.0,3158000000.0,359500000.0,2070500000.0,-0.2477,0.0116,5.9498,-0.0168,-0.4741,0.154,0.059,0.0861,0.207,7.0,0.513,0.9987,9.2817,86.1451,57.8964,4.2961,37.7385,6.5525,0.175,10.0,0.1836,0.0,12383500000.0,10079750000.0,26446500000.0,2.058,21.197,6.8063,0.3449,-0.1498,0.0108,-0.0171,-0.5309,CBS,36.330002,36.414117941176464,23252329362.8921
2012-06-30,0.0129,0.0327,0.081,0.1186,0.1207,-0.1257,0.021,0.0495,0.1344,-0.0169,0.1698,0.0,-0.1285,0.0,-0.0264,0.0758,-0.0309,3329000000.0,-0.0717,1753000000.0,1576000000.0,0.0,665000000.0,781000000.0,795000000.0,104000000.0,655000000.0,228000000.0,0.0,25000000.0,427000000.0,0.0,427000000.0,0.66,0.65,648141431.0,,0.1,0.4734,0.264,0.228,0.128,0.1691,878000000.0,759000000.0,427000000.0,13666000000.0,-0.0025,7676000000.0,5990000000.0,0.0,2564000000.0,3090000000.0,2900000000.0,429000000.0,2326000000.0,828000000.0,0.0,142000000.0,1498000000.0,0.0,1498000000.0,2.3,2.25,648141431.0,0.4,0.4383,0.235,0.2016,0.11,0.0863,3210000000.0,2755000000.0,1498000000.0,15.611,18.012,0.869,10.4931,2.9129,0.6722,0.2539,7.2981,1.459,1.4333,0.152,0.5641,0.1998,0.0,2008000000.0,11674000000.0,-10281000000.0,12213000000.0,2998500000.0,340500000.0,1718500000.0,-0.0801,0.0117,5.5957,-0.0147,-0.4118,0.15,0.057,0.0846,0.202,6.0,0.518,0.9433,8.253,79.4047,49.4911,4.5576,40.1351,7.9523,0.174,10.0,0.1876,0.0,12234500000.0,9982000000.0,26377000000.0,1.819,21.085,6.4219,0.3403,-0.1656,0.0105,-0.0171,-0.5143,CBS,32.779999,31.632000000000005,21246075460.038567
2012-03-31,0.1742,0.553,0.797,0.8667,0.8621,-0.2774,0.0008,0.0596,-0.0117,0.0591,0.1249,1.0,-0.2837,0.0,-0.0243,0.5291,-0.0347,3796000000.0,0.0815,2347000000.0,1449000000.0,0.0,642000000.0,767000000.0,682000000.0,110000000.0,564000000.0,201000000.0,0.0,31000000.0,363000000.0,0.0,363000000.0,0.56,0.54,649083865.0,,0.1,0.3817,0.209,0.1776,0.096,0.161,793000000.0,674000000.0,363000000.0,13923000000.0,0.0356,7953000000.0,5970000000.0,0.0,2582000000.0,3126000000.0,2844000000.0,435000000.0,2296000000.0,830000000.0,0.0,117000000.0,1466000000.0,0.0,1466000000.0,2.23,2.18,649083865.0,0.4,0.4288,0.23,0.1962,0.105,0.0906,3206000000.0,2731000000.0,1466000000.0,15.412,17.267,0.941,9.1267,1.2233,0.5922,0.2245,6.1273,1.393,1.7796,0.179,0.5753,0.1691,0.0,1633000000.0,11208000000.0,-10606000000.0,12188000000.0,3239000000.0,357500000.0,1888000000.0,-0.0542,0.0108,6.4691,-0.0092,-0.2941,0.147,0.056,0.0828,0.196,9.0,0.531,1.0239,8.8871,87.3504,52.405,4.2985,38.9455,7.3745,0.179,10.0,0.1854,0.0,12118250000.0,9939500000.0,26239000000.0,1.944,21.45,6.2782,0.3583,-0.1592,0.0105,-0.0172,-0.5032,CBS,33.91,30.732571514285713,22010433862.149998
2011-12-31,0.0429,0.0987,0.3074,0.3571,0.4,-0.5714,0.0029,0.0496,-0.003,-0.0499,0.0543,1.0,-1.3429,0.0,-0.0253,-0.0013,-0.0389,3176000000.0,-0.0396,1766000000.0,1410000000.0,0.0,539000000.0,669000000.0,741000000.0,105000000.0,552000000.0,182000000.0,0.0,86000000.0,370000000.0,0.0,370000000.0,0.57,0.56,654412056.0,,0.1,0.444,0.233,0.2069,0.116,-0.0076,740000000.0,657000000.0,370000000.0,13637000000.0,0.0127,7882000000.0,5755000000.0,0.0,2598000000.0,3147000000.0,2608000000.0,435000000.0,2056000000.0,751000000.0,0.0,86000000.0,1305000000.0,0.0,1305000000.0,1.97,1.92,654412056.0,0.35,0.422,0.219,0.1827,0.096,0.1103,2986000000.0,2491000000.0,1305000000.0,15.14,17.005,-0.037,9.141,1.0085,0.6038,0.2281,6.2571,1.409,0.1865,0.175,0.5756,0.1697,0.0,1612000000.0,11128000000.0,-10763000000.0,12513000000.0,3167000000.0,381500000.0,2173500000.0,-1.3478,0.0091,7.1919,-0.0293,-1.1205,0.132,0.05,0.0753,0.183,9.0,0.52,1.3402,8.672,82.5981,59.7136,4.306,35.7457,6.2742,0.178,9.0,0.1905,0.0,12063750000.0,9883500000.0,26233750000.0,2.298,20.839,5.7264,0.3276,-0.1401,0.0102,-0.018,-0.4949,CBS,27.139999,25.559411617647058,17760742545.427944
2011-09-30,0.126,0.0674,0.0662,0.0851,0.087,-0.7337,-0.0141,0.0558,-0.0836,0.0259,0.0217,1.0,-0.8885,0.0,0.1506,0.074,-0.0159,3365000000.0,0.0206,1810000000.0,1555000000.0,0.0,718000000.0,873000000.0,682000000.0,110000000.0,555000000.0,217000000.0,0.0,0.0,338000000.0,0.0,338000000.0,0.51,0.5,669884137.0,,0.1,0.4621,0.237,0.1976,0.1,0.0086,799000000.0,665000000.0,338000000.0,13768000000.0,0.0081,8071000000.0,5697000000.0,0.0,2612000000.0,3088000000.0,2609000000.0,458000000.0,1974000000.0,756000000.0,0.0,98000000.0,1218000000.0,0.0,1218000000.0,1.82,1.77,669884137.0,0.3,0.4138,0.212,0.1766,0.088,0.1161,2920000000.0,2432000000.0,1218000000.0,14.776,16.337,0.043,8.9433,1.4137,0.6053,0.2294,6.0455,1.379,0.2544,0.196,0.5809,0.2134,0.0,1502000000.0,10944000000.0,-10750000000.0,12024000000.0,3074750000.0,385700000.0,1967850000.0,-0.6628,0.0104,6.3129,-0.0169,-0.4254,0.124,0.046,0.0768,0.177,9.0,0.525,1.5115,9.915,82.5545,52.7299,4.4778,35.6961,6.9965,0.165,8.0,0.1897,0.0,12057750000.0,9861750000.0,26214500000.0,2.385,20.553,5.31,0.3025,-0.132,0.0101,-0.0176,-0.498,CBS,20.379998999999998,23.188611083333342,13652238042.175861
2011-06-30,0.2408,0.96,1.6333,1.6818,1.6364,0.2727,0.0083,0.1014,-0.0836,0.0443,-0.1166,1.0,0.3157,0.0,0.0149,0.7553,-0.0164,3586000000.0,0.0766,2030000000.0,1556000000.0,0.0,683000000.0,817000000.0,739000000.0,110000000.0,625000000.0,230000000.0,0.0,0.0,395000000.0,0.0,395000000.0,0.59,0.58,668784443.0,,0.1,0.4339,0.244,0.205,0.11,0.1801,874000000.0,735000000.0,395000000.0,13700000000.0,-0.0008,8177000000.0,5523000000.0,0.0,2518000000.0,2961000000.0,2562000000.0,475000000.0,1915000000.0,718000000.0,0.0,98000000.0,1197000000.0,0.0,1197000000.0,1.78,1.73,668784443.0,0.25,0.4031,0.21,0.1745,0.087,0.1335,2883000000.0,2390000000.0,1197000000.0,14.875,16.493,0.966,8.964,2.0126,0.6026,0.2286,6.6818,1.449,1.7722,0.169,0.5795,0.1905,0.0,1764000000.0,11030000000.0,-10586000000.0,11748000000.0,2959800000.0,352350000.0,1688500000.0,-0.0771,0.0114,5.3192,-0.0151,-0.3885,0.123,0.045,0.0763,0.174,9.0,0.521,1.736,9.9109,80.5664,42.2015,4.6287,38.8818,8.1137,0.14,10.0,0.1838,0.0,12086900000.0,9769000000.0,26308150000.0,2.735,20.485,5.0316,0.2746,-0.1198,0.0103,-0.0182,-0.5051,CBS,28.49,26.763889027777783,19053668781.07
2011-03-31,0.2761,2.2632,8.7692,8.5,8.25,0.2753,-0.0144,0.0874,-0.1401,-0.0165,-0.1146,0.0,0.2924,0.0,0.0682,2.1857,-0.0058,3510000000.0,-0.0059,2276000000.0,1234000000.0,0.0,658000000.0,788000000.0,446000000.0,110000000.0,324000000.0,122000000.0,0.0,0.0,202000000.0,0.0,202000000.0,0.3,0.29,672399794.0,,0.05,0.3516,0.163,0.1236,0.058,0.243,573000000.0,434000000.0,202000000.0,13445000000.0,0.0044,8224000000.0,5221000000.0,0.0,2508000000.0,2977000000.0,2244000000.0,499000000.0,1531000000.0,579000000.0,0.0,98000000.0,952000000.0,0.0,952000000.0,1.41,1.37,672399794.0,0.2,0.3883,0.188,0.151,0.071,0.1245,2528000000.0,2030000000.0,952000000.0,14.545,16.572,1.269,8.9143,1.4456,0.6129,0.2273,3.9455,1.344,4.4257,0.167,0.5775,0.1875,0.0,1442000000.0,11143000000.0,-10955000000.0,11970000000.0,3172350000.0,355800000.0,1892000000.0,-0.0459,0.0097,8.7644,-0.0117,-0.295,0.099,0.036,0.0661,0.151,9.0,0.512,2.0252,10.2075,85.4065,48.2414,4.2382,37.7881,7.1062,0.142,11.0,0.1865,0.0,12266975000.0,9577750000.0,26254450000.0,2.49,19.996,4.0681,0.2331,-0.1317,0.0102,-0.0189,-0.51,CBS,25.040001,23.44527805555555,16836891514.159794
2010-12-31,0.1004,1.5296,3.7723,3.6667,4.0,-0.5662,-0.0304,0.083,-0.1425,0.1199,-0.1699,0.0,-0.7624,0.0,-0.1436,2.0725,0.0055,3307000000.0,-0.0548,1955000000.0,1352000000.0,0.0,553000000.0,610000000.0,742000000.0,128000000.0,470000000.0,187000000.0,0.0,98000000.0,283000000.0,0.0,283000000.0,0.42,0.4,680893436.0,,0.05,0.4088,0.204,0.1808,0.086,0.0212,674000000.0,598000000.0,283000000.0,13466000000.0,0.0347,8512000000.0,4954000000.0,0.0,2466000000.0,3016000000.0,1938000000.0,527000000.0,1202000000.0,478000000.0,0.0,98000000.0,724000000.0,0.0,724000000.0,1.07,1.04,680893436.0,0.2,0.3679,0.166,0.1284,0.054,0.11,2229000000.0,1729000000.0,724000000.0,14.424,16.148,0.103,8.812,0.705,0.6109,0.2295,4.6719,1.34,0.5689,0.119,0.5794,0.1672,0.0,1369000000.0,10995000000.0,-10927000000.0,12489000000.0,3074100000.0,437700000.0,2332600000.0,-0.5652,0.0088,8.1899,-0.0275,-1.1974,0.077,0.027,0.0559,0.128,8.0,0.511,2.3964,11.8992,88.038,57.3548,4.3805,30.7654,5.773,0.187,11.0,0.1831,0.0,12465700000.0,9394275000.0,26350475000.0,2.175,19.777,3.2808,0.1782,-0.1464,0.0101,-0.0189,-0.508,CBS,19.049999,17.692285657142854,12971019274.906565
2010-09-30,0.1341,0.4739,0.527,0.5161,0.5333,0.8714,-0.0027,0.0722,-0.0643,0.1132,-0.1584,0.0,1.057,0.0,0.0058,0.4658,0.0044,3297000000.0,-0.0158,1916000000.0,1381000000.0,0.0,624000000.0,746000000.0,635000000.0,127000000.0,496000000.0,179000000.0,0.0,0.0,317000000.0,0.0,317000000.0,0.47,0.46,680738654.0,,0.05,0.4189,0.231,0.189,0.096,0.0789,762000000.0,623000000.0,317000000.0,13657800000.0,0.0471,8827200000.0,4830600000.0,0.0,2558700000.0,3393100000.0,1437500000.0,538500000.0,828900000.0,328600000.0,0.0,0.0,500300000.0,0.0,500300000.0,0.74,0.72,680738654.0,0.2,0.3537,0.142,0.1001,0.037,0.1249,1939500000.0,1367400000.0,500300000.0,13.995,16.624,0.382,9.6031,1.5748,0.6862,0.2468,4.9055,1.224,1.0189,0.106,0.5728,0.1893,0.0,1037700000.0,11316400000.0,-11282900000.0,12140600000.0,2881200000.0,385500000.0,2129900000.0,-0.195,0.0112,7.1722,-0.0191,-0.4532,0.054,0.019,0.0421,0.1,8.0,0.514,3.8879,10.6204,81.1227,52.0249,4.7403,35.4288,6.4124,0.27,12.0,0.1873,0.0,12612075000.0,9193875000.0,26555225000.0,2.506,20.063,2.5393,0.1345,-0.1231,0.0099,-0.0175,-0.4186,CBS,15.86,14.768055583333336,10796515052.44
2010-06-30,0.2271,0.8186,8.7403,10.0,10.0,0.3196,-0.0004,0.0657,-0.0637,0.0816,-0.1494,0.0,0.3961,0.0,0.0756,0.7637,0.0007,3331000000.0,0.108,2077000000.0,1254000000.0,0.0,673000000.0,833000000.0,421000000.0,134000000.0,241000000.0,91000000.0,0.0,0.0,150000000.0,0.0,150000000.0,0.22,0.22,679963017.0,,0.05,0.3765,0.156,0.1126,0.045,0.1474,519000000.0,375000000.0,150000000.0,13710800000.0,0.0491,9043500000.0,4667300000.0,0.0,2555100000.0,3431600000.0,1235700000.0,546900000.0,620200000.0,229300000.0,0.0,0.0,390900000.0,0.0,390900000.0,0.58,0.56,679963017.0,0.2,0.3404,0.127,0.0851,0.029,0.1147,1747600000.0,1167100000.0,390900000.0,13.505,15.695,0.722,9.6211,1.2326,0.7124,0.2515,2.7985,1.341,3.6667,0.227,0.5898,0.202,0.0,1333800000.0,10672100000.0,-11589700000.0,12468300000.0,2786400000.0,358350000.0,1950500000.0,-0.1073,0.0111,10.9902,-0.0177,-0.4097,0.043,0.015,0.0363,0.085,7.0,0.516,4.5912,8.8569,77.0848,47.7321,4.9206,38.2609,7.0294,0.345,13.0,0.1864,0.0,12886250000.0,9023675000.0,26573200000.0,2.312,20.164,2.134,0.0965,-0.1241,0.0102,-0.0162,-0.3836,CBS,12.93,14.408055555555555,8791921809.81
2010-03-31,0.1419,0.534,0.5298,0.5,0.5,33.6047,0.0133,0.0605,-0.0225,0.0906,-0.1364,0.0,7.8966,0.0,0.0332,0.4644,0.0071,3531000000.0,0.1174,2564000000.0,967000000.0,0.0,616000000.0,827000000.0,140000000.0,138000000.0,-5000000.0,21000000.0,0.0,0.0,-26000000.0,0.0,-26000000.0,-0.04,-0.04,676300000.0,,0.05,0.2739,0.078,0.0377,-0.007,0.1869,274000000.0,133000000.0,-26000000.0,13386100000.0,-0.0052,8950900000.0,4435200000.0,0.0,2507800000.0,3381800000.0,1053400000.0,546800000.0,451500000.0,195200000.0,0.0,0.0,256300000.0,0.0,256300000.0,0.38,0.36,676300000.0,0.2,0.3313,0.118,0.0746,0.019,0.107,1580000000.0,998300000.0,256300000.0,13.376,16.826,0.976,10.3073,1.2904,0.7706,0.2605,0.9638,1.211,-26.9615,-1.25,0.5747,0.1745,0.0,992900000.0,11379100000.0,-12004800000.0,12764900000.0,3065800000.0,345000000.0,2165500000.0,-0.0585,0.0093,22.2558,-0.0116,-0.2908,0.029,0.01,0.0305,0.075,7.0,0.504,6.4826,9.1508,87.2192,54.7251,4.3663,38.8003,6.1815,0.526,16.0,0.1873,0.0,12978425000.0,8880450000.0,26576125000.0,2.118,19.793,1.8257,0.0678,-0.1377,0.0102,-0.0171,-0.3933,CBS,13.94,13.86277777777778,9427622000.0
