,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.2615,-0.1332,-0.0995,-0.0769,-1.2024,-0.0703,-0.0247,-0.1526,-1.0,0.0,0.0,-1.2024,0.0,-0.264,-0.2613,0.0,24759502.0,-0.2035,6270512.0,18488990.0,0.0,1147838.0,1147838.0,17341152.0,5565240.0,16910147.0,0.0,0.0,0.0,16910147.0,0.0,16910147.0,0.24,71060836.0,0.18,0.7467,0.908,0.9077,0.683,-0.9072,22475387.0,22475387.0,16910147.0,108519638.0,-0.1576,27598201.0,80921437.0,0.0,5001665.0,5001665.0,75919772.0,23367013.0,43089194.0,425000.0,0.0,0.0,42664194.0,0.0,42664194.0,0.6,71060836.0,0.72,0.7457,0.612,0.6124,0.393,1.3892,66456207.0,66456207.0,42664194.0,8.951,16.062,-0.316,6.5575,1.507,0.7326,0.4083,4.0385,-1.3282,0.75,0.0,0.0464,0.0,1141381765.0,1500274026.0,6239412.0,31685944.5,0.0,0.0,0.0,0.0,0.0,0.066,0.036,0.612,0.093,3.5335,129.7281,0.0,0.0,17.3926,3.4249,0.0,1.2,12.0,0.0461,0.0,1570626997.0,642192763.0,1170329471.0,2.121,1.527,2.844,0.0,0.0,0.0,0.0,PNNT,7.01,7.198571428571427,498136460.36
2018-03-31,-0.1906,-0.3718,-0.4734,-0.5,0.4941,-0.1027,-0.0102,-0.2006,1.2326,0.0,0.0,0.4941,0.0,-0.264,-0.1858,0.0,27225609.0,-0.1925,6719355.0,20506254.0,0.0,1149915.0,1149915.0,19356339.0,5940893.0,6035010.0,0.0,0.0,0.0,6035010.0,0.0,6035010.0,0.08,71060836.0,0.18,0.7532,0.44,0.4399,0.222,4.9128,11975903.0,11975903.0,6035010.0,114844455.0,-0.1383,27376332.0,87468123.0,0.0,5413480.0,5413480.0,82054643.0,24525753.0,45383112.0,850000.0,0.0,0.0,44533112.0,0.0,44533112.0,0.62,71060836.0,0.72,0.7616,0.609,0.6087,0.388,2.4748,69908865.0,69908865.0,44533112.0,9.0,16.233,1.882,6.8557,2.3954,0.7617,0.4223,2.0158,22.1631,2.25,0.0,0.0422,0.0,1153547187.0,1470497487.0,19534784.5,27387256.5,0.0,0.0,0.0,0.0,0.0,0.069,0.037,0.609,0.096,6.382,82.4895,85.7594,0.0,5.879,4.1934,0.0,1.161,13.0,0.0471,0.0,1614140144.0,646213537.0,1191896268.0,4.0,1.616,2.8504,0.0,0.0,0.0,0.0,PNNT,6.68,6.993823529411765,474686384.47999996
2017-12-31,-0.1089,-0.4184,-0.4887,-0.4706,1.5758,-0.1454,-0.0019,-0.217,0.0,0.0,-0.3571,1.5758,0.0,-0.2641,-0.098,0.0,28668425.0,-0.1004,7493088.0,21175337.0,0.0,1149915.0,1149915.0,20025422.0,5857378.0,12295397.0,0.0,0.0,0.0,12295397.0,0.0,12295397.0,0.18,71060836.0,0.18,0.7386,0.633,0.6332,0.429,2.1762,18152775.0,18152775.0,12295397.0,121333839.0,-0.1251,29036562.0,92297277.0,0.0,5826048.0,5826048.0,86471229.0,25763917.0,51232772.0,1275000.0,0.0,0.0,49957772.0,0.0,49957772.0,0.7,71060836.0,0.72,0.7607,0.635,0.6346,0.412,1.9778,76996689.0,76996689.0,49957772.0,9.095,16.664,0.878,7.1814,1.0249,0.7896,0.4309,3.0991,5.0741,1.0,0.0,0.0401,0.0,1184193090.0,1621675708.0,0.0,55380235.5,0.0,0.0,0.0,0.0,0.0,0.077,0.041,0.635,0.099,4.8036,77.5855,0.0,0.0,0.0,2.1909,0.0,1.029,13.0,0.048,0.0,1703631749.0,647871210.0,1224902787.0,3.377,1.707,2.9885,0.0,0.0,0.0,0.0,PNNT,6.91,7.259696969696966,491030376.76
2017-09-30,-0.1432,-0.6041,-0.7321,-0.7368,-1.1857,-0.0297,0.0053,-0.0599,0.0,0.0,-0.3571,-1.1857,0.0,-0.1293,-0.1443,0.0,27866102.0,-0.1335,7115246.0,20750856.0,0.0,1553997.0,1553997.0,19196859.0,6003502.0,7848640.0,425000.0,0.0,0.0,7423640.0,0.0,7423640.0,0.1,71060836.0,0.18,0.7447,0.497,0.4971,0.266,-0.8228,13852142.0,13852142.0,7423640.0,124534324.0,-0.1234,29648627.0,94885697.0,0.0,6238640.0,6238640.0,88647057.0,26642113.0,63411501.0,1700000.0,0.0,0.0,61711501.0,0.0,61711501.0,0.87,71060836.0,0.82,0.7619,0.723,0.7231,0.496,0.5561,90053614.0,90053614.0,61711501.0,9.102,16.918,-0.323,7.4031,0.5376,0.8133,0.4376,2.3073,-3.0886,1.8,0.0,0.0558,0.0,1202195841.0,1690060767.0,0.0,31577186.0,0.0,0.0,0.0,0.0,0.0,0.095,0.048,0.723,0.098,1.1221,81.4706,0.0,0.0,0.0,3.9438,0.0,0.943,11.0,0.0501,0.0,1796207197.0,648172717.0,1275257616.0,0.974,1.753,3.3801,0.0,0.0,0.0,0.0,PNNT,7.51,7.554000000000003,533666878.36
2017-06-30,-0.0709,-0.2632,-0.3253,-0.3333,3.5581,-0.0449,0.0262,-0.105,0.0,0.0,-0.3571,3.5581,0.0,-0.1324,-0.0665,0.0,31084319.0,-0.1254,6048643.0,25035676.0,0.0,1559653.0,1559653.0,23476023.0,6723980.0,19204065.0,425000.0,0.0,0.0,18779065.0,0.0,18779065.0,0.26,71060836.0,0.18,0.8054,0.834,0.8341,0.604,3.5709,25928045.0,25928045.0,18779065.0,128827539.0,-0.1356,30473654.0,98353885.0,0.0,6469366.0,6469366.0,91884519.0,27565526.0,83622240.0,1625000.0,0.0,0.0,81997240.0,0.0,81997240.0,1.14,71060836.0,0.92,0.7635,0.863,0.8631,0.636,1.6742,111187766.0,111187766.0,81997240.0,9.178,17.276,1.562,7.7381,1.4522,0.8431,0.4479,3.8561,5.9107,0.692,0.0,0.0502,0.0,1227648953.0,1674326612.0,6239412.0,29834808.0,0.0,0.0,0.0,0.0,0.0,0.127,0.064,0.863,0.1,2.6303,70.2699,35.3556,0.0,20.6474,4.318,0.0,0.807,10.0,0.0502,0.0,1804421127.0,647312314.0,1284442625.0,3.035,1.813,4.0336,0.0,0.0,0.0,0.0,PNNT,7.39,7.5375000000000005,525139578.03999996
2017-03-31,-0.1544,0.6957,1.9014,1.6667,7.3542,0.0076,0.0394,-0.0035,0.0,0.0,-0.3571,7.3542,0.0,-0.1499,-0.1547,-0.0095,33714993.0,-0.1379,8379585.0,25335408.0,0.0,1562483.0,1562483.0,23772925.0,7179057.0,11884670.0,425000.0,0.0,0.0,11459670.0,0.0,11459670.0,0.16,71060836.0,0.18,0.7515,0.565,0.5654,0.34,2.6552,19063727.0,19063727.0,11459670.0,133283014.0,-0.1353,33018103.0,100264911.0,0.0,6707388.0,6707388.0,93557523.0,27846623.0,92601049.0,1550000.0,0.0,0.0,91051049.0,0.0,91051049.0,1.27,71060836.0,1.02,0.7523,0.904,0.9037,0.683,0.9681,120447672.0,120447672.0,91051049.0,9.093,18.091,1.26,8.5765,0.9367,0.9432,0.4741,2.6555,7.8118,1.125,0.0,0.0463,0.0,1285573265.0,1828463909.0,6043022.0,32761768.5,0.0,0.0,0.0,0.0,0.0,0.142,0.07,0.904,0.103,1.4171,78.9241,33.098,0.0,22.0557,4.0682,0.0,0.803,10.0,0.0503,0.0,1851320599.0,643156996.0,1298884242.0,1.816,1.876,4.3254,0.0,0.0,0.0,0.0,PNNT,8.14,8.212777777777777,578435205.0400001
2016-12-31,-0.107,1.9536,1.5901,1.6071,-124.9971,0.0662,0.0272,0.0835,0.0,0.0,0.0,-124.9971,0.0,-0.1082,-0.1069,-0.0261,31868911.0,-0.0963,8105153.0,23763758.0,0.0,1562507.0,1562507.0,22201251.0,6735574.0,24474127.0,425000.0,0.0,0.0,24049127.0,0.0,24049127.0,0.34,71060836.0,0.28,0.7457,0.979,0.9793,0.755,-3.3996,31209701.0,31209701.0,24049127.0,138676446.0,-0.1206,33784058.0,104892388.0,0.0,6982968.0,6982968.0,97909420.0,27610491.0,85016016.0,1475000.0,0.0,0.0,83541016.0,0.0,83541016.0,1.17,71060836.0,1.12,0.7564,0.812,0.8122,0.602,0.3622,112626507.0,112626507.0,83541016.0,9.112,19.499,-1.525,9.1711,0.6381,1.0065,0.4703,4.6336,-4.505,0.824,0.0,0.049,0.0,1385612403.0,1991977499.0,0.0,65849292.5,0.0,0.0,0.0,0.0,0.0,0.131,0.064,0.812,0.107,0.6012,223.6417,0.0,0.0,0.0,2.106,0.0,0.957,9.0,0.0504,0.0,1857788548.0,638514747.0,1296472577.0,0.707,1.952,4.0791,0.0,0.0,0.0,0.0,PNNT,7.66,7.637352941176471,544326003.76
2016-09-30,-0.1197,3.3511,19.0011,18.0,4.2134,-0.0924,-0.0618,-0.0718,0.0,0.0,0.0,4.2134,0.0,1.1601,-0.1593,-0.0431,32159316.0,-0.178,7940273.0,24219043.0,0.0,1784723.0,1784723.0,22434320.0,6926915.0,28059378.0,350000.0,0.0,0.0,27709378.0,0.0,27709378.0,0.38,71060836.0,0.28,0.7531,1.088,1.0879,0.862,3.8402,34986293.0,34986293.0,27709378.0,142070827.0,-0.121,34332213.0,107738614.0,0.0,7172590.0,7172590.0,100566024.0,27601242.0,21086706.0,2350000.0,0.0,0.0,18736706.0,0.0,18736706.0,0.26,71060836.0,1.12,0.7583,0.343,0.3427,0.132,1.1101,48687948.0,48687948.0,18736706.0,9.054,17.435,1.738,7.8748,1.064,0.8698,0.4517,5.0508,4.4569,0.737,0.0,0.0555,0.0,1238935878.0,1722916486.0,0.0,39313712.5,0.0,0.0,0.0,0.0,0.0,0.029,0.015,0.343,0.111,8.417,90.8382,0.0,0.0,0.0,3.6138,0.0,4.308,23.0,0.0505,0.0,1828479961.0,638462360.0,1274949358.0,2.219,1.999,1.764,0.0,0.0,0.0,0.0,PNNT,7.52,7.739166666666666,534377486.71999997
2016-06-30,-0.0702,2.0459,4.6388,4.5714,-0.4817,-0.085,-0.0991,0.0766,0.0,0.0,0.0,-0.4817,0.0,0.0515,-0.0778,-0.0537,35539794.0,-0.1255,8593092.0,26946702.0,0.0,1797675.0,1797675.0,25149027.0,7005077.0,28182874.0,350000.0,0.0,0.0,27832874.0,0.0,27832874.0,0.39,71060836.0,0.28,0.7582,0.99,0.9901,0.783,0.6852,35187951.0,35187951.0,27832874.0,149034045.0,-0.0837,38001761.0,111032284.0,0.0,6214082.0,6214082.0,104818202.0,27329802.0,-5587281.0,2000000.0,0.0,0.0,-7587281.0,0.0,-7587281.0,-0.09,71060836.0,1.12,0.745,0.146,0.1459,-0.051,-0.0283,21742521.0,21742521.0,-7587281.0,8.944,18.089,0.343,8.6459,0.533,0.9667,0.478,5.0232,0.8749,0.718,0.0,0.0506,0.0,1285415422.0,1861924502.0,0.0,60572186.0,0.0,0.0,0.0,0.0,0.0,-0.012,-0.006,0.146,0.114,0.5568,85.3947,0.0,0.0,0.0,2.4604,0.0,-12.444,49.0,0.0417,0.0,1877324412.0,656768281.0,1306477446.0,-0.059,2.097,0.7956,0.0,0.0,0.0,0.0,PNNT,6.83,6.554444444444443,485345509.88
2016-03-31,-0.0123,-0.1939,-0.4647,-0.4,-0.8097,-0.0816,-0.1462,0.0749,0.0,0.0,0.0,-0.8097,0.0,0.0983,-0.0188,-0.0446,39108425.0,-0.0833,9145540.0,29962885.0,0.0,1838063.0,1838063.0,28124822.0,6942925.0,4299637.0,350000.0,0.0,0.0,3949637.0,0.0,3949637.0,0.06,71745710.0,0.28,0.7661,0.287,0.2875,0.101,0.274,11242562.0,11242562.0,3949637.0,154135783.0,-0.0213,41069387.0,113066396.0,0.0,6126117.0,6126117.0,106940279.0,26941504.0,-28834205.0,1650000.0,0.0,0.0,-30484205.0,0.0,-30484205.0,-0.41,71745710.0,1.12,0.7336,-0.012,-0.0123,-0.198,0.1194,-1892701.0,-1892701.0,-30484205.0,8.748,17.784,0.149,8.5246,0.4627,0.9745,0.4793,1.6193,2.7131,4.667,0.0,0.047,0.0,1275926604.0,1854335705.0,0.0,42973289.0,0.0,0.0,0.0,0.0,0.0,-0.045,-0.023,-0.012,0.115,-0.6038,86.9159,0.0,0.0,0.0,3.5868,0.0,-2.732,-534.0,0.0397,0.0,1884897343.0,684265448.0,1336344901.0,0.257,2.148,-0.0703,0.0,0.0,0.0,0.0,PNNT,6.06,5.860285714285713,434779002.59999996
