,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.1698,0.35,0.7826,0.7273,0.1537,0.047,0.0749,0.0648,0.2563,0.0,0.0,0.1507,0.0,-0.0924,0.3284,0.0491,445000000.0,0.1499,66000000.0,379000000.0,0.0,108000000.0,108000000.0,271000000.0,0.0,54000000.0,13000000.0,217000000.0,0.0,41000000.0,0.0,41000000.0,0.57,72476729.0,0.1,0.8517,0.133,0.1213,0.092,2.0764,59000000.0,54000000.0,258000000.0,1913000000.0,0.4727,256000000.0,1657000000.0,0.0,411000000.0,414000000.0,1243000000.0,0.0,371000000.0,255000000.0,872000000.0,0.0,116000000.0,0.0,116000000.0,1.62,72476729.0,0.4,0.8662,0.207,0.1939,0.061,1.0146,396000000.0,371000000.0,988000000.0,16.322,832.033,12.749,67.8011,34.4938,4.1538,0.0815,0.0,22.7073,0.175,0.0,0.2427,0.0,60303000000.0,62717000000.0,27138500000.0,47740000000.0,0.0,-0.0075,0.103,0.002,0.194,0.032,17.0172,9289.851,5766.1605,0.0,0.0705,0.0401,0.0,0.247,19.0,0.2148,0.0,63361750000.0,1125250000.0,60100250000.0,26.781,26.395,0.0,-0.0167,IBKR,64.410004,72.06799971428569,4668226404.796916
2018-03-31,0.4505,0.5952,0.9167,0.8286,0.5417,0.0504,0.0799,-0.1748,0.3653,0.0,0.0,0.5433,0.0,0.1212,0.5962,0.0513,527000000.0,0.4091,73000000.0,454000000.0,0.0,111000000.0,114000000.0,340000000.0,0.0,67000000.0,21000000.0,273000000.0,0.0,46000000.0,0.0,46000000.0,0.64,71475950.0,0.1,0.8615,0.14,0.1271,0.087,2.2638,74000000.0,67000000.0,319000000.0,1855000000.0,0.4481,253000000.0,1602000000.0,0.0,422000000.0,426000000.0,1176000000.0,0.0,357000000.0,259000000.0,819000000.0,0.0,98000000.0,0.0,98000000.0,1.38,71475950.0,0.4,0.8636,0.206,0.1925,0.053,0.9811,383000000.0,357000000.0,917000000.0,15.837,826.754,16.691,62.0069,26.5964,3.9152,0.075,0.0,26.1087,0.156,0.0,0.2106,0.0,59093000000.0,61624000000.0,26476000000.0,46415500000.0,0.0,-0.0067,0.09,0.002,0.192,0.031,18.8776,9435.8895,6014.1375,0.0,0.0701,0.04,0.0,0.29,27.0,0.2275,0.0,62706750000.0,1091750000.0,59423750000.0,25.463,25.953,0.0,-0.0162,IBKR,67.239998,68.88941126470588,4806042735.0481
2017-12-31,2.4773,17.0,-1.5,-1.5,-1.5372,0.1187,0.0644,0.0046,0.5,0.0,0.0,-1.5731,0.0,-0.0865,12.0,0.0514,515000000.0,1.6684,56000000.0,459000000.0,0.0,95000000.0,95000000.0,364000000.0,0.0,198000000.0,200000000.0,166000000.0,0.0,-2000000.0,0.0,-2000000.0,-0.03,71490860.0,0.1,0.8913,0.398,0.3845,-0.004,-0.4718,205000000.0,198000000.0,164000000.0,1702000000.0,0.2192,241000000.0,1461000000.0,0.0,410000000.0,412000000.0,1049000000.0,0.0,332000000.0,256000000.0,717000000.0,0.0,76000000.0,0.0,76000000.0,1.09,69926933.0,0.4,0.8584,0.21,0.1951,0.045,0.067,357000000.0,332000000.0,793000000.0,15.247,855.522,-3.399,91.5082,24.2269,6.0018,0.107,0.0,115.5,-3.333,0.0,0.1845,0.0,61162000000.0,65972000000.0,25633000000.0,45264000000.0,0.0,0.0519,0.072,0.001,0.195,0.029,1.8684,10333.8749,6596.5922,0.0,0.0664,0.0376,0.0,0.367,23.0,0.2409,0.0,62293750000.0,1058000000.0,58714750000.0,1.63,24.34,0.0,-0.1972,IBKR,59.209998999999996,58.11909084848486,4232973749.10914
2017-09-30,0.2898,0.4857,0.55,0.4667,-0.2843,0.0868,0.054,-0.1234,0.3879,0.0,0.0,-0.2947,0.0,0.0,0.4645,0.06,426000000.0,0.2348,61000000.0,365000000.0,0.0,97000000.0,97000000.0,268000000.0,0.0,52000000.0,21000000.0,216000000.0,0.0,31000000.0,0.0,31000000.0,0.44,71109577.0,0.1,0.8568,0.136,0.1221,0.073,0.1573,58000000.0,52000000.0,247000000.0,1380000000.0,-0.0638,246000000.0,1134000000.0,0.0,419000000.0,421000000.0,713000000.0,0.0,145000000.0,63000000.0,568000000.0,0.0,82000000.0,0.0,82000000.0,1.18,71109577.0,0.4,0.8217,0.123,0.1051,0.059,1.4978,170000000.0,145000000.0,650000000.0,15.413,841.56,0.942,75.1938,28.9131,4.8786,0.0894,0.0,2.3548,0.227,0.0,0.2277,0.0,59843000000.0,63134000000.0,22748500000.0,45639000000.0,0.0,-0.0822,0.08,0.001,0.105,0.024,25.4756,12744.3188,6994.2464,0.0,0.0607,0.0302,0.0,0.339,39.0,0.3036,0.0,60615750000.0,1029000000.0,57092500000.0,29.068,19.407,0.0,-0.0105,IBKR,45.040001000000004,42.292857171428565,3202775419.189577
2017-06-30,0.0452,0.0,-0.1481,-0.1951,8.3364,0.1113,0.0781,-0.2498,0.4539,0.0,0.0,7.8632,0.0,0.266,-0.0423,0.0634,387000000.0,0.0488,63000000.0,324000000.0,0.0,119000000.0,120000000.0,204000000.0,0.0,40000000.0,17000000.0,164000000.0,0.0,23000000.0,0.0,23000000.0,0.33,69087853.0,0.1,0.8372,0.119,0.1034,0.059,2.0749,46000000.0,40000000.0,187000000.0,1299000000.0,-0.127,247000000.0,1052000000.0,0.0,419000000.0,424000000.0,628000000.0,0.0,128000000.0,57000000.0,500000000.0,0.0,71000000.0,0.0,71000000.0,1.04,69087853.0,0.4,0.8099,0.118,0.0985,0.055,1.6128,153000000.0,128000000.0,571000000.0,15.184,833.678,11.623,66.799,30.6132,4.3994,0.0801,0.0,35.087,0.303,0.0,0.3075,0.0,57597000000.0,60097000000.0,20301000000.0,43388000000.0,0.0,-0.005,0.071,0.001,0.099,0.023,29.831,13147.5866,6759.3841,0.0,0.064,0.0299,0.0,0.385,49.0,0.3226,0.0,59735750000.0,1000250000.0,55897750000.0,30.324,18.802,0.0,-0.0109,IBKR,37.419998,36.02388866666667,2585267321.084294
2017-03-31,-0.267,-0.3,-0.2727,-0.3269,5.3852,0.121,0.0461,0.0011,0.3993,0.0,0.0,5.7217,0.0,0.1,-0.368,0.0625,374000000.0,-0.2352,61000000.0,313000000.0,0.0,99000000.0,100000000.0,213000000.0,0.0,42000000.0,18000000.0,171000000.0,0.0,24000000.0,0.0,24000000.0,0.35,67985107.0,0.1,0.8369,0.128,0.1123,0.064,2.0668,48000000.0,42000000.0,195000000.0,1281000000.0,-0.1494,243000000.0,1038000000.0,0.0,394000000.0,401000000.0,637000000.0,0.0,128000000.0,53000000.0,509000000.0,0.0,75000000.0,0.0,75000000.0,1.12,67985107.0,0.4,0.8103,0.119,0.0999,0.059,0.9173,153000000.0,128000000.0,584000000.0,14.665,827.49,11.37,79.0026,24.3583,5.3872,0.0955,0.0,32.4583,0.286,0.0,0.2647,0.0,56257000000.0,59972000000.0,19193000000.0,42017000000.0,0.0,-0.0077,0.078,0.001,0.1,0.024,16.0133,12786.6823,6378.8095,0.0,0.0667,0.0305,0.0,0.357,54.0,0.3076,0.0,58846000000.0,966750000.0,54455750000.0,17.283,18.842,0.0,-0.0216,IBKR,34.720001,36.92555549999999,2360442983.0251074
2016-12-31,-0.3917,-0.5217,-0.7647,-0.7778,3.3878,0.1219,0.0575,0.1816,0.1517,0.0,0.0,3.6593,0.0,0.1685,-0.7795,0.0672,193000000.0,-0.2878,61000000.0,132000000.0,0.0,104000000.0,104000000.0,28000000.0,0.0,11000000.0,7000000.0,17000000.0,0.0,4000000.0,0.0,4000000.0,0.06,67997462.0,0.1,0.6839,0.093,0.057,0.021,2.1969,18000000.0,11000000.0,21000000.0,1396000000.0,0.1741,244000000.0,1152000000.0,0.0,385000000.0,391000000.0,761000000.0,0.0,146000000.0,62000000.0,615000000.0,0.0,84000000.0,0.0,84000000.0,1.28,66013247.0,0.4,0.8252,0.122,0.1046,0.06,0.3703,171000000.0,146000000.0,699000000.0,14.324,804.045,6.236,95.7683,28.3099,6.6858,0.1191,0.0,107.5,1.667,0.0,0.5389,0.0,54673000000.0,59260000000.0,19155500000.0,40110000000.0,0.0,-0.014,0.089,0.002,0.105,0.026,6.4762,11070.5337,5361.5258,0.0,0.0729,0.0348,0.0,0.313,48.0,0.2758,0.0,57304000000.0,941750000.0,52938000000.0,7.832,21.147,0.0,-0.0496,IBKR,36.509997999999996,37.82323497058823,2482587201.625076
2016-09-30,-0.0439,-0.1667,-0.0909,-0.1429,-0.8595,0.166,0.0861,0.0554,0.1339,0.0,0.0,-0.8686,0.0,0.1149,-0.0941,0.074,345000000.0,-0.039,62000000.0,283000000.0,0.0,97000000.0,100000000.0,183000000.0,0.0,35000000.0,15000000.0,148000000.0,0.0,20000000.0,0.0,20000000.0,0.3,67083654.0,0.1,0.8203,0.119,0.1014,0.058,0.2754,41000000.0,35000000.0,168000000.0,1474000000.0,0.3091,237000000.0,1237000000.0,0.0,370000000.0,377000000.0,860000000.0,0.0,158000000.0,61000000.0,702000000.0,0.0,97000000.0,0.0,97000000.0,1.5,67083654.0,0.4,0.8392,0.123,0.1072,0.066,0.1248,182000000.0,158000000.0,799000000.0,14.624,820.826,1.416,90.9312,23.1055,6.2181,0.1108,0.0,5.1,0.333,0.0,0.2812,0.0,55064000000.0,59614000000.0,17928000000.0,39629000000.0,0.0,-0.0686,0.106,0.002,0.107,0.029,2.1856,10671.1737,4718.0088,0.0,0.0822,0.0372,0.0,0.267,45.0,0.251,0.0,55650000000.0,914000000.0,51453250000.0,2.743,21.973,0.0,-0.1321,IBKR,35.27,35.46138919444444,2366040476.5800004
2016-06-30,-0.0549,-0.0476,0.1739,0.0789,-1.9091,0.1477,0.0824,0.1536,-0.1832,0.0,0.0,-2.0935,0.0,0.0562,-0.1125,0.0922,369000000.0,-0.0465,59000000.0,310000000.0,0.0,94000000.0,97000000.0,213000000.0,0.0,40000000.0,13000000.0,173000000.0,0.0,27000000.0,0.0,27000000.0,0.41,64967364.0,0.1,0.8401,0.125,0.1084,0.073,-0.3171,46000000.0,40000000.0,200000000.0,1488000000.0,0.5864,238000000.0,1250000000.0,0.0,360000000.0,371000000.0,879000000.0,0.0,165000000.0,66000000.0,714000000.0,0.0,99000000.0,0.0,99000000.0,1.55,64967364.0,0.4,0.8401,0.126,0.1109,0.067,0.5457,188000000.0,165000000.0,813000000.0,14.084,797.77,-1.801,94.6937,22.2112,6.7235,0.1187,0.0,-4.0741,0.244,0.0,0.2547,0.0,51829000000.0,56538000000.0,18401000000.0,37288500000.0,0.0,0.0636,0.113,0.002,0.111,0.03,8.4444,9808.1485,4058.6626,0.0,0.0809,0.0399,0.0,0.258,36.0,0.2419,0.0,53601000000.0,879000000.0,49493750000.0,12.499,22.904,0.0,-0.0287,IBKR,35.400002,37.639722222222225,2299844815.534728
2016-03-31,2.6496,5.0,3.5385,3.3636,1.5545,0.1592,0.0959,-0.0013,-0.1355,0.0,0.0,1.5088,0.0,0.0112,4.036,0.0943,489000000.0,1.843,62000000.0,427000000.0,0.0,90000000.0,90000000.0,337000000.0,0.0,60000000.0,27000000.0,277000000.0,0.0,33000000.0,0.0,33000000.0,0.52,63985477.0,0.1,0.8732,0.135,0.1227,0.067,0.2352,66000000.0,60000000.0,310000000.0,1506000000.0,0.7512,238000000.0,1268000000.0,0.0,355000000.0,362000000.0,906000000.0,0.0,167000000.0,72000000.0,739000000.0,0.0,95000000.0,0.0,95000000.0,1.52,63985477.0,0.4,0.842,0.126,0.1109,0.063,0.6879,190000000.0,167000000.0,834000000.0,14.019,784.334,1.797,83.8472,27.3031,5.981,0.1069,0.0,3.697,0.192,0.0,0.184,0.0,50186000000.0,53804000000.0,17252500000.0,36021000000.0,0.0,-0.0574,0.113,0.002,0.111,0.031,11.2316,9490.4847,3877.5797,0.0,0.0873,0.0418,0.0,0.263,38.0,0.2357,0.0,51829250000.0,843750000.0,47826250000.0,16.191,23.537,0.0,-0.0291,IBKR,39.32,36.243428742857134,2515908955.64
