,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.5707,-2.3196,-1.6725,-1.6087,-1.6087,-1.6138,-0.0266,-0.0206,-0.0024,-0.2322,0.0,0.0,-3.4,0.0,0.1351,-3.4309,0.0055,241300000.0,-0.2464,176300000.0,65000000.0,0.0,25200000.0,124800000.0,-59800000.0,38900000.0,-80600000.0,-3900000.0,0.0,0.0,-76700000.0,0.0,-76700000.0,-0.6,-0.6,127000000.0,127000000.0,0.0,0.2694,0.231,-0.1728,-0.318,-0.3133,55700000.0,-41700000.0,-76700000.0,1040800000.0,-0.27,681000000.0,359800000.0,0.0,109700000.0,514500000.0,-154700000.0,154600000.0,-120100000.0,-22200000.0,0.0,0.0,-97900000.0,0.0,-97900000.0,-0.77,-0.78,127000000.0,0.0,0.3457,0.416,0.0331,-0.094,-0.0762,432900000.0,34500000.0,-97900000.0,41.179,64.81,-0.595,19.7685,8.9189,0.4801,0.305,-1.072,6.089,0.4537,0.0,0.0,0.1044,0.0,1158300000.0,8230900000.0,-1615300000.0,9381200000.0,274100000.0,88650000.0,0.0,1.1724,0.0278,24.7379,-0.1691,-0.4189,-0.018,-0.012,-0.0141,0.033,3.0,0.125,-1.1788,31.3869,83.4997,0.0,3.7972,11.7406,0.0,0.0,97.0,0.1054,0.0,9388500000.0,5298425000.0,8347600000.0,-0.624,8.195,0.2232,-0.0128,-1.6872,0.0267,-0.1871,-0.4887,RDC,16.219998999999998,15.676857171428573,2059939872.9999998
2018-03-31,-0.735,-1.8492,-11.9029,-12.125,-13.7143,-1.1357,-0.0263,-0.0152,-0.0165,-0.3605,0.0,0.0,-3.2745,0.0,0.0579,-1.9305,0.0062,211200000.0,-0.4357,157400000.0,53800000.0,0.0,25600000.0,124800000.0,-71000000.0,38500000.0,-106100000.0,6200000.0,0.0,0.0,-112300000.0,0.0,-112300000.0,-0.89,-0.89,126267762.0,126300000.0,0.0,0.2547,0.143,-0.3201,-0.532,-0.5492,30300000.0,-67600000.0,-112300000.0,1119700000.0,-0.348,673500000.0,446200000.0,0.0,106700000.0,516500000.0,-70300000.0,154600000.0,-46800000.0,3100000.0,0.0,0.0,-49900000.0,0.0,-49900000.0,-0.4,-0.41,126267762.0,0.0,0.3985,0.456,0.0963,-0.045,0.0248,510300000.0,107800000.0,-49900000.0,41.841,65.955,-0.919,19.8824,9.6153,0.4752,0.3015,-1.7558,6.03,0.0988,0.0,0.0,0.1212,0.0,1194700000.0,8328000000.0,-1612600000.0,9386900000.0,259950000.0,93250000.0,0.0,9.4505,0.0204,42.7855,-0.4967,-1.0715,-0.009,-0.006,-0.0064,0.096,3.0,0.133,-4.1463,30.4465,66.1088,0.0,4.3074,12.0075,0.0,0.0,24.0,0.0953,0.0,9425775000.0,5318525000.0,8403900000.0,0.22,8.868,0.6973,-0.0064,-0.8656,0.0237,-0.16,-0.445,RDC,11.54,12.193235294117645,1457129973.4799998
2017-12-31,-0.3205,29.8333,5.5902,5.6842,5.8889,-0.7228,-0.025,0.0464,-0.0634,-0.2937,0.0,0.0,-0.8357,0.0,0.3242,-1.4102,0.0065,296700000.0,-0.1566,179900000.0,116800000.0,0.0,33900000.0,133700000.0,-16900000.0,38700000.0,109300000.0,-2700000.0,0.0,0.0,112000000.0,0.0,112000000.0,0.89,0.88,126253099.0,,0.0,0.3937,0.835,0.4988,0.377,0.1041,247700000.0,148000000.0,112000000.0,1282800000.0,-0.304,684800000.0,598000000.0,0.0,104900000.0,518000000.0,80000000.0,155700000.0,99300000.0,26600000.0,0.0,0.0,72700000.0,0.0,72700000.0,0.58,0.57,126253099.0,0.0,0.4662,0.513,0.1988,0.057,0.1519,658700000.0,255000000.0,72700000.0,42.661,66.995,0.245,19.8831,10.551,0.4661,0.2968,3.8243,6.062,0.525,0.0,0.0,0.1143,0.0,1303000000.0,8458300000.0,-1511800000.0,9379100000.0,257050000.0,95750000.0,0.0,-0.4745,0.032,4.7566,-0.094,-0.2798,0.014,0.009,0.0073,0.199,5.0,0.152,4.1238,27.6567,60.5488,0.0,4.9905,13.3974,0.0,0.0,13.0,0.0818,0.0,9477300000.0,5330675000.0,8460225000.0,1.543,10.161,1.6378,0.0093,-0.3502,0.0226,-0.0819,-0.2601,RDC,15.66,14.349999999999998,1977123530.34
2017-09-30,-0.3578,-1.1284,-4.8,-5.25,-5.25,-0.6587,-0.0337,0.02,-0.0512,-0.4459,0.0,0.0,-0.7053,0.0,0.0638,-1.2083,0.0065,291600000.0,-0.2314,167400000.0,124200000.0,0.0,25000000.0,131200000.0,-7000000.0,38500000.0,-42700000.0,-21800000.0,0.0,0.0,-20900000.0,0.0,-20900000.0,-0.17,-0.17,126240966.0,,0.0,0.4259,0.34,-0.0144,-0.072,0.2791,99200000.0,-4200000.0,-20900000.0,1337900000.0,-0.34,687400000.0,650500000.0,0.0,97000000.0,515400000.0,135100000.0,155900000.0,-44100000.0,19600000.0,0.0,0.0,-63700000.0,0.0,-63700000.0,-0.51,-0.51,126240966.0,0.0,0.4862,0.387,0.0836,-0.048,0.2631,517500000.0,111800000.0,-63700000.0,41.941,66.327,0.645,19.8842,9.6641,0.4741,0.2998,-0.1091,5.801,-4.9043,0.0,0.0,0.0857,0.0,1232000000.0,8373200000.0,-1589900000.0,9406800000.0,342300000.0,76800000.0,0.0,-0.2059,0.025,13.006,-0.0724,-0.2041,-0.012,-0.007,0.0122,0.084,4.0,0.157,-7.113,19.479,66.5943,0.0,3.9086,17.4206,0.0,0.0,27.0,0.0725,0.0,9536650000.0,5262625000.0,8514550000.0,2.788,10.598,0.7171,-0.0079,-0.2231,0.0211,-0.0756,-0.2492,RDC,12.85,10.494285714285716,1622196413.1
2017-06-30,-0.6255,-0.8862,-1.1324,-1.1329,-1.1337,-0.7538,-0.019,0.0283,-0.0487,-0.4366,0.0,0.0,-0.8422,0.0,-0.1494,-0.9109,0.0073,320200000.0,-0.4766,168800000.0,151400000.0,0.0,22200000.0,126800000.0,24600000.0,38900000.0,-7300000.0,21400000.0,0.0,0.0,-28700000.0,0.0,-28700000.0,-0.23,-0.23,126300000.0,,0.0,0.4728,0.416,0.0987,-0.09,0.0984,133100000.0,31600000.0,-28700000.0,1425700000.0,-0.3499,706000000.0,719700000.0,0.0,95500000.0,544000000.0,175700000.0,156800000.0,-8100000.0,29200000.0,0.0,0.0,-37300000.0,0.0,-37300000.0,-0.3,-0.3,126300000.0,0.0,0.5048,0.388,0.1043,-0.026,0.3835,553200000.0,148700000.0,-37300000.0,42.044,66.952,0.249,19.9256,9.0673,0.4739,0.2976,0.8123,4.996,-1.9756,0.0,0.0,0.0693,0.0,1187600000.0,8456100000.0,-1661200000.0,9530300000.0,430258000.0,98722000.0,0.0,-0.4444,0.0169,10.3035,-0.0787,-0.2483,-0.007,-0.004,0.0157,0.104,4.0,0.166,-17.4504,22.4781,79.3901,0.0,3.3136,14.4416,0.0,0.0,18.0,0.067,0.0,9583775000.0,5228250000.0,8587500000.0,4.329,11.288,0.9483,-0.0046,-0.1599,0.0206,-0.073,-0.2574,RDC,10.24,12.189722222222224,1293312000.0
2017-03-31,-0.3128,-0.5199,-0.9161,-0.9184,-0.9286,-0.4979,0.0192,0.0823,-0.0463,-0.2572,0.0,0.0,-0.6086,0.0,-0.1004,-0.5442,0.0054,374300000.0,-0.2517,171300000.0,203000000.0,0.0,24200000.0,126700000.0,76300000.0,39600000.0,40000000.0,29700000.0,0.0,0.0,10300000.0,0.0,10300000.0,0.08,0.07,125495703.0,,0.0,0.5423,0.477,0.2127,0.028,0.1363,178700000.0,79600000.0,10300000.0,1717300000.0,-0.1784,744700000.0,972600000.0,0.0,99400000.0,545300000.0,427300000.0,156200000.0,238700000.0,30600000.0,0.0,0.0,208100000.0,0.0,208100000.0,1.66,1.65,125495703.0,0.0,0.5664,0.465,0.23,0.121,0.4163,798000000.0,394900000.0,208100000.0,42.486,68.156,0.406,20.3393,9.3485,0.4787,0.2984,2.0101,4.461,7.9417,0.0,0.0,0.0647,0.0,1175300000.0,8553300000.0,-1706600000.0,9593000000.0,372004500.0,90085500.0,0.0,-0.3765,0.0182,7.7185,-0.0823,-0.3108,0.04,0.024,0.0379,0.23,7.0,0.199,3.962,19.7877,67.3974,0.0,4.6163,19.063,0.0,0.0,9.0,0.0579,0.0,9750064750.0,5182423000.0,8628390250.0,5.697,13.684,2.5282,0.0255,-0.1329,0.0193,-0.0638,-0.2719,RDC,15.58,16.578611305555555,1955223052.74
2016-12-31,-0.427,-0.9731,-1.1963,-1.19,-1.18,-0.3747,0.0393,0.0662,-0.0045,-0.266,0.0,-1.0,-0.3841,0.0,-0.0657,-0.7714,0.005,351800000.0,-0.3434,179900000.0,171900000.0,0.0,25600000.0,130700000.0,41200000.0,38900000.0,-34100000.0,-9700000.0,0.0,0.0,-24400000.0,0.0,-24400000.0,-0.19,-0.18,125439127.0,,0.0,0.4886,0.303,0.0136,-0.069,0.5347,106500000.0,4800000.0,-24400000.0,1843200000.0,-0.1375,778200000.0,1065000000.0,0.0,102100000.0,546600000.0,518400000.0,155500000.0,325600000.0,5000000.0,0.0,0.0,320600000.0,0.0,320600000.0,2.56,2.55,125439127.0,0.0,0.5778,0.48,0.261,0.174,0.4309,884000000.0,481100000.0,320600000.0,40.768,69.162,1.5,21.3665,10.0088,0.5241,0.3089,0.1234,3.266,-8.6926,0.0,0.0,0.0728,0.0,1096500000.0,8675600000.0,-1981400000.0,9616500000.0,355900000.0,101950000.0,0.0,-0.1132,0.0247,13.3775,-0.0682,-0.236,0.063,0.037,0.0459,0.261,7.0,0.215,2.8247,18.6738,59.665,0.0,5.179,18.0795,0.0,0.0,8.0,0.0554,0.0,9895312500.0,5074481250.0,8588097000.0,6.331,14.694,3.0939,0.0393,-0.123,0.0188,-0.0604,-0.2765,RDC,18.889999,18.028235264705884,2369544983.590873
2016-09-30,-0.3506,1.1899,1.023,1.0208,1.0208,0.4288,0.0388,0.1047,-0.0574,-0.1335,0.0,-1.0,0.7868,0.0,-0.2088,1.197,0.005,379400000.0,-0.3044,186000000.0,193400000.0,0.0,23500000.0,159800000.0,33600000.0,39400000.0,-6700000.0,-12200000.0,0.0,0.0,5500000.0,0.0,5500000.0,0.04,0.04,125420778.0,,0.0,0.5098,0.356,0.0862,0.014,0.728,134900000.0,32700000.0,5500000.0,2027200000.0,-0.0604,834100000.0,1193100000.0,0.0,103900000.0,535700000.0,657400000.0,157000000.0,497500000.0,28200000.0,0.0,0.0,469300000.0,0.0,469300000.0,3.75,3.74,125420778.0,0.1,0.5885,0.522,0.3229,0.232,0.4496,1058300000.0,654500000.0,469300000.0,41.119,69.087,2.202,21.0938,8.2722,0.513,0.3053,0.8299,2.223,54.6,0.0,0.0,0.0619,0.0,828800000.0,8665000000.0,-2001200000.0,9595300000.0,474419000.0,100588000.0,0.0,-0.0803,0.0221,11.9207,-0.0635,-0.2358,0.094,0.055,0.0562,0.323,6.0,0.238,2.2005,14.8002,79.3126,0.0,4.273,20.1535,0.0,0.027,6.0,0.0513,0.0,10047887500.0,4989131250.0,8506022000.0,7.268,16.163,4.1688,0.0589,-0.1174,0.0173,-0.0598,-0.3001,RDC,15.16,13.409722222222225,1901378994.48
2016-06-30,0.5868,1.2538,1.5574,1.5441,1.5294,0.1292,-0.0043,0.0436,-0.074,0.1054,0.0,-1.0,0.9485,0.0,-0.1623,1.2472,0.005,611800000.0,0.2026,207500000.0,404300000.0,0.0,26100000.0,128100000.0,276200000.0,38300000.0,239500000.0,22800000.0,0.0,0.0,216700000.0,0.0,216700000.0,1.73,1.72,125385989.0,,0.0,0.6608,0.618,0.4541,0.354,0.3263,377900000.0,277800000.0,216700000.0,2193200000.0,0.0546,895700000.0,1297500000.0,0.0,110100000.0,844300000.0,453200000.0,158900000.0,290700000.0,66300000.0,0.0,0.0,224400000.0,0.0,224400000.0,1.79,1.78,125385989.0,0.2,0.5916,0.39,0.205,0.102,0.3601,856059000.0,449600000.0,224400000.0,40.888,68.745,1.592,21.0978,6.0726,0.516,0.3069,7.2533,4.356,1.0628,0.0,0.0,0.0427,0.0,1033987000.0,8619661000.0,-2150736000.0,10195459000.0,524164000.0,109930000.0,0.0,-0.1333,0.0152,4.9853,-0.0502,-0.3067,0.046,0.027,0.0375,0.205,8.0,0.26,4.2004,18.2473,91.6022,0.0,4.1842,19.9509,0.0,0.112,10.0,0.0502,0.0,10283864750.0,4861065750.0,8425190750.0,6.3,17.492,2.8295,0.0271,-0.162,0.0158,-0.0696,-0.3757,RDC,17.66,17.583888722222227,2214316565.7400002
2016-03-31,0.0141,-0.0452,-0.007,-0.0101,-0.0101,-0.3345,-0.0141,0.0174,-0.0466,-0.1515,0.0,-1.0,1.4865,0.0,-0.0249,-0.0409,0.002,500200000.0,-0.0856,204800000.0,295400000.0,0.0,26900000.0,128000000.0,167400000.0,38900000.0,126900000.0,4100000.0,0.0,0.0,122800000.0,0.0,122800000.0,0.98,0.98,124824224.0,,0.0,0.5906,0.529,0.3315,0.246,0.2605,264700000.0,165800000.0,122800000.0,2090136000.0,0.0483,942144000.0,1147992000.0,0.0,115158000.0,848086000.0,299906000.0,151440000.0,143621000.0,51186000.0,0.0,0.0,92435000.0,0.0,92435000.0,0.74,0.74,124824224.0,0.3,0.5492,0.333,0.1412,0.044,0.3314,696097000.0,295061000.0,92435000.0,39.255,67.232,1.044,21.4407,4.7683,0.5462,0.3189,4.2622,3.481,1.3265,0.0,0.0,0.0538,0.0,742587000.0,8392127000.0,-2450250000.0,10173991000.0,465030000.0,102572000.0,0.0,-0.2001,0.0164,7.8622,-0.0652,-0.3296,0.019,0.011,0.0249,0.141,8.0,0.248,9.9122,15.2052,74.551,0.0,4.4946,20.3773,0.0,0.405,14.0,0.0551,0.0,10467679750.0,4801398000.0,8434467250.0,5.55,16.745,1.9484,0.0114,-0.2439,0.0175,-0.1069,-0.5573,RDC,16.1,14.497714314285716,2009670006.4
