,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-03-31,0.0683,0.6144,0.9109,0.8,0.8,-4.7689,0.133,-0.2857,1.5158,0.1596,0.0,0.0,-5.1266,0.0,0.0101,0.657,0.0253,50812000.0,0.0965,38257000.0,12555000.0,0.0,10421000.0,10835000.0,1720000.0,266000.0,1413000.0,362000.0,0.0,0.0,1051000.0,0.0,1051000.0,0.09,0.09,12239758.0,0.0,0.2471,0.041,0.033,0.021,-0.1443,2093000.0,1679000.0,1051000.0,191208000.0,0.0888,142018000.0,49190000.0,0.0,40489000.0,47447000.0,1743000.0,718000.0,266000.0,-2245000.0,0.0,0.0,2511000.0,0.0,2511000.0,0.21,0.21,12239758.0,12888539.0,1.0,0.2573,0.014,0.0051,0.013,-0.0266,2758000.0,984000.0,2511000.0,1.905,5.129,-0.599,2.6156,0.0554,1.3729,0.4294,6.312,3.275,-6.7022,0.0,0.1579,0.2051,0.0,39674000.0,62780000.0,5882000.0,76674000.0,49354000.0,10255500.0,0.0,0.041,0.0022,14.9718,-0.0057,-0.6981,0.09,0.036,0.0193,0.005,4.0,2.756,-1.5301,17.0027,101.1764,0.0,3.8742,18.6444,0.0,4.762,96.0,0.2118,0.0,55108750.0,27891250.0,69376250.0,-0.415,15.622,1.3705,0.0584,0.322,0.0036,-0.0065,-0.6973,RCMT,5.77,6.0329411764705885,70623403.66
2017-12-30,0.0577,-53.0328,2.162,2.0,2.0,-2.8235,0.0494,-0.2908,0.9062,-0.0077,0.0,0.0,-2.5881,0.0,0.0204,-10.3052,-0.006,51057000.0,0.1552,38253000.0,12804000.0,0.0,10293000.0,16005000.0,-3201000.0,181000.0,-3355000.0,-3606000.0,0.0,0.0,251000.0,0.0,251000.0,0.02,0.02,12011699.0,1.0,0.2508,-0.052,-0.0622,0.005,-0.0427,-2646000.0,-3174000.0,251000.0,186737000.0,0.0583,138350000.0,48387000.0,0.0,40385000.0,47326000.0,1061000.0,590000.0,-245000.0,-2255000.0,0.0,0.0,2010000.0,0.0,2010000.0,0.17,0.17,12011699.0,12647127.0,1.0,0.2591,0.011,0.0018,0.011,0.0216,2102000.0,345000.0,2010000.0,1.834,5.119,-0.181,2.271,0.2553,1.2382,0.3723,-17.5359,2.508,-7.51,50.0,0.1609,0.2016,0.0,33451000.0,61489000.0,4391000.0,63514000.0,49273500.0,14112500.0,0.0,0.1554,0.0035,-9.1508,-0.0057,-0.5549,0.067,0.03,0.0138,0.002,7.0,2.779,2.5229,25.9867,95.9367,0.0,3.7898,13.232,0.0,5.882,242.0,0.2163,0.0,47178750.0,30021500.0,67188250.0,0.336,15.546,0.5847,0.0545,-0.2051,0.0041,-0.0056,-0.5919,RCMT,6.25,6.8070588235294105,75073118.75
2017-09-30,0.1552,2.8701,8.2727,7.0,7.0,-0.6344,-0.028,0.0321,-0.1525,-0.0612,0.0,0.0,-0.6727,0.0,0.0392,2.782,-0.0232,43827000.0,0.1041,32109000.0,11718000.0,0.0,9700000.0,10122000.0,1596000.0,137000.0,1442000.0,422000.0,0.0,0.0,1020000.0,0.0,1020000.0,0.08,0.08,12009699.0,0.0,0.2674,0.046,0.036,0.023,0.0327,2001000.0,1579000.0,1020000.0,179878000.0,0.0012,132189000.0,47689000.0,0.0,40179000.0,43083000.0,4606000.0,526000.0,3054000.0,1511000.0,0.0,0.0,1543000.0,0.0,1543000.0,0.13,0.13,12009699.0,,0.0,0.2651,0.029,0.0199,0.009,0.0311,5201000.0,3580000.0,1543000.0,2.831,4.286,0.119,0.7869,0.0859,0.2779,0.1476,11.5255,2.423,1.5941,0.0,0.1964,0.2213,0.0,27984000.0,51469000.0,17598000.0,40229000.0,45027000.0,11090000.0,0.0,-0.1199,0.0045,4.2074,-0.0044,-0.4621,0.048,0.023,0.0664,0.02,6.0,2.712,4.1886,20.4214,88.4832,0.0,3.9949,16.2198,0.0,0.0,21.0,0.2234,0.0,43160750.0,32327500.0,66326250.0,0.466,14.978,6.8061,0.0488,-0.1332,0.0049,-0.0048,-0.5312,RCMT,5.72,5.4388571428571435,68695478.28
2017-07-01,0.0007,-0.4152,-0.781,-0.7143,-0.7143,-0.4777,-0.0723,-0.0214,-0.3222,-0.1021,0.0,0.0,-0.5284,0.0,-0.01,0.0654,-0.0321,45512000.0,0.0029,33399000.0,12113000.0,0.0,10075000.0,10485000.0,1628000.0,134000.0,766000.0,577000.0,0.0,0.0,189000.0,0.0,189000.0,0.02,0.02,11962516.0,0.0,0.2661,0.029,0.0198,0.004,0.0659,1310000.0,900000.0,189000.0,175746000.0,-0.0502,129631000.0,46115000.0,0.0,39813000.0,42683000.0,3432000.0,503000.0,1906000.0,1273000.0,0.0,0.0,633000.0,0.0,633000.0,0.06,0.06,11962516.0,,0.0,0.2624,0.023,0.0137,0.004,0.0486,3996000.0,2409000.0,633000.0,2.693,4.433,0.251,0.8436,0.0502,0.3133,0.1538,6.7164,2.177,18.3122,0.0,0.1919,0.2214,0.0,26488000.0,53031000.0,15579000.0,40018000.0,48111000.0,11917500.0,0.0,-0.1329,0.0042,7.245,-0.0101,-1.122,0.02,0.009,0.0504,0.014,6.0,2.631,14.6667,25.5848,94.5429,0.0,3.6529,14.7469,0.0,0.0,30.0,0.2265,0.0,44285500.0,32259000.0,66787250.0,0.714,14.691,4.7893,0.0209,-0.0798,0.0051,-0.0042,-0.4669,RCMT,5.05,5.253714285714287,60410705.8
2017-04-01,-0.0729,-0.4326,-0.4505,-0.375,-0.375,0.7732,-0.137,-0.0004,-0.3606,-0.1776,0.0,0.0,1.6924,0.0,-0.0141,-0.43,-0.043,46341000.0,-0.0177,34589000.0,11752000.0,0.0,10317000.0,10714000.0,1038000.0,138000.0,902000.0,352000.0,0.0,0.0,550000.0,0.0,550000.0,0.05,0.05,11937516.0,0.0,0.2536,0.031,0.0224,0.012,0.0383,1437000.0,1040000.0,550000.0,175613000.0,-0.0505,129507000.0,46106000.0,0.0,39915000.0,42774000.0,3332000.0,465000.0,2583000.0,1276000.0,0.0,0.0,1307000.0,0.0,1307000.0,0.11,0.11,11937516.0,,0.0,0.2625,0.026,0.0174,0.007,0.0678,4624000.0,3048000.0,1307000.0,2.667,4.467,0.149,1.066,0.0423,0.3997,0.1934,7.5362,2.397,3.3982,0.0,0.1897,0.2226,0.0,28759000.0,53321000.0,15385000.0,44954000.0,50642000.0,12735500.0,0.0,-0.0492,0.0044,8.5038,-0.002,-0.2317,0.04,0.019,0.0466,0.017,6.0,2.58,9.5256,24.1181,94.9969,0.0,3.4677,13.7893,0.0,0.0,23.0,0.2273,0.0,47448500.0,32708250.0,68066000.0,0.997,14.711,6.5548,0.0402,-0.0437,0.0051,-0.0031,-0.3452,RCMT,4.76,5.334285714285713,56822576.16
2016-12-31,-0.1157,-0.9729,-1.0726,-1.0833,-1.0833,-1.0987,-0.1415,-0.0141,-0.3185,-0.1534,0.0,-1.0,-1.1277,0.0,-0.0769,-0.8555,-0.0156,44198000.0,-0.0677,32092000.0,12106000.0,0.0,10087000.0,11762000.0,344000.0,117000.0,-56000.0,160000.0,0.0,0.0,-216000.0,0.0,-216000.0,-0.02,-0.02,12084230.0,0.0,0.2739,0.01,0.0014,-0.005,-0.0137,453000.0,61000.0,-216000.0,176448000.0,-0.05,129418000.0,47030000.0,0.0,40063000.0,42915000.0,4115000.0,539000.0,3302000.0,1544000.0,0.0,0.0,1758000.0,0.0,1758000.0,0.14,0.14,12084230.0,,0.0,0.2665,0.031,0.0218,0.01,0.0611,5410000.0,3841000.0,1758000.0,2.586,4.745,-0.05,1.1843,0.0406,0.4579,0.2049,0.5214,2.238,2.2824,0.0,0.1789,0.2282,0.0,29358000.0,57335000.0,14495000.0,47442000.0,53946000.0,15894000.0,0.0,0.2312,0.0065,30.5077,-0.0026,-0.2908,0.053,0.025,0.0564,0.022,6.0,2.497,6.6183,30.8842,102.3232,0.0,3.2708,11.1015,0.0,0.0,22.0,0.2271,0.0,51743750.0,33070250.0,70676500.0,0.893,14.602,7.1262,0.0526,-0.0727,0.0051,-0.0048,-0.5392,RCMT,6.36,6.449999999999999,76855702.8
2016-10-01,-0.2076,-0.7789,-0.8857,-0.875,-0.8571,-0.5536,-0.1932,-0.2065,-0.2566,-0.1801,0.0,0.0,-0.4799,0.0,-0.1078,-0.7786,-0.0358,39695000.0,-0.1194,29551000.0,10144000.0,0.0,9334000.0,9722000.0,422000.0,114000.0,294000.0,184000.0,0.0,0.0,110000.0,0.0,110000.0,0.01,0.01,12295194.0,0.0,0.2555,0.02,0.0103,0.003,0.1101,796000.0,408000.0,110000.0,179657000.0,-0.0425,131043000.0,48614000.0,0.0,40903000.0,42463000.0,6151000.0,560000.0,5468000.0,518000.0,0.0,0.0,4950000.0,0.0,4950000.0,0.4,0.4,12295194.0,,1.0,0.2706,0.042,0.0336,0.028,0.0899,7588000.0,6028000.0,4950000.0,2.743,4.398,0.356,0.9069,0.0429,0.3306,0.1692,3.5789,2.479,40.4273,0.0,0.1794,0.2351,0.0,29532000.0,54073000.0,17337000.0,44728000.0,51548000.0,12120500.0,0.0,-0.0169,0.0053,13.3455,-0.0019,-0.1933,0.149,0.067,0.0847,0.034,7.0,2.443,3.4588,24.6155,94.366,0.0,3.4852,14.8226,0.0,2.5,15.0,0.2277,0.0,55536500.0,33307250.0,73552750.0,1.314,14.612,10.7643,0.1462,-0.0567,0.0064,-0.0054,-0.6224,RCMT,6.63,5.870285714285714,81517136.22
2016-07-02,0.0012,0.2604,0.2525,0.4,0.4,1.7227,-0.1751,-0.2117,-0.2555,-0.2202,0.0,0.0,2.0968,0.0,-0.035,0.2628,-0.0278,45379000.0,0.0021,33275000.0,12104000.0,0.0,10177000.0,10576000.0,1528000.0,96000.0,1443000.0,580000.0,0.0,0.0,863000.0,0.0,863000.0,0.07,0.07,12358810.0,0.0,0.2667,0.043,0.0339,0.019,0.1402,1938000.0,1539000.0,863000.0,185039000.0,-0.0207,133767000.0,51272000.0,0.0,42031000.0,43637000.0,7635000.0,559000.0,6906000.0,1104000.0,0.0,0.0,5802000.0,0.0,5802000.0,0.47,0.46,12358810.0,,1.0,0.2771,0.049,0.0403,0.031,0.1091,9071000.0,7465000.0,5802000.0,2.752,4.766,0.515,1.2048,0.0362,0.4378,0.2105,16.0313,2.609,7.679,0.0,0.1673,0.2243,0.0,33274000.0,58905000.0,17221000.0,52670000.0,57857000.0,11716000.0,0.0,-0.0397,0.0045,7.4525,-0.0058,-0.6591,0.162,0.075,0.0962,0.04,8.0,2.388,3.9016,22.716,100.0086,0.0,3.1982,15.7937,0.0,2.128,11.0,0.2271,0.0,59091000.0,35896250.0,77498250.0,1.633,14.972,13.3542,0.1531,-0.1084,0.0067,-0.0133,-1.5274,RCMT,5.26,5.432857142857142,65007340.599999994
2016-04-02,-0.0471,-0.218,-0.2788,-0.2727,-0.2727,1.2147,-0.1079,-0.213,-0.005,-0.1688,0.0,0.0,1.1195,0.0,-0.0157,-0.2268,-0.0183,47176000.0,-0.0165,34500000.0,12676000.0,0.0,10465000.0,10855000.0,1821000.0,212000.0,1621000.0,620000.0,0.0,0.0,1001000.0,0.0,1001000.0,0.08,0.08,12474200.0,0.0,0.2687,0.047,0.0389,0.021,0.014,2223000.0,1833000.0,1001000.0,184946000.0,-0.0426,133688000.0,51258000.0,0.0,42400000.0,43941000.0,7317000.0,592000.0,6555000.0,927000.0,0.0,0.0,5628000.0,0.0,5628000.0,0.45,0.44,12474200.0,,1.0,0.2772,0.047,0.0386,0.03,0.0858,8688000.0,7147000.0,5628000.0,2.668,5.161,0.053,1.5953,0.0264,0.5978,0.261,8.6462,2.713,1.0529,0.0,0.1555,0.2218,0.0,37383000.0,64383000.0,16247000.0,62135000.0,61220000.0,14129500.0,0.0,-0.3738,0.0043,8.8039,-0.0084,-1.0103,0.146,0.069,0.0845,0.039,6.0,2.276,3.2772,27.3672,109.6859,0.0,3.021,13.0894,0.0,2.222,11.0,0.2293,0.0,63901750.0,38487250.0,81251500.0,1.273,14.826,12.0726,0.1337,-0.1393,0.0073,-0.0139,-1.6671,RCMT,5.25,5.410588235294118,65489550.0
2016-01-02,0.0278,-0.1834,0.7333,0.8462,0.7143,0.6744,-0.068,-0.2317,0.05,-0.0724,0.0,-0.5,0.6722,0.0,0.0527,-0.0923,-0.0222,47407000.0,-0.0386,33717000.0,13690000.0,0.0,10927000.0,11310000.0,2380000.0,138000.0,2110000.0,-866000.0,0.0,0.0,2976000.0,0.0,2976000.0,0.24,0.24,12276034.0,1.0,0.2888,0.055,0.0474,0.063,0.1003,2631000.0,2248000.0,2976000.0,185736000.0,-0.0415,133851000.0,51885000.0,0.0,42567000.0,44034000.0,7851000.0,504000.0,7154000.0,1139000.0,0.0,0.0,6015000.0,0.0,6015000.0,0.48,0.47,12276034.0,,1.0,0.2793,0.049,0.0412,0.032,0.0522,9125000.0,7658000.0,6015000.0,2.623,5.658,0.387,1.7107,0.0987,0.6521,0.2582,16.2899,2.423,1.6778,4.167,0.1461,0.2305,0.0,37900000.0,69454000.0,15396000.0,62613000.0,60705500.0,15604500.0,0.0,-0.0479,0.0114,7.5211,-0.005,-0.624,0.147,0.072,0.0917,0.041,6.0,2.223,2.075,33.1286,114.8181,0.0,3.0596,11.9027,0.0,2.083,10.0,0.2292,0.0,66542000.0,40934500.0,83557750.0,0.789,15.13,15.1944,0.1412,-0.2235,0.0078,-0.015,-1.9018,RCMT,5.5,5.212424242424243,67518187.0
