,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.1071,-0.2271,0.1,0.119,0.1463,1.7227,0.0744,1.3545,-0.4156,0.2394,0.1723,0.0909,2.3037,0.0,0.2081,-0.2344,-0.0164,393600000.0,0.2796,277800000.0,115800000.0,0.0,89400000.0,94900000.0,20900000.0,7300000.0,13800000.0,3900000.0,0.0,0.0,9900000.0,0.0,9900000.0,0.47,0.47,21006981.0,0.24,0.2942,0.1,0.0536,0.025,0.3592,39500000.0,21100000.0,9900000.0,1468600000.0,0.2414,989400000.0,479200000.0,0.0,360800000.0,376600000.0,102600000.0,35400000.0,595500000.0,48600000.0,0.0,0.0,546900000.0,0.0,546900000.0,25.64,24.98,21006981.0,0.92,0.3263,0.479,0.4296,0.372,0.0659,703400000.0,630900000.0,546900000.0,41.163,51.097,6.731,23.2304,4.4461,0.5644,0.2839,2.8904,2.642,13.0909,0.511,0.3756,0.2271,0.0,421600000.0,1073400000.0,-176100000.0,1211200000.0,262350000.0,122250000.0,204850000.0,0.091,0.0043,9.9899,0.03,0.6413,0.619,0.3,0.0468,0.43,7.0,0.804,0.2344,33.4281,72.1749,54.9513,5.5979,12.0131,7.1691,0.036,3.0,0.2457,0.0,1306450000.0,883775000.0,1825625000.0,4.608,69.91,17.822,0.7648,-0.2449,0.0065,-0.0214,-0.4331,NPO,69.949997,73.67714297142857,1469438257.929057
2018-03-31,0.2301,0.358,0.9688,0.9667,0.9333,-0.0204,0.2126,1.4666,-0.2512,0.2763,0.1697,0.0909,-0.1266,0.0,0.2669,0.1552,0.0083,368800000.0,0.2468,243700000.0,125100000.0,0.0,92100000.0,93100000.0,32000000.0,8200000.0,24800000.0,12200000.0,0.0,0.0,12600000.0,0.0,12600000.0,0.59,0.58,21592605.0,0.24,0.3392,0.139,0.0895,0.034,-0.0965,51300000.0,33000000.0,12600000.0,1382600000.0,0.1632,914600000.0,468000000.0,0.0,345400000.0,359000000.0,109000000.0,44200000.0,592900000.0,46900000.0,0.0,0.0,546000000.0,0.0,546000000.0,25.59,24.92,21592605.0,0.9,0.3385,0.51,0.4608,0.395,-0.0013,705400000.0,637100000.0,546000000.0,41.732,54.417,-1.649,28.1022,5.4695,0.6734,0.3272,4.0244,3.455,-1.5873,0.407,0.3665,0.2497,0.0,565600000.0,1175000000.0,-157700000.0,1433300000.0,252550000.0,109700000.0,199400000.0,0.78,0.0049,9.5263,-0.0423,-0.8525,0.718,0.304,0.0452,0.461,7.0,0.77,0.0846,31.785,74.7635,56.759,5.4746,12.6035,6.9338,0.035,3.0,0.2498,0.0,1317725000.0,760950000.0,1795850000.0,-0.083,64.031,14.414,0.6306,-1.039,0.0068,-0.0347,-0.7028,NPO,77.379997,76.56617676470586,1670835710.122185
2017-12-31,0.3587,1.5152,12.7931,11.6667,10.6,-1.3145,0.2197,1.5224,-0.1721,0.2576,0.1636,0.0476,-1.8176,0.0,0.2982,0.7701,-0.0017,362500000.0,0.2635,239400000.0,123100000.0,0.0,93600000.0,90000000.0,33100000.0,8700000.0,16200000.0,-18000000.0,0.0,0.0,34200000.0,0.0,34200000.0,1.6,1.44,21325716.0,0.22,0.3396,0.12,0.0687,0.094,-0.1001,43400000.0,24900000.0,34200000.0,1309600000.0,0.1026,865200000.0,444400000.0,0.0,326300000.0,343200000.0,101200000.0,50900000.0,577500000.0,37700000.0,0.0,0.0,539800000.0,0.0,539800000.0,25.28,24.76,21325716.0,0.88,0.3393,0.529,0.4798,0.412,0.0015,692200000.0,628400000.0,539800000.0,42.334,56.411,-1.702,29.0025,8.8766,0.6851,0.3279,2.8621,3.057,-0.5205,0.138,0.3622,0.2582,0.0,551500000.0,1203000000.0,-163700000.0,1364100000.0,234900000.0,116800000.0,189750000.0,1.0393,0.0119,9.8894,-0.051,-1.0,0.862,0.315,0.0443,0.48,8.0,0.764,0.0863,36.4275,72.9387,56.8849,5.5751,11.2123,6.9017,0.035,4.0,0.2492,0.0,1271475000.0,626250000.0,1714550000.0,0.089,61.409,12.3458,0.6363,-0.9592,0.0073,-0.0341,-0.7006,NPO,93.510002,87.81757636363636,1994167745.811432
2017-09-30,0.1684,21.7119,80.7,81.0714,79.3214,2.3394,0.165,1.2756,-0.287,0.1128,0.1783,0.0476,9.92,0.0,0.2087,-0.3083,-0.0087,343700000.0,0.1742,228500000.0,115200000.0,0.0,85700000.0,98600000.0,16600000.0,11200000.0,540700000.0,50500000.0,0.0,0.0,490200000.0,0.0,490200000.0,22.98,22.49,21323312.0,0.22,0.3352,1.656,1.6058,1.426,0.0794,569200000.0,551900000.0,490200000.0,1234000000.0,0.0092,821900000.0,412100000.0,0.0,304500000.0,321800000.0,90300000.0,56400000.0,557000000.0,54300000.0,0.0,0.0,502700000.0,0.0,502700000.0,23.55,23.05,21323312.0,0.87,0.334,0.545,0.4971,0.407,0.0672,673100000.0,613400000.0,502700000.0,40.636,53.669,1.28,26.2905,8.2586,0.647,0.3043,49.2768,2.265,0.0743,0.01,0.3789,0.2493,0.0,394300000.0,1144400000.0,-269900000.0,1217200000.0,235150000.0,100450000.0,194850000.0,-0.25,0.0049,0.6755,-0.0265,-0.526,1.026,0.308,0.0417,0.497,7.0,0.757,0.2407,33.0689,73.2662,62.3517,5.2477,12.2847,6.3331,0.037,4.0,0.2468,0.0,1305600000.0,490175000.0,1629625000.0,3.888,57.871,10.8759,0.7409,-0.3149,0.0045,-0.0309,-0.6382,NPO,80.529999,72.57171428571426,1717166294.036688
2017-06-30,-0.0306,0.0187,1.5,1.4706,1.4118,0.874,0.0052,-0.0231,0.0713,0.0112,0.0397,0.0476,2.2424,0.0,-0.016,0.0263,-0.0169,307600000.0,-0.0179,203000000.0,104600000.0,0.0,74000000.0,77300000.0,27300000.0,16100000.0,11200000.0,2200000.0,0.0,0.0,9000000.0,0.0,9000000.0,0.42,0.41,21357790.0,0.22,0.3401,0.135,0.0888,0.029,0.1391,41500000.0,27300000.0,9000000.0,1183000000.0,-0.0433,787500000.0,395500000.0,0.0,289700000.0,297800000.0,97700000.0,59500000.0,26300000.0,7800000.0,0.0,0.0,18500000.0,0.0,18500000.0,0.85,0.84,21357790.0,0.86,0.3343,0.121,0.0725,0.016,0.0491,142800000.0,85800000.0,18500000.0,17.483,56.064,2.004,39.1005,6.1851,2.2365,0.5219,1.6957,0.916,5.2889,0.524,0.2517,0.2406,0.0,-54300000.0,1197400000.0,-636900000.0,1256300000.0,233000000.0,101650000.0,185000000.0,-0.1008,0.0052,16.9398,-0.0156,-0.338,0.05,0.012,0.0523,0.073,6.0,0.756,5.1622,33.9391,72.2904,58.1902,5.0773,11.638,6.3946,1.012,26.0,0.2449,0.0,1333875000.0,369575000.0,1564400000.0,2.72,55.39,1.442,0.1123,-0.3916,0.0044,-0.0316,-0.6561,NPO,71.370003,69.21750030555556,1524305536.37337
2017-03-31,0.042,1.3293,1.1368,1.1395,1.1395,0.3099,-0.0157,-0.0863,0.0987,0.0307,0.0183,0.0476,0.1099,0.0,-0.1507,1.3743,-0.0242,295800000.0,0.0031,194100000.0,101700000.0,0.0,72700000.0,74000000.0,27700000.0,14900000.0,9400000.0,3000000.0,0.0,0.0,6400000.0,0.0,6400000.0,0.3,0.3,21414181.0,0.22,0.3438,0.129,0.0822,0.022,-0.1068,38100000.0,24300000.0,6400000.0,1188600000.0,-0.0272,789800000.0,398800000.0,0.0,290900000.0,301800000.0,97000000.0,57500000.0,27800000.0,14700000.0,0.0,0.0,13100000.0,0.0,13100000.0,0.6,0.6,21414181.0,0.85,0.3355,0.12,0.0718,0.011,0.024,142300000.0,85300000.0,13100000.0,16.919,53.964,-1.476,37.8441,5.3096,2.2368,0.5298,1.6309,0.918,-3.0625,0.733,0.2445,0.2458,0.0,-49400000.0,1155600000.0,-612700000.0,1248300000.0,218600000.0,93500000.0,182150000.0,0.6122,0.0064,18.2861,-0.0406,-0.8696,0.035,0.008,0.0526,0.072,6.0,0.761,5.5954,30.4013,68.1419,56.442,5.4373,12.7123,6.5254,1.417,25.0,0.2447,0.0,1351525000.0,373425000.0,1562350000.0,1.331,55.505,1.4835,0.079,-0.6112,0.0045,-0.0377,-0.786,NPO,71.160004,65.77583408333334,1523833205.616724
2016-12-31,-0.1204,-0.55,-1.4394,-1.5357,-1.5357,0.0385,0.0318,-0.1985,0.1255,-0.0207,-0.0168,0.05,0.1072,0.0,-0.0587,-0.1343,-0.0272,286900000.0,-0.1087,196300000.0,90600000.0,0.0,72100000.0,71900000.0,18700000.0,14200000.0,-4300000.0,-1400000.0,0.0,0.0,-2900000.0,0.0,-2900000.0,-0.15,-0.15,21361118.0,0.21,0.3158,0.085,0.0345,-0.01,0.1548,24300000.0,9900000.0,-2900000.0,1187700000.0,-0.0139,793000000.0,394700000.0,0.0,303800000.0,399400000.0,-4700000.0,55900000.0,-68700000.0,-28600000.0,0.0,0.0,-40100000.0,0.0,-40100000.0,-1.86,-1.86,21361118.0,0.84,0.3323,0.037,-0.0108,-0.034,0.0207,44300000.0,-12800000.0,-40100000.0,16.783,54.679,2.079,34.9748,5.2198,2.084,0.4831,0.6972,1.732,-19.5172,-1.4,0.2447,0.2513,0.0,221900000.0,1168000000.0,-663000000.0,1500600000.0,210300000.0,102200000.0,176900000.0,-0.2155,0.001,26.1564,-0.0425,-0.8472,-0.104,-0.026,-0.0025,-0.011,4.0,0.757,-1.6085,31.6229,63.9526,53.9033,5.6476,11.6213,6.714,-0.452,-165.0,0.2558,0.0,1358625000.0,384450000.0,1568450000.0,1.152,55.601,-0.229,-0.0917,-0.6186,0.0043,-0.0336,-0.6988,NPO,67.360001,64.02558838235294,1438884929.8411179
2016-09-30,-0.0276,-0.0319,-0.4737,-0.4615,-0.451,-0.6831,0.0271,-0.1894,0.1459,-0.0045,0.0051,0.05,-0.9035,0.0,-0.0521,-0.0361,-0.0203,292700000.0,-0.0453,194100000.0,98600000.0,0.0,70900000.0,74600000.0,24000000.0,14300000.0,10000000.0,4000000.0,0.0,0.0,6000000.0,0.0,6000000.0,0.28,0.28,21510084.0,0.21,0.3369,0.133,0.083,0.02,0.0085,38900000.0,24300000.0,6000000.0,1222700000.0,0.0199,815600000.0,407100000.0,0.0,308300000.0,408900000.0,-1800000.0,55500000.0,-56200000.0,-25600000.0,0.0,0.0,-30600000.0,0.0,-30600000.0,-1.42,-1.42,21510084.0,0.83,0.333,0.046,-0.0006,-0.025,0.0166,56800000.0,-700000.0,-30600000.0,17.857,55.472,0.116,36.5549,5.337,2.0471,0.4972,1.6993,1.035,1.8167,0.75,0.2455,0.2422,0.0,18500000.0,1193200000.0,-644500000.0,1330300000.0,223100000.0,90000000.0,178450000.0,-0.7706,0.0048,17.2622,-0.0287,-0.5753,-0.075,-0.02,-0.0009,-0.001,5.0,0.786,-2.0392,26.5981,66.4505,53.4052,5.4805,13.5856,6.8518,-0.585,-2690.0,0.2521,0.0,1332025000.0,409775000.0,1556550000.0,0.944,56.843,-0.0126,-0.1304,-0.6747,0.0043,-0.0344,-0.7322,NPO,56.82,54.55388866666666,1222202972.88
2016-06-30,0.0652,2.3202,1.0965,1.1024,1.1024,0.3298,0.0732,-0.1499,0.1507,0.0919,0.0639,0.05,0.2222,0.0,0.0148,2.2976,-0.0481,313200000.0,0.0496,205300000.0,107900000.0,0.0,75200000.0,81300000.0,26600000.0,14100000.0,12700000.0,9100000.0,0.0,0.0,3600000.0,0.0,3600000.0,0.17,0.17,21724417.0,0.21,0.3445,0.131,0.0856,0.011,0.0421,41000000.0,26800000.0,3600000.0,1236600000.0,0.0349,826700000.0,409900000.0,0.0,312200000.0,410800000.0,-900000.0,54100000.0,-54000000.0,-28800000.0,0.0,0.0,-25200000.0,0.0,-25200000.0,-1.18,-1.19,21724417.0,0.82,0.3315,0.046,0.0001,-0.02,0.0353,57400000.0,100000.0,-25200000.0,17.897,55.182,0.608,35.8813,5.4547,2.0049,0.4897,1.9007,1.044,7.0556,1.235,0.2469,0.2401,0.0,23300000.0,1198800000.0,-646900000.0,1326900000.0,221950000.0,90400000.0,175950000.0,-0.4803,0.0057,16.122,-0.039,-0.8592,-0.058,-0.016,-0.0004,0.0,5.0,0.8,-3.4087,27.5388,68.3895,53.5428,5.5715,13.6792,7.0281,-0.695,15911.0,0.2525,0.0,1368125000.0,434675000.0,1546125000.0,2.012,56.922,0.0018,-0.1059,-0.4913,0.0049,-0.0341,-0.7365,NPO,44.389998999999996,48.075278000000004,964346848.9055829
2016-03-31,0.0869,-10.973,-28.25,-29.7143,-29.7143,-0.3209,0.0228,-0.1699,0.1356,0.0262,0.0693,0.05,-0.1199,0.0,0.1074,-11.137,-0.0932,294900000.0,0.0627,197300000.0,97600000.0,0.0,85600000.0,171600000.0,-74000000.0,13300000.0,-87100000.0,-40300000.0,0.0,0.0,-46800000.0,0.0,-46800000.0,-2.15,-2.15,21945954.0,0.21,0.331,-0.203,-0.2503,-0.159,-0.1204,-59900000.0,-73800000.0,-46800000.0,1221800000.0,0.0101,818500000.0,403300000.0,0.0,311100000.0,451300000.0,-48000000.0,53100000.0,-100100000.0,-34000000.0,0.0,0.0,-66100000.0,0.0,-66100000.0,-3.01,-3.02,21945954.0,0.81,0.3301,0.009,-0.0385,-0.054,0.0338,10900000.0,-47000000.0,-66100000.0,18.518,53.413,-1.618,33.6098,5.0488,1.815,0.4746,-5.5489,1.017,0.6068,-0.098,0.2457,0.2903,0.0,8700000.0,1172200000.0,-616600000.0,1276700000.0,212550000.0,88750000.0,174650000.0,0.25,0.0054,-10.4641,-0.0241,-0.5108,-0.144,-0.044,-0.0241,-0.038,4.0,0.804,-1.2042,26.2891,64.3186,53.9225,5.7483,13.7668,6.9957,-0.269,-39.0,0.2546,0.0,1398750000.0,457600000.0,1518975000.0,1.882,55.673,-0.8851,-0.2986,-0.4812,0.0036,-0.0313,-0.6615,NPO,57.68,52.67057122857143,1265842626.72
