,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.1297,0.0232,0.0197,0.0156,0.0,1.6813,0.0302,0.0625,-0.032,0.0834,0.1077,0.1215,18.1285,0.0,0.0987,0.181,0.0014,343970000.0,0.1265,227894000.0,116076000.0,0.0,74965000.0,75602000.0,40474000.0,2606000.0,37372000.0,6875000.0,-458000.0,0.0,30497000.0,0.0,30497000.0,0.65,0.64,46517589.0,0.12,0.3375,0.144,0.1162,0.089,0.0783,49677000.0,39978000.0,30039000.0,1238908000.0,0.2328,825437000.0,413471000.0,0.0,291637000.0,296022000.0,117449000.0,9598000.0,108262000.0,24050000.0,-543000.0,0.0,84212000.0,0.0,84212000.0,1.79,1.78,46517589.0,0.442,0.3337,0.127,0.0951,0.068,0.0472,157549000.0,117860000.0,83669000.0,15.321,18.42,0.579,5.6478,1.5058,0.3686,0.2161,15.3408,2.057,1.0609,0.185,0.2952,0.2179,0.0,328875000.0,856841000.0,139231000.0,738442000.0,198596000.0,77694500.0,312659500.0,-0.1677,0.119,0.07,0.0734,0.095,5.0,1.028,1.0026,24.1946,60.8502,96.8197,6.2383,15.9459,3.9625,0.247,20.0,0.2354,0.0,747567750.0,708046500.0,1205314000.0,1.258,26.633,12.2796,0.1577,-0.3068,FELE,45.099998,46.418571485714295,2097943170.864822
2018-03-31,0.3056,0.1263,0.3461,0.3636,0.3636,-0.1063,0.1757,0.1266,0.4636,0.2461,0.4564,0.07,-0.1172,0.0,0.3383,0.2267,0.0053,295630000.0,0.3422,196648000.0,98982000.0,0.0,76275000.0,76282000.0,22700000.0,2428000.0,19476000.0,-1698000.0,41000.0,0.0,21174000.0,0.0,21174000.0,0.45,0.45,46629982.0,0.107,0.3348,0.108,0.0741,0.072,-0.1113,31800000.0,21904000.0,21215000.0,1200287000.0,0.2612,800139000.0,400148000.0,0.0,284903000.0,288902000.0,111246000.0,9236000.0,107716000.0,24092000.0,250000.0,0.0,83624000.0,0.0,83624000.0,1.78,1.78,46629982.0,0.43,0.3334,0.13,0.0974,0.07,0.025,156430000.0,116952000.0,83874000.0,15.448,18.695,-0.705,5.9623,1.4448,0.3859,0.2241,9.0214,2.223,-1.2838,0.238,0.2974,0.258,0.0,353134000.0,871746000.0,123743000.0,793680000.0,173736000.0,76935500.0,289520000.0,0.2102,0.12,0.07,0.0672,0.097,3.0,1.003,0.767,25.796,58.6205,104.4003,6.9087,15.6012,4.1458,0.242,18.0,0.2374,0.0,748941750.0,697326250.0,1196405000.0,0.644,25.741,12.6626,0.1466,-0.5318,FELE,40.75,41.485294117647044,1900171766.5
2017-12-31,0.1672,-0.0109,-0.5425,-0.5526,-0.5405,-0.4071,0.1399,0.135,0.1881,0.1713,0.535,0.07,-0.5675,0.0,0.2498,-0.1112,0.0063,288195000.0,0.2029,193624000.0,94571000.0,0.0,69411000.0,72143000.0,22428000.0,2267000.0,21175000.0,13104000.0,-204000.0,0.0,8071000.0,0.0,8071000.0,0.17,0.17,46596652.0,0.107,0.3281,0.116,0.0813,0.028,0.0535,33530000.0,23442000.0,7867000.0,1124909000.0,0.1843,747927000.0,376982000.0,0.0,265686000.0,269993000.0,106989000.0,10322000.0,104174000.0,25994000.0,413000.0,0.0,78180000.0,0.0,78180000.0,1.67,1.65,46596652.0,0.422,0.3351,0.136,0.1018,0.069,0.0298,153002000.0,114496000.0,78593000.0,15.037,17.535,0.331,4.8512,1.4429,0.3226,0.1907,10.3405,2.396,3.2697,0.629,0.3107,0.2408,0.0,343230000.0,817072000.0,106399000.0,729987000.0,158503000.0,71637500.0,257898000.0,-0.4154,0.116,0.068,0.0689,0.102,3.0,0.978,0.8539,25.7461,55.4868,101.3403,7.0971,15.7028,4.3618,0.253,20.0,0.2362,0.0,723273750.0,676237750.0,1150059000.0,0.719,24.141,11.0924,0.1399,-0.4984,FELE,45.900002,45.307575515151505,2138786419.993304
2017-09-30,0.215,-0.0309,0.0341,0.0196,0.04,0.2723,0.1291,0.1188,0.2081,0.1591,0.4013,0.07,0.4179,0.0,0.282,0.0011,0.006,311113000.0,0.2976,207271000.0,103842000.0,0.0,70986000.0,71995000.0,31847000.0,2297000.0,30239000.0,5769000.0,78000.0,0.0,24470000.0,0.0,24470000.0,0.52,0.52,46490853.0,0.107,0.3338,0.137,0.1046,0.079,0.1577,42542000.0,32536000.0,24548000.0,1076304000.0,0.1579,712870000.0,363434000.0,0.0,251750000.0,253577000.0,109857000.0,10156000.0,104599000.0,16848000.0,776000.0,0.0,87751000.0,0.0,87751000.0,1.87,1.86,46490853.0,0.415,0.3377,0.141,0.1066,0.082,0.0499,151955000.0,114755000.0,88527000.0,15.024,17.353,1.055,4.9405,1.2934,0.3288,0.1947,14.1646,2.346,2.1606,0.206,0.316,0.2282,0.0,334109000.0,806744000.0,103021000.0,728162000.0,164189500.0,68429000.0,258220500.0,-0.0718,0.134,0.079,0.0705,0.107,4.0,0.966,0.9672,25.8287,59.7827,102.203,6.5553,15.7288,4.1682,0.222,20.0,0.2339,0.0,699226000.0,654434750.0,1113697000.0,1.156,23.151,11.2992,0.1603,-0.367,FELE,44.849998,40.24999942857143,2085114664.068294
2017-06-30,0.1332,0.1437,0.2471,0.2549,0.28,-0.5944,0.1337,0.1093,0.275,0.1771,0.4085,0.07,-1.0672,0.0,0.1773,0.0487,0.0062,305349000.0,0.2113,202596000.0,102753000.0,0.0,68231000.0,68482000.0,34271000.0,2244000.0,36826000.0,6917000.0,335000.0,0.0,29909000.0,0.0,29909000.0,0.64,0.64,46451712.0,0.107,0.3365,0.159,0.128,0.098,-0.0051,48558000.0,39070000.0,30244000.0,1004946000.0,0.0896,659885000.0,345061000.0,0.0,236137000.0,235240000.0,109821000.0,9842000.0,105950000.0,19005000.0,781000.0,0.0,86945000.0,0.0,86945000.0,1.86,1.84,46451712.0,0.407,0.3434,0.151,0.1152,0.087,0.0391,152105000.0,115792000.0,87726000.0,14.42,17.376,-0.034,5.8429,1.1861,0.4052,0.23,17.4109,2.074,0.4034,0.167,0.316,0.2235,0.0,300109000.0,807139000.0,70949000.0,743938000.0,176311000.0,65124500.0,253664500.0,-1.1303,0.137,0.081,0.0694,0.115,5.0,0.931,0.846,26.6105,69.2448,107.7578,5.6998,15.4312,3.9617,0.219,18.0,0.235,0.0,681436500.0,634965500.0,1079978000.0,0.845,21.634,11.7651,0.1689,-0.4662,FELE,41.400002,39.24583327777779,1923100969.703424
2017-03-31,0.0213,-0.0667,0.1689,0.1786,0.1786,-55.2265,0.022,0.0933,-0.1833,0.0233,0.1347,0.0204,-1.5818,0.0,0.0889,-0.1218,0.0059,220252000.0,0.0083,144436000.0,75816000.0,0.0,56996000.0,57311000.0,18505000.0,3514000.0,15934000.0,204000.0,204000.0,0.0,15730000.0,0.0,15730000.0,0.33,0.33,46382586.0,0.1,0.3442,0.129,0.0883,0.071,-0.1337,28372000.0,19448000.0,15934000.0,951678000.0,0.0371,618692000.0,332986000.0,0.0,225860000.0,224757000.0,108229000.0,9819000.0,101065000.0,20047000.0,651000.0,0.0,81018000.0,0.0,81018000.0,1.73,1.7,46382586.0,0.4,0.3499,0.154,0.1165,0.085,0.0675,146590000.0,110884000.0,81669000.0,13.712,15.549,-0.635,4.0954,1.5232,0.2987,0.18,5.5344,3.31,-1.562,0.303,0.3166,0.2588,0.0,345387000.0,721198000.0,77407000.0,691008000.0,152937000.0,65805000.0,221732500.0,0.1984,0.131,0.078,0.078,0.117,8.0,0.911,1.1262,26.4799,59.333,90.408,6.2227,14.4621,4.292,0.231,19.0,0.2373,0.0,661889500.0,617534750.0,1045191250.0,1.385,20.518,11.2928,0.1493,-0.2961,FELE,43.049999,41.54722211111111,1996770280.917414
2016-12-31,0.1722,0.0097,0.0916,0.1176,0.1212,0.1336,0.044,0.1012,-0.1381,0.1473,0.0456,0.0204,0.2803,0.0,0.2317,0.0712,-0.0012,239590000.0,0.0926,158567000.0,81023000.0,0.0,55537000.0,55789000.0,25234000.0,2101000.0,21600000.0,3958000.0,159000.0,0.0,17642000.0,0.0,17642000.0,0.38,0.37,46305492.0,0.1,0.3382,0.136,0.0989,0.074,0.1489,32483000.0,23701000.0,17801000.0,949856000.0,0.027,618450000.0,331406000.0,0.0,221209000.0,220611000.0,110795000.0,8732000.0,103543000.0,24798000.0,570000.0,0.0,78745000.0,0.0,78745000.0,1.67,1.65,46305492.0,0.398,0.3489,0.156,0.1182,0.083,0.0866,147809000.0,112275000.0,79315000.0,13.248,15.239,0.77,4.1088,2.2531,0.3101,0.183,11.2808,3.067,2.5229,0.263,0.3214,0.2318,0.0,326058000.0,705629000.0,59002000.0,633796000.0,136625000.0,60874500.0,199032500.0,-0.1986,0.131,0.076,0.0855,0.118,9.0,0.914,1.4652,24.5651,56.1029,78.1876,6.9523,15.6035,4.7724,0.238,17.0,0.2329,0.0,661707000.0,603118250.0,1039502000.0,1.777,20.513,12.8579,0.1508,-0.287,FELE,38.900002,40.27647094117646,1801283731.410984
2016-10-01,0.113,0.1543,0.1363,0.1591,0.1628,-0.2205,0.0081,0.1585,-0.2183,0.1543,0.0281,0.0309,-0.2804,0.0,0.1603,0.1457,-0.0292,239755000.0,0.0313,154286000.0,85469000.0,0.0,55373000.0,53658000.0,31811000.0,1983000.0,31590000.0,7926000.0,83000.0,0.0,23664000.0,0.0,23664000.0,0.51,0.5,46214027.0,0.1,0.3565,0.178,0.14,0.099,0.1443,42692000.0,33573000.0,23747000.0,929549000.0,-0.0312,610048000.0,319501000.0,0.0,210762000.0,210384000.0,109117000.0,8953000.0,103095000.0,25831000.0,501000.0,0.0,77264000.0,0.0,77264000.0,1.64,1.61,46214027.0,0.395,0.3437,0.159,0.1205,0.083,0.0801,147472000.0,112048000.0,77765000.0,13.429,15.24,0.749,4.1141,1.709,0.3064,0.182,16.9304,3.013,1.756,0.196,0.3258,0.231,0.0,318961000.0,704324000.0,55004000.0,657004000.0,141930000.0,60280000.0,212129000.0,-0.1672,0.131,0.075,0.0813,0.121,9.0,0.904,1.4253,23.8327,59.7214,84.449,6.5493,15.4205,4.382,0.241,18.0,0.2267,0.0,665614750.0,589182000.0,1028553500.0,1.611,20.114,12.5151,0.1493,-0.3239,FELE,40.709998999999996,38.61199991428571,1881372992.955973
2016-07-02,0.1305,0.4276,0.4837,0.5455,0.5152,0.0312,-0.027,0.0382,-0.0554,0.0509,-0.0422,0.0204,-0.0125,0.0,0.0298,0.4103,-0.0307,252081000.0,0.0188,161403000.0,90678000.0,0.0,57954000.0,57999000.0,32679000.0,2221000.0,31941000.0,7959000.0,205000.0,0.0,23982000.0,0.0,23982000.0,0.51,0.5,46165309.0,0.1,0.3597,0.171,0.1355,0.095,0.0928,43043000.0,34162000.0,24187000.0,922279000.0,-0.0824,611455000.0,310824000.0,0.0,203111000.0,205752000.0,105072000.0,9574000.0,97986000.0,23561000.0,619000.0,0.0,74425000.0,0.0,74425000.0,1.57,1.54,46165309.0,0.392,0.337,0.155,0.1166,0.081,0.0954,142625000.0,107560000.0,75044000.0,12.999,15.136,0.507,4.6112,1.5506,0.3547,0.2045,15.3814,2.718,1.2404,0.196,0.3287,0.2299,0.0,299435000.0,698748000.0,34329000.0,665750000.0,158052500.0,57806000.0,215285000.0,-0.2137,0.13,0.073,0.0773,0.117,7.0,0.899,1.6376,22.5515,64.1018,83.3634,5.8353,15.9547,4.284,0.25,16.0,0.2202,0.0,669205750.0,571989750.0,1026446500.0,1.905,19.978,11.2346,0.1502,-0.2784,FELE,33.400002,33.09228554285714,1541921412.930618
2016-04-02,0.0384,0.0898,-0.3202,-0.3171,-0.3171,0.98,-0.0446,0.0161,-0.0561,-0.0252,-0.0621,0.0889,0.5616,0.0,-0.051,0.328,-0.0301,218430000.0,-0.0323,144194000.0,74236000.0,0.0,52345000.0,53165000.0,21071000.0,2427000.0,18412000.0,4955000.0,123000.0,0.0,13457000.0,0.0,13457000.0,0.28,0.28,46112066.0,0.098,0.3399,0.135,0.0954,0.062,-0.0522,29591000.0,20839000.0,13580000.0,917625000.0,-0.1194,617271000.0,300354000.0,0.0,201435000.0,204789000.0,95565000.0,9758000.0,87569000.0,20962000.0,688000.0,0.0,66607000.0,0.0,66607000.0,1.39,1.37,46112066.0,0.39,0.3273,0.145,0.1061,0.073,0.0962,132715000.0,97327000.0,67295000.0,12.542,14.952,-0.247,5.0441,1.6187,0.4022,0.2253,8.5863,2.954,-0.0325,0.35,0.3323,0.2396,0.0,307046000.0,689453000.0,11980000.0,690278000.0,153130000.0,60855500.0,214618500.0,25.0984,0.117,0.064,0.0708,0.106,7.0,0.888,1.8164,24.8874,60.1315,82.6323,5.9925,15.0788,4.2756,0.281,17.0,0.2195,0.0,681465000.0,571056500.0,1033672000.0,1.914,19.9,9.9741,0.1327,-0.2706,FELE,31.940001000000002,30.59264726470588,1472819434.152066
