,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.1654,-0.6457,-0.6843,-0.6875,-0.6875,0.4995,-0.0301,-0.0499,-0.0415,-0.0196,-0.283,0.0,0.5722,0.0,-0.0465,11.5777,0.0016,973129000.0,0.1095,687072000.0,286057000.0,0.0,240791000.0,239346000.0,46711000.0,14939000.0,26765000.0,13545000.0,1567000.0,0.0,13220000.0,0.0,13220000.0,0.1,0.1,130833554.0,0.19,0.294,0.072,0.0429,0.014,0.047,70427000.0,41704000.0,14787000.0,3810533000.0,0.0134,2681099000.0,1129434000.0,0.0,898947000.0,887851000.0,241583000.0,59901000.0,184675000.0,214588000.0,4013000.0,0.0,-29913000.0,0.0,-29913000.0,-0.23,-0.23,130833554.0,0.76,0.2964,0.095,0.0642,-0.008,0.0385,363271000.0,244576000.0,-25900000.0,12.395,24.791,0.35,11.655,3.955,0.9403,0.3279,2.7916,2.254,4.8404,1.9,0.3026,0.2474,0.0,1320136000.0,3243492000.0,-636080000.0,3198065000.0,823872000.0,398091000.0,808570500.0,-0.2853,0.0046,14.3046,-0.0188,-0.6356,-0.018,-0.006,0.0482,0.064,5.0,0.795,-6.9444,41.0769,78.1343,64.6874,4.6252,9.572,4.7127,-3.304,26.0,0.2359,0.0,3242440750.0,1677540500.0,4791388000.0,1.123,29.125,4.083,-0.0154,-0.2929,0.0041,-0.016,-0.5127,FLS,40.400002,41.96457154285714,5285675843.267108
2018-03-31,0.0091,-0.0121,-0.2051,-0.2,-0.2,-31.7428,0.0228,0.0189,0.003,-0.0675,-0.2534,1.0,-10.2457,0.0,0.0334,-0.1035,0.0021,919954000.0,0.0619,648521000.0,271433000.0,0.0,229176000.0,226008000.0,45425000.0,14879000.0,23714000.0,8571000.0,1316000.0,0.0,15143000.0,0.0,15143000.0,0.12,0.12,130797826.0,0.38,0.2951,0.073,0.042,0.016,-0.1459,67506000.0,38593000.0,16459000.0,3714467000.0,-0.0502,2625630000.0,1088837000.0,0.0,910686000.0,898381000.0,190456000.0,59913000.0,260675000.0,261930000.0,2753000.0,0.0,-1255000.0,0.0,-1255000.0,-0.01,-0.01,130797826.0,0.76,0.2931,0.118,0.0863,0.0,0.0351,439330000.0,320588000.0,1498000.0,12.884,25.458,-1.026,12.0255,4.0953,0.9334,0.3297,2.5938,2.29,-7.9725,3.167,0.302,0.2491,0.0,1358352000.0,3329865000.0,-655456000.0,3314154000.0,803303000.0,376964000.0,820923500.0,0.1117,0.0043,15.3653,-0.0147,-0.4666,-0.001,0.0,0.0368,0.086,4.0,0.769,-148.5355,39.2431,76.1789,68.9666,4.624,9.8536,4.5247,-76.0,20.0,0.2452,0.0,3272267750.0,1698123500.0,4827511250.0,0.996,28.399,5.3509,-0.0006,-0.3014,0.0042,-0.0151,-0.4731,FLS,43.330002,43.38058797058824,5667470062.1756525
2017-12-31,-0.0703,-0.2044,-2.763,-2.7609,-2.7609,0.408,0.0428,0.0222,0.003,-0.0294,-0.0149,-1.0,0.4981,0.0,0.0075,-1.5041,0.0014,1034069000.0,-0.0344,729658000.0,304411000.0,0.0,222683000.0,360276000.0,-55865000.0,15041000.0,66961000.0,172843000.0,-6000.0,0.0,-105882000.0,0.0,-105882000.0,-0.81,-0.81,130635017.0,0.0,0.2944,0.109,0.0793,-0.102,0.2129,112512000.0,82002000.0,-105888000.0,3660831000.0,-0.0826,2575454000.0,1085377000.0,0.0,903864000.0,891272000.0,194105000.0,59730000.0,261331000.0,258679000.0,1676000.0,0.0,2652000.0,0.0,2652000.0,0.02,0.02,130635017.0,0.57,0.2965,0.12,0.0877,0.001,0.0696,439515000.0,321061000.0,4328000.0,12.666,26.656,1.685,12.0585,5.3848,0.9521,0.3208,5.4519,2.059,-2.2545,0.0,0.2909,0.2153,0.0,1315837000.0,3482237000.0,-680775000.0,3111141000.0,869674500.0,427600000.0,890981500.0,-0.0776,0.0024,7.7486,-0.0179,-0.6071,0.002,0.001,0.0401,0.088,5.0,0.763,117.2949,44.1802,85.4176,88.1657,4.2094,8.5613,4.1088,28.5,21.0,0.2469,0.0,3288682500.0,1689419250.0,4800976250.0,1.951,28.023,5.3752,0.0013,-0.1806,0.0062,-0.0153,-0.4742,FLS,42.130001,40.916970090909096,5503653396.845017
2017-09-30,-0.0376,37.664,4.0052,4.0,3.7692,-0.5724,-0.004,0.03,-0.015,-0.0507,-0.0841,0.0,-0.5239,0.0,-0.2665,1815.9204,0.002,883381000.0,-0.0661,615848000.0,267533000.0,0.0,206297000.0,62221000.0,205312000.0,15042000.0,67235000.0,19629000.0,1136000.0,0.0,47606000.0,0.0,47606000.0,0.36,0.36,130637488.0,0.19,0.3029,0.128,0.0931,0.054,0.0172,112826000.0,82277000.0,48742000.0,3697696000.0,-0.1204,2588282000.0,1109414000.0,0.0,901616000.0,747027000.0,362387000.0,59844000.0,282289000.0,113698000.0,3537000.0,0.0,168591000.0,0.0,168591000.0,1.29,1.29,130637488.0,0.95,0.3,0.124,0.0925,0.046,0.0485,459530000.0,342133000.0,172128000.0,13.386,26.104,0.116,12.1458,3.8438,0.9074,0.3282,5.4698,2.124,0.5411,0.528,0.2946,0.2335,0.0,1290693000.0,3410171000.0,-627501000.0,3346403000.0,874000500.0,377722000.0,995271000.0,-0.4107,0.0051,9.6126,-0.012,-0.3463,0.1,0.035,0.0698,0.093,6.0,0.778,1.4348,35.619,84.0266,93.9323,4.2308,9.7895,3.7153,0.736,19.0,0.2438,0.0,3339488500.0,1679879250.0,4750588500.0,1.373,28.305,5.7171,0.0858,-0.2587,0.0056,-0.0169,-0.5331,FLS,42.59,40.24428579999999,5563850613.92
2017-06-30,-0.2345,0.1871,-0.2298,-0.2381,-0.2381,1.2086,-0.0277,-0.0247,-0.0145,-0.1204,-0.1098,0.0,6.1858,0.0,0.1042,-1.0471,0.0019,877063000.0,-0.1463,631603000.0,245460000.0,0.0,252530000.0,249876000.0,-4416000.0,14951000.0,102765000.0,60887000.0,307000.0,0.0,41878000.0,0.0,41878000.0,0.32,0.32,130618272.0,0.19,0.2799,0.167,0.1342,0.048,0.0332,146486000.0,117716000.0,42185000.0,3760254000.0,-0.1365,2640394000.0,1119860000.0,0.0,976579000.0,962672000.0,157188000.0,59942000.0,202042000.0,96898000.0,3207000.0,0.0,105144000.0,0.0,105144000.0,0.81,0.8,130618272.0,0.95,0.2978,0.1,0.0697,0.028,0.0521,377719000.0,261984000.0,108351000.0,13.046,25.862,0.223,12.1792,3.8675,0.9336,0.3318,7.8735,2.107,1.019,0.594,0.2955,0.2879,0.0,1269232000.0,3378030000.0,-653772000.0,3317373000.0,889001000.0,392282500.0,999891500.0,-0.3184,0.0051,7.4114,-0.0155,-0.4722,0.063,0.022,0.0306,0.07,4.0,0.791,2.6286,35.6576,80.764,91.4201,4.2298,9.5856,3.7607,1.173,28.0,0.2597,0.0,3391084000.0,1666312500.0,4755454000.0,1.501,28.788,4.3706,0.054,-0.2908,0.0058,-0.0214,-0.6944,FLS,46.43,47.57611105555555,6064606368.96
2017-03-31,-0.1185,-0.4046,-0.4375,-0.4231,-0.4231,1.4553,-0.0636,-0.0452,-0.0415,-0.0911,-0.1362,0.0,0.5861,0.0,-0.0664,-0.2856,0.0035,866318000.0,-0.0844,597332000.0,268986000.0,0.0,221772000.0,218317000.0,50669000.0,14696000.0,24370000.0,5320000.0,239000.0,0.0,19050000.0,0.0,19050000.0,0.15,0.15,130520401.0,0.19,0.3105,0.078,0.0451,0.022,-0.0138,67691000.0,39066000.0,19289000.0,3910584000.0,-0.1289,2715519000.0,1195065000.0,0.0,952753000.0,939691000.0,255374000.0,60265000.0,183162000.0,65523000.0,2891000.0,0.0,117639000.0,0.0,117639000.0,0.91,0.9,130520401.0,0.95,0.3056,0.092,0.0622,0.03,0.0437,360176000.0,243427000.0,120530000.0,12.645,24.795,-0.091,12.0148,2.496,0.9502,0.3362,2.6583,2.049,0.2061,1.267,0.3061,0.256,0.0,1152894000.0,3236299000.0,-740499000.0,3379813000.0,873023000.0,382340500.0,1014077500.0,-4.0392,0.0131,18.354,-0.0183,-0.5541,0.07,0.025,0.0482,0.062,4.0,0.816,2.1509,33.0939,77.5964,87.7363,4.4794,10.228,3.8563,1.044,31.0,0.2436,0.0,3459650750.0,1676308500.0,4789593250.0,1.31,29.961,4.0393,0.063,-0.3243,0.0065,-0.021,-0.7028,FLS,48.419998,47.56638930555557,6319797555.379198
2016-12-31,-0.156,-0.1152,-0.0331,0.0,-0.0213,-0.4526,-0.0512,-0.0155,-0.0311,-0.1046,-0.0827,1.1111,-0.4607,0.0,-0.1682,-0.1195,-0.0032,1070934000.0,-0.1662,743499000.0,327435000.0,0.0,221017000.0,216613000.0,110822000.0,15155000.0,87919000.0,27862000.0,1855000.0,0.0,60057000.0,0.0,60057000.0,0.46,0.46,130452077.0,0.38,0.3057,0.124,0.0962,0.056,0.1372,132527000.0,103074000.0,61912000.0,3990487000.0,-0.1245,2759254000.0,1231233000.0,0.0,968530000.0,955604000.0,275629000.0,60137000.0,209835000.0,77380000.0,3077000.0,0.0,132455000.0,0.0,132455000.0,1.02,1.01,130452077.0,0.95,0.3085,0.097,0.0677,0.033,0.0386,386724000.0,269972000.0,135532000.0,12.391,25.215,1.127,12.0398,2.8145,0.9717,0.3335,6.8013,1.95,2.8229,0.826,0.3015,0.2064,0.0,1119251000.0,3289342000.0,-773846000.0,3314365000.0,934205000.0,451732500.0,938165500.0,-0.1331,0.0002,9.0809,-0.0211,-0.766,0.078,0.027,0.0534,0.068,5.0,0.82,1.8155,37.6926,80.7327,82.1095,4.2715,8.8337,4.2535,0.931,28.0,0.2427,0.0,3504313750.0,1694372250.0,4868811750.0,1.181,30.59,4.4893,0.0718,-0.3593,0.0076,-0.0217,-0.7401,FLS,48.049999,48.21647049999999,6268222169.3979225
2016-09-30,-0.2849,-0.9869,-1.1692,-1.169,-1.1857,-0.4668,-0.0591,0.0266,-0.0405,-0.103,-0.0694,0.0556,-0.6476,0.0,0.2583,-0.9993,-0.0224,945939000.0,-0.1373,667960000.0,277979000.0,0.0,281260000.0,277866000.0,113000.0,15140000.0,-13012000.0,2829000.0,806000.0,0.0,-15841000.0,0.0,-15841000.0,-0.12,-0.13,130379968.0,0.19,0.2939,0.033,0.0022,-0.017,0.0337,31015000.0,2128000.0,-15035000.0,4204001000.0,-0.0968,2912238000.0,1291763000.0,0.0,1013209000.0,1001093000.0,290670000.0,62540000.0,220856000.0,86344000.0,2311000.0,0.0,134512000.0,0.0,134512000.0,1.02,1.02,130379968.0,0.75,0.3073,0.095,0.0674,0.032,0.0665,398212000.0,283396000.0,136823000.0,12.996,26.112,0.245,12.3553,2.0008,0.9507,0.3319,0.1406,1.983,-3.803,-1.583,0.2986,0.2973,0.0,1181141000.0,3404505000.0,-757182000.0,3552785000.0,948227500.0,426806500.0,1077694500.0,-0.4707,0.0063,43.5279,-0.03,-0.9817,0.079,0.027,0.0527,0.067,4.0,0.852,2.8299,34.26,77.8581,90.2033,4.4335,9.8499,3.9009,0.735,27.0,0.241,0.0,3529352250.0,1702047000.0,4932357500.0,2.145,32.244,4.5314,0.0696,-0.2655,0.0108,-0.024,-0.8801,FLS,48.240002000000004,47.75861130555555,6289529917.079937
2016-06-30,-0.1312,-0.1827,-0.2751,-0.25,-0.25,-0.8264,-0.0716,0.017,-0.0468,-0.0925,-0.0635,0.0556,-0.9504,0.0,-0.0611,-0.265,-0.0304,1027393000.0,-0.116,706728000.0,320665000.0,0.0,228704000.0,226895000.0,93770000.0,15274000.0,83885000.0,29512000.0,-9000.0,0.0,54373000.0,0.0,54373000.0,0.42,0.42,130366915.0,0.19,0.3121,0.126,0.0965,0.053,0.0039,128943000.0,99159000.0,54364000.0,4354538000.0,-0.0856,2952004000.0,1402534000.0,0.0,955465000.0,944128000.0,458406000.0,63683000.0,379590000.0,135614000.0,2418000.0,0.0,243976000.0,0.0,243976000.0,1.85,1.85,130366915.0,0.74,0.3221,0.129,0.1018,0.056,0.0777,561669000.0,443273000.0,246394000.0,13.377,26.71,0.031,12.3821,2.0405,0.9256,0.3273,6.492,1.957,0.3553,0.452,0.2939,0.2226,0.0,1184760000.0,3482042000.0,-746023000.0,3591640000.0,994185000.0,460093500.0,1093831000.0,-0.7905,0.0078,10.4558,-0.0149,-0.5128,0.143,0.049,0.0823,0.102,4.0,0.869,1.7764,34.9715,79.2914,88.6794,4.38,9.4645,3.981,0.4,16.0,0.2194,0.0,3594745250.0,1700522500.0,5008520750.0,2.594,33.402,6.9606,0.1258,-0.2197,0.0108,-0.0219,-0.8041,FLS,45.169998,47.983333111111115,5888673289.81617
2016-03-31,-0.0801,-0.0914,0.2241,0.2381,0.3,0.9075,-0.0515,0.0185,-0.0259,-0.0993,-0.0275,0.0556,0.8357,0.0,-0.0099,-0.2404,-0.0345,946221000.0,-0.0674,641067000.0,305154000.0,0.0,237549000.0,234230000.0,70924000.0,14568000.0,51043000.0,17177000.0,425000.0,0.0,33866000.0,0.0,33866000.0,0.26,0.26,130069598.0,0.19,0.3225,0.1,0.0693,0.036,-0.0305,94239000.0,65611000.0,34291000.0,4489392000.0,-0.0694,3038431000.0,1450961000.0,0.0,970355000.0,958748000.0,492213000.0,63801000.0,401633000.0,137022000.0,4051000.0,0.0,264611000.0,0.0,264611000.0,1.99,1.99,130069598.0,0.73,0.3232,0.131,0.1037,0.059,0.0926,587305000.0,465434000.0,268662000.0,13.244,27.005,-0.222,12.578,2.3858,0.9497,0.3284,4.5038,1.898,-0.2547,0.731,0.2948,0.2511,0.0,1149387000.0,3512569000.0,-810875000.0,3558465000.0,965114000.0,447328500.0,1103547500.0,2.3434,0.0169,14.0674,-0.0214,-0.706,0.155,0.052,0.0896,0.104,4.0,0.88,1.9853,33.3435,74.3663,88.47,4.6517,10.036,4.0681,0.367,15.0,0.2161,0.0,3658302750.0,1706672500.0,5103633250.0,3.197,34.515,7.2951,0.138,-0.2085,0.0106,-0.0244,-0.8988,FLS,44.41,43.559714485714295,5776390847.179999
