,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0434,0.0645,0.0307,0.0333,0.0333,0.0034,0.0974,-0.0138,0.0987,0.625,0.0781,0.0289,-0.3696,0.0,0.1247,0.039,0.0145,8467500000.0,0.2815,7552000000.0,915500000.0,0.0,51400000.0,51400000.0,864100000.0,274600000.0,692200000.0,18400000.0,13400000.0,0.0,673800000.0,0.0,673800000.0,0.31,0.31,2172636036.0,0.427,0.1081,0.168,0.1142,0.08,0.0578,1425100000.0,966800000.0,687200000.0,33079500000.0,0.2565,29268800000.0,3810700000.0,0.0,189400000.0,189400000.0,3621300000.0,1016200000.0,2993900000.0,34500000.0,57900000.0,0.0,2959400000.0,0.0,2959400000.0,1.36,1.36,2172636036.0,1.696,0.1152,0.173,0.1212,0.089,0.0338,5734600000.0,4010100000.0,3017300000.0,10.435,21.573,0.225,11.8238,0.1572,1.1331,0.4562,3.5208,0.741,2.173,1.377,0.1677,0.0061,0.0,-2446700000.0,46870100000.0,-26218300000.0,62768200000.0,3489500000.0,4689850000.0,1666950000.0,-0.6656,0.131,0.054,0.0466,0.121,6.0,0.603,1.6994,62.7979,47.6703,19.0844,9.4797,7.0534,19.8443,1.247,21.0,0.0057,0.0,61322475000.0,22575675000.0,54878100000.0,0.515,15.226,3.9462,0.0855,-0.7774,EPD,27.67,28.342857028571423,60116839116.12
2018-03-31,0.0897,0.1397,0.184,0.1389,0.1389,0.4089,0.0767,-0.0116,0.0841,0.4087,-0.1156,0.0366,-0.3551,0.0,0.0516,0.0918,0.0196,9298500000.0,0.2702,8222700000.0,1075800000.0,0.0,53000000.0,53000000.0,1022800000.0,252100000.0,905800000.0,5100000.0,10800000.0,0.0,900700000.0,0.0,900700000.0,0.41,0.41,2161094920.0,0.425,0.1157,0.171,0.1245,0.097,0.0309,1588900000.0,1157900000.0,911500000.0,31219600000.0,0.2322,27447000000.0,3772600000.0,0.0,183700000.0,183700000.0,3588900000.0,987400000.0,2964100000.0,24800000.0,56800000.0,0.0,2939300000.0,0.0,2939300000.0,1.35,1.35,2161094920.0,1.683,0.1208,0.18,0.1266,0.094,0.045,5624200000.0,3951500000.0,2996100000.0,10.529,21.286,0.133,11.7502,0.0998,1.116,0.4577,4.593,0.768,1.3696,1.037,0.1709,0.0057,0.0,-2048600000.0,46000700000.0,-25726400000.0,62338700000.0,3798950000.0,4975400000.0,1810950000.0,-0.7673,0.13,0.055,0.0462,0.127,5.0,0.582,1.7094,67.3002,51.9506,19.8742,8.218,6.2748,17.2393,1.247,20.0,0.0059,0.0,59951525000.0,22572800000.0,53628575000.0,0.651,14.446,4.0019,0.0855,-0.7201,EPD,24.48,25.484117617647062,52903603641.6
2017-12-31,0.1634,0.1191,0.1749,0.1613,0.1613,0.3115,0.0426,-0.0004,0.0368,0.3091,-0.0908,0.0444,0.0352,0.0,0.1176,0.1656,0.0231,8426600000.0,0.3006,7414300000.0,1012300000.0,0.0,43700000.0,43700000.0,968600000.0,245600000.0,779600000.0,5600000.0,23300000.0,0.0,774000000.0,0.0,774000000.0,0.36,0.36,2152702622.0,0.423,0.1201,0.172,0.1217,0.092,0.1024,1447800000.0,1025200000.0,797300000.0,29241500000.0,0.2701,25557500000.0,3684000000.0,0.0,181100000.0,181100000.0,3502900000.0,984600000.0,2825000000.0,25700000.0,56300000.0,0.0,2799300000.0,0.0,2799300000.0,1.3,1.3,2152702622.0,1.668,0.126,0.187,0.1303,0.096,0.0535,5453600000.0,3809600000.0,2855600000.0,10.474,20.896,0.401,11.413,0.0327,1.0897,0.4515,4.1743,0.7,2.3855,1.175,0.1734,0.0052,0.0,-2788700000.0,44982600000.0,-25139300000.0,60185900000.0,3845400000.0,4805900000.0,1690150000.0,-0.5327,0.124,0.053,0.0461,0.13,6.0,0.555,1.667,68.5938,54.4251,20.0939,7.6043,6.0845,17.3011,1.283,21.0,0.0062,0.0,58924125000.0,22529300000.0,52640375000.0,0.727,13.584,3.8692,0.0853,-0.6647,EPD,26.51,25.165151393939396,57068146509.22
2017-09-30,-0.0557,-0.0338,-0.0373,-0.0667,-0.0667,-0.404,0.0398,-0.0025,0.0317,0.1526,0.1252,0.05,-2.9942,0.0,-0.0167,-0.0577,0.026,6886900000.0,0.1632,6079800000.0,807100000.0,0.0,41300000.0,41300000.0,765800000.0,243900000.0,616300000.0,5400000.0,10400000.0,0.0,610900000.0,0.0,610900000.0,0.28,0.28,2148986109.0,0.42,0.1172,0.185,0.1249,0.089,-0.0755,1272800000.0,860200000.0,621300000.0,27293700000.0,0.2024,23751900000.0,3541800000.0,0.0,176500000.0,176500000.0,3365300000.0,986000000.0,2714500000.0,30400000.0,43900000.0,0.0,2684100000.0,0.0,2684100000.0,1.25,1.25,2148986109.0,1.65,0.1298,0.195,0.1356,0.098,0.0562,5318600000.0,3700500000.0,2728000000.0,10.391,20.389,-0.242,11.5031,0.0464,1.107,0.4638,3.5269,0.715,0.7939,1.5,0.178,0.006,0.0,-2407600000.0,43815600000.0,-24720600000.0,59997100000.0,3170600000.0,4114200000.0,1872850000.0,-2.0724,0.12,0.052,0.0444,0.136,6.0,0.524,1.5751,61.3756,45.4069,26.5214,8.6084,6.634,14.5734,1.32,21.0,0.0065,0.0,58281225000.0,22404250000.0,52084350000.0,0.714,12.701,3.753,0.0824,-0.6369,EPD,26.07,25.874857228571425,56024067861.63
2017-06-30,0.1028,0.1317,0.1705,0.1111,0.1111,0.5434,-0.0017,0.0138,0.0256,-0.1304,-0.0645,0.0506,8.2784,0.0,0.302,0.0936,0.0289,6607600000.0,0.1762,5730200000.0,877400000.0,0.0,45700000.0,45700000.0,831700000.0,245800000.0,662400000.0,8700000.0,12300000.0,0.0,653700000.0,0.0,653700000.0,0.3,0.3,2141588793.0,0.415,0.1328,0.199,0.1374,0.099,0.1175,1314700000.0,908200000.0,666000000.0,26327200000.0,0.1404,22737800000.0,3589400000.0,0.0,177200000.0,177200000.0,3412200000.0,993000000.0,2737600000.0,29800000.0,42000000.0,0.0,2707800000.0,0.0,2707800000.0,1.27,1.27,2141588793.0,1.63,0.1363,0.202,0.1417,0.103,0.088,5328000000.0,3730600000.0,2749800000.0,10.581,19.512,0.363,10.9177,0.0299,1.0318,0.4557,3.6949,0.612,2.2324,1.383,0.1857,0.0069,0.0,-3034100000.0,41785700000.0,-23648600000.0,57284400000.0,2858100000.0,3816350000.0,1659600000.0,-0.4678,0.122,0.053,0.0459,0.142,5.0,0.51,1.6827,51.1359,36.8602,22.242,9.2114,6.8985,15.8636,1.283,22.0,0.0067,0.0,57697600000.0,22276400000.0,51573800000.0,1.081,12.293,3.7569,0.0868,-0.4917,EPD,27.08,26.798055527777787,57994224514.439995
2017-03-31,0.15,0.1162,0.1505,0.125,0.125,-0.0268,0.036,0.0191,0.0293,0.2872,0.5599,0.0513,5.6716,0.0,0.1481,0.1502,0.0487,7320400000.0,0.4625,6333200000.0,987200000.0,0.0,50400000.0,50400000.0,936800000.0,249300000.0,766700000.0,6000000.0,10300000.0,0.0,760700000.0,0.0,760700000.0,0.36,0.36,2119600196.0,0.41,0.1349,0.194,0.1388,0.104,0.0608,1418300000.0,1016000000.0,771000000.0,25337400000.0,0.0316,21829800000.0,3507600000.0,0.0,166600000.0,166600000.0,3341000000.0,991300000.0,2633600000.0,21000000.0,41200000.0,0.0,2612600000.0,0.0,2612600000.0,1.24,1.24,2119600196.0,1.61,0.1384,0.205,0.1431,0.103,0.0641,5197100000.0,3624900000.0,2653800000.0,10.653,19.797,0.21,11.0507,0.0505,1.0374,0.4546,4.0754,0.8,1.151,1.139,0.1857,0.0069,0.0,-1406500000.0,41961200000.0,-23088000000.0,58229100000.0,2802450000.0,3832700000.0,1577050000.0,-0.4915,0.119,0.051,0.045,0.143,6.0,0.491,1.5474,60.4228,45.441,27.6875,9.0412,6.6108,16.0663,1.298,23.0,0.0066,0.0,57624675000.0,22042425000.0,51595675000.0,0.766,11.954,3.6567,0.0813,-0.5985,EPD,27.610001,27.873333361111115,58522163531.160194
2016-12-31,-0.0468,-0.0004,-0.038,-0.0882,-0.0882,-0.0024,0.0695,0.0356,0.0513,0.2954,0.7055,0.0519,2.8112,0.0,-0.2085,-0.0375,0.0491,6478800000.0,0.0526,5608700000.0,870100000.0,0.0,39100000.0,39100000.0,831000000.0,247000000.0,669100000.0,10300000.0,10900000.0,0.0,658800000.0,0.0,658800000.0,0.31,0.31,2104197364.0,0.405,0.1343,0.203,0.1414,0.102,0.1287,1312800000.0,916100000.0,669700000.0,23022300000.0,-0.1482,19643500000.0,3378800000.0,0.0,160100000.0,160100000.0,3218700000.0,982600000.0,2536500000.0,23400000.0,39900000.0,0.0,2513100000.0,0.0,2513100000.0,1.2,1.2,2104197364.0,1.59,0.1468,0.22,0.1529,0.109,0.047,5071100000.0,3519100000.0,2553000000.0,10.478,20.238,0.396,11.2621,0.1985,1.0749,0.454,3.7089,0.791,2.1369,1.306,0.1841,0.006,0.0,-1722300000.0,42584700000.0,-23399800000.0,57614300000.0,2950850000.0,3772550000.0,1404300000.0,-0.4079,0.116,0.049,0.0444,0.153,6.0,0.45,1.6182,65.2638,52.804,28.0698,7.8019,6.1026,16.3941,1.325,23.0,0.007,0.0,57178925000.0,21679825000.0,51147650000.0,0.515,10.941,3.5814,0.0796,-0.7338,EPD,27.040001,25.872941147058818,56897498826.75736
2016-09-30,-0.0007,-0.0091,-0.0226,-0.0909,-0.0625,0.1801,0.0563,0.035,0.0667,0.0507,0.6238,0.0526,1.8714,0.0,-0.1429,0.0079,0.0456,5920400000.0,-0.0614,5065700000.0,854700000.0,0.0,42000000.0,42000000.0,812700000.0,250900000.0,639400000.0,4800000.0,8500000.0,0.0,634600000.0,0.0,634600000.0,0.3,0.3,2094540009.0,0.4,0.1444,0.217,0.1504,0.107,0.0441,1282200000.0,890300000.0,643100000.0,22698500000.0,-0.2693,19277000000.0,3421500000.0,0.0,170400000.0,170400000.0,3251100000.0,974200000.0,2545300000.0,6200000.0,37700000.0,0.0,2539100000.0,0.0,2539100000.0,1.23,1.23,2094540009.0,1.57,0.1507,0.222,0.1551,0.112,0.0206,5043100000.0,3519500000.0,2576800000.0,10.417,19.864,0.125,11.4389,0.1597,1.0981,0.4674,3.5484,0.759,1.2824,1.333,0.1883,0.0071,0.0,-1826700000.0,41606000000.0,-23478100000.0,57662600000.0,2874750000.0,3556000000.0,1423950000.0,-0.6795,0.12,0.05,0.0444,0.155,5.0,0.451,1.603,58.5148,47.3695,28.3416,7.8958,6.3832,15.9405,1.276,23.0,0.0075,0.0,56365125000.0,21241850000.0,50299700000.0,0.223,10.837,3.6127,0.0811,-0.885,EPD,27.629998999999998,26.87833327777777,57872138354.12999
2016-06-30,0.0824,0.0243,0.0136,-0.0357,-0.0357,-0.0022,0.0673,0.0328,0.0226,-0.0869,0.7152,0.0533,-0.2432,0.0,-0.2183,0.102,0.0452,5617800000.0,-0.2079,4822200000.0,795600000.0,0.0,35100000.0,35100000.0,760500000.0,244100000.0,558400000.0,-100000.0,11500000.0,0.0,558500000.0,0.0,558500000.0,0.27,0.27,2081508834.0,0.395,0.1416,0.211,0.1428,0.099,0.0149,1183800000.0,802500000.0,570000000.0,23086000000.0,-0.3775,19663900000.0,3422100000.0,0.0,177400000.0,177400000.0,3244700000.0,967000000.0,2560700000.0,6900000.0,37600000.0,0.0,2553800000.0,0.0,2553800000.0,1.26,1.25,2081508834.0,1.55,0.1482,0.218,0.1528,0.111,-0.004,5032200000.0,3527700000.0,2591400000.0,10.437,20.037,0.04,10.9524,0.2335,1.0494,0.4435,3.2876,0.85,1.6929,1.463,0.1886,0.0062,0.0,-1056300000.0,41707300000.0,-23485200000.0,56992700000.0,3203000000.0,4045100000.0,1357350000.0,-0.9115,0.123,0.051,0.0458,0.153,5.0,0.465,1.5451,62.3611,48.3404,27.1133,7.2076,5.7072,17.0081,1.23,24.0,0.0077,0.0,55487225000.0,20827575000.0,49617050000.0,-0.044,11.091,3.6481,0.0799,-1.0234,EPD,29.26,27.87166661111111,60904948482.840004
2016-03-31,0.0027,0.032,0.0395,-0.0303,0.0,-0.0569,0.0695,0.0211,0.0539,-0.18,0.4404,0.0541,-1.5927,0.0,-0.1095,0.0095,0.0432,5005300000.0,-0.3302,4146900000.0,858400000.0,0.0,43900000.0,43900000.0,814500000.0,240600000.0,669600000.0,8400000.0,9000000.0,0.0,661200000.0,0.0,661200000.0,0.32,0.32,2021263324.0,0.39,0.1715,0.258,0.1818,0.132,-0.019,1292300000.0,910200000.0,670200000.0,24560700000.0,-0.4223,21199200000.0,3361500000.0,0.0,187200000.0,187200000.0,3174300000.0,963300000.0,2545400000.0,-900000.0,31700000.0,0.0,2546300000.0,0.0,2546300000.0,1.27,1.26,2021263324.0,1.53,0.1369,0.205,0.1429,0.104,-0.0027,5039400000.0,3508700000.0,2578000000.0,10.453,19.79,-0.047,11.2582,0.1472,1.077,0.4575,3.783,0.764,1.3607,1.219,0.1958,0.0088,0.0,-1420800000.0,40001300000.0,-23798500000.0,56446100000.0,2719500000.0,3655000000.0,1043750000.0,-1.1059,0.125,0.052,0.0453,0.143,6.0,0.503,1.5505,51.583,36.4172,18.3104,9.0313,6.7198,23.5312,1.205,21.0,0.0076,0.0,54986750000.0,20427925000.0,48806700000.0,-0.032,12.151,3.6424,0.0815,-1.0165,EPD,24.620001000000002,23.531714257142855,49763505058.143326
