,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-05-31,0.239,0.187,0.3031,0.3043,0.3043,0.2175,0.0651,0.0698,0.0747,-0.1931,0.1113,0.0,0.4098,0.0,0.2796,0.1834,0.0001,262236000.0,0.2774,203531000.0,58705000.0,0.0,35009000.0,35009000.0,23696000.0,3838000.0,20149000.0,4431000.0,0.0,0.0,15718000.0,0.0,15718000.0,0.6,0.6,26024006.0,0.17,0.2239,0.141,0.0915,0.06,-0.058,37058000.0,23987000.0,15718000.0,867383000.0,0.0598,695751000.0,171632000.0,0.0,119711000.0,119711000.0,51921000.0,14338000.0,34200000.0,-14625000.0,0.0,0.0,48825000.0,0.0,48825000.0,1.88,1.87,26024006.0,26036000.0,0.68,0.1979,0.115,0.056,0.056,0.0695,99712000.0,48538000.0,48825000.0,22.149,22.66,-0.585,12.3788,0.5356,0.5589,0.301,6.2499,2.958,-0.7867,0.283,0.449,0.1335,0.0,248470000.0,589711000.0,-118414000.0,771019000.0,189491000.0,53358000.0,106650000.0,0.2302,0.087,0.047,0.0349,0.056,5.0,0.839,1.6866,24.9252,71.2168,47.2456,4.5774,16.2559,8.133,0.362,29.0,0.138,0.0,728311500.0,558617000.0,1034308000.0,2.318,33.33,3.3853,0.1055,-0.2675,AZZ,43.25,44.39027761111111,1125538259.5
2018-02-28,-0.1879,-0.7259,0.9142,0.9362,0.9149,-0.2542,0.051,0.06,0.1086,-0.2503,0.1782,0.0,-0.2259,0.0,0.1254,-0.5636,0.0002,200660000.0,0.089,162650000.0,38010000.0,0.0,28726000.0,28726000.0,9284000.0,3593000.0,2292000.0,-21195000.0,0.0,0.0,23487000.0,0.0,23487000.0,0.91,0.9,25970000.0,0.17,0.1894,0.093,0.0293,0.117,0.1614,18571000.0,5885000.0,23487000.0,810430000.0,-0.0615,650121000.0,160309000.0,0.0,112061000.0,112061000.0,48248000.0,13860000.0,30899000.0,-14270000.0,0.0,0.0,45169000.0,0.0,45169000.0,1.74,1.73,25970000.0,26097000.0,0.68,0.1978,0.118,0.0552,0.056,0.0614,95285000.0,44759000.0,45169000.0,21.764,21.025,1.247,11.5863,0.803,0.5324,0.2926,1.6379,2.499,1.7115,0.187,0.469,0.1432,0.0,197415000.0,546009000.0,-133852000.0,694312000.0,165110000.0,51989000.0,102384000.0,-0.1946,0.082,0.044,0.0339,0.055,4.0,0.796,1.747,24.3934,63.7231,49.8843,4.9084,15.5885,7.9156,0.391,30.0,0.1383,0.0,716186250.0,549194250.0,1017947000.0,1.916,31.206,3.2294,0.109,-0.3695,AZZ,40.849998,44.68000025714285,1060874448.06
2017-11-30,-0.3934,-0.9431,-1.01,-1.0156,-1.0156,3.9572,0.0114,0.0491,-0.0138,0.0752,-0.1148,0.0,17.2997,0.0,0.1787,-0.9407,-0.0019,208158000.0,-0.0875,177041000.0,31117000.0,0.0,29563000.0,29563000.0,1554000.0,3507000.0,-1968000.0,-1802000.0,0.0,0.0,-166000.0,0.0,-166000.0,-0.01,-0.01,25961323.0,0.17,0.1495,0.069,0.0074,-0.001,0.1492,14395000.0,1539000.0,-166000.0,794036000.0,-0.1008,624935000.0,169101000.0,0.0,108861000.0,108861000.0,60240000.0,13840000.0,46508000.0,12556000.0,0.0,0.0,33952000.0,0.0,33952000.0,1.3,1.3,25961323.0,25937000.0,0.68,0.213,0.139,0.076,0.043,0.0746,110581000.0,60348000.0,33952000.0,20.946,21.352,1.196,11.8196,0.4103,0.5643,0.2981,0.4388,2.461,-216.4157,-17.0,0.4614,0.142,0.0,198977000.0,554316000.0,-150338000.0,714351000.0,200361500.0,50789000.0,118595000.0,-0.1357,0.063,0.034,0.042,0.076,6.0,0.79,2.7277,20.9925,95.4404,51.1951,3.963,15.634,6.6954,0.523,26.0,0.1371,0.0,704863000.0,541177500.0,1005483250.0,2.281,30.585,4.3604,0.0812,-0.3607,AZZ,48.099998,46.32638874999999,1248739584.377354
2017-08-31,0.0403,0.1431,-0.0367,-0.0256,-0.0256,-0.5371,0.018,0.0722,0.0014,0.2405,-0.1061,0.1333,-0.6109,0.0,-0.0216,0.1509,0.0024,196329000.0,-0.0222,152529000.0,43800000.0,0.0,26413000.0,26413000.0,17387000.0,3400000.0,13727000.0,3941000.0,0.0,0.0,9786000.0,0.0,9786000.0,0.38,0.38,25994263.0,0.17,0.2231,0.151,0.0872,0.05,0.0616,29688000.0,17127000.0,9786000.0,813994000.0,-0.093,624713000.0,189281000.0,0.0,104380000.0,104380000.0,84901000.0,13987000.0,71853000.0,21089000.0,0.0,0.0,50764000.0,0.0,50764000.0,1.95,1.95,25994263.0,25778000.0,0.68,0.2325,0.167,0.1055,0.062,0.0322,135811000.0,85840000.0,50764000.0,21.123,21.302,0.465,11.6106,0.1365,0.5497,0.2989,5.0374,2.729,1.8996,0.447,0.4515,0.1345,0.0,204776000.0,553717000.0,-137305000.0,733564000.0,184553000.0,46999000.0,114889000.0,-0.3491,0.095,0.051,0.0588,0.105,5.0,0.812,1.2594,19.5945,91.6372,48.631,4.4106,17.3194,7.085,0.349,18.0,0.1282,0.0,701903000.0,535059500.0,1002587750.0,1.01,31.314,6.1371,0.1167,-0.5894,AZZ,48.900002,49.581080945945956,1271119512.688526
2017-05-31,-0.2725,-0.447,-0.4564,-0.4651,-0.4588,-2.6015,-0.0058,0.067,-0.0765,0.1315,-0.0898,0.1333,-49.7362,0.0,-0.0507,-0.4485,0.004,205283000.0,-0.1801,157901000.0,47382000.0,0.0,27359000.0,27359000.0,20023000.0,3360000.0,16848000.0,4786000.0,0.0,0.0,12062000.0,0.0,12062000.0,0.46,0.46,26020582.0,0.17,0.2308,0.159,0.0984,0.059,-0.1256,32631000.0,20208000.0,12062000.0,818455000.0,-0.1015,630870000.0,187585000.0,0.0,104964000.0,104964000.0,82621000.0,14167000.0,69529000.0,18392000.0,0.0,0.0,51137000.0,0.0,51137000.0,1.96,1.96,26020582.0,25693000.0,0.66,0.2292,0.164,0.1023,0.062,0.0553,133842000.0,83696000.0,51137000.0,20.703,21.361,-0.991,11.5203,0.2435,0.5564,0.2983,6.0143,2.568,-1.3102,0.37,0.4468,0.1333,0.0,198756000.0,555821000.0,-140545000.0,722518000.0,197557500.0,51908000.0,106010500.0,0.6309,0.097,0.051,0.0583,0.102,5.0,0.82,1.6721,21.1761,93.5375,45.0538,4.1429,15.7674,7.7205,0.337,20.0,0.1282,0.0,685667000.0,525501000.0,998125750.0,1.739,31.454,5.9078,0.1192,-0.4708,AZZ,54.25,57.10857097142857,1411616573.5
2017-02-28,-0.1146,-0.0319,-0.1726,-0.1897,-0.1754,0.367,-0.01,0.0937,-0.1664,-0.0316,0.2188,0.1333,0.3171,0.0,-0.0973,-0.1345,0.0064,184266000.0,-0.0959,137464000.0,46802000.0,0.0,25526000.0,25526000.0,21276000.0,3573000.0,17901000.0,5631000.0,0.0,0.0,12270000.0,0.0,12270000.0,0.47,0.47,25965000.0,0.17,0.254,0.184,0.1165,0.067,0.227,33867000.0,21474000.0,12270000.0,863538000.0,-0.0291,658206000.0,205332000.0,0.0,106424000.0,106424000.0,98908000.0,14732000.0,85297000.0,24033000.0,0.0,0.0,61264000.0,0.0,61264000.0,2.36,2.35,25965000.0,25561000.0,0.64,0.2378,0.174,0.1158,0.071,0.0817,150386000.0,100029000.0,61264000.0,20.533,20.245,1.611,10.4536,0.4353,0.5091,0.2774,6.0101,2.172,4.3929,0.362,0.4627,0.1385,0.0,160282000.0,525662000.0,-148166000.0,649019000.0,191815000.0,48282000.0,85569000.0,-0.224,0.119,0.061,0.073,0.116,5.0,0.864,1.8147,21.0562,79.7732,39.7349,4.5019,17.8853,10.0917,0.271,18.0,0.1232,0.0,681220000.0,516546250.0,999592750.0,2.716,33.258,6.7899,0.1575,-0.3658,AZZ,58.650002,59.11571425714286,1522847301.93
2016-11-30,-0.1786,-0.2584,-0.2931,-0.2967,-0.2967,-0.853,0.027,0.0991,-0.0333,0.0904,0.0466,0.1333,-1.0484,0.0,-0.0368,-0.28,0.0084,228116000.0,-0.0591,176819000.0,51297000.0,0.0,25082000.0,25082000.0,26215000.0,3654000.0,23377000.0,6731000.0,0.0,0.0,16646000.0,0.0,16646000.0,0.64,0.64,26009508.0,0.17,0.2249,0.174,0.1185,0.073,-0.0084,39625000.0,27031000.0,16646000.0,883091000.0,0.014,671701000.0,211390000.0,0.0,109176000.0,109176000.0,102214000.0,14702000.0,86034000.0,22210000.0,0.0,0.0,63824000.0,0.0,63824000.0,2.47,2.45,26009508.0,25362120.0,0.62,0.2394,0.171,0.1141,0.072,0.0684,151040000.0,100736000.0,63824000.0,19.966,21.583,-0.073,11.9631,0.5182,0.5992,0.3057,7.3976,2.155,0.4354,0.266,0.4484,0.11,0.0,180744000.0,561376000.0,-161087000.0,702511000.0,185097500.0,60318000.0,123019000.0,-1.2629,0.127,0.064,0.0737,0.114,5.0,0.881,1.5152,23.1088,79.8114,52.0032,4.771,14.6406,7.1785,0.251,20.0,0.1236,0.0,688400000.0,504354750.0,1002054500.0,2.324,33.953,6.8519,0.1577,-0.375,AZZ,65.099998,57.92750000000001,1693218918.780984
2016-08-31,-0.2131,-0.4214,-0.4108,-0.4179,-0.4179,-0.199,0.0078,0.1342,-0.1633,-0.0217,0.0729,0.0,-0.1182,0.0,-0.0033,-0.4282,0.0062,200790000.0,-0.0628,158686000.0,42104000.0,0.0,26997000.0,26997000.0,15107000.0,3580000.0,11403000.0,1244000.0,0.0,0.0,10159000.0,0.0,10159000.0,0.39,0.39,25931498.0,0.15,0.2097,0.138,0.0746,0.051,0.1549,27719000.0,14983000.0,10159000.0,897422000.0,0.0517,674881000.0,222541000.0,0.0,110134000.0,110134000.0,112407000.0,14791000.0,95365000.0,24640000.0,0.0,0.0,70725000.0,0.0,70725000.0,2.74,2.72,25931498.0,25201308.0,0.6,0.248,0.178,0.1227,0.079,0.1133,159818000.0,110156000.0,70725000.0,19.7,20.532,1.199,11.622,0.6137,0.5899,0.3039,4.1852,2.066,3.9531,0.385,0.4631,0.1345,0.0,159158000.0,532414000.0,-172466000.0,668620000.0,166572500.0,51037000.0,117201500.0,-0.2257,0.144,0.071,0.0829,0.123,6.0,0.902,1.962,20.458,67.0048,49.3454,5.3876,17.5838,7.6571,0.219,18.0,0.1227,0.0,681237750.0,491671250.0,995373750.0,3.921,34.607,7.4475,0.1846,-0.2673,AZZ,66.43,64.04270264864866,1722629412.14
2016-05-31,0.0982,0.1072,0.1137,0.1169,0.1039,1.0898,0.0196,0.1433,-0.1158,0.0,-0.0253,0.0,0.6581,0.0,0.0908,0.1041,0.0059,250366000.0,0.0938,185238000.0,65128000.0,0.0,28819000.0,28819000.0,36309000.0,3925000.0,32616000.0,10427000.0,0.0,0.0,22189000.0,0.0,22189000.0,0.86,0.85,25918006.0,0.15,0.2601,0.196,0.146,0.089,-0.002,49175000.0,36541000.0,22189000.0,910878000.0,0.0942,676936000.0,233942000.0,0.0,110223000.0,110223000.0,123719000.0,15234000.0,105836000.0,28027000.0,0.0,0.0,77809000.0,0.0,77809000.0,3.02,3.0,25918006.0,24951634.0,0.6,0.2568,0.187,0.1329,0.085,0.1162,170058000.0,121070000.0,77809000.0,19.403,21.097,-0.02,12.5238,0.4659,0.6455,0.3212,9.3098,2.048,0.4447,0.174,0.4589,0.1151,0.0,162047000.0,546798000.0,-191085000.0,704730000.0,185370500.0,54252500.0,112438000.0,-1.0515,0.164,0.078,0.0891,0.133,7.0,0.917,1.9115,22.5729,74.2808,44.4771,4.9138,16.7896,8.1012,0.199,15.0,0.121,0.0,694426250.0,475859750.0,993452000.0,4.084,35.145,7.9474,0.1984,-0.2884,AZZ,59.02,56.37083327777779,1529680714.1200001
2016-02-29,0.0897,-0.0815,-0.1254,-0.1212,-0.1364,0.1193,0.0547,0.1476,-0.0362,0.2234,-0.2838,0.0,0.2347,0.0,0.1618,0.0171,0.0048,203819000.0,0.0998,150958000.0,52861000.0,0.0,28278000.0,28278000.0,24583000.0,3543000.0,18638000.0,3808000.0,0.0,0.0,14830000.0,0.0,14830000.0,0.58,0.57,25800000.0,0.15,0.2594,0.169,0.1088,0.073,0.1558,34521000.0,22181000.0,14830000.0,889400000.0,0.085,661282000.0,228118000.0,0.0,107823000.0,107823000.0,120295000.0,15155000.0,102375000.0,26831000.0,0.0,0.0,75544000.0,0.0,75544000.0,2.93,2.91,25800000.0,24604352.0,0.6,0.2565,0.185,0.1321,0.085,0.1179,164947000.0,117530000.0,75544000.0,18.774,21.002,1.231,12.621,1.5578,0.6723,0.3295,6.2605,2.11,2.6589,0.259,0.4517,0.1387,0.0,165976000.0,541858000.0,-188306000.0,677739000.0,177106000.0,48164000.0,92414000.0,-0.1946,0.164,0.076,0.0915,0.132,8.0,0.9,1.9007,19.1849,79.984,31.6537,5.0219,18.4661,9.6241,0.205,14.0,0.1212,0.0,696606750.0,459451500.0,988590000.0,4.065,34.473,7.7552,0.1926,-0.2697,AZZ,50.5,49.64205894117646,1302900000.0
