,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.1111,-14.4553,-5.728,-5.7105,-5.7105,-1.0091,-0.148,-0.1955,-0.0496,-0.1254,0.0,0.0,-1.521,0.0,0.164,-18.0946,0.0086,258369000.0,-0.0711,159734000.0,98635000.0,0.0,21717000.0,944241000.0,-845606000.0,74130000.0,-666902000.0,-38839000.0,-249969000.0,0.0,-628063000.0,0.0,-628063000.0,-2.55,-2.55,246780734.0,262422000.0,0.0,0.3818,-1.792,-2.2943,-2.431,-0.1672,-463091000.0,-592772000.0,-878032000.0,1089323000.0,-0.2416,627561000.0,461762000.0,0.0,80896000.0,1529492000.0,-1067730000.0,295478000.0,-1124272000.0,-232408000.0,-241948000.0,0.0,-891864000.0,0.0,-891864000.0,-3.63,-3.63,246780734.0,244743000.0,0.0,0.4239,-0.271,-0.7608,-0.819,0.1079,-294680000.0,-828794000.0,-1133812000.0,17.677,38.065,-0.175,15.571,1.6674,0.8809,0.4091,-7.9964,2.068,0.0016,0.0,0.0,0.0841,0.0,360017000.0,9393687000.0,-3923384000.0,12487576000.0,227443000.0,90127500.0,0.0,41.3886,0.025,-7.4092,-0.1632,-0.3252,-0.179,-0.086,-0.081,-0.761,4.0,0.105,-0.2843,31.3666,71.1117,0.0,4.7894,12.0865,0.0,0.0,-6.0,0.0743,0.0,13291152750.0,4978331500.0,10338672000.0,0.476,4.414,-2.8049,-0.1004,-0.5363,0.0245,-0.1248,-0.2546,NE,6.33,5.672000000000001,1562122046.22
2018-03-31,-0.5232,-3.1716,0.5282,0.5323,0.5323,-0.6129,-0.067,-0.0943,-0.0496,-0.3633,0.0,0.0,-0.7956,0.0,0.3906,-2.2511,0.0086,235157000.0,-0.3521,141199000.0,93958000.0,0.0,22083000.0,150838000.0,-56880000.0,76015000.0,-139338000.0,2996000.0,-986000.0,0.0,-142334000.0,0.0,-142334000.0,-0.58,-0.58,246776217.0,267041000.0,0.0,0.3996,0.278,-0.2693,-0.605,0.0902,65432000.0,-63323000.0,-143320000.0,1109096000.0,-0.4598,635002000.0,474094000.0,0.0,77837000.0,740503000.0,-266409000.0,294557000.0,-568933000.0,-211782000.0,3678000.0,1486000.0,-357151000.0,0.0,-357151000.0,-1.46,-1.46,246776217.0,243127000.0,0.0,0.4275,0.24,-0.2474,-0.322,0.2197,266651000.0,-274376000.0,-353473000.0,20.213,41.609,0.086,15.5661,1.8708,0.7701,0.3741,-0.833,2.447,-0.3858,0.0,0.0,0.0939,0.0,426010000.0,10268123000.0,-3888878000.0,13353345000.0,233663000.0,89028500.0,0.0,-0.6137,0.0267,51.6517,-0.1433,-0.2617,-0.068,-0.033,-0.0188,-0.247,4.0,0.103,-1.0275,31.0256,59.8311,0.0,4.7466,12.4578,0.0,0.0,-16.0,0.0702,0.0,13623517500.0,5231865750.0,10746524500.0,0.987,4.494,-0.9315,-0.0364,-0.336,0.0253,-0.1112,-0.2279,NE,3.71,4.051176470588235,915539765.0699999
2017-12-31,-0.2441,0.9139,0.9811,0.9811,0.9811,-0.0655,-0.0564,-0.0898,-0.0678,-0.3586,0.0,0.0,0.2007,0.0,0.4596,0.9208,0.0066,329585000.0,-0.1964,157766000.0,171819000.0,0.0,21765000.0,281475000.0,-109656000.0,72446000.0,-192635000.0,-167960000.0,11696000.0,0.0,-24675000.0,0.0,-24675000.0,-0.1,-0.1,244743000.0,,0.0,0.5213,0.054,-0.3647,-0.075,0.3615,17882000.0,-120189000.0,-12979000.0,1236915000.0,-0.4627,658924000.0,577991000.0,0.0,71634000.0,741263000.0,-163272000.0,291989000.0,-473882000.0,42629000.0,22584000.0,1486000.0,-516511000.0,0.0,-516511000.0,-2.11,-2.11,244743000.0,247402000.0,0.0,0.4673,0.296,-0.1471,-0.418,0.2791,366097000.0,-181893000.0,-493927000.0,21.558,44.106,0.487,16.5304,2.7083,0.7668,0.3748,-1.659,1.752,-6.2759,0.0,0.0,0.066,0.0,445951000.0,10794659000.0,-3805056000.0,13584516000.0,261924000.0,96128000.0,0.0,-0.2305,0.0222,189.178,-0.1083,-0.2586,-0.097,-0.047,-0.0112,-0.147,4.0,0.113,-0.8789,24.7969,60.4035,0.0,4.7224,12.8674,0.0,0.0,-25.0,0.0579,0.0,13779706500.0,5350006500.0,10930985250.0,1.41,5.054,-0.6229,-0.052,-0.2396,0.0235,-0.0879,-0.1985,NE,4.52,4.157878787878789,1106238360.0
2017-09-30,-0.4233,-3.1961,-0.7573,-0.7391,-0.7391,-0.5571,-0.134,-0.2547,-0.0206,-0.3662,0.0,-1.0,1.0554,0.0,-0.028,-24.1757,0.0069,266212000.0,-0.3088,168862000.0,97350000.0,0.0,15331000.0,152938000.0,-55588000.0,72887000.0,-125397000.0,-28605000.0,-2689000.0,0.0,-96792000.0,0.0,-96792000.0,-0.4,-0.4,244903025.0,,0.0,0.3657,0.32,-0.1972,-0.364,0.0766,85097000.0,-52510000.0,-99481000.0,1317486000.0,-0.5208,684815000.0,632671000.0,0.0,64781000.0,2071993000.0,-1439322000.0,275483000.0,-1733570000.0,61116000.0,30568000.0,1486000.0,-1794686000.0,0.0,-1794686000.0,-7.32,-7.32,244903025.0,252909000.0,0.0,0.4802,-0.678,-1.1067,-1.362,0.2325,-893008000.0,-1458087000.0,-1764118000.0,21.588,44.5,0.083,16.5167,2.4857,0.7651,0.3712,-0.7204,1.581,-0.4628,0.0,0.0,0.0576,0.0,346028000.0,10898219000.0,-3992073000.0,13739174000.0,261050000.0,99189000.0,0.0,-0.545,0.0248,40.38,-0.0917,-0.1774,-0.328,-0.162,-0.0971,-1.107,3.0,0.119,-0.259,23.2677,56.1103,0.0,5.0469,13.2826,0.0,0.0,-3.0,0.0492,0.0,13988880750.0,5470636500.0,11092349750.0,1.251,5.38,-5.2928,-0.1784,-0.341,0.0222,-0.1203,-0.2805,NE,4.6,3.685142857142857,1126553915.0
2017-06-30,-0.8256,-1.0878,-1.2891,-1.2969,-1.2969,-0.8363,-0.1346,-0.247,-0.0208,-0.3139,0.0,-1.0,-0.8696,0.0,-0.0197,-1.0985,0.006,278142000.0,-0.6892,167175000.0,110967000.0,0.0,18658000.0,155252000.0,-44285000.0,73209000.0,-111563000.0,-18213000.0,-4343000.0,1486000.0,-93350000.0,0.0,-93350000.0,-0.38,-0.38,244685144.0,,0.0,0.399,0.353,-0.1379,-0.336,0.2981,98240000.0,-38354000.0,-97693000.0,1436427000.0,-0.5595,732299000.0,704128000.0,0.0,65223000.0,2090070000.0,-1385942000.0,255165000.0,-1673256000.0,79719000.0,44103000.0,1486000.0,-1752975000.0,0.0,-1752975000.0,-7.15,-7.15,244685144.0,253547000.0,0.02,0.4902,-0.582,-0.9872,-1.22,-0.0573,-835377000.0,-1418091000.0,-1708872000.0,21.973,45.058,0.339,16.5248,2.4643,0.7521,0.3667,-0.5239,1.447,-1.2042,0.0,0.0,0.0671,0.0,289639000.0,11025097000.0,-4014587000.0,13817035000.0,298167000.0,112651000.0,0.0,-0.2624,0.0284,35.0203,-0.1061,-0.216,-0.297,-0.152,-0.0929,-0.987,2.0,0.125,-0.2973,22.0162,61.6598,0.0,4.8175,12.7511,0.0,-0.003,-3.0,0.0454,0.0,14455075750.0,5910129750.0,11513829500.0,-0.336,5.871,-5.5575,-0.1731,-1.1578,0.0211,-0.4201,-1.0355,NE,3.62,4.076388888888889,885760221.28
2017-03-31,-0.4283,-0.8132,-3.8601,-3.9524,-3.9524,-0.1773,-0.1163,-0.1984,-0.0292,-0.4357,0.0,-1.0,-0.1639,0.0,-0.1873,-0.7409,0.0061,362976000.0,-0.4069,165915000.0,197061000.0,0.0,15880000.0,151598000.0,45463000.0,73447000.0,-44287000.0,257407000.0,17920000.0,0.0,-301694000.0,0.0,-301694000.0,-1.24,-1.24,244676954.0,,0.0,0.5429,0.454,0.0803,-0.831,0.2859,164878000.0,29160000.0,-283774000.0,2053068000.0,-0.3503,823598000.0,1229470000.0,0.0,65598000.0,2121413000.0,-891943000.0,239262000.0,-1182005000.0,154754000.0,70979000.0,0.0,-1336759000.0,0.0,-1336759000.0,-5.49,-5.49,244676954.0,252791000.0,0.04,0.5988,-0.168,-0.4592,-0.651,0.2292,-345677000.0,-942743000.0,-1265780000.0,22.317,44.982,0.424,16.519,2.1243,0.7402,0.3672,0.397,1.754,-0.4703,0.0,0.0,0.0437,0.0,414571000.0,11005966000.0,-3859657000.0,13978101000.0,395769500.0,113368500.0,0.0,-0.2686,0.0201,21.3615,-0.105,-0.2808,-0.211,-0.112,-0.0589,-0.459,3.0,0.172,-0.8195,14.895,50.7609,0.0,5.1875,18.1097,0.0,-0.007,-5.0,0.032,0.0,14813308000.0,6340209250.0,11942416250.0,1.923,8.391,-3.9402,-0.129,-0.5704,0.0151,-0.3044,-1.0466,NE,6.19,6.471111111111112,1514550345.26
2016-12-31,-0.5826,-20.4855,-7.5578,-7.5484,-7.5484,-0.6768,-0.1108,-0.1439,-0.0274,-0.3603,0.0,-1.0,-0.7334,0.0,-0.0244,-26.9893,0.0041,410156000.0,-0.5218,182863000.0,227293000.0,0.0,14912000.0,1612205000.0,-1384912000.0,55940000.0,-1452323000.0,-149473000.0,19680000.0,0.0,-1302850000.0,0.0,-1302850000.0,-5.3,-5.3,243127000.0,,0.0,0.5542,-3.026,-3.4045,-3.176,0.242,-1241223000.0,-1396383000.0,-1283170000.0,2302065000.0,-0.3133,924937000.0,1377128000.0,0.0,69258000.0,2139074000.0,-761946000.0,222915000.0,-1038736000.0,-109156000.0,71707000.0,0.0,-929580000.0,0.0,-929580000.0,-3.82,-3.82,243127000.0,251989000.0,0.19,0.5982,-0.089,-0.3544,-0.404,0.2133,-204754000.0,-815821000.0,-857873000.0,23.686,47.054,0.408,17.8512,2.985,0.7537,0.3794,-24.9622,1.883,-0.1272,0.0,0.0,0.0364,0.0,559321000.0,11440117000.0,-3780058000.0,14421213000.0,409041500.0,165722500.0,0.0,-0.4011,0.0183,-2.912,-0.1621,-0.4284,-0.139,-0.076,-0.0492,-0.354,3.0,0.187,-1.2114,17.1593,50.6026,0.0,5.6279,13.8911,0.0,-0.05,-6.0,0.0301,0.0,15232119000.0,6667895000.0,12304652750.0,2.019,9.469,-3.6598,-0.0875,-0.564,0.0151,-0.2759,-1.0394,NE,5.92,6.151176470588235,1439311840.0
2016-09-30,-0.7118,-1.0296,-1.1691,-1.1742,-1.1742,-0.7912,-0.0363,0.0202,-0.0799,-0.3975,0.0,-0.9467,-1.9763,0.0,0.038,-1.0054,0.0052,385153000.0,-0.5705,216346000.0,168807000.0,0.0,15773000.0,171015000.0,-2208000.0,52569000.0,-65083000.0,-10002000.0,10846000.0,0.0,-55081000.0,0.0,-55081000.0,-0.23,-0.23,243218134.0,,0.02,0.4383,0.371,-0.0325,-0.143,-0.9559,142728000.0,-12514000.0,-44235000.0,2749593000.0,-0.1666,1055263000.0,1694330000.0,0.0,69631000.0,1120844000.0,573486000.0,219633000.0,295937000.0,74908000.0,66740000.0,0.0,221029000.0,0.0,221029000.0,0.85,0.85,243218134.0,253936000.0,0.34,0.6162,0.412,0.1875,0.08,0.2779,1131869000.0,515570000.0,287769000.0,28.966,51.74,-1.514,16.9806,1.7517,0.5862,0.3282,-0.238,1.292,-1.8363,-0.087,0.0,0.041,0.0,199666000.0,12584138000.0,-3942371000.0,15603954000.0,424984000.0,161142000.0,0.0,-4.6399,0.0199,25.951,-1.2185,-3.0231,0.032,0.017,0.0324,0.188,7.0,0.217,6.6645,15.1852,42.4215,0.0,6.4699,17.0632,0.0,0.4,9.0,0.0253,0.0,15614910250.0,6903032000.0,12661034750.0,3.141,11.305,2.3474,0.0187,-0.4814,0.0131,-0.2579,-1.1505,NE,6.34,5.914166666666669,1542002969.56
2016-06-30,0.3933,0.7077,1.0302,1.0,1.0,0.72,-0.0352,0.0648,-0.1466,-0.3456,0.0,-0.9467,0.9973,0.0,-0.1512,0.6344,0.0052,894783000.0,0.1276,258474000.0,636309000.0,0.0,19033000.0,186595000.0,449714000.0,57306000.0,379688000.0,56822000.0,22533000.0,0.0,322866000.0,0.0,322866000.0,1.28,1.28,243213745.0,,0.02,0.7111,0.657,0.4884,0.361,0.7105,587940000.0,436994000.0,345399000.0,3261111000.0,0.0092,1149767000.0,2111344000.0,0.0,69054000.0,1125677000.0,985667000.0,221751000.0,728616000.0,126699000.0,74518000.0,0.0,601917000.0,0.0,601917000.0,2.4,2.4,243213745.0,258891000.0,0.695,0.6474,0.482,0.2914,0.185,0.4628,1572076000.0,950367000.0,676435000.0,29.179,52.38,2.614,16.9771,3.3838,0.5818,0.3241,7.6256,1.673,2.1272,0.016,0.0,0.0213,0.0,535016000.0,12739444000.0,-3589087000.0,15249964000.0,447050000.0,179567000.0,0.0,-0.0743,0.0096,5.6232,-0.057,-0.338,0.088,0.047,0.0576,0.291,8.0,0.255,3.0839,15.5194,39.5853,0.0,7.2947,18.161,0.0,0.29,6.0,0.0212,0.0,15833449750.0,6859305500.0,12779504750.0,6.206,13.408,4.2857,0.051,-0.1869,0.0115,-0.1064,-0.5581,NE,8.24,8.803611111111108,2004081258.8
2016-03-31,-0.2546,-0.4238,-0.4087,-0.4167,-0.4167,-0.5322,-0.0534,0.0286,-0.1437,-0.1492,0.0,-0.6,-0.5556,0.0,-0.1837,-0.383,0.0052,611973000.0,-0.2392,267254000.0,344719000.0,0.0,19540000.0,169259000.0,175460000.0,57100000.0,98982000.0,-6503000.0,18648000.0,0.0,105485000.0,0.0,105485000.0,0.42,0.42,243202568.0,,0.15,0.5633,0.5,0.255,0.172,0.2028,305801000.0,156082000.0,124133000.0,3159883000.0,-0.0252,1228152000.0,1931731000.0,0.0,72445000.0,1120629000.0,811102000.0,221910000.0,547364000.0,109282000.0,70802000.0,0.0,438082000.0,0.0,438082000.0,1.76,1.76,243202568.0,266805000.0,1.05,0.6113,0.443,0.2435,0.139,0.3772,1399160000.0,769274000.0,508884000.0,27.842,51.212,0.51,17.1198,0.9712,0.6149,0.3343,2.7335,1.306,1.6347,0.357,0.0,0.0319,0.0,223067000.0,12454912000.0,-4011480000.0,15653345000.0,550368500.0,194747000.0,0.0,-0.2803,0.0179,12.8429,-0.079,-0.3228,0.065,0.034,0.0458,0.243,7.0,0.245,3.581,16.5128,58.4503,0.0,5.7414,16.2256,0.0,0.597,8.0,0.0229,0.0,16231378750.0,6742812250.0,12895822750.0,4.9,12.993,3.4666,0.0377,-0.2403,0.0123,-0.1193,-0.5984,NE,10.35,9.779428571428573,2517146578.7999997
