,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-07-01,0.05,0.0703,0.4467,0.4632,0.4709,0.4783,0.0168,-0.0062,0.001,-0.1558,0.2478,-0.4561,0.4391,0.0,0.061,0.0427,-0.0131,6625000000.0,0.0548,4777000000.0,1848000000.0,0.0,748000000.0,748000000.0,1100000000.0,46000000.0,837000000.0,37000000.0,-9000000.0,-1000000.0,800000000.0,0.0,800000000.0,2.78,2.78,287250000.0,0.868,0.2789,0.154,0.1333,0.121,0.1499,1022000000.0,883000000.0,791000000.0,25959000000.0,0.0564,19170000000.0,6789000000.0,0.0,2920000000.0,2920000000.0,3869000000.0,189000000.0,3263000000.0,865000000.0,-30000000.0,1000000.0,2398000000.0,0.0,2398000000.0,8.31,8.29,287250000.0,2.464,0.2615,0.155,0.133,0.092,0.1028,4013000000.0,3452000000.0,2368000000.0,36.926,55.258,3.457,17.5875,10.7711,0.4763,0.1644,19.1957,1.613,1.445,0.312,0.4836,0.1129,0.0,4298000000.0,15873000000.0,-8816000000.0,10814000000.0,1438500000.0,1329000000.0,653000000.0,-0.141,0.23,0.078,0.1156,0.133,7.0,0.849,1.4362,19.4037,18.5179,10.194,18.0459,19.5327,39.7534,0.297,17.0,0.1125,0.0,11049500000.0,10416000000.0,30593250000.0,9.288,90.371,18.2646,0.35,-0.2253,RTN,193.179993,205.7447052352941,55490952989.25
2018-04-01,0.0618,0.0669,0.251,0.2644,0.2586,7.9268,0.021,0.0008,-0.0536,0.2426,0.0684,0.0,1.4015,0.0,0.0117,0.0981,-0.0149,6267000000.0,0.0445,4532000000.0,1735000000.0,0.0,694000000.0,694000000.0,1041000000.0,47000000.0,766000000.0,133000000.0,-10000000.0,1000000.0,633000000.0,0.0,633000000.0,2.2,2.19,288506000.0,0.798,0.2768,0.151,0.1297,0.101,0.0085,948000000.0,813000000.0,623000000.0,25615000000.0,0.0532,18914000000.0,6701000000.0,0.0,2877000000.0,2877000000.0,3824000000.0,194000000.0,3200000000.0,1049000000.0,-27000000.0,2000000.0,2151000000.0,0.0,2151000000.0,7.43,7.4,288506000.0,3.192,0.2616,0.154,0.1325,0.084,0.0923,3949000000.0,3394000000.0,2124000000.0,35.483,54.162,0.184,17.5074,9.5249,0.4934,0.1656,17.2979,1.617,0.4487,0.363,0.4876,0.1107,0.0,4181000000.0,15626000000.0,-9300000000.0,11150000000.0,1479000000.0,1268500000.0,619500000.0,-0.8134,0.205,0.071,0.1124,0.133,6.0,0.841,1.4272,17.8831,23.3549,9.1197,17.3191,20.1931,41.3479,0.43,19.0,0.1123,0.0,11269750000.0,10468000000.0,30466000000.0,8.197,88.785,17.4948,0.323,-0.2296,RTN,215.82000699999998,213.78757554545456,62265366939.54199
2017-12-31,0.0132,0.0034,-0.2919,-0.2766,-0.2781,0.4224,0.0206,-0.0036,-0.0534,0.1384,-0.023,-0.4557,0.5273,0.0,0.0436,-0.0114,-0.0155,6783000000.0,0.0803,5171000000.0,1612000000.0,0.0,742000000.0,742000000.0,870000000.0,48000000.0,840000000.0,447000000.0,-6000000.0,0.0,393000000.0,0.0,393000000.0,1.36,1.35,289087000.0,0.798,0.2377,0.153,0.1309,0.058,0.2063,1037000000.0,888000000.0,387000000.0,25348000000.0,0.0507,19076000000.0,6272000000.0,0.0,2954000000.0,2954000000.0,3318000000.0,205000000.0,3138000000.0,1114000000.0,-23000000.0,-2000000.0,2024000000.0,0.0,2024000000.0,6.96,6.95,289087000.0,2.394,0.2474,0.154,0.1319,0.08,0.086,3893000000.0,3343000000.0,2001000000.0,34.464,55.309,4.839,17.4688,10.7338,0.5069,0.1636,18.5,1.541,4.1298,0.587,0.4819,0.1094,0.0,3978000000.0,15989000000.0,-9571000000.0,10588000000.0,1243500000.0,1519500000.0,601000000.0,-0.138,0.193,0.067,0.1016,0.132,6.0,0.836,1.3562,21.8729,19.065,8.5533,20.3844,16.6818,42.1764,0.344,17.0,0.1165,0.0,11454250000.0,10504750000.0,30309000000.0,7.541,87.683,16.3073,0.3154,-0.2058,RTN,187.850006,186.76606148484848,54304994684.522
2017-10-01,0.0351,0.0321,0.0515,0.0707,0.0707,-0.4047,0.028,0.0546,-0.0534,-0.7847,0.0645,0.0,-0.584,0.0,0.0366,0.0337,-0.0164,6284000000.0,0.0449,4690000000.0,1594000000.0,0.0,736000000.0,736000000.0,858000000.0,48000000.0,820000000.0,248000000.0,-5000000.0,1000000.0,572000000.0,0.0,572000000.0,1.97,1.97,290249000.0,0.0,0.2537,0.16,0.1381,0.091,0.0355,1006000000.0,868000000.0,567000000.0,24844000000.0,0.0246,18265000000.0,6579000000.0,0.0,2838000000.0,2838000000.0,3741000000.0,215000000.0,3125000000.0,939000000.0,-19000000.0,-2000000.0,2186000000.0,0.0,2186000000.0,7.49,7.47,290249000.0,3.062,0.2648,0.156,0.1344,0.088,0.0683,3879000000.0,3340000000.0,2167000000.0,37.406,53.058,0.768,17.3954,7.9621,0.465,0.1668,18.0833,1.66,0.6661,0.0,0.4914,0.1171,0.0,4286000000.0,15400000000.0,-8643000000.0,11646000000.0,3931000000.0,1381000000.0,672000000.0,-0.4147,0.207,0.072,0.1074,0.134,6.0,0.824,1.0352,19.7897,20.4655,10.1813,6.32,17.9899,36.9702,0.409,17.0,0.1142,0.0,11543000000.0,10553250000.0,30153500000.0,5.847,85.595,15.5349,0.3346,-0.2501,RTN,186.580002,181.39382388235296,54154659000.498
2017-07-02,0.0558,-0.1582,-0.2287,-0.2116,-0.2158,0.0497,0.0389,0.0696,-0.0536,-0.7504,-0.1341,0.0894,0.0714,0.0,0.0144,0.0854,-0.0199,6281000000.0,0.0418,4521000000.0,1760000000.0,0.0,705000000.0,705000000.0,1055000000.0,51000000.0,774000000.0,221000000.0,-6000000.0,0.0,553000000.0,0.0,553000000.0,1.9,1.89,291074000.0,1.596,0.2802,0.153,0.1313,0.088,0.1099,958000000.0,825000000.0,547000000.0,24574000000.0,0.0232,18049000000.0,6525000000.0,0.0,2812000000.0,2812000000.0,3713000000.0,225000000.0,3088000000.0,930000000.0,-16000000.0,-4000000.0,2158000000.0,0.0,2158000000.0,7.36,7.34,291074000.0,3.062,0.2655,0.156,0.1348,0.088,0.0818,3844000000.0,3313000000.0,2142000000.0,37.155,52.914,2.371,17.3392,7.4448,0.4667,0.167,16.1765,1.66,1.4141,0.84,0.4905,0.1122,0.0,4350000000.0,15402000000.0,-8477000000.0,11695000000.0,3904500000.0,1341500000.0,626000000.0,-0.1176,0.206,0.072,0.1086,0.135,7.0,0.821,1.1687,18.9823,23.1708,8.6296,6.2938,18.3183,39.2556,0.416,15.0,0.1144,0.0,11544500000.0,10455750000.0,29947000000.0,6.905,84.425,14.7244,0.3309,-0.203,RTN,161.479996,161.6252935588235,47002628355.704
2017-04-02,0.2006,0.1851,0.1822,0.2168,0.2168,-1.1258,0.0361,0.0471,0.0009,-0.7758,-0.0597,-1.0,-1.8,0.0,-0.0829,0.5465,-0.0205,6000000000.0,0.0341,4366000000.0,1634000000.0,0.0,686000000.0,686000000.0,948000000.0,58000000.0,704000000.0,198000000.0,-6000000.0,-3000000.0,506000000.0,0.0,506000000.0,1.74,1.74,292880000.0,0.0,0.2723,0.149,0.127,0.084,-0.022,892000000.0,762000000.0,500000000.0,24322000000.0,0.0204,17890000000.0,6432000000.0,0.0,2802000000.0,2802000000.0,3630000000.0,232000000.0,3236000000.0,914000000.0,-14000000.0,-3000000.0,2322000000.0,0.0,2322000000.0,7.87,7.86,292880000.0,2.93,0.2645,0.164,0.1426,0.095,0.0807,3989000000.0,3468000000.0,2308000000.0,35.455,51.366,-0.451,18.2225,7.4638,0.514,0.1787,13.1379,1.667,-0.081,0.0,0.4963,0.1143,0.0,4208000000.0,15044000000.0,-8970000000.0,11888000000.0,3600500000.0,1293000000.0,618000000.0,2.2195,0.225,0.078,0.1069,0.143,8.0,0.82,1.0702,19.239,19.7942,8.9892,6.7552,18.8105,39.356,0.372,13.0,0.1152,0.0,11523250000.0,10331000000.0,29664250000.0,6.706,83.044,14.9483,0.3654,-0.2097,RTN,152.5,153.5432362647059,44664200000.0
2016-12-31,0.0199,-0.0156,-0.0857,-0.06,-0.065,0.3814,0.0327,0.0283,0.0009,-0.791,-0.0425,1.1881,0.39,0.0,0.0487,-0.0023,-0.0247,6279000000.0,-0.0192,4688000000.0,1591000000.0,0.0,711000000.0,711000000.0,880000000.0,58000000.0,827000000.0,272000000.0,-2000000.0,0.0,555000000.0,0.0,555000000.0,1.88,1.87,293647000.0,1.466,0.2534,0.163,0.1409,0.088,0.1459,1023000000.0,885000000.0,553000000.0,24124000000.0,0.0344,17965000000.0,6159000000.0,0.0,2864000000.0,2864000000.0,3295000000.0,232000000.0,3117000000.0,873000000.0,-31000000.0,-1000000.0,2244000000.0,0.0,2244000000.0,7.56,7.55,293647000.0,3.6,0.2553,0.16,0.1388,0.093,0.0937,3864000000.0,3349000000.0,2213000000.0,34.589,52.614,3.119,18.1681,11.2482,0.5253,0.1764,15.2586,1.665,2.0559,0.78,0.4891,0.1132,0.0,4346000000.0,15450000000.0,-9196000000.0,10943000000.0,3363500000.0,1461000000.0,621500000.0,-0.1972,0.219,0.076,0.1015,0.139,9.0,0.82,1.2709,22.9978,17.5964,9.1991,7.1723,16.512,38.8158,0.476,13.0,0.1187,0.0,11473000000.0,10266000000.0,29404250000.0,7.7,82.153,14.4353,0.3446,-0.2072,RTN,142.0,145.88735288235293,41697874000.0
2016-10-02,0.12,0.2118,0.217,0.2517,0.2517,-0.4187,0.0069,0.061,0.0,0.1452,0.0517,-1.0,-0.4745,0.0,0.0472,0.1908,-0.0278,6014000000.0,0.0399,4474000000.0,1540000000.0,0.0,710000000.0,710000000.0,830000000.0,58000000.0,783000000.0,239000000.0,-2000000.0,-1000000.0,544000000.0,0.0,544000000.0,1.84,1.84,295095000.0,0.0,0.2561,0.161,0.1398,0.09,0.0891,971000000.0,841000000.0,542000000.0,24247000000.0,0.0514,18119000000.0,6128000000.0,0.0,2831000000.0,2831000000.0,3297000000.0,232000000.0,3131000000.0,835000000.0,-29000000.0,-14000000.0,2296000000.0,0.0,2296000000.0,7.68,7.68,295095000.0,2.805,0.2527,0.16,0.1387,0.095,0.0826,3876000000.0,3363000000.0,2267000000.0,35.47,49.682,1.816,18.0755,7.9364,0.5096,0.1811,14.5,1.692,1.1765,0.0,0.5022,0.1181,0.0,4154000000.0,14661000000.0,-8830000000.0,11652000000.0,6059000000.0,1374500000.0,635000000.0,-0.1625,0.224,0.079,0.0998,0.139,9.0,0.831,1.105,21.3006,97.3805,9.7998,4.0018,17.6406,38.1843,0.365,13.0,0.1168,0.0,11593750000.0,10258750000.0,29165000000.0,6.791,82.167,14.4957,0.3699,-0.2101,RTN,136.130005,139.54647067647062,40171283825.475006
2016-07-03,0.26,0.4985,0.4198,0.4606,0.4606,0.9814,0.0232,0.054,0.0,0.1333,0.2929,1.1866,1.2207,0.0,0.0296,0.5,-0.0267,6029000000.0,0.031,4362000000.0,1667000000.0,0.0,695000000.0,695000000.0,972000000.0,58000000.0,922000000.0,205000000.0,-4000000.0,1000000.0,717000000.0,0.0,717000000.0,2.41,2.41,296980000.0,1.465,0.2765,0.183,0.1625,0.119,0.1068,1103000000.0,980000000.0,713000000.0,24016000000.0,0.0555,18053000000.0,5963000000.0,0.0,2799000000.0,2799000000.0,3164000000.0,232000000.0,2984000000.0,785000000.0,-31000000.0,-12000000.0,2199000000.0,0.0,2199000000.0,7.31,7.31,296980000.0,2.805,0.2483,0.155,0.1339,0.092,0.1036,3729000000.0,3216000000.0,2168000000.0,34.736,48.175,2.168,17.9574,6.7883,0.517,0.1833,16.8966,1.638,1.0391,0.608,0.5083,0.1153,0.0,3836000000.0,14307000000.0,-8932000000.0,11610000000.0,5881500000.0,1288000000.0,595000000.0,-0.1356,0.216,0.076,0.0971,0.134,7.0,0.825,1.3633,21.3535,94.9736,10.198,4.0833,18.646,40.363,0.384,14.0,0.1165,0.0,11461000000.0,10179000000.0,29114250000.0,8.378,80.867,13.8621,0.375,-0.1701,RTN,134.820007,133.22264814705883,40038845678.86
2016-04-03,-0.0646,-0.2372,-0.2232,-0.2011,-0.2011,4.8214,0.0371,0.072,0.0002,0.1262,0.2589,0.1074,21.625,0.0,0.2163,-0.2702,-0.0271,5802000000.0,0.0972,4441000000.0,1361000000.0,0.0,748000000.0,748000000.0,613000000.0,58000000.0,585000000.0,157000000.0,-23000000.0,-1000000.0,428000000.0,0.0,428000000.0,1.43,1.43,298998000.0,0.67,0.2346,0.132,0.1108,0.074,0.0284,767000000.0,643000000.0,405000000.0,23835000000.0,0.0544,18216000000.0,5619000000.0,0.0,2779000000.0,2779000000.0,2840000000.0,233000000.0,2657000000.0,670000000.0,-29000000.0,-14000000.0,1987000000.0,0.0,1987000000.0,6.55,6.55,298998000.0,2.01,0.2357,0.142,0.1213,0.083,0.0895,3396000000.0,2890000000.0,1958000000.0,33.86,46.95,0.552,17.8329,6.4683,0.5267,0.185,11.0862,1.628,0.7617,0.469,0.5131,0.1289,0.0,3610000000.0,14038000000.0,-9160000000.0,11687000000.0,5552500000.0,1222500000.0,571500000.0,-0.4939,0.196,0.069,0.0877,0.121,5.0,0.823,1.3231,19.969,90.0747,9.7548,4.2927,19.4969,41.706,0.307,14.0,0.1166,0.0,11463000000.0,10114000000.0,28949000000.0,7.137,79.716,12.4034,0.3531,-0.1883,RTN,123.230003,123.33181760606064,36845524436.993996
