,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0,-1.8716,-1.9721,-1.6667,-1.6667,0.0409,1.0337,1.6272,0.6967,0.0,0.3116,0.0,0.0,0.9037,2.4046,1.5094,-1.8716,0.0409,0.0,0.0,0.0,0.0,1481000.0,1606000.0,3087000.0,-3087000.0,4000.0,-3091000.0,0.0,0.0,0.0,-3091000.0,0.0,-3091000.0,-0.16,-0.16,19505157.0,19505157.0,0.0,0.0,0.0,0.0,-3056000.0,-3087000.0,-3091000.0,0.0,0.0,0.0,0.0,2059000.0,5489000.0,7548000.0,-7548000.0,-32000.0,-7516000.0,0.0,0.0,0.0,-7516000.0,0.0,-7516000.0,-0.39,-0.39,19505157.0,19505157.0,0.0,0.0,0.0,0.0,-7441000.0,-7548000.0,-7516000.0,0.66,1.078,-0.008,0.0,0.116,0.0,0.0,-771.75,2.401,-0.0178,0.0,0.0,0.0,0.0,11416000.0,21020000.0,11416000.0,10611000.0,849500.0,2694000.0,0.0,-3.9091,0.0,5.7065,0.0,-6.9355,-1.082,-0.565,0.0,1.0,0.0,0.1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,4331750.0,6945500.0,13297750.0,-0.081,0.0,235.875,-0.6257,0.3508,0.0,0.0,-3.8131,BCLI,3.9,4.379142857142856,76070112.3
2018-03-31,0.0,-0.3034,-0.2874,-0.2,-0.2,0.0192,-0.2948,0.0422,-0.5442,0.0,4.5297,0.0,0.0,-0.3222,0.0383,0.6043,-0.3034,0.0192,0.0,0.0,0.0,0.0,977000.0,1330000.0,2307000.0,-2307000.0,-9000.0,-2298000.0,0.0,0.0,0.0,-2298000.0,0.0,-2298000.0,-0.12,-0.12,19047350.0,19047350.0,0.0,0.0,0.0,0.0,-2282000.0,-2307000.0,-2298000.0,0.0,0.0,0.0,0.0,1013000.0,4523000.0,5536000.0,-5536000.0,-71000.0,-5465000.0,0.0,0.0,0.0,-5465000.0,0.0,-5465000.0,-0.29,-0.29,19047350.0,19047350.0,0.0,0.0,0.0,0.0,-5442000.0,-5536000.0,-5465000.0,0.201,0.494,-0.114,0.0,0.1704,0.0,0.0,256.3333,1.41,0.9252,0.0,0.0,0.0,0.0,2286000.0,9413000.0,2286000.0,588000.0,659500.0,2317000.0,0.0,0.0212,0.0,2.4562,0.0,-1.8,-0.985,-0.544,0.0,1.0,0.0,0.5211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,2055500.0,5549750.0,10043000.0,-0.161,0.0,77.9718,-2.0256,0.079,0.0,0.0,-2.3936,BCLI,3.15,3.244411764705883,59999152.5
2017-12-31,0.0,1.3662,1.4423,1.5,1.5,0.0112,-1.454,0.061,-0.4132,0.0,1.1961,0.0,0.0,-1.4913,-5.8514,3.0642,1.3662,0.0112,0.0,0.0,0.0,0.0,-1567000.0,1329000.0,-238000.0,238000.0,-38000.0,276000.0,0.0,0.0,0.0,276000.0,0.0,276000.0,0.02,0.02,18897471.0,18897471.0,0.0,0.0,0.0,0.0,266000.0,238000.0,276000.0,0.0,0.0,0.0,0.0,977000.0,4022000.0,4999000.0,-4999000.0,-47000.0,-4952000.0,0.0,0.0,0.0,-4952000.0,0.0,-4952000.0,-0.26,-0.26,18777348.0,18777348.0,0.0,0.0,0.0,0.0,-4914000.0,-4999000.0,-4952000.0,0.311,0.604,-0.159,0.0,0.1314,0.0,0.0,-6.2632,1.736,-10.6341,0.0,0.0,0.0,0.0,4080000.0,11423000.0,4080000.0,3397000.0,489000.0,1406500.0,0.0,0.0211,0.0,-29.1579,0.0,-2.2143,-0.744,-0.498,0.0,1.0,0.0,0.4774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,3818250.0,6652000.0,9947750.0,-0.135,0.0,106.3617,-1.1073,0.0761,0.0,0.0,-2.1176,BCLI,3.92,3.8390909090909093,74078086.32
2017-09-30,0.0,-0.4603,-0.4963,-0.4444,-0.4444,0.0068,14.9745,-0.033,-0.5089,0.0,1.8909,0.0,0.0,14.1364,0.4785,0.4434,-0.4603,0.0068,0.0,0.0,0.0,0.0,1168000.0,1224000.0,2392000.0,-2392000.0,11000.0,-2403000.0,0.0,0.0,0.0,-2403000.0,0.0,-2403000.0,-0.13,-0.13,18783997.0,18783997.0,0.0,0.0,0.0,0.0,-2369000.0,-2392000.0,-2403000.0,0.0,0.0,0.0,0.0,2867000.0,3020000.0,5887000.0,-5887000.0,-35000.0,-5852000.0,0.0,0.0,0.0,-5852000.0,0.0,-5852000.0,-0.33,-0.33,18783997.0,18783997.0,0.0,0.0,0.0,0.0,-5808000.0,-5887000.0,-5852000.0,0.277,0.603,0.2,0.0,0.1312,0.0,0.0,-217.4545,1.784,-1.5993,0.0,0.0,0.0,0.0,4811000.0,11335000.0,4811000.0,2731000.0,214000.0,652500.0,0.0,-0.0224,0.0,4.4521,0.0,-3.7391,-0.764,-0.598,0.0,1.0,0.0,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,5307750.0,7657500.0,9783500.0,-0.04,0.0,168.2,-1.1321,0.2,0.0,0.0,-1.5823,BCLI,4.12,4.162857142857143,77390067.64
2017-06-30,0.0,-0.1175,-0.0811,-0.2,-0.2,0.0045,-0.1593,-0.3917,-0.3884,0.0,-0.419,0.0,0.0,-0.1345,1.8808,-0.2308,-0.0936,0.0045,0.0,0.0,0.0,0.0,435000.0,640000.0,1075000.0,-1075000.0,-35000.0,-1040000.0,0.0,0.0,0.0,-1040000.0,0.0,-1040000.0,-0.06,-0.06,18738496.0,18738496.0,0.0,0.0,0.0,0.0,-1057000.0,-1075000.0,-1040000.0,0.0,0.0,0.0,0.0,2489000.0,2644000.0,5133000.0,-5133000.0,-78000.0,-5055000.0,0.0,0.0,0.0,-5055000.0,0.0,-5055000.0,-0.29,-0.29,18738496.0,18738496.0,0.0,0.0,0.0,0.0,-5060000.0,-5133000.0,-5055000.0,0.389,0.427,-0.089,0.0,0.3087,0.0,0.0,30.7143,10.805,1.5673,0.0,0.0,0.0,0.0,6971000.0,8001000.0,6971000.0,1506000.0,1000000.0,613500.0,0.0,0.0196,0.0,6.3548,0.0,-1.7778,-0.562,-0.512,-5.5988,2.0,0.0,0.9383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,7018000.0,8990500.0,9880250.0,-0.256,0.0,65.8077,-0.6957,0.0105,0.0,0.0,-0.6849,BCLI,4.15,4.1352777777777785,77764758.4
2017-03-31,0.0,0.0232,0.0028,0.0,0.0,0.0019,0.4492,-0.3462,-0.3457,0.0,-0.5826,0.0,0.0,0.4539,-0.0456,0.0036,0.0232,0.0019,0.0,0.0,0.0,0.0,941000.0,829000.0,1770000.0,-1770000.0,15000.0,-1785000.0,0.0,0.0,0.0,-1785000.0,0.0,-1785000.0,-0.1,-0.1,18688377.0,18688377.0,0.0,0.0,0.0,0.0,-1754000.0,-1770000.0,-1785000.0,0.0,0.0,0.0,0.0,2205000.0,2836000.0,5041000.0,-5041000.0,-43000.0,-4977000.0,0.0,0.0,0.0,-4977000.0,0.0,-4977000.0,-0.28,-0.28,18688377.0,18688377.0,0.0,0.0,0.0,0.0,-4943000.0,-5020000.0,-4977000.0,0.441,0.483,-0.088,0.0,0.0323,0.0,0.0,-118.0,11.058,0.9199,0.0,0.0,0.0,0.0,7936000.0,9032000.0,7936000.0,7639000.0,343000.0,633000.0,0.0,0.0,0.0,4.7588,0.0,0.0,-0.491,-0.446,0.0,3.0,0.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,9373500.0,10136000.0,11168500.0,-0.246,0.0,116.7442,-0.6057,0.017,0.0,0.0,-1.0,BCLI,4.25,3.958333333333334,79425602.25
2016-12-31,0.0,0.5347,0.5491,0.4286,0.4286,0.007,0.0736,-0.3697,-0.3035,0.0,-0.5968,0.0,0.0,0.0803,-0.609,-0.4273,0.5347,0.007,0.0,0.0,0.0,0.0,323000.0,327000.0,650000.0,-650000.0,-26000.0,-624000.0,0.0,0.0,0.0,-624000.0,0.0,-624000.0,-0.04,-0.04,18688170.0,18688170.0,0.0,0.0,0.0,0.0,-628000.0,-650000.0,-624000.0,0.0,0.0,0.0,0.0,2250000.0,2833000.0,5083000.0,-5083000.0,-101000.0,-4982000.0,0.0,0.0,0.0,-4982000.0,0.0,-4982000.0,-0.27,-0.27,18663162.0,18663162.0,0.0,0.0,0.0,0.0,-5006000.0,-5083000.0,-4982000.0,0.53,0.576,-0.064,0.0,0.0293,0.0,0.0,25.0,12.088,1.9167,0.0,0.0,0.0,0.0,9580000.0,10766000.0,9580000.0,9355000.0,532500.0,1082000.0,0.0,0.0059,0.0,15.9076,0.0,-0.3182,-0.444,-0.403,0.0,2.0,0.0,1.1758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,10053500.0,11218250.0,12364000.0,-0.319,0.0,50.3267,-0.5044,0.0176,0.0,0.0,-1.3377,BCLI,2.54,2.3288235294117654,47467951.8
2016-09-30,0.0,0.3629,0.383,0.3571,0.3571,0.0095,0.8913,-0.3615,-0.3286,0.0,-0.8663,0.0,0.0,0.8875,-0.4744,-0.206,0.3629,0.0095,0.0,0.0,0.0,0.0,790000.0,848000.0,1638000.0,-1638000.0,-32000.0,-1606000.0,0.0,0.0,0.0,-1606000.0,0.0,-1606000.0,-0.09,-0.09,18656615.0,18656615.0,0.0,0.0,0.0,0.0,-1621000.0,-1638000.0,-1606000.0,0.0,0.0,0.0,0.0,2753000.0,3077000.0,5830000.0,-5830000.0,-67000.0,-5742000.0,0.0,0.0,0.0,-5742000.0,0.0,-5742000.0,-0.31,-0.31,18656615.0,18656615.0,0.0,0.0,0.0,0.0,-5740000.0,-5809000.0,-5742000.0,0.564,0.628,-0.015,0.0,0.0512,0.0,0.0,51.1875,9.527,0.1712,0.0,0.0,0.0,0.0,10190000.0,11722000.0,10190000.0,9572000.0,466500.0,574500.0,0.0,0.04,0.0,6.905,0.0,-0.6471,-0.468,-0.412,0.0,2.0,0.0,1.0367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,11139750.0,12274750.0,13942500.0,-0.325,0.0,86.7015,-0.5468,0.019,0.0,0.0,-1.6377,BCLI,2.41,2.4419444444444447,44962442.150000006
2016-06-30,0.0,0.5929,0.5753,0.5833,0.5833,0.011,0.1479,-0.354,-0.3423,0.0,4.0198,0.0,0.0,0.1034,-0.8902,-0.1579,0.584,0.011,0.0,0.0,0.0,0.0,151000.0,832000.0,983000.0,-983000.0,0.0,-962000.0,0.0,0.0,0.0,-962000.0,0.0,-962000.0,-0.05,-0.05,18654040.0,18654040.0,0.0,0.0,0.0,0.0,-940000.0,-962000.0,-962000.0,0.0,0.0,0.0,0.0,3466000.0,3297000.0,6763000.0,-6763000.0,-3000.0,-6739000.0,0.0,0.0,0.0,-6739000.0,0.0,-6739000.0,-0.36,-0.36,18654040.0,18654040.0,0.0,0.0,0.0,0.0,-6664000.0,-6742000.0,-6739000.0,0.636,0.705,-0.079,0.0,0.0506,0.0,0.0,0.0,9.995,1.4615,0.0,0.0,0.0,0.0,11531000.0,13154000.0,11531000.0,10928000.0,758500.0,825500.0,0.0,0.042,0.0,12.2138,0.0,-2.6818,-0.498,-0.432,-10.8104,2.0,0.0,1.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,12449500.0,13523250.0,15601750.0,-0.446,0.0,2247.3333,-0.5687,0.0139,0.0,0.0,-1.4615,BCLI,2.41,2.3399999999999994,44956236.400000006
2016-03-31,0.0,0.1782,0.1995,0.1667,0.1667,0.029,-0.539,-0.3829,-0.3788,0.0,-0.3016,0.0,0.0,-0.5524,-0.208,-0.1396,0.1782,0.029,0.0,0.0,0.0,0.0,986000.0,826000.0,1812000.0,-1812000.0,-22000.0,-1790000.0,0.0,0.0,0.0,-1790000.0,0.0,-1790000.0,-0.1,-0.1,18653804.0,18653804.0,0.0,0.0,0.0,0.0,-1796000.0,-1812000.0,-1790000.0,0.0,0.0,0.0,0.0,4690000.0,3453000.0,8143000.0,-8143000.0,-101000.0,-8042000.0,0.0,0.0,0.0,-8042000.0,0.0,-8042000.0,-0.43,-0.43,18653804.0,18653804.0,0.0,0.0,0.0,0.0,-8063000.0,-8143000.0,-8042000.0,0.674,0.741,-0.161,0.0,0.1186,0.0,0.0,82.3636,10.878,1.6654,0.0,0.0,0.0,0.0,12268000.0,13814000.0,12268000.0,10359000.0,588500.0,861000.0,0.0,0.0087,0.0,7.2082,0.0,-1.625,-0.536,-0.462,0.0,2.0,0.0,1.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,13851500.0,15014500.0,17404000.0,-0.455,0.0,80.6238,-0.6408,0.0046,0.0,0.0,-0.4875,BCLI,2.67,2.4797142857142855,49805656.68
