,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,-0.0575,1.7511,0.6904,0.6,0.6,0.3672,0.071,-0.0464,0.2107,0.4843,-0.0981,0.0,-3.2483,0.0,-0.056,5.1188,0.0052,171626000.0,0.0347,78298000.0,93328000.0,0.0,69467000.0,79365000.0,13963000.0,8426000.0,5569000.0,7093000.0,-26000.0,2000.0,-1524000.0,0.0,-1524000.0,-0.02,-0.02,120790977.0,0.0,0.5438,0.168,0.0815,-0.009,-0.1131,28770000.0,13995000.0,-1550000.0,561594000.0,0.0044,248426000.0,313168000.0,0.0,239263000.0,304868000.0,8300000.0,33421000.0,-37369000.0,1107000.0,5000.0,10000.0,-38476000.0,0.0,-38476000.0,-0.38,-0.38,120790977.0,0.0,0.5576,0.108,-0.007,-0.069,-0.1045,60731000.0,-3948000.0,-38471000.0,5.531,13.167,-0.161,6.4944,1.3931,1.1741,0.4542,1.6609,1.571,-21.5787,0.0,0.0792,0.4048,0.0,101812000.0,1590434000.0,-778520000.0,2028271000.0,63386000.0,18515000.0,23342000.0,-1.5902,-0.055,-0.023,0.0037,-0.007,3.0,0.33,-1.679,11.9569,49.2274,14.3883,8.8599,30.3318,24.0594,0.0,-496.0,0.426,0.0,1962287750.0,696987750.0,1701038500.0,-0.486,4.649,-0.1181,-0.0289,-1.9085,BEL,11.15,11.820000000000002,1346819393.55
2018-03-31,-0.0563,-0.435,0.1745,0.1667,0.1667,-0.7387,0.1158,0.0156,0.2699,0.487,-0.065,0.0,-1.3395,0.0,0.0887,-0.5984,0.0049,89701000.0,-0.0594,43043000.0,46658000.0,0.0,56345000.0,72057000.0,-25399000.0,8083000.0,-30614000.0,-15664000.0,29000.0,2000.0,-14950000.0,0.0,-14950000.0,-0.15,-0.15,120439048.0,0.0,0.5202,-0.074,-0.2512,-0.167,-0.4223,-6669000.0,-22531000.0,-14921000.0,555833000.0,0.0147,236974000.0,318859000.0,0.0,243385000.0,322240000.0,-3381000.0,32862000.0,-45718000.0,-3844000.0,-18000.0,-85000.0,-41874000.0,0.0,-41874000.0,-0.41,-0.41,120439048.0,0.0,0.5737,0.094,-0.0231,-0.075,-0.0551,52130000.0,-12856000.0,-41892000.0,5.795,12.956,-0.314,6.2461,1.1718,1.0779,0.4413,-2.7875,1.528,0.4879,0.0,0.0847,0.6281,0.0,83799000.0,1560451000.0,-763984000.0,2012796000.0,54898500.0,14524000.0,23198000.0,4.1929,-0.059,-0.025,-0.0015,-0.023,3.0,0.332,-1.3318,10.4063,43.1099,14.7219,10.1247,38.27,23.9604,0.0,-145.0,0.4379,0.0,1904376500.0,704204750.0,1672409000.0,-0.254,4.615,-0.3912,-0.0317,-1.5496,BEL,11.15,12.064705882352941,1342895385.2
2017-12-31,0.0274,-9.1971,-5.4717,-5.1429,-5.8333,-1.1123,0.085,0.0127,0.1964,0.2424,-0.0351,0.0,-0.8296,0.0,0.1182,-28.2363,0.0048,117294000.0,0.0271,55075000.0,62219000.0,0.0,54095000.0,77188000.0,-14969000.0,7919000.0,-40822000.0,-11054000.0,98000.0,3000.0,-29768000.0,0.0,-29768000.0,-0.29,-0.29,120383876.0,0.0,0.5305,-0.136,-0.2805,-0.254,-0.3262,-15913000.0,-32903000.0,-29670000.0,560999000.0,0.0203,239850000.0,321149000.0,0.0,238300000.0,315021000.0,6128000.0,32455000.0,-38481000.0,6554000.0,87000.0,-122000.0,-45035000.0,0.0,-45035000.0,-0.44,-0.44,120383876.0,0.0,0.5725,0.101,-0.0107,-0.08,-0.0305,56826000.0,-6026000.0,-44948000.0,5.803,12.573,-0.318,5.8742,1.5224,1.0123,0.4276,-4.1549,1.984,0.4518,0.0,0.0847,0.4612,0.0,132365000.0,1513639000.0,-687973000.0,1903061000.0,42537500.0,16090500.0,23511500.0,1.8453,-0.064,-0.028,0.0029,-0.011,4.0,0.345,-1.1259,10.2896,30.6672,15.0242,13.1883,34.8652,23.8606,0.0,-327.0,0.4248,0.0,1830390000.0,700676250.0,1628167250.0,-0.142,4.66,-0.1857,-0.0346,-1.3377,BEL,12.25,12.32575757575758,1474702481.0
2017-09-30,-0.007,-0.2665,-0.6604,-0.6522,-0.6364,0.1023,0.0819,0.0312,0.1719,0.2426,-0.1119,0.0,0.0686,0.0,0.1139,-0.2252,0.0049,182973000.0,-0.0042,72010000.0,110963000.0,0.0,59356000.0,76258000.0,34705000.0,8993000.0,28498000.0,20732000.0,-96000.0,3000.0,7766000.0,0.0,7766000.0,0.08,0.08,120367689.0,0.0,0.6064,0.298,0.2049,0.042,0.2015,54543000.0,37491000.0,7670000.0,558394000.0,0.0001,238413000.0,319981000.0,0.0,233075000.0,299396000.0,20585000.0,30665000.0,226000.0,8836000.0,41000.0,-1106000.0,-8610000.0,0.0,-8610000.0,-0.08,-0.09,120367689.0,0.0,0.573,0.16,0.0553,-0.015,0.015,89596000.0,30891000.0,-8569000.0,6.009,13.069,0.306,5.8574,1.7591,0.9747,0.4103,4.1689,1.921,6.7548,0.0,0.0846,0.3244,0.0,148572000.0,1573051000.0,-684857000.0,1905023000.0,51526500.0,16694500.0,25395000.0,-0.2973,-0.012,-0.005,0.0095,0.055,4.0,0.35,-7.6596,10.6377,37.3247,15.6159,10.837,33.4478,21.9883,0.0,70.0,0.4174,0.0,1782274500.0,697652250.0,1595775000.0,0.07,4.639,1.0074,-0.0065,-0.8728,BEL,13.65,12.698571428571423,1643018954.8500001
2017-06-30,0.1633,-0.8325,-1.5883,-1.625,-1.625,0.086,0.043,0.0346,0.0795,0.1083,-0.1043,0.0,0.0219,0.0,0.4634,-0.8946,0.0049,165865000.0,0.0736,66846000.0,99019000.0,0.0,73589000.0,96737000.0,2282000.0,7867000.0,-2780000.0,2142000.0,-49000.0,-93000.0,-4922000.0,0.0,-4922000.0,-0.05,-0.05,120166348.0,0.0,0.597,0.122,0.0307,-0.03,0.052,20169000.0,5087000.0,-4971000.0,559158000.0,0.0298,238390000.0,320768000.0,0.0,227004000.0,290097000.0,30671000.0,29512000.0,14997000.0,8505000.0,154000.0,-1105000.0,6492000.0,0.0,6492000.0,0.07,0.05,120166348.0,0.0,0.5737,0.178,0.0796,0.012,0.0108,99317000.0,44509000.0,6646000.0,5.8,12.231,0.072,5.3921,1.0336,0.9296,0.4018,0.6466,1.084,-4.8868,0.0,0.0886,0.4437,0.0,16614000.0,1469776000.0,-701716000.0,1796626000.0,48536500.0,16979500.0,25975000.0,-0.6411,0.009,0.004,0.0143,0.08,5.0,0.358,9.4087,12.163,33.3107,16.0228,11.5204,32.9314,21.5268,0.0,46.0,0.406,0.0,1739207000.0,691315500.0,1563235250.0,0.05,4.653,1.5082,0.0055,-0.9014,BEL,13.3,12.773611111111107,1598212428.4
2017-03-31,-0.0546,-3.2969,-10.5504,-8.0,-8.0,-1.2911,-0.0018,0.016,0.0043,-0.0035,-0.1257,0.0,-0.2605,0.0,0.1096,-1.1878,0.0049,95361000.0,-0.021,45919000.0,49442000.0,0.0,51754000.0,65332000.0,-15890000.0,7676000.0,-23377000.0,-5266000.0,134000.0,-35000.0,-18111000.0,0.0,-18111000.0,-0.18,-0.18,119849437.0,0.0,0.5185,-0.021,-0.1646,-0.19,-0.1698,-1973000.0,-15701000.0,-17977000.0,547783000.0,-0.0028,240912000.0,306871000.0,0.0,203700000.0,256826000.0,50045000.0,29321000.0,40479000.0,20698000.0,144000.0,-1168000.0,19781000.0,0.0,19781000.0,0.2,0.18,119849437.0,0.0,0.5602,0.224,0.1274,0.036,0.0107,122857000.0,69800000.0,19925000.0,5.706,11.67,-0.135,4.9429,1.1514,0.8663,0.3877,-2.0455,1.62,0.2316,0.0,0.0845,0.5427,0.0,84457000.0,1398702000.0,-622854000.0,1716850000.0,44225500.0,13088500.0,25701000.0,2.8594,0.029,0.013,0.0249,0.127,5.0,0.354,2.9916,8.7961,29.4168,15.9764,12.3861,41.8522,21.3137,0.0,27.0,0.3719,0.0,1720535250.0,684657000.0,1546600250.0,0.049,4.571,2.3805,0.0169,-0.9014,BEL,12.1,12.825,1450178187.7
2016-12-31,-0.1063,-0.4206,15.437,6.0,5.0,0.5248,0.0097,0.047,0.014,-0.0327,-0.0636,0.0,0.2309,0.0,-0.0138,-1.0927,-0.0036,114195000.0,-0.0693,53638000.0,60557000.0,0.0,48376000.0,61069000.0,-512000.0,6129000.0,-2115000.0,-8772000.0,52000.0,-981000.0,6657000.0,0.0,6657000.0,0.07,0.06,119805482.0,0.0,0.5303,0.148,0.0352,0.058,-0.1832,16857000.0,4014000.0,6709000.0,549824000.0,-0.0028,240097000.0,309727000.0,0.0,198590000.0,251055000.0,58672000.0,29155000.0,52692000.0,16368000.0,109000.0,-1032000.0,36324000.0,0.0,36324000.0,0.36,0.35,119805482.0,0.0,0.5633,0.244,0.1489,0.066,0.0167,134243000.0,81847000.0,36433000.0,5.73,11.659,-0.175,4.9334,1.2959,0.861,0.3878,0.6549,1.88,-0.9564,0.0,0.0835,0.4236,0.0,107342000.0,1396848000.0,-607848000.0,1710599000.0,38581500.0,16096000.0,24743500.0,2.2849,0.053,0.023,0.0293,0.149,8.0,0.355,1.6942,10.8645,25.1864,15.8866,14.251,34.159,22.2209,0.0,25.0,0.3612,0.0,1722424750.0,681163500.0,1547300500.0,0.077,4.589,2.8073,0.0307,-0.8508,BEL,13.35,13.245588235294118,1599403184.7
2016-09-30,0.144,0.625,1.2902,1.3,1.2,0.106,-0.0008,0.0348,0.0026,0.0741,0.0387,0.0,0.0684,0.0,-0.0222,0.6551,-0.0094,183737000.0,0.0911,71987000.0,111750000.0,0.0,53285000.0,66959000.0,44791000.0,7840000.0,43269000.0,20401000.0,17000.0,4000.0,22868000.0,0.0,22868000.0,0.23,0.22,119783087.0,0.0,0.6082,0.35,0.2782,0.124,0.1877,64264000.0,51109000.0,22885000.0,558324000.0,0.0101,241395000.0,316929000.0,0.0,199268000.0,252219000.0,64710000.0,30921000.0,53840000.0,23768000.0,145000.0,859000.0,30072000.0,0.0,30072000.0,0.3,0.29,119783087.0,0.0,0.5676,0.247,0.1518,0.054,0.0052,137643000.0,84761000.0,30217000.0,5.827,12.177,0.288,5.0227,1.5298,0.862,0.3788,6.519,1.857,2.0811,0.0,0.0817,0.29,0.0,123517000.0,1458571000.0,-622228000.0,1732753000.0,44366000.0,18603000.0,26399500.0,-0.2752,0.045,0.019,0.0319,0.152,8.0,0.362,1.8126,11.1888,30.0408,17.5857,12.5845,30.0126,21.149,0.0,23.0,0.3569,0.0,1720089500.0,674067000.0,1543652250.0,0.024,4.661,2.7412,0.0246,-0.9467,BEL,12.71,11.633333333333333,1522443035.7700002
2016-06-30,-0.0609,-0.2056,-0.4575,-0.4667,-0.4667,-0.4365,-0.0431,-0.0396,-0.0015,0.0059,-0.0293,0.0,-0.8758,0.0,-0.0795,-0.4258,-0.0202,154490000.0,-0.0393,69368000.0,85122000.0,0.0,50285000.0,63466000.0,21656000.0,7676000.0,22702000.0,14335000.0,-59000.0,-156000.0,8367000.0,0.0,8367000.0,0.08,0.08,119576652.0,0.0,0.551,0.283,0.1966,0.054,0.0547,43709000.0,30378000.0,8308000.0,542982000.0,-0.0438,240119000.0,302863000.0,0.0,200476000.0,255881000.0,46982000.0,33192000.0,31911000.0,14722000.0,-376000.0,1236000.0,17189000.0,0.0,17189000.0,0.17,0.17,119576652.0,0.0,0.5578,0.215,0.1199,0.032,0.0013,117010000.0,65103000.0,16813000.0,5.606,11.851,0.071,5.0198,1.2462,0.8954,0.3882,3.9575,1.607,2.6472,0.0,0.0835,0.3255,0.0,88897000.0,1417146000.0,-640123000.0,1721939000.0,45907000.0,19147000.0,27817000.0,-0.6186,0.026,0.011,0.0234,0.12,6.0,0.352,2.9058,10.3023,30.9507,18.4213,11.8279,28.3586,19.5198,0.0,25.0,0.3692,0.0,1717598000.0,669804500.0,1543974500.0,0.006,4.541,1.9614,0.0145,-0.9861,BEL,9.9,9.446944444444444,1183808854.8
2016-03-31,0.0118,0.6742,0.8358,0.7778,0.7778,-0.8111,-0.0343,-0.0207,-0.0108,-0.0415,-0.0104,0.0,0.3079,0.0,-0.0287,0.171,-0.0235,97402000.0,-0.021,45104000.0,52298000.0,0.0,46644000.0,59561000.0,-7263000.0,7510000.0,-11164000.0,-9596000.0,99000.0,101000.0,-1568000.0,0.0,-1568000.0,-0.02,-0.02,119269772.0,0.0,0.5369,0.097,-0.0375,-0.016,-0.1319,9413000.0,-3654000.0,-1469000.0,549297000.0,-0.0573,240912000.0,308385000.0,0.0,204820000.0,245342000.0,63043000.0,31996000.0,40971000.0,16725000.0,-407000.0,1445000.0,24246000.0,0.0,24246000.0,0.24,0.24,119269772.0,0.0,0.5614,0.226,0.1328,0.044,0.1097,123968000.0,72967000.0,23839000.0,5.616,11.744,-0.108,4.9457,1.0682,0.8806,0.3854,-0.4866,1.553,1.1677,0.0,0.0849,0.4789,0.0,76824000.0,1400763000.0,-644771000.0,1724408000.0,45261500.0,15230500.0,27569000.0,6.0147,0.036,0.016,0.031,0.133,7.0,0.352,2.7676,8.6224,29.4387,18.2235,12.1361,36.0656,19.9244,0.0,22.0,0.3729,0.0,1730180500.0,680300250.0,1561391750.0,0.505,4.606,2.2805,0.0206,-0.1018,BEL,9.49,9.302571428571426,1131870136.28
