,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,-0.0068,7.4904,0.3532,0.3571,0.2857,-0.9085,-0.0045,-0.024,0.8047,0.0,0.0,0.0,-0.9101,0.0,-0.1735,0.4359,0.0066,78172000.0,-0.0068,0.0,78172000.0,0.0,48168000.0,60731000.0,17441000.0,0.0,16914000.0,2134000.0,0.0,-926000.0,14780000.0,5113000.0,9667000.0,0.19,0.18,50594581.0,11544142.0,0.13,1.0,0.261,0.2164,0.124,0.4575,20378000.0,16914000.0,14780000.0,302349000.0,-0.222,0.0,302349000.0,0.0,205576000.0,250275000.0,52074000.0,0.0,40089000.0,-11500000.0,0.0,-1701000.0,51589000.0,20451000.0,31138000.0,0.6,0.59,50594581.0,0.52,1.0,0.181,0.1326,0.103,0.8456,54758000.0,40089000.0,51589000.0,19.541,203.074,0.707,39.0954,7.6232,2.0006,0.1917,0.0,3.7772,0.684,0.0043,0.6162,0.0,10274453000.0,11866779000.0,0.0,124318000.0,0.0,-0.0206,0.031,0.003,0.133,0.029,7.4107,160.0114,0.0,0.0,0.0,2.4321,0.0,0.867,68.0,0.6799,0.0,11735881750.0,1002165000.0,10314119750.0,5.053,5.976,0.0,0.108,BANC,19.549999,19.46714288571428,989124007.955419
2018-03-31,-0.3478,-0.8299,-0.715,-0.7391,-0.7391,1.897,-0.0654,-0.008,0.5411,0.0,0.0,0.0,2.5152,0.0,-0.1478,-0.9407,0.0163,60521000.0,-0.3478,0.0,60521000.0,0.0,52912000.0,59834000.0,687000.0,0.0,2765000.0,-5793000.0,0.0,-1484000.0,8558000.0,5113000.0,3445000.0,0.06,0.06,50591369.0,9785203.0,0.13,1.0,0.102,0.0457,0.057,0.6543,6183000.0,2765000.0,8558000.0,302881000.0,-0.2584,0.0,302881000.0,0.0,215689000.0,256102000.0,46779000.0,0.0,20569000.0,-28497000.0,0.0,2106000.0,49066000.0,20451000.0,28615000.0,0.55,0.55,50591369.0,0.52,1.0,0.119,0.0679,0.094,2.039,35926000.0,20569000.0,49066000.0,19.643,203.269,0.783,41.0735,6.853,2.091,0.2012,0.0,4.1637,2.167,0.0044,0.8743,0.0,10283665000.0,12014927000.0,0.0,29500000.0,0.0,1.7608,0.028,0.003,0.068,0.029,20.7355,71.1005,0.0,0.0,0.0,10.2672,0.0,0.945,119.0,0.7121,0.0,11494769750.0,1006566000.0,10325741750.0,12.207,5.987,0.0,0.0408,BANC,19.299999,20.070588147058828,976413371.108631
2017-12-31,-0.3573,-0.7779,-0.7801,-0.7818,-0.7778,-0.68,-0.0636,0.0161,1.5473,0.0,0.0,0.0,-0.6521,0.0,-0.2297,-0.6808,0.0163,73816000.0,-0.3573,0.0,73816000.0,0.0,53546000.0,62387000.0,11429000.0,0.0,8199000.0,-3103000.0,0.0,-450000.0,11302000.0,5113000.0,6189000.0,0.12,0.12,50536752.0,4202533.0,0.13,1.0,0.162,0.1111,0.084,0.7036,11944000.0,8199000.0,11302000.0,335161000.0,-0.1698,0.0,335161000.0,0.0,224865000.0,277482000.0,57679000.0,0.0,34057000.0,-23652000.0,0.0,-4235000.0,57709000.0,20451000.0,37258000.0,0.72,0.71,50536752.0,0.52,1.0,0.15,0.1016,0.111,1.6465,50410000.0,34057000.0,57709000.0,20.031,203.443,1.028,36.962,7.6716,1.8452,0.1809,0.0,8.4327,1.083,0.0045,0.7254,0.0,10281355000.0,11761597000.0,0.0,25074500.0,0.0,-0.0049,0.037,0.004,0.102,0.032,15.1111,0.0,0.0,0.0,0.0,13.3666,0.0,0.722,62.0,0.6709,0.0,11476503000.0,1004564000.0,10506433250.0,10.92,6.632,0.0,-0.0198,BANC,20.65,21.18333309090909,1043583928.8
2017-09-30,-0.1217,-0.6485,-0.616,-0.6167,-0.6102,0.4575,-0.0835,0.0304,0.6853,0.0,0.0,0.0833,0.7773,0.0,-0.1164,-0.3343,0.013,89840000.0,-0.1217,0.0,89840000.0,0.0,50950000.0,67323000.0,22517000.0,0.0,12211000.0,-4738000.0,0.0,1159000.0,16949000.0,5112000.0,11837000.0,0.23,0.23,50369293.0,4191665.0,0.13,1.0,0.181,0.1359,0.132,1.4289,16253000.0,12211000.0,16949000.0,376192000.0,0.5079,0.0,376192000.0,0.0,240829000.0,294140000.0,82052000.0,0.0,62775000.0,-16896000.0,0.0,-12554000.0,79671000.0,20451000.0,59220000.0,1.15,1.14,50369293.0,0.52,1.0,0.212,0.1669,0.157,1.7257,79581000.0,62775000.0,79671000.0,20.129,203.153,2.549,33.3414,12.1468,1.6563,0.1634,0.0,10.7887,0.565,0.0046,0.5671,0.0,10232665000.0,11300224000.0,0.0,58133000.0,0.0,0.0052,0.059,0.006,0.167,0.035,11.3797,52.8786,0.0,0.0,0.0,6.4712,0.0,0.452,26.0,0.6402,0.0,11354324250.0,996546750.0,10681933500.0,12.889,7.469,0.0,-0.0367,BANC,20.75,19.00857128571429,1045162829.75
2017-06-30,-0.2007,-1.0582,-0.6664,-0.6818,-0.6744,11.7076,0.0205,-0.0625,-0.0106,-1.0,0.0,0.0833,9.5468,0.0,0.1292,-0.6364,0.1421,78704000.0,-0.2007,0.0,78704000.0,0.0,58281000.0,66558000.0,12146000.0,0.0,-2606000.0,-14863000.0,0.0,2881000.0,12257000.0,5113000.0,7144000.0,0.14,0.14,50260382.0,,0.13,1.0,0.02,-0.0331,0.091,5.0528,1546000.0,-2606000.0,12257000.0,388638000.0,0.5377,0.0,388638000.0,0.0,247542000.0,295280000.0,93358000.0,0.0,85301000.0,-13358000.0,0.0,-24471000.0,98659000.0,20451000.0,78208000.0,1.52,1.5,50260382.0,0.51,1.0,0.263,0.2195,0.201,1.526,102090000.0,85301000.0,98659000.0,20.022,205.281,7.912,21.8071,10.1708,1.0892,0.1057,0.0,55.8659,0.929,0.0047,0.7405,0.0,10317489000.0,10902331000.0,5024500.0,102795000.0,0.0,-0.0036,0.079,0.007,0.219,0.036,8.1042,109.0291,0.0,0.0,77.3486,3.7807,0.0,0.336,24.0,0.6369,0.0,11475694250.0,985925750.0,10916027500.0,11.799,7.732,0.0,-0.0643,BANC,21.5,21.05833341666667,1080598213.0
2017-03-31,0.0532,-0.5068,-0.2001,-0.3611,-0.3611,0.9181,0.1492,-0.1239,-0.2128,0.0,0.0,0.0833,0.8703,0.0,0.2178,-0.6,0.297,92801000.0,0.0532,0.0,92801000.0,0.0,62088000.0,81214000.0,11587000.0,0.0,16253000.0,-948000.0,0.0,-7825000.0,17201000.0,5113000.0,12088000.0,0.23,0.23,49781479.0,,0.13,1.0,0.223,0.1751,0.13,-0.2816,20667000.0,16253000.0,17201000.0,408394000.0,0.5148,0.0,408394000.0,0.0,240874000.0,293775000.0,114619000.0,0.0,132704000.0,19774000.0,0.0,-34120000.0,112930000.0,20452000.0,92478000.0,1.82,1.79,49781479.0,0.5,1.0,0.366,0.3249,0.226,0.3645,149497000.0,132704000.0,112930000.0,19.802,221.021,-0.525,27.0862,8.2216,1.3679,0.122,0.0,-1.3229,0.565,0.0045,0.669,0.0,11002750000.0,11941860000.0,0.0,0.0,0.0,0.6344,0.095,0.009,0.325,0.038,2.135,0.0,0.0,0.0,0.0,0.0,0.0,0.275,10.0,0.5898,0.0,11484590250.0,969323750.0,10864001000.0,2.99,8.204,0.0,-0.2461,BANC,20.700001,20.295833416666667,1030476665.0814791
2016-12-31,3.9166,0.1922,0.7586,0.3415,0.3171,2.9558,0.3393,0.1425,-0.3848,0.0,0.0,0.0833,1.9315,0.0,2.734,9.6604,0.3151,114847000.0,3.9166,0.0,114847000.0,0.0,69510000.0,79045000.0,35802000.0,0.0,36917000.0,3653000.0,0.0,-8769000.0,33264000.0,5113000.0,28151000.0,0.55,0.54,49725044.0,,0.13,1.0,0.358,0.3214,0.245,1.2998,41115000.0,36917000.0,33264000.0,403704000.0,0.4446,0.0,403704000.0,0.0,229771000.0,271705000.0,131999000.0,0.0,149406000.0,33990000.0,0.0,-28676000.0,115416000.0,19914000.0,95502000.0,1.97,1.94,49725044.0,0.49,1.0,0.411,0.3701,0.237,-0.0657,165937000.0,149406000.0,115416000.0,19.713,220.796,3.002,14.7471,8.8388,0.7481,0.0665,0.0,5.7932,0.236,0.0046,0.6052,0.0,10979092000.0,11272882000.0,0.0,25074500.0,0.0,-0.0847,0.102,0.009,0.37,0.038,0.1897,45.3411,0.0,0.0,0.0,16.1002,0.0,0.249,11.0,0.5692,0.0,11263594250.0,939769250.0,10505222750.0,-0.534,8.119,0.0,-2.4651,BANC,17.35,15.935294029411764,862729513.4000001
2016-09-30,-0.0309,0.4596,1.6814,1.069,1.0345,-0.1701,0.5456,0.1374,-0.0881,0.0,0.0,0.0,-0.3065,0.0,-0.2001,0.4212,0.3272,102286000.0,-0.0309,0.0,102286000.0,0.0,57663000.0,68463000.0,33823000.0,0.0,34737000.0,-1200000.0,0.0,-10758000.0,35937000.0,5112000.0,30825000.0,0.6,0.59,49725044.0,,0.12,1.0,0.379,0.3396,0.301,0.7061,38762000.0,34737000.0,35937000.0,249480000.0,-0.3793,0.0,249480000.0,0.0,120174000.0,157417000.0,92063000.0,0.0,143455000.0,42265000.0,0.0,-40861000.0,101190000.0,17831000.0,83359000.0,1.81,1.79,49725044.0,0.48,1.0,0.64,0.575,0.334,-1.347,159688000.0,143455000.0,101190000.0,19.536,224.471,1.453,20.0398,7.4933,1.0258,0.0888,0.0,2.8424,0.2,0.0049,0.5637,0.0,11161825000.0,11785704000.0,0.0,30883000.0,0.0,-0.1756,0.097,0.009,0.575,0.025,-2.7394,90.3663,0.0,0.0,0.0,8.0782,0.0,0.265,12.0,0.4817,0.0,10748600000.0,857810750.0,9806648250.0,-6.758,5.017,0.0,0.4716,BANC,17.459999,20.94222205555555,868199218.514956
2016-06-30,-0.1462,0.6347,0.637,0.3333,0.3438,-8.7475,0.5778,0.1998,0.8039,0.0,0.0,0.0,-1.8456,0.0,-0.325,0.2191,0.2358,98460000.0,-0.1462,0.0,98460000.0,0.0,51613000.0,65053000.0,33407000.0,0.0,44797000.0,18269000.0,0.0,-6768000.0,26528000.0,5114000.0,21414000.0,0.44,0.43,44007994.0,,0.12,1.0,0.497,0.455,0.217,-0.4726,48953000.0,44797000.0,26528000.0,252736000.0,-0.3276,0.0,252736000.0,0.0,134601000.0,170697000.0,82039000.0,0.0,132517000.0,52728000.0,0.0,-30103000.0,79789000.0,15759000.0,64030000.0,1.5,1.49,44007994.0,0.48,1.0,0.587,0.5243,0.253,-1.2034,148352000.0,132517000.0,79789000.0,21.357,229.547,-1.057,25.1714,6.1746,1.1786,0.1091,0.0,-1.7406,0.273,0.0055,0.5242,0.0,10101904000.0,10937915000.0,5024500.0,44750000.0,0.0,0.2483,0.083,0.007,0.524,0.029,-3.286,129.2554,14.5127,0.0,50.3007,5.6477,0.0,0.32,17.0,0.5326,0.0,9779893500.0,775838250.0,8816749750.0,-6.911,5.743,0.0,0.4455,BANC,18.1,19.360000111111116,796544691.4000001
2016-03-31,-0.1007,0.4913,0.2956,0.2,0.2414,-1.7907,0.5772,0.5349,1.6246,0.0,0.0,0.0,-1.934,0.0,-0.2243,0.3108,0.0992,88111000.0,-0.1007,0.0,88111000.0,0.0,50985000.0,59144000.0,28967000.0,0.0,32955000.0,13268000.0,0.0,-2381000.0,19687000.0,4575000.0,15112000.0,0.36,0.36,38383050.0,,0.12,1.0,0.421,0.374,0.172,-2.287,37107000.0,32955000.0,19687000.0,269599000.0,-0.1815,0.0,269599000.0,0.0,159449000.0,193564000.0,76035000.0,0.0,115123000.0,45938000.0,0.0,-23335000.0,69185000.0,13488000.0,55697000.0,1.39,1.38,38383050.0,0.48,1.0,0.484,0.427,0.207,-0.7514,130539000.0,115123000.0,69185000.0,22.602,249.065,-5.25,44.629,5.6017,1.9746,0.1781,0.0,-12.9246,0.333,0.0059,0.5786,0.0,9559892000.0,11057876000.0,0.0,0.0,0.0,0.0317,0.08,0.007,0.427,0.034,-3.022,0.0,0.0,0.0,0.0,0.0,0.0,0.345,15.0,0.5914,0.0,8680283000.0,699337750.0,7886804750.0,-5.278,7.024,0.0,0.2036,BANC,17.5,15.65285722857143,671703375.0
