,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.1513,-0.2439,-0.2346,-0.2222,-0.2222,-0.4106,0.0211,0.0402,-0.0097,0.0111,0.0,0.0,-1.0838,0.0,0.147,-0.251,0.0015,237949000.0,-0.0219,161537000.0,76412000.0,0.0,7832000.0,38475000.0,37937000.0,10274000.0,27959000.0,-50000.0,0.0,0.0,28009000.0,0.0,28009000.0,0.14,0.14,200562761.0,0.125,0.3211,0.27,0.1607,0.118,-0.0105,64320000.0,38233000.0,28009000.0,850002000.0,-0.0189,588057000.0,261945000.0,0.0,31239000.0,140653000.0,121292000.0,39534000.0,83070000.0,4328000.0,0.0,0.0,78742000.0,0.0,78742000.0,0.4,0.4,200562761.0,201521468.0,0.5,0.3082,0.262,0.1442,0.093,-0.043,222850000.0,122604000.0,78742000.0,9.53,15.768,-0.012,4.6595,0.8781,0.4889,0.2955,3.7213,1.2321,0.893,0.0,0.0329,0.0,3162442000.0,3920848000.0,99701500.0,116141000.0,0.0,-1.0726,0.0082,-0.1556,-1.419,0.043,0.025,0.144,0.273,2.3531,48.769,43.0497,0.0,8.5255,7.3187,0.0,1.25,27.0,0.0368,0.0,3874846500.0,1848828750.0,3116244250.0,-0.182,4.238,3.1012,-1.1971,0.0086,-0.2609,-2.2126,DRH,12.28,12.313999999999995,2462910705.08
2018-03-31,-0.2264,-0.2862,-0.5119,-0.5,-0.5,0.3537,0.0108,-0.0036,0.0213,0.0924,0.0,0.0,-0.121,0.0,0.5628,-0.2994,0.0017,181530000.0,-0.0748,136517000.0,45013000.0,0.0,9786000.0,31494000.0,13519000.0,9877000.0,4153000.0,-185000.0,0.0,0.0,4338000.0,0.0,4338000.0,0.02,0.02,200537452.0,0.125,0.248,0.215,0.0773,0.024,-0.6129,38984000.0,14030000.0,4338000.0,855325000.0,-0.0277,579757000.0,275568000.0,0.0,30235000.0,141562000.0,134006000.0,38845000.0,96095000.0,8767000.0,0.0,0.0,87328000.0,0.0,87328000.0,0.44,0.44,200537452.0,201676258.0,0.5,0.3222,0.274,0.1578,0.102,-0.0048,234700000.0,134940000.0,87328000.0,9.064,15.467,-0.555,4.6754,0.536,0.5158,0.3023,1.4205,7.7467,6.25,0.0,0.0539,0.0,3101746000.0,3931861000.0,96101000.0,137820000.0,0.0,-4.311,0.0135,-0.7981,-5.8056,0.048,0.028,0.158,0.276,2.397,61.9535,42.8202,0.0,8.9003,6.2061,0.0,1.136,21.0,0.0353,0.0,3857035750.0,1829689500.0,3099886500.0,-0.02,4.265,3.4738,-1.0195,0.0086,-0.2495,-2.1392,DRH,10.44,10.66529411764706,2093610998.8799999
2017-12-31,-0.0457,0.0351,0.0362,0.0833,0.0833,-0.1262,0.0164,-0.0003,0.0187,0.1116,0.0,0.0,-0.1776,0.0,0.2099,0.0524,-0.0015,207037000.0,0.002,139495000.0,67542000.0,0.0,7512000.0,32024000.0,35518000.0,9691000.0,25960000.0,1188000.0,0.0,0.0,24772000.0,0.0,24772000.0,0.13,0.13,200784450.0,0.125,0.3262,0.289,0.1722,0.12,0.1557,59749000.0,35651000.0,24772000.0,870005000.0,-0.0296,581266000.0,288739000.0,0.0,26711000.0,148956000.0,139783000.0,38481000.0,102084000.0,10207000.0,0.0,0.0,91877000.0,0.0,91877000.0,0.46,0.46,200784450.0,201459934.0,0.5,0.3319,0.276,0.1616,0.106,0.012,239750000.0,140565000.0,91877000.0,9.132,15.444,0.161,4.6706,1.1145,0.5114,0.3024,3.6788,2.2235,0.962,0.0,0.0363,0.0,3100858000.0,3814877000.0,82274500.0,113425500.0,0.0,-0.4146,0.0069,-0.1103,-0.9476,0.05,0.03,0.162,0.281,2.2261,55.4033,36.3408,0.0,10.5744,7.6703,0.0,1.087,21.0,0.0307,0.0,3830464000.0,1830576500.0,3091637000.0,0.052,4.333,3.6528,-0.9491,0.0071,-0.2231,-1.957,DRH,11.29,11.26878787878788,2266856440.5
2017-09-30,-0.0553,-0.2086,-0.2777,-0.2667,-0.2667,0.0716,0.007,-0.0035,0.0193,0.1295,0.0,0.0,-0.5433,0.0,0.3042,-0.1691,-0.0029,223486000.0,0.0147,150508000.0,72978000.0,0.0,6109000.0,38660000.0,34318000.0,9692000.0,24998000.0,3375000.0,0.0,0.0,21623000.0,0.0,21623000.0,0.11,0.11,200305232.0,0.125,0.3265,0.268,0.1552,0.097,0.2014,59797000.0,34690000.0,21623000.0,869589000.0,-0.0586,577612000.0,291977000.0,0.0,25408000.0,153961000.0,138016000.0,38283000.0,101072000.0,10061000.0,0.0,0.0,91011000.0,0.0,91011000.0,0.45,0.45,200305232.0,196682981.0,0.5,0.3358,0.274,0.1603,0.105,0.0171,238172000.0,139355000.0,91011000.0,9.149,15.476,0.225,4.6969,1.0431,0.5134,0.3035,3.5792,2.8714,1.136,0.0,0.0273,0.0,3099931000.0,3831800000.0,92655500.0,121093500.0,0.0,-0.275,0.0064,-0.0764,-0.6801,0.05,0.03,0.16,0.282,2.2909,53.5544,41.2569,0.0,9.3852,7.1811,0.0,1.111,21.0,0.0292,0.0,3797315500.0,1831362000.0,3079149500.0,0.074,4.341,3.6401,-0.9286,0.007,-0.2226,-1.9593,DRH,10.95,10.849999999999998,2193342290.4
2017-06-30,-0.087,-0.2372,-0.1716,-0.1818,-0.1818,-0.0982,0.0065,0.0013,0.0199,0.0915,0.0,0.0,-0.8088,0.0,0.0137,-0.1283,-0.0029,243272000.0,-0.0522,153237000.0,90035000.0,0.0,6828000.0,39384000.0,50651000.0,9585000.0,40984000.0,4389000.0,0.0,0.0,36595000.0,0.0,36595000.0,0.18,0.18,200266132.0,0.125,0.3701,0.313,0.2079,0.15,0.123,76170000.0,50569000.0,36595000.0,866342000.0,-0.0803,570096000.0,296246000.0,0.0,23983000.0,151245000.0,145001000.0,38095000.0,110404000.0,11079000.0,0.0,0.0,99325000.0,0.0,99325000.0,0.49,0.49,200266132.0,195862506.0,0.5,0.342,0.284,0.1714,0.115,0.079,245829000.0,148499000.0,99325000.0,9.162,15.464,0.149,4.7123,0.9544,0.5144,0.3047,5.2758,1.5999,0.694,0.0,0.0281,0.0,3097011000.0,3849605000.0,94994500.0,116635000.0,0.0,-0.4889,0.0083,-0.1177,-1.1181,0.054,0.032,0.171,0.282,2.0574,50.0139,41.7731,0.0,9.1199,7.4278,0.0,1.02,20.0,0.0277,0.0,3768811500.0,1834300750.0,3073778750.0,0.342,4.326,3.8981,-0.6651,0.0061,-0.1569,-1.3963,DRH,10.95,11.236944444444447,2192914145.4
2017-03-31,-0.0622,-0.1932,-0.4703,-0.5,-0.5,-0.1635,-0.0275,0.0051,-0.1048,-0.0294,0.0,0.0,-44.7834,0.0,0.0437,-0.2063,-0.0027,196210000.0,-0.079,138026000.0,58184000.0,0.0,6262000.0,38888000.0,19296000.0,9513000.0,10142000.0,1255000.0,0.0,0.0,8887000.0,0.0,8887000.0,0.04,0.04,200200902.0,0.125,0.2965,0.224,0.1002,0.045,-0.5059,44034000.0,19655000.0,8887000.0,879734000.0,-0.0592,574905000.0,304829000.0,0.0,23891000.0,152374000.0,152455000.0,39584000.0,124640000.0,17735000.0,0.0,0.0,106905000.0,0.0,106905000.0,0.53,0.53,200200902.0,180826124.0,0.5,0.3465,0.297,0.1867,0.122,0.2217,260975000.0,164224000.0,106905000.0,9.097,15.328,-0.496,4.5854,0.8051,0.504,0.2991,2.0661,2.7933,3.125,0.0,0.0319,0.0,3068748000.0,3825574000.0,93251000.0,124944000.0,0.0,-4.9984,0.0067,-0.6324,-5.0897,0.058,0.035,0.187,0.287,1.9712,54.128,38.1121,0.0,9.434,7.041,0.0,0.943,17.0,0.0272,0.0,3753934750.0,1835056250.0,3068775000.0,0.974,4.394,4.1487,-0.0743,0.006,-0.0178,-0.1618,DRH,11.15,11.062499999999998,2232240057.3
2016-12-31,-0.1001,-0.1881,-0.0699,-0.0769,-0.0769,-0.0961,-0.079,0.0053,-0.213,-0.1012,0.0,0.0,-0.2592,0.0,-0.0099,-0.1185,0.0014,206621000.0,-0.1162,135841000.0,70780000.0,0.0,6209000.0,37029000.0,33751000.0,9493000.0,24948000.0,1042000.0,0.0,0.0,23906000.0,0.0,23906000.0,0.12,0.12,201079573.0,0.125,0.3426,0.282,0.1667,0.116,0.1898,58171000.0,34441000.0,23906000.0,896558000.0,-0.037,587872000.0,308686000.0,0.0,23629000.0,151216000.0,157470000.0,41735000.0,127195000.0,12399000.0,0.0,0.0,114796000.0,0.0,114796000.0,0.57,0.57,201079573.0,166667459.0,0.5,0.3443,0.297,0.1884,0.128,0.3308,266440000.0,168930000.0,114796000.0,9.135,15.173,0.195,4.578,1.4381,0.5012,0.3017,3.628,2.6368,1.042,0.0,0.0301,0.0,3050908000.0,3682283000.0,82313000.0,109486000.0,0.0,-0.378,0.0063,-0.1153,-1.0042,0.063,0.037,0.188,0.29,1.8779,38.5914,31.7255,0.0,10.8921,8.1888,0.0,0.877,17.0,0.0264,0.0,3816330000.0,1833940750.0,3090470250.0,1.475,4.459,4.0477,0.3758,0.0059,0.0904,0.8308,DRH,11.53,10.919705882352941,2318447476.69
2016-09-30,-0.0414,0.0552,0.2237,0.25,0.25,0.0011,-0.0351,0.0111,-0.1261,-0.1487,0.0,0.0,1.2434,0.0,-0.2255,-0.0027,0.0008,220239000.0,-0.0766,142992000.0,77247000.0,0.0,4684000.0,35944000.0,41303000.0,9504000.0,34330000.0,4393000.0,0.0,0.0,29937000.0,0.0,29937000.0,0.15,0.15,200888710.0,0.125,0.3507,0.306,0.199,0.136,0.4476,67454000.0,43834000.0,29937000.0,923735000.0,0.0032,607174000.0,316561000.0,0.0,23691000.0,154555000.0,162006000.0,45963000.0,130948000.0,14356000.0,0.0,0.0,116592000.0,0.0,116592000.0,0.58,0.58,200888710.0,144463587.0,0.5,0.3427,0.3,0.1915,0.126,0.3359,276833000.0,176911000.0,116592000.0,9.181,15.324,0.491,4.5944,1.4119,0.5004,0.2998,4.6122,1.9354,0.833,0.0,0.0213,0.0,3078448000.0,3717784000.0,94620500.0,152298000.0,0.0,0.7012,0.003,0.1845,1.7201,0.064,0.037,0.192,0.293,1.9065,45.2813,34.3842,0.0,9.7625,6.0653,0.0,0.862,14.0,0.0256,0.0,3948093250.0,1830895250.0,3155870750.0,1.545,4.598,3.849,0.396,0.0058,0.0953,0.881,DRH,9.1,9.817500000000003,1828087261.0
2016-06-30,0.0391,0.4934,0.7797,0.8333,0.8333,-0.0094,-0.0466,0.0079,-0.1568,-0.0945,0.0,0.0,4.8306,0.0,0.064,0.3157,0.0007,256664000.0,0.0275,158046000.0,98618000.0,0.0,6736000.0,40513000.0,58105000.0,11074000.0,55220000.0,11045000.0,0.0,0.0,44175000.0,0.0,44175000.0,0.22,0.22,200844065.0,0.125,0.3842,0.356,0.2583,0.172,0.6099,91316000.0,66294000.0,44175000.0,941998000.0,0.0334,622098000.0,319900000.0,0.0,25055000.0,157781000.0,162119000.0,49366000.0,125253000.0,14134000.0,0.0,0.0,111119000.0,0.0,111119000.0,0.55,0.55,200844065.0,107404074.0,0.5,0.3396,0.293,0.1854,0.118,0.2714,276048000.0,174619000.0,111119000.0,9.15,15.32,0.779,4.607,1.0565,0.5035,0.3007,5.9865,1.4698,0.568,0.0,0.0262,0.0,3076996000.0,3790098000.0,95581000.0,150155500.0,0.0,1.4111,0.0078,0.357,3.6617,0.061,0.035,0.185,0.296,1.9998,44.3891,35.1978,0.0,9.8555,6.2735,0.0,0.909,16.0,0.0266,0.0,4050875250.0,1825489250.0,3183845500.0,1.273,4.69,3.5372,0.1506,0.0065,0.0355,0.3299,DRH,9.03,9.084999999999997,1813621906.9499998
2016-03-31,0.0629,0.1313,0.5767,0.6,0.6,-0.1373,0.0028,-0.0033,-0.0088,0.0687,0.0,0.0,1.0543,0.0,0.1091,0.1357,0.0013,213034000.0,0.0198,150993000.0,62041000.0,0.0,6000000.0,37730000.0,24311000.0,11664000.0,12697000.0,-4081000.0,0.0,0.0,16778000.0,0.0,16778000.0,0.08,0.08,200741777.0,0.125,0.2912,0.232,0.1144,0.079,0.0106,49499000.0,24361000.0,16778000.0,935135000.0,0.0488,618946000.0,316189000.0,0.0,24650000.0,168011000.0,148178000.0,51130000.0,101586000.0,9820000.0,0.0,0.0,91766000.0,0.0,91766000.0,0.45,0.45,200741777.0,93116162.0,0.5,0.3381,0.272,0.1633,0.098,0.0623,254717000.0,152716000.0,91766000.0,9.051,15.719,0.011,5.1087,0.5275,0.5645,0.325,2.0886,1.7688,1.563,0.0,0.0282,0.0,3155529000.0,4075155000.0,91602000.0,143967500.0,0.0,-0.9236,0.0064,-0.1287,-1.0904,0.05,0.028,0.163,0.29,2.4283,46.6145,36.9409,0.0,10.2087,6.4955,0.0,1.111,19.0,0.0264,0.0,4148417750.0,1821566250.0,3221413500.0,0.29,4.658,2.9868,-0.7385,0.0063,-0.176,-1.6134,DRH,10.12,9.22342857142857,2031506783.2399998
