,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.0,0.2086,0.2108,-0.5,-0.5,0.0892,0.2979,0.0758,-0.0761,0.0,0.0,0.0,0.0,0.2979,0.3032,0.1533,-0.2463,0.0892,0.0,0.0,0.0,0.0,2997634.0,1620379.0,4618013.0,-4618013.0,0.0,-2849164.0,0.0,0.0,0.0,-2849164.0,0.0,-2849164.0,-0.06,-0.06,45212074.0,45212074.0,0.0,0.0,0.0,0.0,-2849164.0,-2849164.0,-2849164.0,0.0,0.0,0.0,0.0,12773355.0,5868683.0,18642038.0,-18642038.0,-88098.0,-16768534.0,46393.0,0.0,0.0,-16814927.0,0.0,-16814927.0,-0.38,-0.38,45212074.0,45212074.0,0.0,0.0,0.0,0.0,-16856632.0,-16856632.0,-16814927.0,0.522,0.593,-0.046,0.0,0.5724,0.0,0.0,0.0,8.333,0.7329,0.0,0.0,0.0,0.0,23533227.0,26794693.0,23533227.0,-2294365.0,0.0,2322284.0,0.0,0.0,-0.702,-0.618,0.0,2.0,0.0,0.6376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-2829713.0,23965953.0,27218106.0,-0.237,0.0,191.3396,-0.7145,0.0,AVXL,2.62,3.2201428571428568,118455633.88000001
2018-03-31,0.0,-2.0687,-2.0676,-1.75,-1.75,0.0823,-3.043,0.097,-0.0326,0.0,0.0,0.0,0.0,-3.043,0.3017,0.3346,-0.3119,0.0823,0.0,0.0,0.0,0.0,3245023.0,1489450.0,4734473.0,-4734473.0,0.0,-4724163.0,27861.0,0.0,0.0,-4752024.0,0.0,-4752024.0,-0.11,-0.11,44545523.0,44545523.0,0.0,0.0,0.0,0.0,-4724163.0,-4724163.0,-4752024.0,0.0,0.0,0.0,0.0,12075998.0,5653330.0,17729328.0,-17729328.0,-88098.0,-17519578.0,56270.0,0.0,0.0,-17575848.0,0.0,-17575848.0,-0.36,-0.36,44545523.0,44545523.0,0.0,0.0,0.0,0.0,-17607676.0,-17607676.0,-17575848.0,0.505,0.581,-0.063,0.0,0.5771,0.0,0.0,0.0,7.555,0.5936,0.0,0.0,0.0,0.0,22395518.0,25895594.0,22395518.0,-3230123.0,0.0,2725214.5,0.0,0.0,-0.734,-0.657,0.0,2.0,0.0,0.6604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-2604537.0,23932587.0,26746115.0,-0.261,0.0,199.8647,-0.7848,0.0,AVXL,2.76,2.653088235294118,122945643.47999999
2017-12-31,0.0,-0.2998,-0.29,-0.125,-0.125,0.143,-0.1479,0.3261,0.164,0.0,0.0,0.0,0.0,-0.1479,0.3191,0.2412,-0.2914,0.143,0.0,0.0,0.0,0.0,2694312.0,1397803.0,4092115.0,-4092115.0,0.0,-4049760.0,9405.0,0.0,0.0,-4059165.0,0.0,-4059165.0,-0.09,-0.09,43882939.0,43882939.0,0.0,0.0,0.0,0.0,-4049760.0,-4049760.0,-4059165.0,0.0,0.0,0.0,0.0,11323908.0,5279894.0,16603802.0,-16603802.0,-88098.0,-14334907.0,38004.0,0.0,0.0,-14372911.0,0.0,-14372911.0,-0.29,-0.29,43882939.0,43882939.0,0.0,0.0,0.0,0.0,-14423005.0,-14423005.0,-14372911.0,0.582,0.646,-0.082,0.0,0.6404,0.0,0.0,0.0,10.11,0.8918,0.0,0.0,0.0,0.0,25492939.0,28343807.0,25492939.0,-2555705.0,0.0,2480968.5,0.0,0.0,-0.607,-0.549,0.0,3.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,-2276324.0,23684545.0,26173864.0,-0.216,0.0,163.7155,-0.5638,0.0,AVXL,3.22,3.6221212121212116,141303063.58
2017-09-30,0.0,0.1969,0.2083,0.3333,0.3333,0.1848,-0.1764,1.9308,2.2373,0.0,0.0,0.0,0.0,-0.1764,0.1399,-0.5769,0.2104,0.1848,0.0,0.0,0.0,0.0,3836386.0,1361051.0,5197437.0,-5197437.0,-88098.0,-5145447.0,9127.0,0.0,0.0,-5154574.0,0.0,-5154574.0,-0.12,-0.12,42331685.0,42331685.0,0.0,0.0,0.0,0.0,-5233545.0,-5233545.0,-5154574.0,0.0,0.0,0.0,0.0,10672086.0,5008275.0,15680361.0,-15680361.0,-88098.0,-13400798.0,59607.0,0.0,0.0,-13460405.0,0.0,-13460405.0,-0.33,-0.33,40841033.0,40841033.0,0.0,0.0,0.0,0.0,-13488896.0,-13488896.0,-13460405.0,0.573,0.658,-0.052,0.0,0.6495,0.0,0.0,59.4059,7.752,0.4252,0.0,0.0,0.0,0.0,24201599.0,27838329.0,24201599.0,-3238658.0,0.0,3352163.5,0.0,0.0,-0.609,-0.551,0.0,3.0,0.0,0.6699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,-2146103.0,22092970.0,24431407.0,-0.221,0.0,153.1124,-0.5562,0.0,AVXL,4.14,4.32942857142857,175253175.89999998
2017-06-30,0.0,-0.6113,-0.6114,0.3333,0.3333,0.1624,-0.3373,1.5302,1.6279,-1.0,0.0,0.0,0.0,-0.3373,0.985,0.2381,-0.6155,0.1624,0.0,0.0,0.0,0.0,2300277.0,1405026.0,3705303.0,-3705303.0,0.0,-3600208.0,9877.0,0.0,0.0,-3610085.0,0.0,-3610085.0,-0.04,-0.04,41509225.0,41509225.0,0.0,0.0,0.0,0.0,-3600208.0,-3600208.0,-3610085.0,0.0,0.0,0.0,0.0,10201327.0,6864373.0,17065700.0,-17065700.0,-11322.0,-14760383.0,56480.0,0.0,0.0,-14816863.0,0.0,-14816863.0,-0.34,-0.34,41509225.0,41509225.0,0.0,0.0,0.0,0.0,-14771199.0,-14771705.0,-14816863.0,0.565,0.6,-0.072,0.0,0.5986,0.0,0.0,0.0,17.087,0.8238,0.0,0.0,0.0,0.0,23399763.0,24906730.0,23399763.0,-1393661.0,0.0,1746514.5,0.0,0.0,-0.842,-0.747,0.0,4.0,0.0,0.5864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,-2069202.0,17606511.0,19846495.0,-0.209,0.0,1304.6904,-0.6332,0.0,AVXL,5.32,5.741944444444444,220829077.0
2017-03-31,0.0,0.2419,0.2372,0.3333,0.3333,0.1688,0.6333,0.9485,0.8982,-1.0,0.0,0.0,0.0,0.6333,1.286,0.0242,-0.6554,0.1688,0.0,0.0,0.0,0.0,2492933.0,1116014.0,3608947.0,-3608947.0,0.0,-1539492.0,9595.0,0.0,0.0,-1549087.0,0.0,-1549087.0,-0.04,-0.04,41159707.0,41159707.0,0.0,0.0,0.0,0.0,-1539492.0,-1539492.0,-1549087.0,0.0,0.0,0.0,0.0,9059870.0,6594192.0,15654062.0,-15654062.0,-11322.0,-13394531.0,52603.0,0.0,0.0,-13447134.0,0.0,-13447134.0,-0.36,-0.36,41159707.0,41159707.0,0.0,0.0,0.0,0.0,-13405098.0,-13405853.0,-13447134.0,0.522,0.574,-0.017,0.0,0.5686,0.0,0.0,0.0,11.111,0.4504,0.0,0.0,0.0,0.0,21434295.0,23606588.0,21434295.0,-1917272.0,0.0,2185914.5,0.0,0.0,-0.984,-0.836,0.0,4.0,0.0,0.5903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,-2212631.0,13661242.0,16080806.0,-0.193,0.0,1184.0534,-0.6274,0.0,AVXL,5.74,5.745555555555556,236256718.18
2016-12-31,0.0,0.2086,0.2043,0.3333,0.3333,0.1302,0.0288,0.5241,0.4793,-1.0,0.0,0.0,0.0,0.0288,0.7552,-0.6657,0.3009,0.1302,0.0,0.0,0.0,0.0,2042490.0,1126184.0,3168674.0,-3168674.0,0.0,-3115651.0,31008.0,0.0,0.0,-3146659.0,0.0,-3146659.0,-0.08,-0.08,38393910.0,38393910.0,0.0,0.0,0.0,0.0,-3115651.0,-3115651.0,-3146659.0,0.0,0.0,0.0,0.0,7657464.0,6567819.0,14225283.0,-14225283.0,-11322.0,-13885840.0,43008.0,0.0,0.0,-13928848.0,0.0,-13928848.0,-0.38,-0.38,38393910.0,38393910.0,0.0,0.0,0.0,0.0,-13896159.0,-13897162.0,-13928848.0,0.5,0.557,-0.082,0.0,0.5525,0.0,0.0,0.0,9.714,1.0022,0.0,0.0,0.0,0.0,19126640.0,21373982.0,19126640.0,-2034820.0,0.0,2290448.0,0.0,0.0,-1.301,-1.055,0.0,4.0,0.0,0.6564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,-2278024.0,10710366.0,13207971.0,-0.238,0.0,1227.4476,-0.7282,0.0,AVXL,3.96,3.8623529411764705,152039883.6
2016-09-30,0.0,-0.2162,-0.2156,0.1429,0.1429,0.9224,-0.2999,-0.386,-0.7431,-1.0,0.0,0.0,0.0,-0.2999,3.5085,-0.001,-0.6595,0.9224,0.0,0.0,0.0,0.0,3365627.0,3217149.0,6582776.0,-6582776.0,-11322.0,-6505032.0,6000.0,0.0,0.0,-6511032.0,0.0,-6511032.0,-0.18,-0.18,35728190.0,35728190.0,0.0,0.0,0.0,0.0,-6515848.0,-6516354.0,-6511032.0,0.0,0.0,0.0,0.0,7254303.0,8334740.0,15589043.0,-15589043.0,-11322.0,-14707083.0,29615.0,0.0,0.0,-14736698.0,0.0,-14736698.0,-0.42,-0.42,35153426.0,35153426.0,0.0,0.0,0.0,0.0,-14717153.0,-14718405.0,-14736698.0,0.177,0.266,-0.052,0.0,0.2586,0.0,0.0,575.548,2.961,0.2862,0.0,0.0,0.0,0.0,6255760.0,9498681.0,6255760.0,-2931054.0,0.0,2811859.5,0.0,0.0,-1.677,-1.296,0.0,3.0,0.0,0.6268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,-2339111.0,8788431.0,11370466.0,-0.263,0.0,1299.9828,-2.3557,0.0,AVXL,3.63,3.105277777777778,129693329.7
2016-06-30,0.0,0.4732,0.4716,0.7273,0.7273,0.8701,-0.5548,0.2338,-0.375,-0.0463,0.0,0.0,0.0,-0.5548,0.4495,0.5905,-0.516,0.8701,0.0,0.0,0.0,0.0,1158820.0,1134845.0,2293665.0,-2293665.0,0.0,-2234356.0,6000.0,0.0,0.0,-2240356.0,0.0,-2240356.0,-0.06,-0.06,35709686.0,35709686.0,0.0,0.0,0.0,0.0,-2234107.0,-2234356.0,-2240356.0,0.0,0.0,0.0,0.0,4159528.0,8813476.0,12973004.0,-12973004.0,-1702.0,-13558360.0,23615.0,0.0,0.0,-13581975.0,0.0,-13581975.0,-0.45,-0.45,35709686.0,35709686.0,0.0,0.0,0.0,0.0,-13559067.0,-13560062.0,-13581975.0,0.215,0.276,-0.062,0.0025,0.2724,0.0115,0.009,0.0,4.531,0.9926,0.0,0.0,0.0,0.0,7670925.0,9843973.0,7670580.0,-1967377.0,0.0,1658291.0,0.0,0.0,-1.304,-1.056,0.0,3.0,0.0,0.6484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,-2205365.0,10413642.0,12863274.0,-0.247,0.0,7967.134,-1.7705,0.0,AVXL,6.11,4.397777777777779,218186181.46
2016-03-31,0.0,-0.1759,-0.1774,0.5,0.5,1.4579,-1.8384,0.9036,-0.1616,-0.0213,0.0,0.0,0.0,-1.8384,1.6785,1.415,-1.54,1.4579,0.0,0.0,0.0,0.0,1090527.0,1089641.0,2180168.0,-2180168.0,0.0,-2030801.0,0.0,0.0,0.0,-2030801.0,0.0,-2030801.0,-0.06,-0.06,35214793.0,35214793.0,0.0,0.0,0.0,0.0,-2030553.0,-2030801.0,-2030801.0,0.0,0.0,0.0,0.0,3800170.0,8392129.0,12192299.0,-12192299.0,-2956.0,-15564248.0,17615.0,0.0,0.0,-15581863.0,0.0,-15581863.0,-0.61,-0.61,35214793.0,35214793.0,0.0,0.0,0.0,0.0,-15566210.0,-15567204.0,-15581863.0,0.275,0.344,-0.054,0.0025,0.3394,0.0091,0.0073,0.0,4.982,0.9369,0.0,0.0,0.0,0.0,9682767.0,12115249.0,9682430.0,-2178843.0,0.0,1888038.0,0.0,0.0,-1.537,-1.257,0.0,4.0,0.0,0.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-2023895.0,10138210.0,12397002.0,-0.228,0.0,5266.3072,-1.6091,0.0,AVXL,4.9,4.501428571428572,172552485.70000002
