,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0319,0.3158,0.1096,0.1136,0.1149,0.0333,0.0328,-0.0167,0.0831,0.0332,0.0,0.1579,0.0331,0.0,0.0391,0.1116,0.0108,1027000000.0,0.0332,412000000.0,615000000.0,0.0,239000000.0,346000000.0,269000000.0,37000000.0,288000000.0,126000000.0,0.0,0.0,162000000.0,0.0,162000000.0,0.98,0.97,166965782.0,0.44,0.5988,0.368,0.3165,0.158,0.2434,378000000.0,325000000.0,162000000.0,4171000000.0,0.0792,1647000000.0,2524000000.0,0.0,966000000.0,1475000000.0,1049000000.0,145000000.0,976000000.0,220000000.0,0.0,0.0,756000000.0,0.0,756000000.0,4.55,4.48,166965782.0,1.58,0.6051,0.317,0.2688,0.181,0.2215,1323000000.0,1121000000.0,756000000.0,33.192,38.541,1.497,23.0406,2.1322,0.6942,0.2541,8.7838,0.932,1.7222,0.449,0.575,0.2327,0.0,-421000000.0,6435000000.0,-3872000000.0,3778000000.0,398500000.0,358500000.0,0.0,-0.1039,0.0175,8.4074,-0.0282,-0.5472,0.132,0.049,0.0721,0.269,5.0,0.272,1.3876,34.9161,35.4411,0.0,10.4668,11.6346,0.0,0.347,17.0,0.2316,0.0,4601750000.0,5720500000.0,15339250000.0,5.534,24.981,7.731,-14.8235,-0.1192,0.0165,-0.03,-0.6188,NDAQ,91.269997,92.73457125714283,15238966422.242655
2018-03-31,0.1463,0.0992,0.0536,0.0495,0.0606,0.5369,0.0897,0.0709,0.1364,0.0407,0.0,0.1875,0.726,0.0,0.1972,0.1098,-0.0011,1151000000.0,0.1878,485000000.0,666000000.0,0.0,261000000.0,393000000.0,273000000.0,38000000.0,239000000.0,62000000.0,0.0,0.0,177000000.0,0.0,177000000.0,1.06,1.05,166560632.0,0.38,0.5786,0.287,0.2407,0.154,0.3119,330000000.0,277000000.0,177000000.0,4138000000.0,0.0982,1633000000.0,2505000000.0,0.0,957000000.0,1483000000.0,1022000000.0,144000000.0,899000000.0,159000000.0,0.0,0.0,740000000.0,0.0,740000000.0,4.45,4.38,166560632.0,1.52,0.6054,0.299,0.2521,0.179,0.2214,1239000000.0,1043000000.0,740000000.0,34.372,40.88,2.155,24.7057,2.5756,0.7188,0.2606,7.2895,0.934,2.1186,0.358,0.5688,0.2268,0.0,-398000000.0,6809000000.0,-4427000000.0,4459000000.0,476500000.0,316500000.0,0.0,-0.0427,0.013,10.4909,-0.0139,-0.3019,0.129,0.049,0.0635,0.252,6.0,0.272,1.4054,32.1955,42.8685,0.0,8.6842,13.0742,0.0,0.342,17.0,0.2313,0.0,4785250000.0,5729000000.0,15219000000.0,5.499,24.844,7.2431,-52.8571,-0.1192,0.0169,-0.03,-0.6327,NDAQ,86.220001,81.96029420588235,14360857857.600632
2017-12-31,0.0618,1.6766,2.0933,2.0803,2.0902,0.0563,0.0851,0.0762,0.1676,-0.1702,0.0,0.1875,0.0979,0.0,-0.0202,1.6658,0.0062,1024000000.0,0.0524,388000000.0,636000000.0,0.0,243000000.0,393000000.0,243000000.0,36000000.0,213000000.0,-33000000.0,0.0,0.0,246000000.0,0.0,246000000.0,1.48,1.45,166226273.0,0.38,0.6211,0.29,0.2432,0.24,0.252,297000000.0,249000000.0,246000000.0,3965000000.0,0.0702,1537000000.0,2428000000.0,0.0,916000000.0,1429000000.0,999000000.0,143000000.0,880000000.0,146000000.0,0.0,0.0,734000000.0,0.0,734000000.0,4.41,4.33,166226273.0,1.46,0.6124,0.305,0.258,0.185,0.1929,1211000000.0,1023000000.0,734000000.0,35.373,37.9,1.552,25.3089,2.4003,0.7155,0.274,6.9167,1.053,1.2195,0.257,0.5897,0.2373,0.0,276000000.0,6300000000.0,-3964000000.0,4874000000.0,392500000.0,294000000.0,0.0,-0.14,0.0176,12.0303,-0.041,-0.875,0.13,0.049,0.0627,0.258,5.0,0.266,1.2384,28.0769,32.7718,0.0,10.1019,13.4864,0.0,0.331,16.0,0.231,0.0,4822750000.0,5635750000.0,14894000000.0,4.602,23.853,7.1538,1.0858,-0.1584,0.0177,-0.0363,-0.766,NDAQ,76.83000200000001,77.27060603030303,12771164887.042547
2017-09-30,0.0376,0.1441,0.3053,0.3038,0.3117,0.5079,0.0178,-0.0113,0.0092,-0.0831,0.0,0.1875,0.9655,0.0,-0.0133,0.133,0.0081,969000000.0,0.0431,362000000.0,607000000.0,0.0,223000000.0,343000000.0,264000000.0,34000000.0,236000000.0,65000000.0,0.0,0.0,171000000.0,0.0,171000000.0,1.03,1.01,166796254.0,0.38,0.6264,0.328,0.2786,0.176,0.0588,318000000.0,270000000.0,171000000.0,3905000000.0,0.0859,1522000000.0,2383000000.0,0.0,919000000.0,1996000000.0,387000000.0,144000000.0,257000000.0,-3000000.0,0.0,0.0,260000000.0,0.0,260000000.0,1.55,1.54,166796254.0,1.4,0.6102,0.15,0.1027,0.067,0.19,586000000.0,401000000.0,260000000.0,34.383,40.93,0.342,22.4406,3.3034,0.6527,0.2483,7.9412,1.153,0.5556,0.369,0.547,0.2301,0.0,723000000.0,6827000000.0,-3891000000.0,5296000000.0,334500000.0,192500000.0,0.0,-0.4,0.0186,9.3868,-0.0392,-0.7917,0.047,0.018,0.0248,0.103,6.0,0.268,3.4346,18.6005,29.9104,0.0,11.6741,20.2857,0.0,0.903,40.0,0.2353,0.0,4887250000.0,5523250000.0,14593000000.0,4.449,23.412,2.7847,0.2359,-0.1691,0.0213,-0.0387,-0.8162,NDAQ,77.57,75.68314268571429,12938385422.779999
2017-06-30,0.0662,0.3876,1.0857,1.0952,1.0714,0.5517,-0.0291,-0.0286,-0.048,-0.0175,0.0,0.1875,0.6575,0.0,0.0748,0.3908,0.004,994000000.0,0.1081,398000000.0,596000000.0,0.0,230000000.0,354000000.0,242000000.0,36000000.0,211000000.0,65000000.0,0.0,0.0,146000000.0,0.0,146000000.0,0.88,0.87,165178479.0,0.38,0.5996,0.296,0.2485,0.147,0.2435,294000000.0,247000000.0,146000000.0,3865000000.0,0.0924,1504000000.0,2361000000.0,0.0,922000000.0,2005000000.0,356000000.0,147000000.0,220000000.0,0.0,0.0,0.0,220000000.0,0.0,220000000.0,1.31,1.3,165178479.0,1.34,0.6109,0.142,0.095,0.057,0.1847,550000000.0,367000000.0,220000000.0,33.757,38.268,1.465,21.504,2.2642,0.637,0.2423,6.8611,0.987,1.8493,0.432,0.5688,0.2314,0.0,-66000000.0,6321000000.0,-4163000000.0,4512000000.0,395500000.0,325000000.0,0.0,-0.1037,0.0191,9.7891,-0.0282,-0.5957,0.04,0.015,0.0234,0.095,5.0,0.266,3.9136,30.031,37.0194,0.0,9.7724,11.8923,0.0,1.023,41.0,0.2386,0.0,4873500000.0,5528000000.0,14527000000.0,4.323,23.399,2.4966,0.6918,-0.1707,0.022,-0.038,-0.8033,NDAQ,71.489998,69.11805599999998,11808609133.353043
2017-03-31,0.088,0.13,0.2727,0.2625,0.2692,-0.0431,0.0564,-0.0767,0.4117,0.4024,0.0,0.28,-0.1034,0.0,0.0955,0.1233,0.0175,969000000.0,0.0707,388000000.0,581000000.0,0.0,218000000.0,335000000.0,246000000.0,37000000.0,215000000.0,47000000.0,0.0,0.0,168000000.0,0.0,168000000.0,1.01,0.99,166747494.0,0.32,0.5996,0.307,0.2601,0.173,0.2147,297000000.0,252000000.0,168000000.0,3768000000.0,0.0928,1444000000.0,2324000000.0,0.0,906000000.0,2036000000.0,288000000.0,143000000.0,155000000.0,11000000.0,0.0,0.0,144000000.0,0.0,144000000.0,0.85,0.85,166747494.0,1.28,0.6168,0.126,0.0791,0.038,0.164,475000000.0,298000000.0,144000000.0,32.096,38.01,1.247,21.7155,2.7827,0.6766,0.2499,6.8108,1.012,1.4524,0.317,0.5626,0.225,0.0,61000000.0,6338000000.0,-4191000000.0,4609000000.0,400000000.0,261500000.0,0.0,-0.1475,0.0155,9.8889,-0.0372,-0.8,0.026,0.01,0.0194,0.079,4.0,0.257,5.3125,25.9607,45.2375,0.0,9.42,14.4092,0.0,1.506,50.0,0.2404,0.0,5032750000.0,5563250000.0,14636750000.0,3.706,22.597,2.0839,0.3295,-0.1922,0.0226,-0.039,-0.8305,NDAQ,69.449997,70.59999930555556,11580612958.057518
2016-12-31,0.1175,-2.4899,-2.5203,-2.5222,-2.5287,0.1137,0.193,-0.0376,0.5241,0.3576,0.0,0.28,0.1033,0.0,0.4253,-2.4898,0.0059,973000000.0,0.1249,374000000.0,599000000.0,0.0,248000000.0,964000000.0,-365000000.0,37000000.0,-405000000.0,-180000000.0,0.0,0.0,-225000000.0,0.0,-225000000.0,-1.37,-1.33,165202937.0,0.32,0.6156,-0.332,-0.3782,-0.231,0.2415,-323000000.0,-368000000.0,-225000000.0,3705000000.0,0.0887,1428000000.0,2277000000.0,0.0,887000000.0,2016000000.0,261000000.0,135000000.0,136000000.0,28000000.0,0.0,0.0,108000000.0,0.0,108000000.0,0.65,0.64,165202937.0,1.21,0.6146,0.119,0.0731,0.029,0.1733,441000000.0,271000000.0,108000000.0,32.869,36.495,1.422,21.8095,2.5302,0.6635,0.2546,-9.9459,1.117,-1.2622,-0.234,0.5739,0.2549,0.0,478000000.0,6029000000.0,-4160000000.0,5132000000.0,372500000.0,269500000.0,0.0,-0.1725,0.0319,-9.1022,-0.0504,-1.0889,0.019,0.007,0.0173,0.073,5.0,0.257,7.1852,27.8799,42.2632,0.0,9.9463,13.7477,0.0,1.862,54.0,0.2394,0.0,4818750000.0,5649500000.0,14443500000.0,3.886,22.427,2.0074,0.1286,-0.1727,0.0232,-0.0362,-0.7882,NDAQ,67.120003,66.46058832352942,11088421627.048811
2016-09-30,0.1059,0.0085,-0.0507,-0.0482,-0.0375,-0.0455,0.2581,0.0593,0.5232,0.2554,0.0,0.28,-0.1471,0.0,0.1531,0.0087,-0.0206,929000000.0,0.0666,344000000.0,585000000.0,0.0,226000000.0,352000000.0,233000000.0,37000000.0,199000000.0,68000000.0,0.0,0.0,131000000.0,0.0,131000000.0,0.79,0.77,165453714.0,0.32,0.6297,0.304,0.254,0.141,0.0312,282000000.0,236000000.0,131000000.0,3596000000.0,0.0405,1382000000.0,2214000000.0,0.0,813000000.0,1343000000.0,871000000.0,125000000.0,759000000.0,278000000.0,0.0,0.0,481000000.0,0.0,481000000.0,2.91,2.84,165453714.0,1.14,0.6157,0.291,0.2458,0.134,0.1724,1045000000.0,884000000.0,481000000.0,34.777,35.43,0.175,22.4171,1.6681,0.6446,0.2505,6.3784,1.072,0.4809,0.405,0.6041,0.2433,0.0,292000000.0,5862000000.0,-4708000000.0,5241000000.0,313500000.0,192000000.0,0.0,-0.5397,0.0215,11.3298,-0.0366,-0.7391,0.084,0.035,0.0531,0.246,6.0,0.259,1.553,18.8793,35.4241,0.0,11.4705,18.7292,0.0,0.392,16.0,0.2261,0.0,4434250000.0,5694250000.0,13871250000.0,3.747,21.734,7.072,0.7587,-0.17,0.025,-0.0353,-0.7888,NDAQ,67.540001,69.95361111111112,11174744009.013714
2016-06-30,0.0792,-0.1909,-0.4737,-0.4684,-0.4545,-0.0057,0.2474,0.0251,0.6357,0.2353,0.0,0.28,0.0429,0.0,0.0863,-0.1982,-0.0243,897000000.0,0.1115,338000000.0,559000000.0,0.0,214000000.0,385000000.0,174000000.0,32000000.0,146000000.0,76000000.0,0.0,0.0,70000000.0,0.0,70000000.0,0.42,0.42,164514657.0,0.32,0.6232,0.244,0.1984,0.078,0.1628,219000000.0,178000000.0,70000000.0,3538000000.0,0.0397,1380000000.0,2158000000.0,0.0,783000000.0,1289000000.0,869000000.0,116000000.0,766000000.0,278000000.0,0.0,0.0,488000000.0,0.0,488000000.0,2.95,2.87,164514657.0,1.07,0.6099,0.292,0.2493,0.138,0.1767,1032000000.0,882000000.0,488000000.0,34.751,37.03,0.887,22.6788,2.2247,0.6526,0.2471,5.5625,1.067,2.4857,0.762,0.5965,0.2386,0.0,288000000.0,6092000000.0,-4786000000.0,5149000000.0,361000000.0,333500000.0,0.0,-0.1609,0.0212,14.2009,-0.0312,-0.6829,0.086,0.037,0.0534,0.249,6.0,0.27,1.5369,34.251,41.1631,0.0,9.8006,10.6087,0.0,0.363,15.0,0.2213,0.0,4034750000.0,5642250000.0,13111750000.0,3.799,21.506,7.6034,0.7871,-0.1667,0.0215,-0.0353,-0.8333,NDAQ,64.66999799999999,64.27944444444444,10639162539.160685
2016-03-31,0.0533,4.3095,13.6667,15.0,14.6,0.1039,0.1205,0.0586,0.1123,-0.032,0.0,0.6667,0.1208,0.0,-0.1272,7.1111,-0.0293,905000000.0,0.0548,371000000.0,534000000.0,0.0,199000000.0,315000000.0,219000000.0,28000000.0,195000000.0,63000000.0,0.0,0.0,132000000.0,0.0,132000000.0,0.8,0.78,163887649.0,0.25,0.5901,0.288,0.2464,0.146,0.2564,261000000.0,223000000.0,132000000.0,3448000000.0,-0.0038,1331000000.0,2117000000.0,0.0,766000000.0,1205000000.0,912000000.0,111000000.0,813000000.0,262000000.0,-1000000.0,0.0,551000000.0,0.0,551000000.0,3.32,3.22,163887649.0,1.0,0.614,0.309,0.268,0.16,0.1795,1066000000.0,924000000.0,550000000.0,34.762,36.421,1.416,15.651,2.1478,0.4502,0.187,7.9643,1.066,1.9318,0.313,0.5648,0.2199,0.0,293000000.0,5969000000.0,-3298000000.0,3753000000.0,338500000.0,272000000.0,0.0,-0.0902,0.0177,7.4866,-0.0254,-0.6053,0.098,0.045,0.0657,0.268,8.0,0.279,1.363,26.9939,35.2509,0.0,10.1861,12.6765,0.0,0.301,14.0,0.2222,0.0,3602500000.0,5642000000.0,12363000000.0,3.777,21.039,8.3243,0.8901,-0.1758,0.0209,-0.0383,-0.9296,NDAQ,66.379997,64.31171411428572,10878861648.957054
