,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.1339,-0.1285,0.0025,-0.125,-0.125,-0.0861,0.2001,0.1257,-0.2249,0.0,0.0,0.1538,-0.7224,0.0,0.2939,-0.1285,0.1361,49566000.0,0.1339,0.0,49566000.0,0.0,30990000.0,35706000.0,13860000.0,0.0,13860000.0,2003000.0,0.0,0.0,11857000.0,0.0,11857000.0,0.35,0.35,34018280.0,0.15,1.0,0.346,0.2796,0.239,0.1232,17165000.0,13860000.0,11857000.0,184181000.0,0.1137,0.0,184181000.0,0.0,111279000.0,127996000.0,56185000.0,0.0,56185000.0,14594000.0,0.0,0.0,41591000.0,0.0,41591000.0,1.3,1.3,34018280.0,15094789.0,0.66,1.0,0.374,0.3051,0.226,0.2222,68800000.0,56185000.0,41591000.0,18.799,134.815,0.18,3.4635,3.8198,0.1842,0.0246,0.0,1.7374,0.429,0.0425,0.6252,0.0,4586172000.0,4574053000.0,0.0,0.0,0.0,-0.7035,0.073,0.009,0.305,0.042,1.4244,0.0,0.0,0.0,0.0,0.0,0.0,0.508,20.0,0.6042,0.0,4250399500.0,572536000.0,4407266000.0,1.203,5.414,0.0,-0.3092,HFWA,34.849998,33.01714271428572,1185536989.96344
2018-03-31,0.1919,-0.1547,-0.0246,-0.129,-0.129,-0.5743,0.2035,0.1427,-0.288,0.0,0.0,0.25,-0.6609,0.0,0.3683,-0.1547,0.1355,47233000.0,0.1919,0.0,47233000.0,0.0,32244000.0,36747000.0,10486000.0,0.0,10486000.0,1399000.0,0.0,0.0,9087000.0,0.0,9087000.0,0.27,0.27,34013263.0,0.15,1.0,0.295,0.222,0.192,0.1481,13912000.0,10486000.0,9087000.0,178327000.0,0.1131,0.0,178327000.0,0.0,104239000.0,120099000.0,58228000.0,0.0,58228000.0,16666000.0,0.0,0.0,41562000.0,0.0,41562000.0,1.35,1.35,34013263.0,15497426.0,0.64,1.0,0.395,0.3265,0.233,0.3186,70512000.0,58228000.0,41562000.0,18.661,131.482,0.206,2.2604,3.8311,0.1211,0.0164,0.0,1.0057,0.556,0.0436,0.6827,0.0,4472138000.0,4418712000.0,0.0,0.0,0.0,-0.2348,0.077,0.01,0.327,0.042,1.4721,0.0,0.0,0.0,0.0,0.0,0.0,0.474,19.0,0.5845,0.0,4080131750.0,537667250.0,4207632500.0,1.671,5.243,0.0,-0.0713,HFWA,30.6,30.85470594117647,1040805847.8000001
2017-12-31,0.1202,0.3046,0.0131,0.0,0.0,0.2535,0.0604,0.0558,0.1887,0.0,0.0,-0.3784,0.3353,0.0,0.0302,0.3046,-0.0006,44881000.0,0.1202,0.0,44881000.0,0.0,23767000.0,27588000.0,17293000.0,0.0,17293000.0,7270000.0,0.0,0.0,10023000.0,0.0,10023000.0,0.33,0.33,29929106.0,0.23,1.0,0.45,0.3853,0.223,0.4208,20200000.0,17293000.0,10023000.0,170722000.0,0.0724,0.0,170722000.0,0.0,95560000.0,110575000.0,60147000.0,0.0,60147000.0,18356000.0,0.0,0.0,41791000.0,0.0,41791000.0,1.39,1.39,29929106.0,11173658.0,0.61,1.0,0.423,0.3523,0.245,0.4127,72137000.0,60147000.0,41791000.0,16.984,133.253,0.631,4.8224,3.442,0.2839,0.0351,0.0,1.9682,0.697,0.0304,0.5296,0.0,3988153000.0,4029468000.0,0.0,0.0,0.0,-0.0427,0.083,0.01,0.352,0.043,1.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.439,16.0,0.5597,0.0,3916239250.0,501289250.0,4009973250.0,2.354,5.704,0.0,-0.0417,HFWA,30.799999,31.35454542424242,921816434.870894
2017-09-30,0.0125,-0.0405,-0.0376,-0.0541,-0.0541,-0.296,0.053,0.0248,1.7774,0.0,0.0,0.0833,-0.1493,0.0,0.052,-0.0405,-0.0014,42501000.0,0.0125,0.0,42501000.0,0.0,24278000.0,27955000.0,14546000.0,0.0,14546000.0,3922000.0,0.0,0.0,10624000.0,0.0,10624000.0,0.35,0.35,29930530.0,0.13,1.0,0.412,0.3423,0.25,0.2103,17523000.0,14546000.0,10624000.0,165905000.0,0.0498,0.0,165905000.0,0.0,94863000.0,109796000.0,56109000.0,0.0,56109000.0,14448000.0,0.0,0.0,41661000.0,0.0,41661000.0,1.39,1.39,29930530.0,7831614.0,0.75,1.0,0.414,0.3382,0.251,0.3961,68716000.0,56109000.0,41661000.0,16.96,131.124,0.299,5.5463,3.7172,0.327,0.041,0.0,0.9202,0.371,0.031,0.5712,0.0,3924619000.0,3979365000.0,0.0,0.0,0.0,-0.0858,0.084,0.011,0.338,0.042,1.6688,0.0,0.0,0.0,0.0,0.0,0.0,0.54,16.0,0.5718,0.0,3851435750.0,494653750.0,3951401000.0,2.195,5.543,0.0,-0.0549,HFWA,29.5,27.039428514285717,882950635.0
2017-06-30,0.1342,0.3182,0.3297,0.3333,0.3333,0.9969,0.0623,0.0213,1.1941,0.0,0.0,0.0833,1.0978,0.0,0.0667,0.3182,-0.001,43712000.0,0.1342,0.0,43712000.0,0.0,23950000.0,27809000.0,15903000.0,0.0,15903000.0,4075000.0,0.0,0.0,11828000.0,0.0,11828000.0,0.4,0.4,29942142.0,0.13,1.0,0.432,0.3638,0.271,0.5034,18877000.0,15903000.0,11828000.0,165382000.0,0.0554,0.0,165382000.0,0.0,93662000.0,108659000.0,56723000.0,0.0,56723000.0,14647000.0,0.0,0.0,42076000.0,0.0,42076000.0,1.41,1.41,29942142.0,6647420.0,0.74,1.0,0.422,0.343,0.254,0.4068,69772000.0,56723000.0,42076000.0,16.7,129.089,0.735,5.0771,4.1491,0.304,0.0381,0.0,1.9057,0.325,0.0315,0.5479,0.0,3865198000.0,3892982000.0,0.0,0.0,0.0,-0.0237,0.086,0.011,0.343,0.042,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.525,14.0,0.5663,0.0,3773250500.0,491754750.0,3900481000.0,2.247,5.523,0.0,-0.0863,HFWA,26.5,24.99444413888888,793466763.0
2017-03-31,0.0263,0.0133,0.0247,0.0333,0.0333,0.6429,0.0564,0.0192,1.7104,0.0,0.0,0.0909,0.6139,0.0,0.0557,0.0133,-0.0003,39628000.0,0.0263,0.0,39628000.0,0.0,23565000.0,27223000.0,12405000.0,0.0,12405000.0,3089000.0,0.0,0.0,9316000.0,0.0,9316000.0,0.31,0.31,29955300.0,0.12,1.0,0.392,0.313,0.235,0.5204,15537000.0,12405000.0,9316000.0,160211000.0,0.0249,0.0,160211000.0,0.0,92164000.0,107327000.0,52884000.0,0.0,52884000.0,13741000.0,0.0,0.0,39143000.0,0.0,39143000.0,1.31,1.31,29955300.0,,0.73,1.0,0.415,0.3301,0.244,0.348,66492000.0,52884000.0,39143000.0,16.331,125.505,0.688,3.6047,3.4843,0.2207,0.0278,0.0,2.3045,0.387,0.0324,0.5947,0.0,3759534000.0,3763142000.0,0.0,0.0,0.0,-0.0395,0.08,0.01,0.33,0.042,1.5937,0.0,0.0,0.0,0.0,0.0,0.0,0.557,14.0,0.5753,0.0,3700029250.0,489257250.0,3841961500.0,1.861,5.348,0.0,-0.1061,HFWA,24.75,24.566666583333333,741393675.0
2016-12-31,0.0297,0.0918,0.0421,0.0313,0.0313,-0.1354,0.0625,0.0258,1.8477,0.0,0.0,0.7619,-0.2394,0.0,0.019,0.0918,-0.0007,40064000.0,0.0297,0.0,40064000.0,0.0,23070000.0,26809000.0,13255000.0,0.0,13255000.0,3362000.0,0.0,0.0,9893000.0,0.0,9893000.0,0.33,0.33,29946823.0,0.37,1.0,0.419,0.3308,0.247,0.353,16779000.0,13255000.0,9893000.0,159194000.0,0.0107,0.0,159194000.0,0.0,90921000.0,106473000.0,52721000.0,0.0,52721000.0,13803000.0,0.0,0.0,38918000.0,0.0,38918000.0,1.3,1.3,29946823.0,,0.72,1.0,0.42,0.3312,0.244,0.301,66845000.0,52721000.0,38918000.0,16.087,125.308,0.472,4.0546,3.4643,0.252,0.0313,0.0,1.5907,1.121,0.0326,0.5758,0.0,3752578000.0,3770254000.0,0.0,0.0,0.0,-0.1013,0.08,0.01,0.331,0.042,1.387,0.0,0.0,0.0,0.0,0.0,0.0,0.554,14.0,0.5711,0.0,3633336000.0,487003500.0,3790066250.0,1.6,5.316,0.0,-0.1123,HFWA,25.75,24.00735302941177,771130692.25
2016-09-30,0.0331,0.1389,0.163,0.1563,0.1563,-0.0638,0.0698,0.0577,0.417,0.0,0.0,0.0909,-0.2711,0.0,-0.0001,0.1389,0.0005,41978000.0,0.0331,0.0,41978000.0,0.0,23077000.0,26818000.0,15160000.0,0.0,15160000.0,4121000.0,0.0,0.0,11039000.0,0.0,11039000.0,0.37,0.37,29971286.0,0.12,1.0,0.443,0.3611,0.263,0.2503,18579000.0,15160000.0,11039000.0,158039000.0,0.0103,0.0,158039000.0,0.0,90491000.0,106433000.0,51606000.0,0.0,51606000.0,13088000.0,0.0,0.0,38518000.0,0.0,38518000.0,1.29,1.29,29971286.0,,0.56,1.0,0.419,0.3265,0.244,0.3314,66210000.0,51606000.0,38518000.0,16.55,124.106,0.351,1.9942,3.7623,0.1205,0.0155,0.0,1.258,0.324,0.033,0.5497,0.0,3719615000.0,3666624000.0,0.0,0.0,0.0,-0.2435,0.08,0.01,0.327,0.042,1.4654,0.0,0.0,0.0,0.0,0.0,0.0,0.434,10.0,0.5726,0.0,3550515500.0,484055250.0,3733019000.0,1.747,5.273,0.0,-0.0722,HFWA,17.950001,18.10277775,537984613.671286
2016-06-30,0.0099,-0.0016,0.0195,0.0345,0.0345,-0.3798,0.0795,0.0771,0.7379,0.0,0.0,0.0909,-0.4095,0.0,0.0402,-0.0016,-0.009,38541000.0,0.0099,0.0,38541000.0,0.0,22452000.0,26477000.0,12064000.0,0.0,12064000.0,3169000.0,0.0,0.0,8895000.0,0.0,8895000.0,0.3,0.3,29971545.0,0.12,1.0,0.405,0.313,0.231,0.2722,15597000.0,12064000.0,8895000.0,156694000.0,0.0175,0.0,156694000.0,0.0,90493000.0,106937000.0,49757000.0,0.0,49757000.0,12786000.0,0.0,0.0,36971000.0,0.0,36971000.0,1.24,1.24,29971545.0,,0.55,1.0,0.417,0.3175,0.236,0.3592,65281000.0,49757000.0,36971000.0,16.351,121.107,0.35,2.3117,3.3013,0.1414,0.0184,0.0,1.269,0.4,0.0338,0.5825,0.0,3629756000.0,3600097000.0,0.0,0.0,0.0,-0.0707,0.077,0.01,0.318,0.043,1.5524,0.0,0.0,0.0,0.0,0.0,0.0,0.444,10.0,0.5775,0.0,3475544500.0,477226250.0,3670269500.0,1.878,5.228,0.0,-0.0194,HFWA,17.58,17.728611250000004,526899761.09999996
2016-03-31,-0.0301,-0.1112,-0.0704,-0.0625,-0.0625,80.1677,0.0632,0.0483,-0.2001,0.0,0.0,0.1,34.276,0.0,0.0639,-0.1112,-0.0096,38611000.0,-0.0301,0.0,38611000.0,0.0,22322000.0,26369000.0,12242000.0,0.0,12242000.0,3151000.0,0.0,0.0,9091000.0,0.0,9091000.0,0.3,0.3,29965708.0,0.11,1.0,0.412,0.3171,0.235,0.3309,15890000.0,12242000.0,9091000.0,156315000.0,0.0525,0.0,156315000.0,0.0,89625000.0,106539000.0,49776000.0,0.0,49776000.0,12975000.0,0.0,0.0,36801000.0,0.0,36801000.0,1.23,1.23,29965708.0,,0.54,1.0,0.419,0.3184,0.235,0.4066,65572000.0,49776000.0,36801000.0,16.024,118.487,0.426,1.3295,3.1376,0.083,0.0108,0.0,1.4375,0.367,0.0347,0.5781,0.0,3550549000.0,3496369000.0,0.0,0.0,0.0,-0.0222,0.078,0.01,0.318,0.043,1.7473,0.0,0.0,0.0,0.0,0.0,0.0,0.439,9.0,0.5734,0.0,3402024000.0,469493750.0,3601131500.0,2.121,5.216,0.0,-0.0117,HFWA,17.57,17.512857000000004,526497489.56
