,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.1617,0.2147,0.2316,0.2601,0.2595,0.3793,0.0898,0.1284,0.1837,0.0544,0.0,0.1538,0.0049,0.0,0.1225,0.214,-0.0369,22943700000.0,0.0239,17727800000.0,5215900000.0,0.0,3428000000.0,3521600000.0,1694300000.0,191700000.0,1503500000.0,450100000.0,0.0,0.0,1053400000.0,0.0,1053400000.0,4.07,3.98,255199261.0,0.75,0.2273,0.086,0.0739,0.046,0.0099,1981200000.0,1695200000.0,1053400000.0,90587500000.0,0.0288,71549900000.0,19037600000.0,0.0,13261000000.0,13520100000.0,5517500000.0,690000000.0,4526900000.0,183400000.0,0.0,0.0,4343500000.0,0.0,4343500000.0,16.85,16.42,255199261.0,2.9,0.2102,0.069,0.0576,0.048,0.0313,6223500000.0,5216900000.0,4343500000.0,112.559,175.269,0.893,75.5708,18.3464,0.6714,0.2593,8.843,1.525,0.5147,0.184,0.3985,0.1494,0.0,12864700000.0,44728600000.0,-8272000000.0,34826500000.0,8866000000.0,13743800000.0,0.0,-0.5797,0.0016,-2.492,-0.0137,-1.099,0.161,0.061,0.1258,0.058,5.0,1.265,0.8888,57.4608,36.6698,0.0,10.2174,6.5912,0.0,0.172,15.0,0.1464,0.0,33468650000.0,27047150000.0,71629425000.0,11.098,354.968,7.5607,0.2847,-0.2664,0.0018,-0.0114,-1.0218,ANTM,238.02999900000003,234.4751416285714,60745079840.630745
2018-03-31,0.102,0.1226,0.2996,0.3429,0.3378,-0.1761,0.0632,0.0703,0.16,0.0417,0.0,0.1538,-0.2201,0.0,0.0743,0.1335,-0.0327,22537500000.0,0.0005,17045900000.0,5491600000.0,0.0,3428500000.0,3508000000.0,1983600000.0,184200000.0,1780300000.0,467800000.0,0.0,0.0,1312500000.0,0.0,1312500000.0,5.13,4.99,255721900.0,0.75,0.2437,0.099,0.0872,0.058,0.0886,2234200000.0,1964500000.0,1312500000.0,90051000000.0,0.0339,71739300000.0,18311700000.0,0.0,12886800000.0,13092900000.0,5218800000.0,688200000.0,4229100000.0,83700000.0,0.0,0.0,4145400000.0,0.0,4145400000.0,16.01,15.6,255721900.0,2.8,0.2033,0.065,0.0546,0.046,0.0314,5856700000.0,4917300000.0,4145400000.0,105.632,172.214,7.808,77.7638,18.108,0.7362,0.2713,10.665,1.494,1.6875,0.146,0.3992,0.1521,0.0,12218200000.0,44038900000.0,-9313900000.0,34538300000.0,8389850000.0,13618650000.0,0.0,-0.0985,0.0019,-1.8809,-0.0097,-0.809,0.157,0.059,0.1243,0.055,4.0,1.285,0.8953,57.5705,34.7004,0.0,10.7333,6.6123,0.0,0.175,15.0,0.1431,0.0,32751350000.0,26473825000.0,70096975000.0,11.071,352.144,7.1452,0.2868,-0.2372,0.0019,-0.0098,-0.9373,ANTM,219.69999700000002,229.84500076470587,56182100662.834305
2017-12-31,-0.0335,-0.6557,2.3407,2.4388,2.3942,-5.7009,0.0838,0.0833,0.2674,0.0064,0.0,0.0769,-15.5083,0.0,0.0396,-0.3179,-0.0253,22680300000.0,0.0445,18672600000.0,4007700000.0,0.0,3393400000.0,3437500000.0,570200000.0,163600000.0,124200000.0,-1106500000.0,0.0,0.0,1230700000.0,0.0,1230700000.0,4.78,4.65,256760521.0,0.7,0.1767,0.023,0.0127,0.054,-0.0696,515300000.0,287800000.0,1230700000.0,90039400000.0,0.061,72236200000.0,17803200000.0,0.0,12649600000.0,12818000000.0,4985200000.0,739000000.0,3963800000.0,121000000.0,0.0,0.0,3842800000.0,0.0,3842800000.0,14.7,14.35,256760521.0,2.7,0.1977,0.062,0.0522,0.043,0.0377,5593200000.0,4702800000.0,3842800000.0,103.22,167.239,-6.148,77.628,14.0555,0.7521,0.2826,1.7592,1.553,-1.0573,0.146,0.3913,0.1496,0.0,12906800000.0,42940400000.0,-7774300000.0,35907300000.0,8424400000.0,13331400000.0,0.0,0.2131,0.0017,-9.0642,-0.0122,-1.2189,0.146,0.056,0.124,0.052,5.0,1.305,1.089,55.0621,34.2601,0.0,10.6879,6.7539,0.0,0.184,14.0,0.1405,0.0,31780625000.0,26243700000.0,69007750000.0,13.221,350.675,6.3637,0.2548,-0.1888,0.0019,-0.0088,-0.8875,ANTM,225.00999500000003,224.5518188181818,57773683546.4074
2017-09-30,-0.0355,-0.0305,0.209,0.2213,0.2174,1.4945,0.0607,0.051,0.0397,0.0821,0.0,0.0769,1.7339,0.0,-0.0363,-0.0305,-0.0022,22426000000.0,0.0478,18103600000.0,4322400000.0,0.0,3011100000.0,3053000000.0,1269400000.0,150500000.0,1118900000.0,372000000.0,0.0,0.0,746900000.0,0.0,746900000.0,2.87,2.8,262584689.0,0.7,0.1927,0.067,0.0566,0.033,0.0975,1492800000.0,1269400000.0,746900000.0,89073500000.0,0.0688,71131500000.0,17942000000.0,0.0,12520200000.0,12691100000.0,5250900000.0,752700000.0,4498200000.0,1517700000.0,0.0,0.0,2980500000.0,0.0,2980500000.0,11.31,11.06,262584689.0,2.65,0.2014,0.069,0.059,0.033,0.0571,6146200000.0,5250900000.0,2980500000.0,98.819,163.305,8.325,61.8113,23.2199,0.6255,0.2376,8.4346,1.515,3.2196,0.244,0.3723,0.1343,0.0,12561200000.0,42881500000.0,-5387900000.0,28602500000.0,7525600000.0,13096950000.0,0.0,-0.0909,0.0019,-6.7211,-0.0098,-0.979,0.115,0.044,0.1634,0.059,7.0,1.317,1.9335,55.2752,32.0533,0.0,11.8361,6.8011,0.0,0.234,12.0,0.1406,0.0,30282350000.0,25893075000.0,67643525000.0,19.353,339.218,6.9761,0.204,-0.1182,0.0019,-0.0076,-0.7605,ANTM,189.880005,190.42342791428572,49859582060.24345
2017-06-30,-0.0346,-0.1459,0.0957,0.0875,0.0859,-0.4129,0.0652,0.0823,0.0464,0.1686,0.0,0.0,-0.5768,0.0,0.0285,-0.1459,0.0077,22407200000.0,0.0443,17917200000.0,4490000000.0,0.0,3053800000.0,3094400000.0,1395600000.0,189900000.0,1205700000.0,350400000.0,0.0,0.0,855300000.0,0.0,855300000.0,3.23,3.16,264986210.0,0.65,0.2004,0.072,0.0623,0.038,0.0101,1614400000.0,1395600000.0,855300000.0,88051400000.0,0.076,69950400000.0,18101000000.0,0.0,12633700000.0,12810100000.0,5290900000.0,775100000.0,4515800000.0,1664400000.0,0.0,0.0,2851400000.0,0.0,2851400000.0,10.79,10.56,264986210.0,2.6,0.2056,0.07,0.0601,0.032,0.042,6191100000.0,5290900000.0,2851400000.0,99.747,161.495,0.856,61.484,17.213,0.6164,0.2388,7.3491,1.645,0.4596,0.201,0.3729,0.1363,0.0,14562800000.0,42794000000.0,-4675200000.0,31957300000.0,8008600000.0,13310200000.0,0.0,-0.423,0.002,-5.6119,-0.0074,-0.7601,0.111,0.043,0.1536,0.06,7.0,1.321,1.5158,54.8287,35.7786,0.0,10.9946,6.6153,0.0,0.241,11.0,0.1435,0.0,30844900000.0,25592050000.0,66666025000.0,13.946,332.287,6.8261,0.1724,-0.145,0.0018,-0.0071,-0.6961,ANTM,188.130005,185.38833486111113,49851857012.23106
2017-03-31,0.0491,0.1674,0.4366,0.4201,0.4183,0.9769,0.0796,0.0954,0.0847,0.1416,0.0,0.0,1.0609,0.0,-0.0028,0.1674,0.0116,22525900000.0,0.1103,17542800000.0,4983100000.0,0.0,3191300000.0,3233100000.0,1750000000.0,235000000.0,1515000000.0,505100000.0,0.0,0.0,1009900000.0,0.0,1009900000.0,3.82,3.73,264378577.0,0.65,0.2212,0.087,0.0777,0.045,0.1137,1970700000.0,1750000000.0,1009900000.0,87100400000.0,0.0834,68838400000.0,18262000000.0,0.0,12549000000.0,12732700000.0,5529300000.0,770900000.0,4758400000.0,1981700000.0,0.0,0.0,2776700000.0,0.0,2776700000.0,10.53,10.31,264378577.0,2.6,0.2097,0.074,0.0635,0.032,0.046,6436500000.0,5529300000.0,2776700000.0,98.691,164.383,9.684,64.8415,25.6163,0.657,0.2486,7.4468,1.639,2.6618,0.17,0.3696,0.1417,0.0,14807600000.0,43459300000.0,-4869800000.0,30655400000.0,7708950000.0,13194950000.0,0.0,-0.0476,0.0019,-4.7761,-0.0057,-0.5795,0.111,0.042,0.1653,0.063,6.0,1.327,1.6561,54.619,34.4406,0.0,11.2986,6.601,0.0,0.247,10.0,0.1441,0.0,30758450000.0,25042525000.0,65622275000.0,15.147,329.453,7.1725,0.1656,-0.1292,0.0018,-0.0068,-0.6548,ANTM,165.380005,165.09000091666667,43722930386.152885
2016-12-31,0.0708,0.5088,1.0365,0.9857,0.9028,-0.7351,0.0545,0.0795,-0.0087,0.1955,0.0,0.04,-0.8665,0.0,-0.0013,0.5296,0.0091,21714400000.0,0.0756,17567900000.0,4146500000.0,0.0,3264000000.0,3310600000.0,835900000.0,177300000.0,658600000.0,290200000.0,0.0,0.0,368400000.0,0.0,368400000.0,1.39,1.37,263435396.0,0.65,0.191,0.049,0.0385,0.017,0.005,1068300000.0,835900000.0,368400000.0,84863000000.0,0.0721,66834400000.0,18028600000.0,0.0,12557900000.0,12750200000.0,5278400000.0,723000000.0,4555400000.0,2085600000.0,0.0,0.0,2469800000.0,0.0,2469800000.0,9.39,9.21,263435396.0,2.6,0.2124,0.073,0.0622,0.029,0.0317,6190200000.0,5278400000.0,2469800000.0,95.281,150.158,0.413,59.6993,15.4698,0.6266,0.2416,4.7146,1.611,0.7514,0.468,0.3922,0.1503,0.0,13020500000.0,39557000000.0,-5667800000.0,29914200000.0,7710800000.0,12671250000.0,0.0,-0.6069,0.0016,-6.5485,-0.0077,-0.7229,0.101,0.038,0.1471,0.062,5.0,1.319,1.3241,56.2573,36.1176,0.0,11.0057,6.6973,0.0,0.277,10.0,0.148,0.0,30971175000.0,24406325000.0,64351075000.0,10.198,322.14,7.3007,0.1647,-0.1785,0.0013,-0.0069,-0.6401,ANTM,143.770004,143.19941220588237,37874107936.66158
2016-09-30,0.011,0.0116,-0.0565,-0.0637,-0.0535,1.8072,0.0331,0.0585,-0.0399,0.1022,0.0,0.04,2.996,0.0,0.0143,0.0134,0.0061,21403900000.0,0.0755,16922500000.0,4481400000.0,0.0,3124600000.0,3172000000.0,1309400000.0,172900000.0,1136500000.0,518700000.0,0.0,0.0,617800000.0,0.0,617800000.0,2.35,2.3,263171006.0,0.65,0.2094,0.072,0.0612,0.029,0.0374,1537700000.0,1309400000.0,617800000.0,83336500000.0,0.0691,65582000000.0,17754500000.0,0.0,12562300000.0,12765500000.0,4989000000.0,725400000.0,4271100000.0,1988800000.0,0.0,0.0,2282300000.0,0.0,2282300000.0,8.71,8.56,263171006.0,2.575,0.213,0.071,0.06,0.027,0.0407,5907200000.0,4996500000.0,2282300000.0,94.023,147.529,3.038,59.3158,9.6743,0.6309,0.2424,7.5732,1.565,1.5604,0.277,0.3971,0.146,0.0,11887400000.0,38825400000.0,-6731400000.0,30852700000.0,6893900000.0,12368350000.0,0.0,-0.1705,0.0018,-4.3239,-0.0077,-0.7201,0.096,0.036,0.1388,0.06,5.0,1.312,1.7694,55.6445,31.6618,0.0,12.0884,6.7379,0.0,0.296,9.0,0.1507,0.0,31156625000.0,23892250000.0,63509750000.0,12.892,316.663,6.8879,0.1643,-0.1598,0.0013,-0.0077,-0.7088,ANTM,125.309998,126.71999930555558,32977958235.517986
2016-06-30,-0.0331,-0.0456,-0.0914,-0.0917,-0.0703,-0.4292,-0.0031,0.0571,-0.0639,0.0106,0.0,0.04,-0.4808,0.0,-0.0236,-0.044,-0.006,21456200000.0,0.072,16805200000.0,4651000000.0,0.0,2969100000.0,3017000000.0,1634000000.0,185700000.0,1448300000.0,667700000.0,0.0,0.0,780600000.0,0.0,780600000.0,2.97,2.91,262953003.0,0.65,0.2168,0.087,0.0762,0.036,0.025,1859800000.0,1634000000.0,780600000.0,81834200000.0,0.0682,64128600000.0,17705600000.0,0.0,12518100000.0,12733900000.0,4971700000.0,717300000.0,4264200000.0,1944900000.0,0.0,0.0,2319300000.0,0.0,2319300000.0,8.87,8.69,262953003.0,2.55,0.2164,0.069,0.0609,0.028,0.0341,5634700000.0,4981500000.0,2319300000.0,92.159,146.188,2.038,59.2132,6.0189,0.6425,0.243,8.7991,1.583,0.8578,0.219,0.4,0.1384,0.0,12140900000.0,38440700000.0,-6871300000.0,31611500000.0,7347450000.0,13448050000.0,0.0,-0.1997,0.0018,-3.3487,-0.0062,-0.5921,0.099,0.037,0.1362,0.061,6.0,1.299,1.4736,59.7391,32.9438,0.0,11.1378,6.0852,0.0,0.287,10.0,0.153,0.0,31672325000.0,23515225000.0,62993675000.0,10.623,311.212,6.9448,0.1641,-0.1827,0.0013,-0.0076,-0.9559,ANTM,131.33999599999999,132.13444352777776,34536246362.207985
2016-03-31,-0.0355,-0.1302,-0.1875,-0.1723,-0.1489,-0.1761,-0.0257,-0.0122,-0.0023,-0.0419,0.0,0.04,-0.2045,0.0,0.0175,-0.1319,-0.0204,20288500000.0,0.0649,15538800000.0,4749700000.0,0.0,3200200000.0,3250600000.0,1499100000.0,187100000.0,1312000000.0,609000000.0,0.0,0.0,703000000.0,0.0,703000000.0,2.69,2.63,261351781.0,0.65,0.2341,0.085,0.0739,0.035,0.0612,1724400000.0,1499100000.0,703000000.0,80393500000.0,0.071,62528800000.0,17864700000.0,0.0,12589800000.0,12817800000.0,5046900000.0,685700000.0,4373900000.0,1976100000.0,0.0,0.0,2397800000.0,0.0,2397800000.0,9.17,8.91,261351781.0,2.525,0.2222,0.074,0.0629,0.03,0.0409,5978500000.0,5059600000.0,2397800000.0,90.097,146.121,4.753,60.4691,6.4128,0.6712,0.2475,8.0123,1.584,1.9343,0.242,0.402,0.1577,0.0,12154700000.0,38188900000.0,-7346600000.0,31506300000.0,7356800000.0,13600300000.0,0.0,-0.0864,-0.0001,-3.3872,-0.0058,-0.5215,0.103,0.038,0.1412,0.063,5.0,1.275,1.6353,60.6389,32.686,0.0,10.9278,5.9112,0.0,0.275,10.0,0.1566,0.0,31982875000.0,23222475000.0,63043975000.0,12.587,307.606,7.3787,0.1694,-0.1611,0.0011,-0.0079,-0.6873,ANTM,138.990005,134.42142854285714,36325285347.948906
