,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-03-31,0.0,0.7137,0.7159,0.8095,0.8095,0.5369,0.1132,-0.2446,-0.3826,0.1017,0.0,0.0,0.0,0.1132,-0.6994,-0.5789,0.5562,0.5369,0.0,0.0,0.0,0.0,1801946.0,591184.0,3412567.0,-3412567.0,-16809.0,-2184767.0,0.0,0.0,0.0,-2184767.0,0.0,-2184767.0,-0.04,-0.04,56464984.0,56464984.0,0.0,0.0,0.0,0.0,-1923050.0,-2201576.0,-2184767.0,0.0,0.0,0.0,0.0,10671474.0,4229071.0,16780347.0,-16780347.0,12838.0,-15481395.0,0.0,0.0,0.0,-15481395.0,0.0,-15481395.0,-0.26,-0.26,56464984.0,56464984.0,0.0,0.0,0.0,0.0,-14329667.0,-15468557.0,-15481395.0,0.313,0.104,-0.062,0.0051,0.0924,0.0163,0.0148,130.976,3.37,1.6105,0.0,0.6979,0.0,0.0,4105064.0,5857879.0,4105064.0,-801833.0,0.0,4112623.0,0.0,0.0,-0.702,-0.593,-0.824,2.0,0.0,1.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3418570.0,22039444.0,26116792.0,-0.301,0.0,-1204.904,-3.7526,-0.0055,OHRP,0.22,0.25088235294117656,12422296.48
2017-12-31,0.0,0.4049,0.4049,0.6667,0.6667,0.7116,0.2925,-0.2118,-0.5553,0.0,0.0,0.0,0.0,0.2931,-0.5158,-0.1353,0.4004,0.7116,0.0,0.0,0.0,0.0,2387731.0,1510032.0,4182749.0,-4182749.0,0.0,-4151358.0,0.0,0.0,0.0,-4151358.0,0.0,-4151358.0,-0.07,-0.07,56203765.0,56203765.0,0.0,0.0,0.0,0.0,-3866373.0,-4151358.0,-4151358.0,0.0,0.0,0.0,0.0,14863456.0,5041948.0,21057644.0,-21057644.0,29855.0,-20986700.0,0.0,0.0,0.0,-20986700.0,0.0,-20986700.0,-0.43,-0.43,56203765.0,56203765.0,0.0,0.0,0.0,0.0,-19804606.0,-20956845.0,-20986700.0,0.35,0.158,-0.075,0.0,0.1552,0.0,0.0,0.0,2.452,1.0107,0.0,0.6208,0.0,0.0,5226308.0,8885669.0,5076308.0,-3436859.0,0.0,3742373.0,0.0,0.0,-0.942,-0.758,-1.1847,2.0,0.0,0.8365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-4724591.0,22281627.0,27686410.0,-0.311,0.0,-701.9543,-3.9693,-0.0053,OHRP,1.86,1.2448484848484853,104539002.9
2017-09-30,0.0,0.2068,0.2097,0.619,0.619,0.3983,-0.0481,-0.0515,-0.3462,0.2117,0.0,0.0,0.0,-0.0469,-0.0967,-0.5996,0.2278,0.3983,0.0,0.0,0.0,0.0,4248409.0,723568.0,5258380.0,-5258380.0,-20729.0,-5244441.0,0.0,0.0,0.0,-5244441.0,0.0,-5244441.0,-0.08,-0.08,44770685.0,44770685.0,0.0,0.0,0.0,0.0,-4978767.0,-5265170.0,-5244441.0,0.0,0.0,0.0,0.0,17406869.0,5278272.0,23850830.0,-23850830.0,29574.0,-23810996.0,0.0,0.0,0.0,-23810996.0,0.0,-23810996.0,-0.53,-0.53,44770685.0,44770685.0,0.0,0.0,0.0,0.0,-22615733.0,-23781422.0,-23810996.0,0.51,0.293,-0.118,0.0024,0.2859,0.0047,0.0038,254.0002,2.64,1.0058,0.0,0.5309,0.0,0.0,8090451.0,13100363.0,7940451.0,-4528247.0,0.0,4610796.5,0.0,-0.0009,-1.0,-0.814,-1.4472,1.0,0.0,0.8102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4694105.0,23820879.0,29260113.0,-0.429,0.0,-804.1328,-2.9201,-0.0046,OHRP,0.72,0.7234285714285712,32234893.2
2017-06-30,0.0,0.5002,0.4934,0.7083,0.7083,0.7138,0.0158,-0.0173,-0.4376,0.2114,0.0,0.0,0.0,0.0372,-0.6038,-0.1565,0.4832,0.7138,0.0,0.0,0.0,0.0,2233388.0,1404287.0,3926651.0,-3926651.0,50376.0,-3900829.0,0.0,0.0,0.0,-3900829.0,0.0,-3900829.0,-0.07,-0.07,53986150.0,53986150.0,0.0,0.0,0.0,0.0,-3561477.0,-3850453.0,-3900829.0,0.0,0.0,0.0,0.0,17861433.0,6361657.0,25401693.0,-25401693.0,48580.0,-25202691.0,0.0,0.0,0.0,-25202691.0,0.0,-25202691.0,-0.7,-0.7,53986150.0,53986150.0,0.0,0.0,0.0,0.0,-23975508.0,-25154111.0,-25202691.0,0.518,0.345,-0.075,0.0029,0.3349,0.0057,0.0047,-76.4343,3.31,1.0557,0.0,0.4481,0.0,0.0,12921371.0,18608062.0,12771371.0,-4907341.0,0.0,4531726.0,0.0,-0.0214,-1.035,-0.85,-1.556,1.0,0.0,0.7558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4423312.0,24350424.0,29639147.0,-0.351,0.0,-517.7874,-1.9385,-0.0043,OHRP,0.64,0.6333333333333334,34551136.0
2017-03-31,0.0,-0.4535,-0.4551,-0.2353,-0.2353,0.1721,-0.1525,-0.3434,-0.5533,0.2109,0.0,0.0,0.0,-0.152,0.4822,-0.5267,-0.0525,0.1721,0.0,0.0,0.0,0.0,5993928.0,1404061.0,7689864.0,-7689864.0,208.0,-7690072.0,0.0,0.0,0.0,-7690072.0,0.0,-7690072.0,-0.21,-0.21,36738396.0,36738396.0,0.0,0.0,0.0,0.0,-7397989.0,-7689864.0,-7690072.0,0.0,0.0,0.0,0.0,21265647.0,6622252.0,29073669.0,-29073669.0,-5526.0,-29001603.0,0.0,0.0,0.0,-29001603.0,0.0,-29001603.0,-0.87,-0.87,36738396.0,36738396.0,0.0,0.0,0.0,0.0,-27821359.0,-29007129.0,-29001603.0,0.507,0.28,-0.108,0.0071,0.2592,0.014,0.0102,-36970.5,1.433,0.516,0.0,0.5996,0.0,0.0,3049343.0,10276097.0,3049343.0,-6025920.0,0.0,4325023.0,0.0,0.0,-1.178,-0.974,-1.9405,1.0,0.0,0.6591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4372583.0,24611947.0,29787920.0,-0.52,0.0,5249.209,-9.0018,0.0004,OHRP,0.83,0.9244444444444445,30492868.68
2016-12-31,0.0,-0.1349,-0.1351,-0.05,-0.05,0.0776,-0.7828,-0.3267,-0.3832,0.0,0.0,0.0,0.0,-0.7786,1.375,0.4336,-0.942,0.0776,0.0,0.0,0.0,0.0,4931144.0,1746356.0,6975935.0,-6975935.0,0.0,-6975654.0,0.0,0.0,0.0,-6975654.0,0.0,-6975654.0,-0.21,-0.21,32836505.0,32836505.0,0.0,0.0,0.0,0.0,-6677219.0,-6975654.0,-6975654.0,0.0,0.0,0.0,0.0,19315578.0,8184554.0,28690104.0,-28690104.0,-11287.0,-26596390.0,0.0,0.0,0.0,-26596390.0,0.0,-26596390.0,-0.83,-0.83,32836505.0,32836505.0,0.0,0.0,0.0,0.0,-25417706.0,-26607677.0,-26596390.0,0.787,0.428,-0.181,0.0,0.4108,0.0,0.0,0.0,3.567,0.8502,0.0,0.527,0.0,0.0,9974198.0,14060444.0,9974198.0,-3314913.0,0.0,3213572.5,0.0,0.0008,-0.922,-0.802,-1.4517,1.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3516487.0,28849848.0,33144162.0,-0.566,0.0,2357.3737,-2.6173,0.0005,OHRP,1.5,2.306470588235294,49254757.5
2016-09-30,0.0,-0.699,-0.6971,-0.6154,-0.6154,0.0551,-1.2782,-0.365,-0.4429,0.8267,0.0,0.0,0.0,-1.2765,2.4561,0.0023,-0.9686,0.0551,0.0,0.0,0.0,0.0,4702973.0,1806953.0,6809243.0,-6809243.0,-2004.0,-6636136.0,0.0,0.0,0.0,-6636136.0,0.0,-6636136.0,-0.21,-0.21,32016924.0,32016924.0,0.0,0.0,0.0,0.0,-6338823.0,-6638140.0,-6636136.0,0.0,0.0,0.0,0.0,16460714.0,7656327.0,25306317.0,-25306317.0,-12103.0,-25766198.0,0.0,0.0,0.0,-25766198.0,0.0,-25766198.0,-0.82,-0.82,31349223.0,31349223.0,0.0,0.0,0.0,0.0,-24589025.0,-25778301.0,-25766198.0,0.78,0.422,-0.157,0.0027,0.3919,0.0035,0.003,3312.4451,2.964,0.7583,0.0,0.5417,0.0,0.0,8803142.0,13495882.0,8803142.0,-3445076.0,0.0,2993208.0,0.0,0.0002,-0.802,-0.701,-1.2649,1.0,0.0,0.6204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-3498418.0,32108260.0,36750227.0,-0.51,0.0,2129.91,-2.8623,0.0009,OHRP,2.83,2.714166666666667,90607894.92
2016-06-30,0.0,-1.3037,-1.3012,-1.1818,-1.1818,0.0389,-1.4939,-0.3045,-0.3872,0.0982,0.0,0.0,0.0,-1.3597,2.7665,0.0707,-1.2786,0.0389,0.0,0.0,0.0,0.0,5637602.0,1664882.0,7598627.0,-7598627.0,-3730.0,-7699741.0,0.0,0.0,0.0,-7699741.0,0.0,-7699741.0,-0.24,-0.24,31501540.0,31501540.0,0.0,0.0,0.0,0.0,-7407328.0,-7703471.0,-7699741.0,0.0,0.0,0.0,0.0,13118515.0,7652143.0,21955913.0,-21955913.0,-6813.0,-23040425.0,0.0,0.0,0.0,-23040425.0,0.0,-23040425.0,-0.74,-0.74,31501540.0,31501540.0,0.0,0.0,0.0,0.0,-21861984.0,-23047238.0,-23040425.0,0.921,0.574,-0.133,0.0042,0.5595,0.0045,0.0038,2065.2737,3.373,0.5434,0.0,0.473,0.0,0.0,12562051.0,18081988.0,12562051.0,-4704424.0,0.0,2752658.0,0.0,0.0003,-0.631,-0.562,-1.1904,1.0,0.0,0.5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-3445210.0,36490171.0,40981675.0,-0.418,0.0,3382.8325,-1.8034,0.0012,OHRP,2.74,2.946388888888889,86314219.60000001
2016-03-31,0.0,-0.556,-0.5541,-0.4167,-0.4167,0.131,0.1536,-0.2401,-0.347,0.1405,0.0,0.0,0.0,0.171,0.2733,-0.1105,-0.0735,0.131,0.0,0.0,0.0,0.0,4043859.0,2966363.0,7306299.0,-7306299.0,-5553.0,-5284859.0,0.0,0.0,0.0,-5284859.0,0.0,-5284859.0,-0.17,-0.17,31344424.0,31344424.0,0.0,0.0,0.0,0.0,-4994336.0,-5290412.0,-5284859.0,0.0,0.0,0.0,0.0,8977681.0,7542258.0,17692126.0,-17692126.0,-1055.0,-18686681.0,0.0,0.0,0.0,-18686681.0,0.0,-18686681.0,-0.61,-0.61,31344424.0,31344424.0,0.0,0.0,0.0,0.0,-17515550.0,-18687736.0,-18686681.0,1.135,0.72,-0.11,0.0069,0.6981,0.0061,0.0055,952.7124,6.354,0.6515,0.0,0.4224,0.0,0.0,18822416.0,22579490.0,18822416.0,-2601538.0,0.0,1594642.5,0.0,0.0005,-0.46,-0.418,-0.7949,1.0,0.0,0.5702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-2926577.0,40631881.0,44737649.0,-0.343,0.0,17713.4938,-0.9808,0.0103,OHRP,3.21,3.2077142857142853,100615601.03999999
2015-12-31,0.0,-0.3367,-0.3365,-0.1111,-0.1111,0.2064,-0.2147,0.5026,0.4257,0.0,0.0,0.0,0.0,-0.2186,-0.26,0.4993,0.0846,0.2064,0.0,0.0,0.0,0.0,2076280.0,1218128.0,3592148.0,-3592148.0,-816.0,-6145462.0,0.0,0.0,0.0,-6145462.0,0.0,-6145462.0,-0.2,-0.2,30472493.0,30472493.0,0.0,0.0,0.0,0.0,-5848538.0,-6146278.0,-6145462.0,0.0,0.0,0.0,0.0,8109677.0,7910866.0,17191915.0,-17191915.0,5034.0,-16802370.0,0.0,0.0,0.0,-16802370.0,0.0,-16802370.0,-0.56,-0.56,30472493.0,30472493.0,0.0,0.0,0.0,0.0,-15625964.0,-16797336.0,-16802370.0,1.276,0.898,-0.11,0.0,0.8311,0.0,0.0,7532.2034,5.136,0.5413,0.0,0.3803,0.0,0.0,21826669.0,27360059.0,21826669.0,-3242636.0,0.0,1878345.5,0.0,0.0032,-0.384,-0.351,-0.7931,3.0,0.0,0.6714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,-2804862.0,43776947.0,47824799.0,-0.377,0.0,-3336.7771,-0.7613,0.0173,OHRP,6.14,4.510571428571429,187101107.01999998
