,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.2062,-4.0672,-20.6949,-20.6667,-20.6667,-0.0211,0.0171,-0.1564,0.2005,-0.6384,0.0,-1.0,8.625,0.0,-0.0562,-3.9607,0.1467,1406700000.0,-0.1319,933700000.0,473000000.0,0.0,540800000.0,540800000.0,-67800000.0,21900000.0,-104100000.0,-4400000.0,2800000.0,0.0,-99700000.0,16500000.0,-116200000.0,-0.59,-0.59,196355520.0,0.0,0.3362,-0.058,-0.0584,-0.083,0.0217,-82200000.0,-82200000.0,-96900000.0,6585137000.0,0.1201,4126266000.0,2458871000.0,0.0,2447806000.0,2447806000.0,11065000.0,95135000.0,48216000.0,-119992000.0,-3418000.0,0.0,168208000.0,66242000.0,101966000.0,0.46,0.45,196355520.0,185961000.0,0.51,0.3734,0.033,0.0218,0.015,-0.0523,220252000.0,143351000.0,164790000.0,18.047,126.715,0.155,9.4721,6.4719,0.5249,0.0722,-3.7534,-0.2401,0.0,0.0342,0.3844,0.0,24881200000.0,25470300000.0,5779160500.0,877697500.0,0.0,0.0932,0.0,0.0018,0.0,0.029,0.004,0.022,0.257,-3.226,49.7964,170.1469,0.0,1.1395,7.5027,0.0,1.109,23.0,0.3717,0.0,24878747750.0,3500865000.0,25627064750.0,-1.755,33.537,1.5068,0.0473,0.0024,-0.0024,-0.2024,AFSI,14.57,14.055714285714288,2860899926.4
2018-03-31,1.1663,7.1544,28.2832,24.9231,24.8462,0.1883,0.0761,-0.0102,-0.1409,-0.6046,0.0,0.0,2.1055,0.0,0.3089,5.022,0.1514,2273300000.0,0.578,972900000.0,1300400000.0,0.0,642800000.0,642800000.0,657600000.0,22800000.0,663800000.0,-14600000.0,-2500000.0,0.0,678400000.0,16600000.0,661800000.0,3.37,3.36,196256697.0,0.17,0.572,0.302,0.302,0.291,0.1269,686600000.0,686600000.0,675900000.0,6798837000.0,0.2075,4217066000.0,2581771000.0,0.0,2480006000.0,2480006000.0,101765000.0,97435000.0,154916000.0,-135392000.0,482000.0,0.0,290308000.0,66242000.0,224066000.0,1.08,1.07,196256697.0,174545000.0,0.68,0.3797,0.048,0.0371,0.033,-0.0557,329252000.0,252351000.0,290790000.0,19.143,126.359,1.47,8.0099,6.0671,0.4184,0.0612,30.114,0.4473,0.05,0.0351,0.2828,0.0,24798800000.0,25180100000.0,5202026500.0,834516500.0,0.0,-0.0253,0.0,-0.0033,0.0,0.063,0.009,0.037,0.266,-1.4654,45.053,158.276,0.0,1.307,8.147,0.0,0.63,10.0,0.3648,0.0,24456671750.0,3530844500.0,25518788750.0,-1.931,34.643,2.5899,0.1543,0.0023,-0.0075,-0.6588,AFSI,12.31,12.68764705882353,2415919940.07
2017-12-31,-0.1624,-3.0213,-4.7693,-4.4048,-4.4878,-9.3527,0.1151,-0.0946,-0.0421,-0.6095,0.0,-0.5,-11.0057,0.0,0.4407,-4.8025,0.0777,1446132000.0,0.0185,953548000.0,492584000.0,0.0,749770000.0,749770000.0,-257186000.0,27562000.0,-290792000.0,-38404000.0,-3000000.0,0.0,-252388000.0,16571000.0,-268959000.0,-1.43,-1.43,185961000.0,0.17,0.3406,-0.155,-0.182,-0.186,-0.2124,-223513000.0,-263230000.0,-255388000.0,5958941000.0,0.0933,4084478000.0,1874463000.0,0.0,2328329000.0,2328329000.0,-453866000.0,98265000.0,-448252000.0,-99363000.0,14010000.0,0.0,-348889000.0,66284000.0,-415173000.0,-2.23,-2.23,185961000.0,168360000.0,0.68,0.3146,-0.032,-0.0587,-0.07,-0.0964,-191583000.0,-349987000.0,-334879000.0,17.153,130.591,-1.652,8.2394,7.0827,0.4804,0.0608,-9.5505,1.1193,-0.119,0.037,0.5185,0.0,24284900000.0,24500000000.0,4958244000.0,815221000.0,0.0,0.0205,0.0054,-0.0043,-0.1551,-0.122,-0.017,-0.059,0.238,0.904,49.59,170.5759,0.0,1.2018,7.3096,0.0,-0.305,-5.0,0.3907,0.0,23968030250.0,3415708250.0,25064606500.0,-3.09,32.044,-3.5617,0.5313,0.0045,-0.0335,-1.2589,AFSI,10.07,9.773333333333333,1872627270.0
2017-09-30,-0.6715,-2.4383,-3.1658,-2.8936,-2.8936,-2.5169,0.1977,-0.0713,0.2239,0.361,0.0,0.0,-2.744,0.0,0.1606,-3.2337,0.1473,1459005000.0,0.0435,1266118000.0,192887000.0,0.0,514436000.0,514436000.0,-321549000.0,22873000.0,-220692000.0,-62588000.0,-718000.0,0.0,-158104000.0,16571000.0,-174675000.0,-0.89,-0.89,195805323.0,0.17,0.1322,-0.11,-0.1356,-0.12,-0.2442,-160635000.0,-197819000.0,-158822000.0,5939840000.0,0.1363,3962683000.0,1977157000.0,0.0,2098970000.0,2098970000.0,-121813000.0,94289000.0,-50878000.0,-41633000.0,23557000.0,0.0,-9245000.0,65575000.0,-74820000.0,-0.31,-0.32,195805323.0,159034000.0,0.85,0.3329,0.017,0.0073,-0.013,-0.0398,100551000.0,43411000.0,14312000.0,17.942,125.116,-1.82,7.7214,8.4043,0.4304,0.0585,-8.6486,2.014,-0.191,0.0515,0.3526,0.0,24498290000.0,24364591000.0,7791812000.0,865929000.0,0.0,0.0128,0.0053,-0.0031,-0.1212,-0.022,-0.003,0.007,0.243,0.5099,49.1386,552.0197,0.0,0.7623,6.8595,0.0,-2.742,56.0,0.3534,0.0,23237944750.0,3435559000.0,24413623500.0,-1.209,30.335,0.4604,5.2045,0.0023,-0.0334,-3.4747,AFSI,13.46,13.021714285714284,2635539647.5800004
2017-06-30,0.0143,-0.8515,-0.9536,-0.9589,-0.9589,1.5339,0.1966,0.229,0.26,0.2931,0.0,0.1333,0.9585,0.0,0.3362,-0.8557,-0.0151,1620400000.0,0.1811,1024500000.0,595900000.0,0.0,573000000.0,573000000.0,22900000.0,24200000.0,2600000.0,-19800000.0,6700000.0,0.0,22400000.0,16500000.0,5900000.0,0.03,0.03,171237052.0,0.17,0.3677,0.017,0.0165,0.004,-0.0025,26800000.0,26800000.0,29100000.0,5879077000.0,0.1652,3507613000.0,2371464000.0,0.0,2027777000.0,2027777000.0,343687000.0,93540000.0,285225000.0,44140000.0,27250000.0,0.0,241085000.0,60580000.0,180505000.0,1.05,1.04,171237052.0,155968000.0,0.68,0.4034,0.074,0.0644,0.031,0.0551,436170000.0,378765000.0,268335000.0,21.394,140.04,-0.023,9.0474,10.2038,0.4229,0.0612,1.1074,4.8305,5.667,0.0532,0.3536,0.0,23980010000.0,23781996000.0,7526509500.0,850234000.0,0.0,-1.1404,0.0,-0.0201,0.0,0.053,0.008,0.064,0.252,3.0224,53.2062,527.0124,0.0,0.7811,6.9147,0.0,0.648,8.0,0.3449,0.0,22152807250.0,3381543750.0,23347731250.0,1.892,34.333,4.0492,-0.4063,0.002,-0.0377,-3.8612,AFSI,15.14,13.529444444444445,2592528967.28
2017-03-31,0.1007,-0.3401,-0.7309,-0.7292,-0.7234,-0.6452,0.3012,0.0814,0.8428,0.3621,0.0,0.1333,-0.8595,0.0,0.2224,-0.2399,-0.0302,1440600000.0,0.1429,840300000.0,600300000.0,0.0,491100000.0,491100000.0,109200000.0,23600000.0,60600000.0,21400000.0,11000000.0,0.0,39200000.0,16600000.0,22600000.0,0.13,0.13,170450763.0,0.17,0.4167,0.058,0.0584,0.016,0.0645,84200000.0,84200000.0,50200000.0,5630579000.0,0.1798,3267506000.0,2363073000.0,0.0,1883598000.0,1883598000.0,479475000.0,87252000.0,445164000.0,87747000.0,26367000.0,0.0,357417000.0,55656000.0,301761000.0,1.75,1.74,170450763.0,151240000.0,0.66,0.4197,0.11,0.0946,0.054,0.0411,621827000.0,532416000.0,383784000.0,19.34,132.783,0.545,10.7358,7.2596,0.5551,0.0766,3.5678,11.0221,1.308,0.0524,0.3409,0.0,22633009000.0,23225534000.0,6464867000.0,840512500.0,0.0,-0.6271,0.0,-0.1084,0.0,0.094,0.014,0.095,0.252,1.5366,53.7936,483.3226,0.0,0.871,6.699,0.0,0.377,5.0,0.3345,0.0,21126721250.0,3222322750.0,22307390750.0,1.358,33.033,6.102,-0.5008,0.0031,-0.0412,-2.5973,AFSI,18.459999,22.52500025000001,3146520914.529237
2016-12-31,0.2509,0.2777,0.3274,0.3125,0.3226,-0.9155,0.3098,0.1479,0.6107,0.3601,0.0,1.2667,-0.9187,0.0,0.2857,0.0354,0.0455,1419835000.0,0.1863,831765000.0,588070000.0,0.0,520434000.0,520434000.0,67636000.0,23616000.0,106614000.0,19355000.0,6575000.0,0.0,87259000.0,15904000.0,71355000.0,0.42,0.41,172554000.0,0.34,0.4142,0.106,0.0917,0.05,0.0216,150186000.0,130230000.0,93834000.0,5450456000.0,0.1813,3142279000.0,2308177000.0,0.0,1794233000.0,1794233000.0,513944000.0,79526000.0,496293000.0,85307000.0,19384000.0,0.0,410986000.0,47847000.0,363139000.0,2.1,2.08,172554000.0,148862000.0,0.64,0.4235,0.127,0.1056,0.067,0.1467,693089000.0,575819000.0,430370000.0,18.945,123.854,0.178,9.2698,8.0637,0.4893,0.0707,5.5145,0.5051,0.81,0.055,0.3665,0.0,21371543000.0,21579658000.0,6187509000.0,735946500.0,0.0,-0.1481,0.0041,-0.0038,-0.2675,0.114,0.017,0.106,0.26,2.5244,54.9692,477.5869,0.0,0.8809,7.406,0.0,0.305,7.0,0.3292,0.0,19621096250.0,3184022750.0,20925253250.0,4.634,31.587,7.2406,-0.1277,0.0043,-0.0215,-0.9981,AFSI,27.379998999999998,26.76999991176471,4724528347.446
2016-09-30,0.1586,-0.3078,-0.5665,-0.5804,-0.5727,-0.4044,0.272,0.2179,0.2227,0.2514,0.0,-1.0,-0.3852,0.0,0.1634,0.1439,0.0322,1398242000.0,0.1495,811048000.0,587194000.0,0.0,443243000.0,443243000.0,143951000.0,22124000.0,115411000.0,23185000.0,2975000.0,0.0,92226000.0,11576000.0,80650000.0,0.47,0.47,170668960.0,0.0,0.42,0.125,0.0984,0.058,0.1461,174984000.0,137535000.0,95201000.0,5227481000.0,0.185,3037270000.0,2190211000.0,0.0,1678578000.0,1678578000.0,511633000.0,73024000.0,474494000.0,88220000.0,12797000.0,0.0,386274000.0,40736000.0,345538000.0,2.0,1.98,170668960.0,146137200.0,0.45,0.419,0.127,0.1047,0.066,0.2194,664971000.0,547518000.0,399071000.0,19.319,119.994,1.197,7.2381,9.9052,0.3747,0.0573,6.2166,2.8755,0.0,0.0503,0.317,0.0,20479229000.0,20024041000.0,5937259000.0,869276000.0,0.0,-0.1191,0.0042,-0.0197,-0.7374,0.113,0.018,0.105,0.267,3.7827,65.0892,460.8556,0.0,0.8805,6.0136,0.0,0.225,8.0,0.3211,0.0,18244796250.0,3047692000.0,19588099000.0,6.719,30.629,7.4978,-0.1226,0.0045,-0.0307,-1.3646,AFSI,26.83,26.301666611111116,4579048196.799999
2016-06-30,0.2764,2.1698,1.7772,1.6071,1.7037,-33.4906,0.3257,0.1619,0.3256,0.2683,0.0,0.2,-3.1916,0.0,0.2347,0.4045,0.0546,1371902000.0,0.2486,784393000.0,587509000.0,0.0,428821000.0,428821000.0,158688000.0,17912000.0,162539000.0,23807000.0,5817000.0,0.0,138732000.0,11576000.0,127156000.0,0.73,0.73,173865382.0,0.15,0.4282,0.155,0.1315,0.093,-0.0703,212457000.0,180451000.0,144549000.0,5045677000.0,0.1826,2935826000.0,2109851000.0,0.0,1616331000.0,1616331000.0,493520000.0,65588000.0,543084000.0,54188000.0,11333000.0,0.0,488896000.0,37949000.0,450947000.0,2.65,2.61,173865382.0,145088680.0,0.6,0.4182,0.141,0.1206,0.089,0.2526,712655000.0,608672000.0,500229000.0,17.408,115.995,-0.555,7.0721,9.89,0.4063,0.0581,10.0743,-0.4198,0.205,0.0472,0.3126,0.0,20167583000.0,19677652000.0,5870111500.0,837569000.0,0.0,0.8069,0.0043,-0.0314,-1.3457,0.157,0.024,0.121,0.274,3.2478,61.0161,474.863,0.0,0.8596,6.0242,0.0,0.226,6.0,0.3203,0.0,17221770250.0,2879093750.0,18435261250.0,7.332,29.021,9.2802,-0.1296,0.0047,-0.0376,-1.8251,AFSI,24.5,25.711110888888882,4259701859.0
2016-03-31,0.0925,-0.4123,-0.4571,-0.4947,-0.4946,2.6231,0.2393,0.1898,0.6747,0.1698,0.0,0.2,2.8462,0.0,0.2169,-0.1503,0.0727,1260477000.0,0.133,715073000.0,545404000.0,0.0,401735000.0,401735000.0,143669000.0,15874000.0,111729000.0,18960000.0,4017000.0,0.0,92769000.0,8791000.0,83978000.0,0.48,0.47,175750143.0,0.15,0.4327,0.123,0.1012,0.067,0.5245,155462000.0,127603000.0,96786000.0,4772546000.0,0.1421,2789908000.0,1982638000.0,0.0,1534818000.0,1534818000.0,447820000.0,59148000.0,426001000.0,21412000.0,6862000.0,0.0,404589000.0,35012000.0,369577000.0,2.2,2.15,175750143.0,146823820.0,0.575,0.4154,0.121,0.1017,0.077,0.2825,578010000.0,485149000.0,411451000.0,17.885,99.961,3.762,5.6502,7.7278,0.3159,0.0541,8.0385,8.3609,0.313,0.0429,0.3187,0.0,17568164000.0,17203034000.0,5076538500.0,811921500.0,0.0,-0.0584,0.0045,-0.0325,-1.4725,0.135,0.022,0.102,0.279,4.1117,65.0984,418.6375,0.0,0.9401,5.8781,0.0,0.261,9.0,0.3216,0.0,16063961000.0,2739899500.0,17135290500.0,7.671,27.155,8.2023,-0.1128,0.0049,-0.0359,-1.8454,AFSI,25.879998999999998,25.503714228571425,4548413525.089857
