,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.1689,0.3335,0.4111,0.4,0.4,-1.2593,0.2003,0.179,0.2721,0.2451,0.4026,0.0,-9.9165,0.0,0.1134,0.2519,0.0091,416239000.0,0.1939,289594000.0,126645000.0,0.0,70124000.0,73892000.0,52753000.0,8200000.0,40032000.0,10364000.0,193000.0,0.0,29668000.0,0.0,29668000.0,0.35,0.35,84395966.0,0.0,0.3043,0.116,0.1159,0.071,-0.0631,48232000.0,48232000.0,29861000.0,1549326000.0,0.2504,1094910000.0,454416000.0,0.0,280348000.0,293389000.0,161027000.0,31243000.0,121985000.0,54795000.0,687000.0,0.0,67190000.0,0.0,67190000.0,0.79,0.79,84395966.0,85156000.0,0.0,0.2933,0.131,0.0989,0.043,-0.0289,203313000.0,153228000.0,67877000.0,4.439,16.535,-0.311,9.962,0.5319,2.2442,0.474,5.882,2.674,-0.1143,0.0,0.2133,0.1685,0.0,572654000.0,1395486000.0,-475309000.0,1849217000.0,416865500.0,180019500.0,326971500.0,6.7513,0.187,0.04,0.0717,0.099,4.0,0.912,0.4824,47.4424,108.9297,89.9381,3.7166,8.6064,4.7384,0.0,16.0,0.1809,0.0,1696053250.0,359358250.0,1698364500.0,-0.531,18.358,4.9044,0.074,-2.3828,FOE,20.85,21.0494286,1759655891.1000001
2018-03-31,0.2013,0.1023,0.0682,0.0769,0.0385,-22.0337,0.2727,0.3602,0.2737,0.4015,0.429,0.0,-9.7023,0.0,0.2296,0.142,0.0078,405532000.0,0.2651,286846000.0,118686000.0,0.0,73092000.0,77198000.0,41488000.0,7962000.0,30905000.0,7514000.0,207000.0,0.0,23391000.0,0.0,23391000.0,0.28,0.27,84089077.0,0.0,0.2927,0.096,0.0958,0.058,-0.1355,38867000.0,38867000.0,23598000.0,1481719000.0,0.2468,1045606000.0,436113000.0,0.0,273205000.0,285702000.0,150411000.0,29492000.0,111673000.0,53126000.0,698000.0,0.0,58547000.0,0.0,58547000.0,0.69,0.69,84089077.0,84910000.0,0.0,0.2943,0.129,0.0953,0.04,-0.0105,191250000.0,141165000.0,59245000.0,4.535,16.358,-0.654,9.618,0.6338,2.1209,0.4591,4.8816,2.507,-1.4657,0.0,0.2192,0.1802,0.0,533074000.0,1375546000.0,-483580000.0,1777205000.0,393554500.0,172071000.0,304336500.0,0.6032,0.17,0.036,0.0681,0.095,3.0,0.912,0.8348,50.317,113.155,88.2086,3.765,8.6111,4.8687,0.0,19.0,0.1844,0.0,1601765250.0,344427250.0,1624361750.0,-0.185,17.621,4.7866,0.0682,-1.319,FOE,23.219998999999998,22.901176529411764,1952548283.8509228
2017-12-31,0.3244,2.4531,0.5851,0.5769,0.6,-0.1036,0.3104,0.3883,0.3083,0.417,0.4104,0.0,-0.3962,0.0,-0.0523,3.9605,0.005,377543000.0,0.342,272074000.0,105469000.0,0.0,71647000.0,75343000.0,30126000.0,7833000.0,20878000.0,29564000.0,139000.0,0.0,-8686000.0,0.0,-8686000.0,-0.11,-0.1,83713000.0,0.0,0.2794,0.209,0.076,-0.023,0.0786,78796000.0,28711000.0,-8547000.0,1396742000.0,0.2196,980521000.0,416221000.0,0.0,258604000.0,270013000.0,146208000.0,27754000.0,109804000.0,52750000.0,714000.0,0.0,57054000.0,0.0,57054000.0,0.68,0.67,83713000.0,88433000.0,0.0,0.298,0.134,0.0985,0.041,0.0245,187643000.0,137558000.0,57768000.0,4.119,15.52,0.355,8.9786,0.7592,2.1798,0.4468,3.6654,2.325,-5.7678,0.0,0.2277,0.1898,0.0,470533000.0,1299217000.0,-499790000.0,1632094000.0,359527000.0,169683000.0,277013500.0,-0.4076,0.179,0.037,0.0716,0.098,5.0,0.913,1.4861,55.3248,110.1613,84.7155,3.8849,8.2315,5.0421,0.0,19.0,0.1851,0.0,1503797750.0,318629000.0,1529975750.0,0.409,16.685,4.9563,0.072,-0.5962,FOE,23.59,23.917878575757577,1974789670.0
2017-09-30,0.1645,13.52,3.5683,3.4545,3.4545,1.2928,0.2779,0.0856,0.4199,0.2154,0.3578,0.0,0.4846,0.0,0.178,0.0987,0.0056,350012000.0,0.2131,246396000.0,103616000.0,0.0,65485000.0,66956000.0,36660000.0,7248000.0,30170000.0,7353000.0,148000.0,0.0,22817000.0,0.0,22817000.0,0.27,0.27,83694147.0,0.0,0.296,0.107,0.1069,0.065,0.0193,37418000.0,37418000.0,22965000.0,1300536000.0,0.152,910150000.0,390386000.0,0.0,263509000.0,285435000.0,104951000.0,25889000.0,63199000.0,18395000.0,916000.0,-64464000.0,44804000.0,0.0,44804000.0,0.52,0.53,83694147.0,86920000.0,0.0,0.3002,0.104,0.0685,0.034,0.0413,135893000.0,89088000.0,45720000.0,4.022,14.181,0.081,8.2675,0.6238,2.0554,0.4391,5.1625,2.481,0.8759,0.0,0.2468,0.1871,0.0,445640000.0,1186863000.0,-482018000.0,1525697000.0,353565500.0,139433500.0,249054500.0,-0.6625,0.152,0.031,0.0533,0.069,3.0,0.909,2.0217,43.6534,108.8778,80.5049,3.6783,9.3273,5.2219,0.0,27.0,0.2026,0.0,1415899000.0,294203750.0,1430367500.0,0.642,15.539,3.4412,0.061,-0.407,FOE,22.299999,20.020857085714283,1866379394.405853
2017-06-30,0.1013,0.1,0.1084,0.087,0.1364,0.5972,0.1778,0.0011,0.3328,0.1943,0.313,0.0,0.9555,0.0,0.0883,0.061,0.0054,348632000.0,0.17,240290000.0,108342000.0,0.0,62981000.0,66205000.0,42137000.0,6449000.0,29720000.0,8695000.0,204000.0,0.0,21025000.0,0.0,21025000.0,0.25,0.25,83633794.0,0.0,0.3108,0.104,0.1037,0.06,0.0085,36169000.0,36169000.0,21229000.0,1239051000.0,0.1065,863300000.0,375751000.0,0.0,253612000.0,274093000.0,101658000.0,23945000.0,30302000.0,17199000.0,978000.0,-35242000.0,13103000.0,0.0,13103000.0,0.14,0.15,83633794.0,87497000.0,0.0,0.3033,0.082,0.0438,0.011,0.0416,101052000.0,54247000.0,14081000.0,3.765,14.079,0.035,7.9025,0.943,2.0988,0.4472,5.6085,2.561,0.6219,0.0,0.2032,0.1807,0.0,448776000.0,1177449000.0,-418701000.0,1472065000.0,341146500.0,144302500.0,239739500.0,-0.7746,0.046,0.01,0.0564,0.044,5.0,0.921,6.0528,46.7378,109.3936,80.1789,3.632,8.5865,5.1683,0.0,38.0,0.2047,0.0,1334060500.0,287139000.0,1344697750.0,0.616,14.815,2.2655,0.0181,-0.3505,FOE,18.290001,17.69611111111111,1529662175.893794
2017-03-31,0.1729,11.1628,3.1973,3.1667,3.1667,1.1604,0.1102,-0.0645,0.259,0.1122,0.2823,0.0,0.7069,0.0,0.1292,0.1833,0.0066,320555000.0,0.1554,221761000.0,98794000.0,0.0,59446000.0,62464000.0,36330000.0,6224000.0,29036000.0,7138000.0,223000.0,0.0,21898000.0,0.0,21898000.0,0.26,0.26,83438992.0,0.0,0.3082,0.11,0.11,0.068,-0.016,35260000.0,35260000.0,22121000.0,1188396000.0,0.0903,822614000.0,365782000.0,0.0,248502000.0,266546000.0,99236000.0,22924000.0,28035000.0,16988000.0,917000.0,-29494000.0,11047000.0,0.0,11047000.0,0.12,0.12,83438992.0,86288000.0,0.0,0.3078,0.082,0.0429,0.009,0.0421,97764000.0,50959000.0,11964000.0,3.334,13.183,-0.062,7.61,1.1125,2.2829,0.4587,5.6652,2.653,0.0744,0.0,0.2053,0.1854,0.0,424555000.0,1100000000.0,-416548000.0,1385335000.0,311219000.0,135162000.0,223003000.0,-4.1509,0.039,0.009,0.0595,0.043,6.0,0.922,6.7368,42.9623,100.6659,76.9654,3.8185,8.7924,5.3291,0.0,35.0,0.2091,0.0,1269969750.0,286619500.0,1288919000.0,0.6,14.243,2.223,0.0162,-0.3271,FOE,15.19,14.29138888888889,1267438288.48
2016-12-31,0.0426,-12.9738,-1.4138,-1.4407,-1.4464,1.8364,0.0477,-0.1869,0.2131,0.1182,0.2434,0.0,2.8203,0.0,0.1397,-2.7365,-0.0394,281337000.0,0.0617,201703000.0,79634000.0,0.0,75597000.0,89810000.0,-10176000.0,5968000.0,-25727000.0,-4791000.0,341000.0,-64464000.0,-20936000.0,0.0,-20936000.0,-0.26,-0.25,83298000.0,0.0,0.2831,0.096,-0.0702,-0.074,0.1747,27046000.0,-19759000.0,-20595000.0,1145292000.0,0.0651,794075000.0,351217000.0,0.0,241702000.0,257609000.0,93608000.0,21547000.0,-2949000.0,17868000.0,930000.0,0.0,-20817000.0,0.0,-20817000.0,-0.25,-0.25,83298000.0,86778000.0,0.0,0.3067,0.057,0.0162,-0.018,0.0329,65403000.0,18598000.0,-19887000.0,2.967,11.977,0.59,6.8967,0.5472,2.3248,0.4475,-3.3108,2.366,-2.6695,0.0,0.2229,0.2687,0.0,335990000.0,997623000.0,-446720000.0,1280499000.0,281779500.0,124017500.0,207350500.0,-0.1204,-0.072,-0.017,0.0584,0.016,4.0,0.913,-3.0086,40.6831,94.8124,73.2513,4.0645,9.2349,5.5235,0.0,88.0,0.211,0.0,1223606000.0,290945750.0,1254555000.0,0.452,13.749,0.8631,-0.0348,-0.3983,FOE,14.33,14.89529411764706,1193660340.0
2016-09-30,0.1552,-0.2861,-1.1887,-1.2,-1.2,-0.6838,0.032,0.0634,0.1432,0.1076,0.0943,0.0,-0.7457,0.0,0.1481,0.3472,-0.0463,288527000.0,0.0328,199546000.0,88981000.0,0.0,55588000.0,55614000.0,33367000.0,5304000.0,-2727000.0,6157000.0,210000.0,29222000.0,-8884000.0,0.0,-8884000.0,-0.11,-0.11,83228350.0,0.0,0.3084,0.009,0.0089,-0.031,0.0157,2577000.0,2577000.0,-8674000.0,1128945000.0,0.0538,780985000.0,347960000.0,0.0,232436000.0,238316000.0,109644000.0,20605000.0,16338000.0,-34371000.0,864000.0,35776000.0,50709000.0,0.0,50709000.0,0.59,0.55,83228350.0,86539000.0,0.0,0.3082,0.069,0.0327,0.045,0.0012,78004000.0,36943000.0,51573000.0,3.705,11.752,0.055,5.8552,0.4873,1.5802,0.3952,0.4859,2.556,-0.9812,0.0,0.2067,0.1927,0.0,352508000.0,978087000.0,-337807000.0,1198343000.0,303684000.0,126708500.0,202156000.0,-0.4787,0.164,0.041,0.0708,0.033,6.0,0.91,0.5215,39.8723,103.1966,68.3029,3.7175,8.9098,5.5845,0.0,43.0,0.2059,0.0,1195979500.0,308282250.0,1239950500.0,0.017,13.564,1.7929,0.0842,-0.9473,FOE,13.81,13.159166666666666,1149383513.5
2016-06-30,0.267,1.1368,1.8745,1.875,1.75,-0.4236,0.0868,0.0276,0.1988,0.1549,0.3118,0.0,-0.4039,0.0,0.0982,0.6667,-0.0467,297977000.0,0.111,199604000.0,98373000.0,0.0,57871000.0,58658000.0,39715000.0,5428000.0,27453000.0,8484000.0,143000.0,5748000.0,18969000.0,0.0,18969000.0,0.23,0.22,83181350.0,0.0,0.3301,0.11,0.1103,0.064,0.0051,32881000.0,32881000.0,19112000.0,1119783000.0,0.0488,783776000.0,336007000.0,0.0,225265000.0,234963000.0,101044000.0,19178000.0,18798000.0,-36736000.0,1152000.0,25640000.0,55534000.0,0.0,55534000.0,0.65,0.61,83181350.0,50935000.0,0.0,0.3001,0.071,0.0339,0.05,0.0131,79037000.0,37976000.0,56686000.0,3.761,12.058,0.018,5.9615,0.5941,1.5852,0.3952,6.0577,2.574,0.4315,0.0,0.2006,0.1942,0.0,367981000.0,1003031000.0,-331998000.0,1215702000.0,290087000.0,127892000.0,182664500.0,-0.8159,0.181,0.045,0.0648,0.034,4.0,0.91,0.8156,42.3567,101.3524,67.5704,3.8602,8.7557,6.1303,0.0,41.0,0.2012,0.0,1171623750.0,307186750.0,1230391250.0,0.177,13.462,1.9802,0.0895,-0.6751,FOE,13.38,13.946111111111113,1112966463.0
2016-03-31,0.1925,-0.8251,-1.9085,-2.0,-1.9231,0.0105,0.2256,0.031,0.6361,0.1592,0.2744,0.0,0.3031,0.0,0.0645,0.4853,-0.0471,277451000.0,0.0559,193222000.0,84229000.0,0.0,52646000.0,53527000.0,30702000.0,4847000.0,-1948000.0,8018000.0,236000.0,29494000.0,-9966000.0,0.0,-9966000.0,-0.12,-0.12,82893768.0,0.0,0.3036,0.01,0.0104,-0.036,-0.0632,2899000.0,2899000.0,-9730000.0,1090020000.0,-0.0033,774746000.0,315274000.0,0.0,220089000.0,230116000.0,85158000.0,16860000.0,3623000.0,-39541000.0,1195000.0,25538000.0,43164000.0,0.0,43164000.0,0.5,0.47,82893768.0,43261000.0,0.0,0.2892,0.056,0.0188,0.04,0.0144,61544000.0,20483000.0,44359000.0,3.564,11.88,-0.211,6.0844,0.6739,1.7071,0.4045,0.5981,2.521,1.0196,0.0,0.2101,0.1897,0.0,355114000.0,984784000.0,-354724000.0,1199880000.0,274446500.0,128230500.0,174375000.0,0.7248,0.14,0.036,0.0554,0.019,5.0,0.904,1.1887,43.68,98.6761,65.4363,3.9717,8.5005,6.251,0.0,68.0,0.2019,0.0,1116180500.0,308828750.0,1205352000.0,0.19,13.15,1.2149,0.0703,-0.6933,FOE,11.87,10.555428571428571,983949026.16
