,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,roic_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-03-31,0.0,0.1545,0.1279,0.2,0.2,0.0989,0.0898,-0.6477,-0.8927,0.0,0.0,0.0,0.0,0.0898,-0.3908,0.6014,0.1553,0.0989,0.0,0.0,0.0,0.0,2298000.0,1880000.0,4178000.0,-4178000.0,84000.0,-4258000.0,0.0,0.0,0.0,-4258000.0,285000.0,-4543000.0,-0.12,-0.12,37284000.0,37284000.0,0.0,0.0,0.0,0.0,-4174000.0,-4174000.0,-4258000.0,0.0,0.0,0.0,0.0,10247000.0,5232000.0,15479000.0,-15479000.0,96000.0,-15556000.0,0.0,0.0,0.0,-15556000.0,1245000.0,-16801000.0,-0.46,-0.46,37284000.0,37284000.0,0.0,0.0,0.0,0.0,-15460000.0,-15460000.0,-15556000.0,0.025,0.132,-0.094,0.0,0.107,0.0,0.0,-49.6905,2.047,0.7739,0.0,0.0,0.0,0.0,2390000.0,4931000.0,2390000.0,-1340000.0,0.0,1248500.0,0.0,0.0,-12.363,-2.642,0.0,1.0,0.0,0.9252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,-2699500.0,1359000.0,6358000.0,-0.417,0.0,-161.0417,-6.5088,0.0,GALT,4.74,4.441176470588235,176726160.0
2017-12-31,0.0,0.4838,0.4273,0.5625,0.5625,0.2878,0.1975,-0.7366,-1.0405,0.0,0.0,0.0,0.0,0.1975,-0.7081,0.1758,0.484,0.2878,0.0,0.0,0.0,0.0,1002000.0,1371000.0,2373000.0,-2373000.0,12000.0,-2382000.0,0.0,0.0,0.0,-2382000.0,405000.0,-2787000.0,-0.07,-0.07,38284000.0,38284000.0,0.0,0.0,0.0,0.0,-2370000.0,-2370000.0,-2382000.0,0.0,0.0,0.0,0.0,11721000.0,4526000.0,16247000.0,-16247000.0,12000.0,-16235000.0,0.0,0.0,0.0,-16235000.0,1232000.0,-17467000.0,-0.49,-0.49,35521000.0,35521000.0,0.0,0.0,0.0,0.0,-16222000.0,-16223000.0,-16235000.0,-0.014,0.109,-0.102,0.0,0.0797,0.0,0.0,-197.5,1.287,1.4008,0.0,0.0,0.0,0.0,851000.0,4161000.0,851000.0,-1860000.0,0.0,827000.0,0.0,0.0,-5.624,-2.025,0.0,1.0,0.0,0.9098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,-3366750.0,3105750.0,8624500.0,-0.447,0.0,-1351.9167,-19.0776,0.0,GALT,3.34,2.5342424242424246,127868560.0
2017-09-30,0.0,0.0261,-0.0037,0.1875,0.1875,0.2009,0.0932,-0.5649,-0.9233,0.0,0.0,0.0,0.0,0.0932,0.0651,-0.27,0.0271,0.2009,0.0,0.0,0.0,0.0,3503000.0,911000.0,4414000.0,-4414000.0,0.0,-4408000.0,0.0,0.0,0.0,-4408000.0,254000.0,-4662000.0,-0.13,-0.13,35165000.0,35165000.0,0.0,0.0,0.0,0.0,-4408000.0,-4408000.0,-4408000.0,0.0,0.0,0.0,0.0,14152000.0,4321000.0,18473000.0,-18473000.0,0.0,-18444000.0,0.0,0.0,0.0,-18444000.0,1102000.0,-19546000.0,-0.58,-0.58,35165000.0,35165000.0,0.0,0.0,0.0,0.0,-18441000.0,-18444000.0,-18444000.0,0.027,0.199,-0.089,0.0,0.1979,0.0,0.0,0.0,1.615,0.6699,0.0,0.0,0.0,0.0,2670000.0,7011000.0,2670000.0,-4288000.0,0.0,409000.0,0.0,0.0,-3.363,-1.695,0.0,1.0,0.0,0.8622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-3738750.0,5811250.0,11533000.0,-0.479,0.0,0.0,-6.9079,0.0,GALT,2.14,1.817428571428571,75253100.0
2017-06-30,0.0,0.1832,0.1747,0.3,0.3,0.1953,-0.085,-0.4887,-0.5426,0.0,0.0,0.0,0.0,-0.085,-0.185,-0.1801,0.1839,0.1953,0.0,0.0,0.0,0.0,3444000.0,1070000.0,4514000.0,-4514000.0,0.0,-4508000.0,0.0,0.0,0.0,-4508000.0,301000.0,-4809000.0,-0.14,-0.14,34692000.0,34692000.0,0.0,0.0,0.0,0.0,-4508000.0,-4508000.0,-4508000.0,0.0,0.0,0.0,0.0,13938000.0,4658000.0,18596000.0,-18596000.0,0.0,-18562000.0,0.0,0.0,0.0,-18562000.0,967000.0,-19529000.0,-0.61,-0.61,34692000.0,34692000.0,0.0,0.0,0.0,0.0,-18557000.0,-18562000.0,-18562000.0,0.118,0.269,-0.144,0.0,0.2631,0.0,0.0,0.0,2.656,1.0401,0.0,0.0,0.0,0.0,5816000.0,9329000.0,5816000.0,-3310000.0,0.0,733500.0,0.0,0.0,-2.396,-1.414,0.0,1.0,0.0,0.8794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-3675250.0,8150750.0,13809000.0,-0.495,0.0,0.0,-3.1915,0.0,GALT,2.46,2.451666666666667,85342320.0
2017-03-31,0.0,0.274,0.2569,0.375,0.375,0.177,-0.1069,-0.3858,-0.4619,0.0,0.0,0.0,0.0,-0.1069,-0.1382,-0.5183,0.2741,0.177,0.0,0.0,0.0,0.0,3772000.0,1174000.0,4946000.0,-4946000.0,0.0,-4937000.0,0.0,0.0,0.0,-4937000.0,272000.0,-5209000.0,-0.15,-0.15,33928000.0,33928000.0,0.0,0.0,0.0,0.0,-4936000.0,-4937000.0,-4937000.0,0.0,0.0,0.0,0.0,14720000.0,4893000.0,19613000.0,-19613000.0,0.0,-19573000.0,0.0,0.0,0.0,-19573000.0,974000.0,-20547000.0,-0.67,-0.67,33928000.0,33928000.0,0.0,0.0,0.0,0.0,-19566000.0,-19573000.0,-19573000.0,0.233,0.413,-0.114,0.0,0.4021,0.0,0.0,0.0,3.209,0.7416,0.0,0.0,0.0,0.0,9635000.0,13997000.0,9635000.0,-4009000.0,0.0,1328500.0,0.0,0.0,-2.283,-1.281,0.0,1.0,0.0,0.8168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-3697000.0,8999000.0,16038500.0,-0.495,0.0,0.0,-2.0314,0.0,GALT,2.3,1.8408333333333329,78034400.0
2016-12-31,0.0,0.0171,0.0203,0.1579,0.1579,0.1484,-0.0574,-0.4019,-0.5036,0.0,0.0,0.0,0.0,-0.0574,0.1781,-0.3409,0.0179,0.1484,0.0,0.0,0.0,0.0,3433000.0,1166000.0,4599000.0,-4599000.0,0.0,-4591000.0,0.0,0.0,0.0,-4591000.0,275000.0,-4866000.0,-0.16,-0.16,29729000.0,29729000.0,0.0,0.0,0.0,0.0,-4589000.0,-4591000.0,-4591000.0,0.0,0.0,0.0,0.0,15325000.0,6156000.0,21481000.0,-21481000.0,0.0,-21436000.0,0.0,0.0,0.0,-21436000.0,914000.0,-22350000.0,-0.76,-0.76,29216000.0,29216000.0,0.0,0.0,0.0,0.0,-21429000.0,-21436000.0,-21436000.0,0.346,0.531,-0.164,0.0,0.5167,0.0,0.0,0.0,4.178,0.9998,0.0,0.0001,0.0,0.0,12014000.0,15794000.0,12014000.0,-3348000.0,0.0,746500.0,0.0,0.0,-2.204,-1.226,0.0,1.0,0.0,0.7342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3401000.0,10139000.0,18236250.0,-0.562,0.0,0.0,-1.7843,0.0,GALT,0.98,0.9488235294117648,29134420.0
2016-09-30,0.0,0.2312,0.245,0.3846,0.3846,0.2307,0.3226,-0.2509,-0.3469,0.0,0.0,0.0,0.0,0.3226,-0.2632,-0.1303,0.2309,0.2307,0.0,0.0,0.0,0.0,3289000.0,1248000.0,4537000.0,-4537000.0,0.0,-4526000.0,0.0,0.0,0.0,-4526000.0,119000.0,-4645000.0,-0.16,-0.16,29282000.0,29282000.0,0.0,0.0,0.0,0.0,-4524000.0,-4526000.0,-4526000.0,0.0,0.0,0.0,0.0,14806000.0,6759000.0,21565000.0,-21565000.0,0.0,-21516000.0,0.0,0.0,0.0,-21516000.0,933000.0,-22449000.0,-0.79,-0.79,29282000.0,29282000.0,0.0,0.0,0.0,0.0,-21510000.0,-21516000.0,-21516000.0,0.352,0.55,-0.118,0.0,0.5484,0.0,0.0,0.0,3.942,0.7414,0.0,0.0002,0.0,0.0,12025000.0,16112000.0,12025000.0,-4034000.0,0.0,790500.0,0.0,0.0,-1.859,-1.075,0.0,1.0,0.0,0.7192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2765500.0,12076000.0,20889500.0,-0.551,0.0,0.0,-1.7893,0.0,GALT,1.13,1.8611111111111112,33088659.999999996
2016-06-30,0.0,-0.1887,-0.1817,0.0476,0.0476,0.223,-0.5434,-0.3161,-0.6574,0.0,0.0,0.0,0.0,-0.5434,0.6254,-0.3656,-0.1877,0.223,0.0,0.0,0.0,0.0,4226000.0,1305000.0,5531000.0,-5531000.0,0.0,-5519000.0,0.0,0.0,0.0,-5519000.0,308000.0,-5827000.0,-0.2,-0.2,29023000.0,29023000.0,0.0,0.0,0.0,0.0,-5517000.0,-5519000.0,-5519000.0,0.0,0.0,0.0,0.0,15981000.0,6946000.0,22927000.0,-22927000.0,0.0,-22877000.0,0.0,0.0,0.0,-22877000.0,1079000.0,-23956000.0,-0.89,-0.89,29023000.0,29023000.0,0.0,0.0,0.0,0.0,-22871000.0,-22877000.0,-22877000.0,0.258,0.629,-0.159,0.0,0.6203,0.0,0.0,0.0,5.017,0.7911,0.0,0.0003,0.0,0.0,14606000.0,18242000.0,14606000.0,-3397000.0,0.0,921500.0,0.0,0.0,-1.885,-1.077,0.0,1.0,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2142750.0,12708500.0,22238750.0,-0.613,0.0,0.0,-1.5663,0.0,GALT,1.47,1.4658333333333333,42663810.0
2016-03-31,0.0,-0.409,-0.3816,-0.0909,-0.0909,0.25,0.1904,-0.2397,-0.5428,0.0,0.0,0.0,0.0,0.1904,0.3957,0.4302,-0.4079,0.25,0.0,0.0,0.0,0.0,4377000.0,2437000.0,6814000.0,-6814000.0,0.0,-6800000.0,0.0,0.0,0.0,-6800000.0,210000.0,-7010000.0,-0.24,-0.24,28827000.0,28827000.0,0.0,0.0,0.0,0.0,-6799000.0,-6800000.0,-6800000.0,0.0,0.0,0.0,0.0,14355000.0,7698000.0,22053000.0,-22053000.0,0.0,-22001000.0,0.0,0.0,0.0,-22001000.0,1059000.0,-23060000.0,-0.9,-0.9,28827000.0,28827000.0,0.0,0.0,0.0,0.0,-21995000.0,-22001000.0,-22001000.0,0.433,0.79,-0.121,0.0,0.7755,0.0,0.0,0.0,7.01,0.4979,0.0,0.0003,0.0,0.0,19531000.0,22781000.0,19531000.0,-2825000.0,0.0,1116500.0,0.0,0.0,-1.507,-0.947,0.0,1.0,0.0,0.7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1694250.0,15306000.0,24346750.0,-0.561,0.0,0.0,-1.1265,0.0,GALT,1.43,1.3125714285714287,41222610.0
2015-12-31,0.0,-0.2519,-0.2518,-0.0556,-0.0556,0.1661,-0.478,-0.1102,-0.2702,0.0,0.0,0.0,0.0,-0.478,0.401,0.0695,-0.2542,0.1661,0.0,0.0,0.0,0.0,2914000.0,1769000.0,4683000.0,-4683000.0,0.0,-4671000.0,0.0,0.0,0.0,-4671000.0,296000.0,-4967000.0,-0.19,-0.19,25887000.0,25887000.0,0.0,0.0,0.0,0.0,-4670000.0,-4671000.0,-4671000.0,0.0,0.0,0.0,0.0,13114000.0,6965000.0,20079000.0,-20079000.0,0.0,-20027000.0,0.0,0.0,0.0,-20027000.0,1097000.0,-21124000.0,-0.88,-0.88,24120000.0,24120000.0,0.0,0.0,0.0,0.0,-20020000.0,-20027000.0,-20027000.0,0.697,1.02,-0.178,0.0,0.9984,0.0,0.0,0.0,19.412,0.9263,0.0,0.0003,0.0,0.0,25040000.0,26400000.0,25040000.0,-806000.0,0.0,744500.0,0.0,0.0,-1.197,-0.808,0.0,2.0,0.0,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1158000.0,17649750.0,26143250.0,-0.704,0.0,0.0,-0.7998,0.0,GALT,1.64,1.961428571428571,42454680.0
