,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.3682,-0.3749,-3.4968,-3.5,-3.5,-7.3252,0.1738,-0.14,1.8515,0.3025,0.0,0.0,-9.259,0.0,0.266,1.2939,-0.0145,300031000.0,0.3197,216481000.0,83550000.0,0.0,69626000.0,69626000.0,13924000.0,4254000.0,-432000.0,5864000.0,731000.0,0.0,-6296000.0,1087000.0,-7383000.0,-0.25,-0.25,29681942.0,0.0,0.2785,0.037,0.0127,-0.025,-0.0667,11095000.0,3822000.0,-5565000.0,1093355000.0,0.2416,775647000.0,317708000.0,0.0,263467000.0,263467000.0,54241000.0,10230000.0,29254000.0,37954000.0,7436000.0,0.0,-8700000.0,4349000.0,-13049000.0,-0.44,-0.45,29681942.0,29555624.0,0.0,0.2906,0.062,0.0361,-0.012,0.0263,67651000.0,39484000.0,-1264000.0,13.632,23.897,-0.674,10.0746,5.232,0.739,0.2743,0.8984,2.499,0.9116,0.0,0.3493,0.2321,0.0,317520000.0,709308000.0,-32418000.0,641240000.0,233718500.0,25614000.0,0.0,1.9725,0.0265,7.872,-0.0442,-1.8252,-0.029,-0.013,0.0609,0.036,5.0,1.056,-4.2076,9.6979,88.2729,0.0,4.6781,42.6858,0.0,0.0,39.0,0.241,0.0,560985750.0,447238250.0,1035303500.0,0.971,36.836,3.8596,-0.0197,-0.4753,0.028,-0.0239,-0.9265,VRTU,48.68,49.491428628571434,1444916936.56
2018-03-31,0.2768,-0.2511,-0.8285,-0.8286,-0.8235,2.0465,0.2055,-0.1426,0.6145,0.2664,0.0,0.0,3.4671,0.0,0.217,0.6016,-0.0176,281341000.0,0.2451,197342000.0,83999000.0,0.0,67624000.0,67624000.0,16375000.0,3258000.0,9046000.0,6163000.0,1747000.0,0.0,2883000.0,1088000.0,1795000.0,0.06,0.06,29429643.0,0.0,0.2986,0.068,0.0437,0.006,0.0132,19130000.0,12304000.0,4630000.0,1020669000.0,0.1886,725445000.0,295224000.0,0.0,248837000.0,248837000.0,46387000.0,7634000.0,34142000.0,32888000.0,7694000.0,0.0,1254000.0,3963000.0,-2709000.0,-0.09,-0.09,29429643.0,26973001.0,0.0,0.2892,0.068,0.0409,-0.003,0.0459,69313000.0,41776000.0,8948000.0,14.225,24.463,0.126,10.1814,6.6327,0.7158,0.2692,3.7766,2.535,4.7454,0.0,0.3533,0.2404,0.0,332635000.0,719928000.0,-20766000.0,607664000.0,228429500.0,25027500.0,0.0,-0.5647,0.0262,3.0599,-0.0171,-0.7047,-0.006,-0.003,0.0535,0.041,5.0,1.026,-23.1447,10.5641,91.2918,0.0,4.4682,40.7819,0.0,0.0,32.0,0.2438,0.0,524657500.0,465441250.0,994945000.0,1.592,34.682,5.4724,0.0028,-0.2526,0.0269,-0.0155,-0.575,VRTU,48.459998999999996,49.126176235294125,1426160470.3503568
2017-12-31,0.2891,2.1728,-3.5123,-3.5333,-3.5333,0.7573,0.1132,0.0381,-0.3055,0.0869,0.0,0.0,0.8181,0.0,0.1936,1.1157,-0.0199,263809000.0,0.2145,183420000.0,80389000.0,0.0,66726000.0,66726000.0,13663000.0,1305000.0,14372000.0,24427000.0,2134000.0,0.0,-10055000.0,1087000.0,-11142000.0,-0.38,-0.38,29365400.0,0.0,0.3047,0.086,0.0594,-0.042,0.0809,22742000.0,15677000.0,-7921000.0,965290000.0,0.1997,688277000.0,277013000.0,0.0,236777000.0,236777000.0,40236000.0,6401000.0,39500000.0,30664000.0,7252000.0,0.0,8836000.0,2875000.0,5961000.0,0.2,0.18,29365400.0,25638839.0,0.0,0.287,0.076,0.0476,0.006,0.0432,73279000.0,45901000.0,16088000.0,16.469,24.76,0.727,4.4419,7.7296,0.2697,0.1313,12.013,4.239,-2.1853,0.0,0.2682,0.2529,0.0,424137000.0,727077000.0,247299000.0,499597000.0,197271500.0,26385000.0,0.0,-0.1236,0.0346,-7.171,-0.0114,-0.426,0.012,0.006,0.0685,0.048,7.0,1.019,9.5583,8.3448,77.7008,0.0,4.8932,36.5848,0.0,0.0,27.0,0.2453,0.0,514921000.0,485043500.0,947505000.0,1.418,32.872,7.1709,0.0162,-0.269,0.0261,-0.0159,-0.5597,VRTU,44.080002,45.82212139393938,1294426890.7308
2017-09-30,0.2088,0.3704,0.1453,0.1818,0.0909,0.1322,0.09,0.0282,-0.4466,0.1186,0.0,0.0,0.0731,0.0,0.098,1.9061,-0.0201,248174000.0,0.1813,178404000.0,69770000.0,0.0,59491000.0,59491000.0,10279000.0,1413000.0,6268000.0,1500000.0,2824000.0,0.0,4768000.0,1087000.0,3681000.0,0.13,0.12,29269785.0,0.0,0.2811,0.059,0.031,0.015,0.0958,14684000.0,7681000.0,7592000.0,918690000.0,0.2448,659704000.0,258986000.0,0.0,225955000.0,225955000.0,33031000.0,7016000.0,28149000.0,4823000.0,6224000.0,0.0,23326000.0,1788000.0,21538000.0,0.73,0.71,29269785.0,25383650.0,0.0,0.2819,0.068,0.0383,0.023,0.0349,62184000.0,35165000.0,29550000.0,16.471,23.201,0.812,3.5927,5.5756,0.2181,0.1114,5.436,4.035,7.8153,0.0,0.2809,0.2397,0.0,381109000.0,679075000.0,242657000.0,495442000.0,192801500.0,23682000.0,0.0,-0.1738,0.0247,-9.1735,-0.0202,-0.7141,0.045,0.023,0.0542,0.038,7.0,0.996,2.1582,8.8404,80.8897,0.0,4.765,38.7928,0.0,0.0,30.0,0.246,0.0,530220500.0,482975250.0,922243250.0,1.095,31.387,5.0121,0.0466,-0.3105,0.0226,-0.0157,-0.5342,VRTU,37.779999,36.145999885714296,1105812448.0302148
2017-06-30,0.1764,2.2544,1.4727,1.4762,1.4762,1.0736,0.0931,0.0154,-0.4545,0.0862,0.0,0.0,0.8885,0.0,0.023,4.2846,0.0065,227345000.0,0.1065,166279000.0,61066000.0,0.0,54996000.0,54996000.0,6070000.0,1658000.0,4456000.0,798000.0,989000.0,0.0,3658000.0,701000.0,2957000.0,0.1,0.1,30119422.0,0.0,0.2686,0.056,0.0269,0.013,-0.0086,12757000.0,6114000.0,4647000.0,880605000.0,0.3125,633669000.0,246936000.0,0.0,220647000.0,220647000.0,26289000.0,7495000.0,25594000.0,3822000.0,4642000.0,0.0,21772000.0,701000.0,21071000.0,0.71,0.7,30119422.0,24714808.0,0.0,0.2804,0.067,0.0376,0.024,0.0346,59396000.0,33089000.0,26414000.0,15.851,21.912,-0.065,3.4818,5.121,0.2197,0.1129,3.6876,4.258,0.3598,0.0,0.2894,0.2419,0.0,373611000.0,659965000.0,233137000.0,495927000.0,194957500.0,22972000.0,0.0,-2.8327,0.0211,-8.7641,-0.0133,-0.4537,0.044,0.023,0.041,0.038,6.0,0.975,2.0467,9.1925,84.1476,0.0,4.5169,38.3338,0.0,0.0,28.0,0.2506,0.0,537021000.0,482070750.0,902751750.0,1.01,29.237,4.4148,0.0442,-0.2943,0.0236,-0.0144,-0.4825,VRTU,29.4,29.364722472222233,885511006.8
2017-03-31,0.0908,-0.0701,-0.1485,-0.1667,-0.1707,-0.8098,-0.0577,0.0412,-0.0459,0.0253,0.0,0.0,-1.1295,0.0,0.0141,0.8522,0.0049,225962000.0,0.3149,160174000.0,65788000.0,0.0,55564000.0,55564000.0,10224000.0,2025000.0,14404000.0,3939000.0,1305000.0,0.0,10465000.0,0.0,10465000.0,0.35,0.34,29957522.0,0.0,0.2911,0.102,0.0727,0.046,-0.0067,23096000.0,16429000.0,11770000.0,858731000.0,0.4305,620950000.0,237781000.0,0.0,219410000.0,219410000.0,18371000.0,7682000.0,14419000.0,2561000.0,4399000.0,0.0,11858000.0,0.0,11858000.0,0.4,0.39,29957522.0,24032675.0,0.0,0.2769,0.056,0.0257,0.014,0.0174,47953000.0,22101000.0,16257000.0,16.591,21.83,-0.05,6.1952,4.8429,0.3734,0.201,8.1131,3.819,0.2672,0.0,0.2918,0.2459,0.0,354480000.0,653970000.0,141838000.0,568718000.0,199084000.0,23983000.0,0.0,-1.5376,0.0226,-1.3647,-0.019,-0.6448,0.025,0.013,0.0229,0.026,5.0,0.973,2.3284,8.7194,85.6786,0.0,4.3134,35.8058,0.0,0.0,43.0,0.2555,0.0,546518750.0,479491250.0,882970000.0,0.497,28.665,2.877,0.0251,-0.4603,0.0258,-0.0148,-0.4916,VRTU,30.219998999999998,30.47499980555555,905316284.8824779
2016-12-31,0.1614,-0.6585,-0.608,-0.6154,-0.6053,-0.3813,0.6725,0.0429,0.0,0.6256,0.0,0.0,-0.3951,0.0,0.4131,-0.5431,0.0056,217209000.0,0.4423,154847000.0,62362000.0,0.0,55904000.0,55904000.0,6458000.0,1920000.0,3021000.0,-1414000.0,1106000.0,0.0,4435000.0,0.0,4435000.0,0.15,0.15,29962316.0,0.0,0.2871,0.054,0.0227,0.02,0.054,11647000.0,4941000.0,5541000.0,804622000.0,0.4512,572316000.0,232306000.0,0.0,218639000.0,218639000.0,13667000.0,10546000.0,12793000.0,-890000.0,3312000.0,0.0,13683000.0,0.0,13683000.0,0.47,0.46,29962316.0,24136716.0,0.0,0.2887,0.059,0.029,0.017,0.0348,47141000.0,23339000.0,16995000.0,15.864,20.981,0.392,6.2682,4.4756,0.3951,0.2104,2.5734,3.791,3.1242,0.0,0.2957,0.2574,0.0,339296000.0,628638000.0,126351000.0,560795000.0,152676000.0,21551000.0,0.0,-0.1529,0.0219,-2.3199,-0.0098,-0.316,0.029,0.015,0.0177,0.029,3.0,0.897,2.888,13.9269,85.76,0.0,5.2701,37.3357,0.0,0.0,34.0,0.2717,0.0,535110500.0,473986500.0,897118000.0,0.935,26.854,2.2131,0.0301,-0.2913,0.032,-0.0143,-0.4836,VRTU,25.120001000000002,22.950293970588238,752653407.8823161
2016-09-30,0.166,-0.5874,-0.7101,-0.7105,-0.7027,0.4904,0.6576,0.0814,0.0,0.5044,0.0,0.0,0.8652,0.0,0.4949,-0.7332,0.0063,210089000.0,0.4691,152369000.0,57720000.0,0.0,54183000.0,54183000.0,3537000.0,1892000.0,3713000.0,499000.0,1242000.0,0.0,3214000.0,0.0,3214000.0,0.11,0.11,29869268.0,0.0,0.2747,0.057,0.0267,0.015,0.1054,11896000.0,5605000.0,4456000.0,738016000.0,0.4008,514377000.0,223639000.0,0.0,202296000.0,202296000.0,21343000.0,7307000.0,25559000.0,4998000.0,2206000.0,0.0,20561000.0,0.0,20561000.0,0.71,0.69,29869268.0,,0.0,0.303,0.073,0.0445,0.028,0.0483,54185000.0,32866000.0,22767000.0,16.019,20.284,0.742,6.362,5.3274,0.3971,0.2193,2.9625,3.787,7.9057,0.0,0.3007,0.2579,0.0,318038000.0,605871000.0,110866000.0,522644000.0,151493500.0,18063000.0,0.0,-0.1283,0.0292,-0.9777,-0.0155,-0.5182,0.044,0.025,0.0271,0.045,3.0,0.914,2.3371,12.4201,90.0151,0.0,4.8716,40.8579,0.0,0.0,24.0,0.2741,0.0,446263750.0,468464250.0,807401000.0,1.194,24.708,4.4979,0.0476,-0.2577,0.0324,-0.0168,-0.5808,VRTU,24.68,24.27777783333333,737173534.24
2016-06-30,0.0933,-1.3939,-1.6186,-1.6,-1.6176,-11.0007,0.6755,0.0737,0.0,0.6139,0.0,0.0,-24.301,0.0,0.5328,-1.1489,0.0093,205471000.0,0.5238,153560000.0,51911000.0,0.0,53759000.0,53759000.0,-1848000.0,1845000.0,-6719000.0,-463000.0,746000.0,0.0,-6256000.0,0.0,-6256000.0,-0.21,-0.21,29924895.0,0.0,0.2526,0.006,-0.0237,-0.03,-0.0851,1314000.0,-4874000.0,-5510000.0,670929000.0,0.3377,455508000.0,215421000.0,0.0,184359000.0,184359000.0,31062000.0,3913000.0,36932000.0,8499000.0,964000.0,0.0,28433000.0,0.0,28433000.0,0.98,0.95,29924895.0,,0.0,0.3211,0.089,0.0609,0.042,0.0379,59872000.0,40845000.0,29397000.0,15.61,19.717,-0.584,6.4242,4.7261,0.4116,0.2263,-2.6417,3.933,2.3099,0.0,0.3055,0.2616,0.0,313593000.0,590033000.0,103605000.0,533918000.0,151352500.0,16988000.0,0.0,0.2098,0.0298,2.0495,-0.0148,-0.49,0.062,0.039,0.0391,0.061,3.0,0.93,1.3961,12.9292,101.6771,0.0,4.4329,39.4943,0.0,0.0,20.0,0.2748,0.0,377771250.0,458757750.0,721470000.0,0.849,22.42,10.4383,0.0664,-0.3602,0.0305,-0.0213,-0.7514,VRTU,28.879998999999998,33.50499997222222,864230937.675105
2016-03-31,0.3028,0.6934,0.0642,0.05,0.0513,-0.1425,1.0011,0.0812,0.0,0.9023,0.0,0.0,-0.0032,0.0,0.7222,-0.6188,0.0368,171853000.0,0.3637,111540000.0,60313000.0,0.0,54793000.0,54793000.0,5520000.0,4889000.0,12778000.0,488000.0,218000.0,0.0,12290000.0,0.0,12290000.0,0.42,0.41,29811703.0,0.0,0.351,0.13,0.1028,0.072,0.0675,22284000.0,17667000.0,12508000.0,600302000.0,0.2533,389310000.0,210992000.0,0.0,165672000.0,165672000.0,45320000.0,643000.0,57451000.0,12649000.0,218000.0,0.0,44802000.0,0.0,44802000.0,1.53,1.49,29811703.0,,0.0,0.3515,0.124,0.0968,0.075,0.0703,74573000.0,58094000.0,45020000.0,15.934,23.908,0.389,6.5248,8.148,0.4095,0.1985,3.6136,3.743,1.1963,0.0,0.2727,0.3188,0.0,387515000.0,712742000.0,176722000.0,523085000.0,149969000.0,18072500.0,0.0,-0.2109,0.0509,-4.5912,-0.018,-0.6714,0.1,0.07,0.0712,0.097,3.0,0.944,1.2408,16.6916,119.5339,0.0,4.0028,33.2163,0.0,0.0,17.0,0.276,0.0,300377750.0,449733500.0,635838750.0,1.415,20.136,90.3484,0.0889,-0.2411,0.027,-0.0223,-0.8132,VRTU,37.459998999999996,34.589428657142854,1116746364.568297
